"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 02:30:35 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_A0 - 400MHz - FB DIMM"
"Probe 6: U15.AJ6 (at pin)"
"Probe 20: disabled"
"Probe 21: disabled"
"Probe 36: disabled"
"Probe 37: U26+.F1 (EBD-J15) (at pin)"
"Probe 38: U6+.F1 (EBD-J15) (at pin)"
"Probe 39: disabled"
"Probe 40: disabled"
"Probe 41: disabled"
"Probe 42: disabled"
"","Time","Probe V 6","Probe I 6","Probe V 37","Probe I 37","Probe V 38","Probe I 38"
"","   0.0000e-11","1.5315e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC
"","   0.9775e-11","1.5315e-001","-1.4507e-002","1.7021e-001","-1.6730e-009","1.7021e-001","-1.6730e-009"
"","   1.9550e-11","1.5315e-001","-1.4510e-002","1.7021e-001","-1.6447e-009","1.7021e-001","-1.6447e-009"
"","   2.9326e-11","1.5315e-001","-1.4512e-002","1.7021e-001","-1.6172e-009","1.7021e-001","-1.6172e-009"
"","   3.9101e-11","1.5315e-001","-1.4514e-002","1.7021e-001","-2.2397e-009","1.7021e-001","-2.2397e-009"
"","   4.8876e-11","1.5315e-001","-1.4516e-002","1.7021e-001","-2.3869e-009","1.7021e-001","-2.3869e-009"
"","   5.8651e-11","1.5315e-001","-1.4515e-002","1.7021e-001","-2.6479e-009","1.7021e-001","-2.7203e-009"
"","   6.8426e-11","1.5315e-001","-1.4506e-002","1.7021e-001","-2.8450e-009","1.7021e-001","-3.1197e-009"
"","   7.8201e-11","1.5315e-001","-1.4497e-002","1.7021e-001","-2.5467e-009","1.7021e-001","-3.0510e-009"
"","   8.7977e-11","1.5404e-001","-1.4487e-002","1.7021e-001","-2.3116e-009","1.7021e-001","-2.9644e-009"
"","   9.7752e-11","1.5607e-001","-1.4471e-002","1.7021e-001","-2.3957e-009","1.7021e-001","-3.1031e-009"
"","  10.7527e-11","1.5680e-001","-1.4449e-002","1.7021e-001","-2.6476e-009","1.7021e-001","-3.3446e-009"
"","  11.7302e-11","1.5702e-001","-1.4427e-002","1.7021e-001","-3.0754e-009","1.7021e-001","-3.7292e-009"
"","  12.7077e-11","1.5706e-001","-1.4395e-002","1.7021e-001","-3.6783e-009","1.7021e-001","-4.2908e-009"
"","  13.6852e-11","1.5703e-001","-1.4353e-002","1.7021e-001","-3.6390e-009","1.7021e-001","-4.2091e-009"
"","  14.6628e-11","1.5700e-001","-1.4311e-002","1.7021e-001","-3.8103e-009","1.7021e-001","-4.2474e-009"
"","  15.6403e-11","1.5714e-001","-1.4258e-002","1.7021e-001","-3.6374e-009","1.7021e-001","-3.9686e-009"
"","  16.6178e-11","1.5743e-001","-1.4198e-002","1.7021e-001","-3.4401e-009","1.7021e-001","-3.4365e-009"
"","  17.5953e-11","1.5779e-001","-1.4122e-002","1.7021e-001","-3.3711e-009","1.7021e-001","-3.3521e-009"
"","  18.5728e-11","1.5825e-001","-1.4029e-002","1.7021e-001","-3.6834e-009","1.7021e-001","-3.4669e-009"
"","  19.5503e-11","1.5896e-001","-1.4007e-002","1.7021e-001","-3.5509e-009","1.7021e-001","-3.3590e-009"
"","  20.5279e-11","1.5980e-001","-1.3906e-002","1.7021e-001","-3.5987e-009","1.7021e-001","-3.5230e-009"
"","  21.5054e-11","1.6080e-001","-1.3791e-002","1.7021e-001","-3.4397e-009","1.7021e-001","-3.3699e-009"
"","  22.4829e-11","1.6223e-001","-1.3648e-002","1.7021e-001","-3.0869e-009","1.7021e-001","-3.0128e-009"
"","  23.4604e-11","1.6386e-001","-1.3455e-002","1.7021e-001","-2.9458e-009","1.7021e-001","-2.8794e-009"
"","  24.4379e-11","1.6572e-001","-1.3252e-002","1.7021e-001","-4.0262e-009","1.7021e-001","-2.8749e-009"
"","  25.4154e-11","1.6797e-001","-1.3015e-002","1.7021e-001","-4.0901e-009","1.7021e-001","-2.7697e-009"
"","  26.3930e-11","1.7039e-001","-1.2731e-002","1.7021e-001","-4.2654e-009","1.7021e-001","-2.8342e-009"
"","  27.3705e-11","1.7379e-001","-1.2443e-002","1.7021e-001","-4.2006e-009","1.7021e-001","-2.7294e-009"
"","  28.3480e-11","1.7604e-001","-1.2049e-002","1.7021e-001","-2.4429e-008","1.7021e-001","-2.9150e-009"
"","  29.3255e-11","1.7928e-001","-1.1559e-002","1.7021e-001","-2.3596e-008","1.7021e-001","-3.2679e-009"
"","  30.3030e-11","1.8353e-001","-1.1056e-002","1.7021e-001","-2.2760e-008","1.7021e-001","-3.1235e-009"
"","  31.2805e-11","1.8849e-001","-1.0505e-002","1.7021e-001","-1.4614e-008","1.7021e-001","-3.1752e-009"
"","  32.2581e-11","1.9503e-001","-9.9285e-003","1.7021e-001","-3.5200e-009","1.7021e-001","-2.4978e-008"
"","  33.2356e-11","2.0267e-001","-9.3400e-003","1.7021e-001","-3.6978e-009","1.7021e-001","-2.4336e-008"
"","  34.2131e-11","2.1115e-001","-8.7262e-003","1.7021e-001","-3.5006e-009","1.7021e-001","-2.3601e-008"
"","  35.1906e-11","2.2144e-001","-8.0210e-003","1.7021e-001","-2.2907e-009","1.7021e-001","-1.8130e-008"
"","  36.1681e-11","2.3284e-001","-7.2457e-003","1.7021e-001","-1.3364e-008","1.7021e-001","-1.2281e-008"
"","  37.1457e-11","2.4582e-001","-6.5546e-003","1.7021e-001","-1.2859e-008","1.7021e-001","-1.2287e-008"
"","  38.1232e-11","2.6296e-001","-5.6764e-003","1.7021e-001","-1.1852e-008","1.7021e-001","-1.2018e-008"
"","  39.1007e-11","2.8247e-001","-4.7916e-003","1.7021e-001","-9.5128e-009","1.7021e-001","-9.2004e-009"
"","  40.0782e-11","3.0364e-001","-3.9119e-003","1.7021e-001","-1.3069e-008","1.7021e-001","-1.4188e-008"
"","  41.0557e-11","3.2665e-001","-2.9684e-003","1.7021e-001","-1.2440e-008","1.7021e-001","-1.2599e-008"
"","  42.0332e-11","3.5073e-001","-2.0517e-003","1.7021e-001","-1.1561e-008","1.7021e-001","-1.1617e-008"
"","  43.0108e-11","3.7564e-001","-1.1380e-003","1.7021e-001","-1.0285e-008","1.7021e-001","-8.8849e-009"
"","  43.9883e-11","4.0268e-001","-1.5617e-004","1.7021e-001","-5.7690e-009","1.7021e-001","8.7569e-009"
"","  44.9658e-11","4.3267e-001","7.8818e-004","1.7021e-001","-5.1989e-009","1.7021e-001","8.3873e-009"
"","  45.9433e-11","4.6320e-001","1.7544e-003","1.7021e-001","-4.7953e-009","1.7021e-001","7.6241e-009"
"","  46.9208e-11","4.9628e-001","2.8126e-003","1.7021e-001","-2.9447e-009","1.7021e-001","7.7197e-009"
"","  47.8983e-11","5.3194e-001","3.7614e-003","1.7021e-001","3.4561e-009","1.7021e-001","-6.7797e-009"
"","  48.8759e-11","5.6866e-001","4.6491e-003","1.7021e-001","4.6880e-009","1.7021e-001","-7.9194e-009"
"","  49.8534e-11","6.0666e-001","5.5426e-003","1.7021e-001","4.6198e-009","1.7021e-001","-7.1597e-009"
"","  50.8309e-11","6.4553e-001","6.4111e-003","1.7021e-001","5.3044e-009","1.7021e-001","-6.6155e-009"
"","  51.8084e-11","6.8473e-001","7.2290e-003","1.7021e-001","2.9620e-009","1.7021e-001","1.7802e-009"
"","  52.7859e-11","7.2498e-001","8.0896e-003","1.7021e-001","3.6463e-009","1.7021e-001","3.1142e-009"
"","  53.7634e-11","7.6590e-001","8.9382e-003","1.7021e-001","3.6062e-009","1.7021e-001","2.2946e-009"
"","  54.7410e-11","8.0713e-001","9.6269e-003","1.7021e-001","3.5479e-009","1.7021e-001","1.1969e-009"
"","  55.7185e-11","8.4972e-001","1.0371e-002","1.7021e-001","3.5723e-009","1.7021e-001","-1.9259e-009"
"","  56.6960e-11","8.9215e-001","1.1047e-002","1.7021e-001","5.1323e-009","1.7021e-001","-9.0850e-010"
"","  57.6735e-11","9.3335e-001","1.1597e-002","1.7021e-001","4.6549e-009","1.7021e-001","-8.8104e-010"
"","  58.6510e-11","9.7388e-001","1.2132e-002","1.7021e-001","3.2700e-009","1.7021e-001","-4.9221e-010"
"","  59.6285e-11","1.0146e+000","1.2599e-002","1.7021e-001","-8.1909e-010","1.7021e-001","-6.6383e-010"
