"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 02:40:07 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_A0 - 133MHz - UDIMM"
"Probe 6: U15.AJ6 (at pin)"
"Probe 20: disabled"
"Probe 21: disabled"
"Probe 36: disabled"
"Probe 43: U19.R8 (EBD-J15) (at pin)"
"Probe 44: U18.R8 (EBD-J15) (at pin)"
"Probe 45: U17.R8 (EBD-J15) (at pin)"
"Probe 46: U16.R8 (EBD-J15) (at pin)"
"Probe 47: U15.R8 (EBD-J15) (at pin)"
"Probe 48: U14.R8 (EBD-J15) (at pin)"
"Probe 49: U13.R8 (EBD-J15) (at pin)"
"Probe 50: U12.R8 (EBD-J15) (at pin)"
"Probe 51: U11.R8 (EBD-J15) (at pin)"
"Probe 52: U9.R8 (EBD-J15) (at pin)"
"Probe 53: U8.R8 (EBD-J15) (at pin)"
"Probe 54: U7.R8 (EBD-J15) (at pin)"
"Probe 55: U6.R8 (EBD-J15) (at pin)"
"Probe 56: U5.R8 (EBD-J15) (at pin)"
"Probe 57: U4.R8 (EBD-J15) (at pin)"
"Probe 58: U3.R8 (EBD-J15) (at pin)"
"Probe 59: U2.R8 (EBD-J15) (at pin)"
"Probe 60: U1.R8 (EBD-J15) (at pin)"
"Probe 61: disabled"
"Probe 62: disabled"
"Probe 63: disabled"
"Probe 64: disabled"
"Probe 65: disabled"
"Probe 66: disabled"
"Probe 67: disabled"
"Probe 68: disabled"
"Probe 69: disabled"
"Probe 70: disabled"
"Probe 71: disabled"
"Probe 72: disabled"
"Probe 73: disabled"
"Probe 74: disabled"
"","Time","Probe V 6","Probe I 6","Probe V 43","Probe I 43","Probe V 44","Probe I 44","Probe V 45","Probe I 45","Probe V 46","Probe I 46","Probe V 47","Probe I 47","Probe V 48","Probe I 48","Probe V 49","Probe I 49","Probe V 50","Probe I 50","Probe V 51","Probe I 51","Probe V 52","Probe I 52","Probe V 53","Probe I 53","Probe V 54","Probe I 54","Probe V 55","Probe I 55","Probe V 56","Probe I 56","Probe V 57","Probe I 57","Probe V 58","Probe I 58","Probe V 59","Probe I 59","Probe V 60","Probe I 60"
"","   0.0000e-11","1.5315e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC,"1.7021e-001",DC
"","   0.9778e-11","1.5315e-001","-1.4507e-002","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009","1.7021e-001","-1.6301e-009"
"","   1.9556e-11","1.5315e-001","-1.4510e-002","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009","1.7021e-001","-2.6571e-009"
"","   2.9335e-11","1.5315e-001","-1.4512e-002","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009","1.7021e-001","-2.5177e-009"
"","   3.9113e-11","1.5315e-001","-1.4514e-002","1.7021e-001","-3.0090e-009","1.7021e-001","-3.0090e-009","1.7021e-001","-2.4139e-009","1.7021e-001","-2.4127e-009","1.7021e-001","-3.0090e-009","1.7021e-001","-2.4170e-009","1.7021e-001","-3.0091e-009","1.7021e-001","-3.0090e-009","1.7021e-001","-3.0090e-009","1.7021e-001","-2.4170e-009","1.7021e-001","-2.4154e-009","1.7021e-001","-2.4154e-009","1.7021e-001","-3.0090e-009","1.7021e-001","-2.4170e-009","1.7021e-001","-3.0090e-009","1.7021e-001","-3.0090e-009","1.7021e-001","-2.4154e-009","1.7021e-001","-2.4170e-009"
"","   4.8891e-11","1.5315e-001","-1.4515e-002","1.7021e-001","-3.4078e-009","1.7021e-001","-3.4079e-009","1.7021e-001","-2.8279e-009","1.7021e-001","-2.7685e-009","1.7021e-001","-3.4078e-009","1.7021e-001","-3.1197e-009","1.7021e-001","-3.4079e-009","1.7021e-001","-3.4079e-009","1.7021e-001","-3.4079e-009","1.7021e-001","-3.1197e-009","1.7021e-001","-2.9343e-009","1.7021e-001","-2.9342e-009","1.7021e-001","-3.4078e-009","1.7021e-001","-3.1197e-009","1.7021e-001","-3.4079e-009","1.7021e-001","-3.4079e-009","1.7021e-001","-2.9343e-009","1.7021e-001","-3.1197e-009"
"","   5.8669e-11","1.5315e-001","-1.4515e-002","1.7021e-001","-3.2537e-009","1.7021e-001","-3.2511e-009","1.7021e-001","-3.8929e-009","1.7021e-001","-3.3172e-009","1.7021e-001","-3.2537e-009","1.7021e-001","-3.5950e-009","1.7021e-001","-3.2511e-009","1.7021e-001","-3.2511e-009","1.7021e-001","-3.2537e-009","1.7021e-001","-3.5950e-009","1.7021e-001","-3.7841e-009","1.7021e-001","-3.7841e-009","1.7021e-001","-3.2537e-009","1.7021e-001","-3.5950e-009","1.7021e-001","-3.2466e-009","1.7021e-001","-3.2486e-009","1.7021e-001","-3.2946e-009","1.7021e-001","-3.5950e-009"
"","   6.8447e-11","1.5315e-001","-1.4507e-002","1.7021e-001","-3.6771e-009","1.7021e-001","-3.4764e-009","1.7021e-001","-2.7698e-009","1.7021e-001","-2.2867e-009","1.7021e-001","-3.6771e-009","1.7021e-001","-2.8636e-009","1.7021e-001","-3.4764e-009","1.7021e-001","-3.4764e-009","1.7021e-001","-3.6771e-009","1.7021e-001","-2.8636e-009","1.7021e-001","-2.8071e-009","1.7021e-001","-2.8070e-009","1.7021e-001","-3.6771e-009","1.7021e-001","-2.8636e-009","1.7021e-001","-3.2974e-009","1.7021e-001","-3.3615e-009","1.7021e-001","-2.4626e-009","1.7021e-001","-2.8636e-009"
"","   7.8226e-11","1.5315e-001","-1.4497e-002","1.7021e-001","-3.1931e-009","1.7021e-001","-2.9015e-009","1.7021e-001","-2.7014e-009","1.7021e-001","-2.3995e-009","1.7021e-001","-3.1931e-009","1.7021e-001","-2.8638e-009","1.7021e-001","-3.4014e-009","1.7021e-001","-3.4014e-009","1.7021e-001","-3.1931e-009","1.7021e-001","-2.8638e-009","1.7021e-001","-2.7613e-009","1.7021e-001","-2.7613e-009","1.7021e-001","-3.1931e-009","1.7021e-001","-2.8637e-009","1.7021e-001","-2.9328e-009","1.7021e-001","-3.5209e-009","1.7021e-001","-2.7523e-009","1.7021e-001","-2.8637e-009"
