"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 03:20:05 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_A15_FBDIMM - 400MHz"
"Probe 1: U26+.D2 (EBD-J15) (at pin)"
"Probe 2: U15.AE7 (at pin)"
"Probe 3: U6+.D2 (EBD-J15) (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"Probe 9: disabled"
"Probe 10: disabled"
"Probe 11: disabled"
"Probe 12: disabled"
"Probe 13: disabled"
"Probe 14: disabled"
"Probe 15: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","4.1972e-001",DC,"4.0816e-001",DC,"4.1972e-001",DC
"","   0.1955e-10","4.1972e-001","-4.0586e-009","4.0816e-001","-9.5537e-003","4.1972e-001","-4.0586e-009"
"","   0.3910e-10","4.1972e-001","-5.6141e-009","4.0816e-001","-9.5564e-003","4.1972e-001","-5.6141e-009"
"","   0.5865e-10","4.1972e-001","-6.9541e-009","4.0816e-001","-9.5584e-003","4.1972e-001","-6.9542e-009"
"","   0.7820e-10","4.1972e-001","-7.6039e-009","4.0816e-001","-9.5506e-003","4.1972e-001","-7.5159e-009"
"","   0.9775e-10","4.1972e-001","-8.6119e-009","4.1022e-001","-9.5215e-003","4.1972e-001","-7.3420e-009"
"","   1.1730e-10","4.1972e-001","-9.4638e-009","4.1070e-001","-9.4528e-003","4.1972e-001","-8.3718e-009"
"","   1.3685e-10","4.1972e-001","-9.6899e-009","4.1072e-001","-9.3573e-003","4.1972e-001","-9.3576e-009"
"","   1.5640e-10","4.1972e-001","-1.0065e-008","4.1068e-001","-9.1958e-003","4.1972e-001","-9.5615e-009"
"","   1.7595e-10","4.1972e-001","-1.0866e-008","4.1127e-001","-8.9453e-003","4.1972e-001","-1.0150e-008"
"","   1.9550e-10","4.1972e-001","-1.0701e-008","4.1266e-001","-8.7811e-003","4.1972e-001","-1.0198e-008"
"","   2.1505e-10","4.1972e-001","-1.0140e-008","4.1557e-001","-8.3663e-003","4.1972e-001","-1.0349e-008"
"","   2.3460e-10","4.1972e-001","-9.7946e-009","4.2023e-001","-7.8022e-003","4.1972e-001","-1.0229e-008"
"","   2.5415e-10","4.1972e-001","-8.9980e-009","4.2674e-001","-6.9643e-003","4.1972e-001","-9.4115e-009"
"","   2.7370e-10","4.1972e-001","-8.1341e-009","4.3565e-001","-6.0434e-003","4.1972e-001","-8.3704e-009"
"","   2.9326e-10","4.1972e-001","-7.7068e-009","4.4552e-001","-4.9761e-003","4.1972e-001","-7.6274e-009"
"","   3.1281e-10","4.1972e-001","-7.9231e-009","4.6446e-001","-3.8650e-003","4.1972e-001","-8.4413e-009"
"","   3.3236e-10","4.1972e-001","-8.7017e-009","4.9041e-001","-2.7568e-003","4.1972e-001","-8.8070e-009"
"","   3.5191e-10","4.1972e-001","-7.8647e-009","5.2376e-001","-1.6585e-003","4.1972e-001","-8.0708e-009"
"","   3.7146e-10","4.1972e-001","-8.8383e-009","5.6399e-001","-5.6021e-004","4.1972e-001","-8.6815e-009"
"","   3.9101e-10","4.1972e-001","-1.0633e-008","6.0801e-001","7.1667e-004","4.1972e-001","-1.1122e-008"
"","   4.1056e-10","4.1972e-001","1.9155e-008","6.5461e-001","1.8683e-003","4.1972e-001","2.7789e-008"
"","   4.3011e-10","4.1972e-001","9.2760e-009","7.0152e-001","3.0135e-003","4.1972e-001","-1.5394e-009"
"","   4.4966e-10","4.1972e-001","1.6773e-008","7.4846e-001","4.0752e-003","4.1972e-001","2.0045e-008"
"","   4.6921e-10","4.1972e-001","6.8997e-009","7.9739e-001","4.9728e-003","4.1972e-001","-2.6141e-009"
"","   4.8876e-10","4.1972e-001","-7.2417e-009","8.4820e-001","5.8376e-003","4.1972e-001","-2.5610e-009"
"","   5.0831e-10","4.1972e-001","-7.3175e-009","8.9865e-001","6.6499e-003","4.1972e-001","-9.8619e-009"
"","   5.2786e-10","4.1972e-001","1.7787e-009","9.4776e-001","7.4534e-003","4.1972e-001","-3.9502e-009"
"","   5.4741e-10","4.1972e-001","-3.6816e-009","9.9550e-001","8.1761e-003","4.1972e-001","-2.7561e-009"
"","   5.6696e-10","4.1972e-001","-4.3945e-009","1.0400e+000","8.8763e-003","4.1972e-001","-1.5000e-008"
"","   5.8651e-10","4.1972e-001","-1.1109e-008","1.0835e+000","9.3745e-003","4.1972e-001","-4.6225e-009"
"","   6.0606e-10","4.1972e-001","-1.9191e-008","1.1271e+000","9.8093e-003","4.1972e-001","3.1103e-009"
"","   6.2561e-10","4.1972e-001","-1.5751e-008","1.1690e+000","1.0123e-002","4.1972e-001","-2.6111e-008"
"","   6.4516e-10","4.1972e-001","-1.2623e-008","1.2079e+000","1.0337e-002","4.1972e-001","-7.9849e-009"
"","   6.6471e-10","4.1972e-001","-1.3371e-008","1.2432e+000","1.0556e-002","4.1972e-001","-2.2795e-008"
"","   6.8426e-10","4.1972e-001","-9.9136e-009","1.2753e+000","1.0750e-002","4.1972e-001","-6.1065e-009"
"","   7.0381e-10","4.1972e-001","-1.3019e-008","1.3029e+000","1.0820e-002","4.1972e-001","-1.4642e-008"
