"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 03:21:09 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_A7_FBDIMM - 400MHz"
"Probe 1: U26+.AA2 (EBD-J15) (at pin)"
"Probe 2: U15.AC7 (at pin)"
"Probe 3: U6+.AA2 (EBD-J15) (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"Probe 9: disabled"
"Probe 10: disabled"
"Probe 11: disabled"
"Probe 12: disabled"
"Probe 13: disabled"
"Probe 14: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","4.1895e-001",DC,"4.0816e-001",DC,"4.1895e-001",DC
"","   0.1955e-10","4.1895e-001","-4.0511e-009","4.0816e-001","-9.5568e-003","4.1895e-001","-4.0511e-009"
"","   0.3910e-10","4.1895e-001","-5.6038e-009","4.0816e-001","-9.5593e-003","4.1895e-001","-5.6038e-009"
"","   0.5865e-10","4.1895e-001","-6.9413e-009","4.0816e-001","-9.5612e-003","4.1895e-001","-6.9413e-009"
"","   0.7820e-10","4.1895e-001","-7.5899e-009","4.0816e-001","-9.5533e-003","4.1895e-001","-7.5020e-009"
"","   0.9775e-10","4.1895e-001","-8.5960e-009","4.1023e-001","-9.5240e-003","4.1895e-001","-7.3284e-009"
"","   1.1730e-10","4.1895e-001","-9.4463e-009","4.1071e-001","-9.4553e-003","4.1895e-001","-8.3562e-009"
"","   1.3685e-10","4.1895e-001","-9.6720e-009","4.1074e-001","-9.3598e-003","4.1895e-001","-9.3403e-009"
"","   1.5640e-10","4.1895e-001","-1.0046e-008","4.1071e-001","-9.1982e-003","4.1895e-001","-9.5437e-009"
"","   1.7595e-10","4.1895e-001","-1.0846e-008","4.1130e-001","-8.9475e-003","4.1895e-001","-1.0132e-008"
"","   1.9550e-10","4.1895e-001","-1.0681e-008","4.1269e-001","-8.7832e-003","4.1895e-001","-1.0179e-008"
"","   2.1505e-10","4.1895e-001","-1.0121e-008","4.1561e-001","-8.3685e-003","4.1895e-001","-1.0330e-008"
"","   2.3460e-10","4.1895e-001","-9.7764e-009","4.2028e-001","-7.8044e-003","4.1895e-001","-1.0210e-008"
"","   2.5415e-10","4.1895e-001","-8.9813e-009","4.2679e-001","-6.9665e-003","4.1895e-001","-9.3940e-009"
"","   2.7370e-10","4.1895e-001","-8.1190e-009","4.3570e-001","-6.0456e-003","4.1895e-001","-8.3548e-009"
"","   2.9326e-10","4.1895e-001","-7.6925e-009","4.4557e-001","-4.9781e-003","4.1895e-001","-7.8549e-009"
"","   3.1281e-10","4.1895e-001","-8.5222e-009","4.6451e-001","-3.8671e-003","4.1895e-001","-9.3295e-009"
