"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 03:22:52 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_BA2_FBDIMM - 400MHz"
"Probe 1: U26+.E1 (EBD-J15) (at pin)"
"Probe 2: U15.AB7 (at pin)"
"Probe 3: U6+.E1 (EBD-J15) (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"Probe 9: disabled"
"Probe 10: disabled"
"Probe 11: disabled"
"Probe 12: disabled"
"Probe 13: disabled"
"Probe 14: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","4.1889e-001",DC,"4.0816e-001",DC,"4.1889e-001",DC
"","   0.1955e-10","4.1889e-001","-4.0505e-009","4.0816e-001","-9.5574e-003","4.1889e-001","-4.0505e-009"
"","   0.3910e-10","4.1889e-001","-5.6030e-009","4.0816e-001","-9.5599e-003","4.1889e-001","-5.6029e-009"
"","   0.5865e-10","4.1889e-001","-6.9404e-009","4.0816e-001","-9.5618e-003","4.1889e-001","-6.9404e-009"
"","   0.7820e-10","4.1889e-001","-7.5010e-009","4.0816e-001","-9.5538e-003","4.1889e-001","-8.1437e-009"
"","   0.9775e-10","4.1889e-001","-7.6551e-009","4.1023e-001","-9.5246e-003","4.1889e-001","-7.9761e-009"
"","   1.1730e-10","4.1889e-001","-8.9518e-009","4.1071e-001","-9.4558e-003","4.1889e-001","-7.5682e-009"
"","   1.3685e-10","4.1889e-001","-1.0437e-008","4.1074e-001","-9.3603e-003","4.1889e-001","-8.8074e-009"
"","   1.5640e-10","4.1889e-001","-1.0458e-008","4.1071e-001","-9.1987e-003","4.1889e-001","-9.7226e-009"
"","   1.7595e-10","4.1889e-001","-9.5738e-009","4.1130e-001","-8.9480e-003","4.1889e-001","-9.4310e-009"
"","   1.9550e-10","4.1889e-001","-9.5212e-009","4.1270e-001","-8.7837e-003","4.1889e-001","-8.8960e-009"
"","   2.1505e-10","4.1889e-001","-9.1744e-009","4.1561e-001","-8.3689e-003","4.1889e-001","-9.2548e-009"
"","   2.3460e-10","4.1889e-001","-8.1033e-009","4.2028e-001","-7.8048e-003","4.1889e-001","-9.0309e-009"
"","   2.5415e-10","4.1889e-001","-7.0112e-009","4.2680e-001","-6.9670e-003","4.1889e-001","-8.1028e-009"
"","   2.7370e-10","4.1889e-001","-6.5669e-009","4.3571e-001","-6.0460e-003","4.1889e-001","-8.3590e-009"
"","   2.9326e-10","4.1889e-001","-8.0409e-009","4.4558e-001","-4.9786e-003","4.1889e-001","-9.1432e-009"
"","   3.1281e-10","4.1889e-001","-8.7122e-009","4.6452e-001","-3.8675e-003","4.1889e-001","-1.0264e-008"
"","   3.3236e-10","4.1889e-001","-9.3271e-009","4.9048e-001","-2.7592e-003","4.1889e-001","-8.7630e-009"
"","   3.5191e-10","4.1889e-001","-9.2727e-009","5.2382e-001","-1.6607e-003","4.1889e-001","-3.9317e-008"
"","   3.7146e-10","4.1889e-001","-4.0447e-008","5.6406e-001","-5.6248e-004","4.1889e-001","-3.7657e-008"
"","   3.9101e-10","4.1889e-001","-3.8651e-008","6.0808e-001","7.1443e-004","4.1889e-001","-3.7713e-008"
"","   4.1056e-10","4.1889e-001","-3.8651e-008","6.5469e-001","1.8661e-003","4.1889e-001","-1.3980e-008"
"","   4.3011e-10","4.1889e-001","-1.4046e-008","7.0160e-001","3.0114e-003","4.1889e-001","-4.4617e-008"
"","   4.4966e-10","4.1889e-001","-5.7566e-008","7.4855e-001","4.0731e-003","4.1889e-001","-4.1034e-008"
"","   4.6921e-10","4.1889e-001","-5.1875e-008","7.9748e-001","4.9707e-003","4.1889e-001","-4.1926e-008"
"","   4.8876e-10","4.1889e-001","-3.8694e-008","8.4829e-001","5.8355e-003","4.1889e-001","-1.3086e-008"
"","   5.0831e-10","4.1889e-001","-1.7333e-009","8.9874e-001","6.6478e-003","4.1889e-001","-2.5254e-008"
"","   5.2786e-10","4.1889e-001","-5.0754e-009","9.4785e-001","7.4513e-003","4.1889e-001","-1.3879e-008"
"","   5.4741e-10","4.1889e-001","-6.6886e-009","9.9560e-001","8.1738e-003","4.1889e-001","-2.6687e-009"
"","   5.6696e-10","4.1889e-001","-1.9783e-009","1.0401e+000","8.8740e-003","4.1889e-001","9.2321e-009"
"","   5.8651e-10","4.1889e-001","2.0260e-009","1.0836e+000","9.3721e-003","4.1889e-001","-1.5617e-009"
"","   6.0606e-10","4.1889e-001","1.3591e-008","1.1272e+000","9.8068e-003","4.1889e-001","-2.6365e-009"
"","   6.2561e-10","4.1889e-001","1.8313e-008","1.1691e+000","1.0121e-002","4.1889e-001","2.0225e-008"
"","   6.4516e-10","4.1889e-001","7.9842e-009","1.2080e+000","1.0335e-002","4.1889e-001","3.1491e-008"
"","   6.6471e-10","4.1889e-001","-4.9103e-009","1.2433e+000","1.0553e-002","4.1889e-001","1.7638e-008"
"","   6.8426e-10","4.1889e-001","2.9307e-009","1.2754e+000","1.0747e-002","4.1889e-001","-3.2658e-009"
"","   7.0381e-10","4.1889e-001","1.1711e-008","1.3030e+000","1.0817e-002","4.1889e-001","5.0959e-009"
"","   7.2336e-10","4.1889e-001","5.6904e-009","1.3255e+000","1.0812e-002","4.1889e-001","1.7075e-008"
"","   7.4291e-10","4.1889e-001","-4.4778e-009","1.3457e+000","1.0790e-002","4.1889e-001","7.5217e-009"
"","   7.6246e-10","4.1889e-001","-9.2791e-010","1.3636e+000","1.0739e-002","4.1889e-001","-7.3063e-009"
"","   7.8201e-10","4.1889e-001","5.4681e-009","1.3794e+000","1.0664e-002","4.1889e-001","-5.7093e-009"
"","   8.0156e-10","4.1889e-001","-3.8114e-010","1.3912e+000","1.0579e-002","4.1889e-001","-4.4525e-010"
"","   8.2111e-10","4.1889e-001","-1.4279e-008","1.4006e+000","1.0551e-002","4.1889e-001","-2.5417e-009"
"","   8.4066e-10","4.1889e-001","-1.1906e-008","1.4077e+000","1.0510e-002","4.1889e-001","-7.4728e-009"
"","   8.6022e-10","4.1889e-001","-1.8064e-009","1.4142e+000","1.0491e-002","4.1889e-001","-5.7370e-009"
"","   8.7977e-10","4.1889e-001","-5.9675e-010","1.4192e+000","1.0408e-002","4.1889e-001","2.6639e-010"
"","   8.9932e-10","4.1889e-001","-8.0430e-009","1.4231e+000","1.0379e-002","4.1889e-001","1.3238e-010"
"","   9.1887e-10","4.1889e-001","-4.1331e-009","1.4274e+000","1.0371e-002","4.1889e-001","-4.1910e-009"
"","   9.3842e-10","4.1889e-001","8.6063e-009","1.4310e+000","1.0387e-002","4.1889e-001","-7.1425e-009"
"","   9.5797e-10","4.1889e-001","6.8411e-009","1.4337e+000","1.0364e-002","4.1889e-001","-7.6904e-009"
"","   9.7752e-10","4.1889e-001","5.3263e-010","1.4359e+000","1.0370e-002","4.1889e-001","-5.5377e-009"
"","   9.9707e-10","4.1889e-001","5.8866e-010","1.4386e+000","1.0401e-002","4.1889e-001","-3.7137e-009"
"","  10.1662e-10","4.1889e-001","1.5766e-009","1.4412e+000","1.0394e-002","4.1889e-001","-3.7606e-009"
"","  10.3617e-10","4.1889e-001","-1.4284e-009","1.4435e+000","1.0389e-002","4.1889e-001","-4.4726e-009"
"","  10.5572e-10","4.1889e-001","-5.6784e-009","1.4454e+000","1.0384e-002","4.1889e-001","-2.5938e-009"
"","  10.7527e-10","4.1889e-001","-4.0318e-009","1.4475e+000","1.0400e-002","4.1889e-001","-8.3378e-010"
"","  10.9482e-10","4.1889e-001","-2.1452e-009","1.4495e+000","1.0383e-002","4.1889e-001","-6.1465e-009"
"","  11.1437e-10","4.1889e-001","-3.4620e-009","1.4510e+000","1.0365e-002","4.1911e-001","-1.1750e-008"
"","  11.3392e-10","4.1910e-001","-3.2737e-010","1.4520e+000","1.0333e-002","4.1941e-001","-5.2189e-009"
"","  11.5347e-10","4.1940e-001","6.6746e-009","1.4533e+000","1.0325e-002","4.1957e-001","-2.9925e-006"
"","  11.7302e-10","4.1956e-001","-2.8155e-006","1.4546e+000","1.0313e-002","4.1965e-001","-7.4045e-006"
"","  11.9257e-10","4.1965e-001","-7.3248e-006","1.4551e+000","1.0285e-002","4.1974e-001","-9.4352e-006"
"","  12.1212e-10","4.1980e-001","-9.3975e-006","1.4551e+000","1.0261e-002","4.1999e-001","-1.0146e-005"
"","  12.3167e-10","4.2019e-001","-1.0134e-005","1.4553e+000","1.0257e-002","4.2052e-001","-1.3064e-005"
"","  12.5122e-10","4.2074e-001","-1.3803e-005","1.4557e+000","1.0233e-002","4.2147e-001","-2.0282e-005"
"","  12.7077e-10","4.2156e-001","-2.3238e-005","1.4558e+000","1.0178e-002","4.2287e-001","-2.8571e-005"
"","  12.9032e-10","4.2282e-001","-3.1618e-005","1.4559e+000","1.0168e-002","4.2480e-001","-4.1024e-005"
"","  13.0987e-10","4.2454e-001","-4.2097e-005","1.4560e+000","1.0176e-002","4.2723e-001","-6.1056e-005"
"","  13.2942e-10","4.2711e-001","-6.0592e-005","1.4563e+000","1.0176e-002","4.3091e-001","-9.2173e-005"
"","  13.4897e-10","4.3120e-001","-9.0665e-005","1.4558e+000","1.0167e-002","4.3668e-001","-1.2947e-004"
"","  13.6852e-10","4.3739e-001","-1.2995e-004","1.4552e+000","1.0144e-002","4.4498e-001","-1.8558e-004"
