"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 03:31:30 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_CAS_N - FBDIMM - 400MHz - FPGA Driving"
"Probe 2: U26+.B1 (EBD-J15) (at pin)"
"Probe 4: U15.AD4 (at pin)"
"Probe 6: U6+.B1 (EBD-J15) (at pin)"
"Probe 8: disabled"
"Probe 10: disabled"
"Probe 11: disabled"
"Probe 12: disabled"
"Probe 15: disabled"
"Probe 16: disabled"
"Probe 20: disabled"
"","Time","Probe V 2","Probe I 2","Probe V 4","Probe I 4","Probe V 6","Probe I 6"
"","   0.0000e-10","4.1888e-001",DC,"4.0816e-001",DC,"4.1888e-001",DC
"","   0.1955e-10","4.1888e-001","-4.0505e-009","4.0816e-001","-9.5575e-003","4.1888e-001","-4.0505e-009"
"","   0.3910e-10","4.1888e-001","-5.6029e-009","4.0816e-001","-9.5600e-003","4.1888e-001","-5.6029e-009"
"","   0.5865e-10","4.1888e-001","-6.9403e-009","4.0816e-001","-9.5619e-003","4.1888e-001","-6.6719e-009"
"","   0.7820e-10","4.1888e-001","-7.5009e-009","4.0816e-001","-9.5539e-003","4.1888e-001","-6.1768e-009"
"","   0.9775e-10","4.1888e-001","-7.8272e-009","4.1040e-001","-9.5246e-003","4.1888e-001","-6.0611e-009"
"","   1.1730e-10","4.1888e-001","-9.5531e-009","4.1078e-001","-9.4559e-003","4.1888e-001","-7.9707e-009"
"","   1.3685e-10","4.1888e-001","-1.0437e-008","4.1076e-001","-9.3604e-003","4.1888e-001","-9.1100e-009"
"","   1.5640e-10","4.1888e-001","-9.5187e-009","4.1071e-001","-9.1988e-003","4.1888e-001","-8.9052e-009"
"","   1.7595e-10","4.1888e-001","-8.3585e-009","4.1137e-001","-8.9576e-003","4.1888e-001","-8.5086e-009"
"","   1.9550e-10","4.1888e-001","-8.4281e-009","4.1286e-001","-8.7886e-003","4.1888e-001","-8.8418e-009"
"","   2.1505e-10","4.1888e-001","-8.1767e-009","4.1591e-001","-8.3695e-003","4.1888e-001","-8.3802e-009"
"","   2.3460e-10","4.1888e-001","-7.1231e-009","4.2079e-001","-7.8041e-003","4.1888e-001","-1.0361e-008"
"","   2.5415e-10","4.1888e-001","-6.8409e-009","4.2748e-001","-6.9680e-003","4.1888e-001","-1.0801e-008"
"","   2.7370e-10","4.1888e-001","-9.7583e-009","4.3646e-001","-6.0505e-003","4.1888e-001","-3.5931e-008"
"","   2.9326e-10","4.1888e-001","-8.7411e-009","4.4663e-001","-4.9906e-003","4.1888e-001","-3.2302e-008"
"","   3.1281e-10","4.1888e-001","-3.1310e-008","4.6650e-001","-3.8864e-003","4.1888e-001","-2.6977e-008"
"","   3.3236e-10","4.1888e-001","-3.4314e-008","4.9331e-001","-2.7882e-003","4.1888e-001","-7.5379e-009"
"","   3.5191e-10","4.1888e-001","-3.7875e-008","5.2731e-001","-1.7031e-003","4.1888e-001","-1.6260e-008"
"","   3.7146e-10","4.1888e-001","-1.8625e-008","5.6824e-001","-6.0027e-004","4.1888e-001","-1.9567e-008"
"","   3.9101e-10","4.1888e-001","-2.1209e-008","6.1257e-001","6.4127e-004","4.1888e-001","-2.2863e-008"
"","   4.1056e-10","4.1888e-001","-1.8773e-008","6.5931e-001","1.7591e-003","4.1888e-001","-1.8291e-008"
"","   4.3011e-10","4.1888e-001","-6.5280e-009","7.0612e-001","2.8631e-003","4.1888e-001","-1.6410e-008"
"","   4.4966e-10","4.1888e-001","6.3885e-009","7.5300e-001","3.8993e-003","4.1888e-001","-7.2095e-009"
"","   4.6921e-10","4.1888e-001","3.5940e-009","8.0207e-001","4.7780e-003","4.1888e-001","-1.2808e-009"
"","   4.8876e-10","4.1888e-001","-7.9670e-009","8.5242e-001","5.6368e-003","4.1888e-001","5.5629e-009"
"","   5.0831e-10","4.1888e-001","-6.9577e-009","9.0229e-001","6.4561e-003","4.1888e-001","8.3100e-009"
"","   5.2786e-10","4.1888e-001","1.5562e-009","9.5081e-001","7.2724e-003","4.1888e-001","6.7955e-009"
"","   5.4741e-10","4.1888e-001","1.4160e-009","9.9803e-001","7.9977e-003","4.1888e-001","5.3305e-009"
"","   5.6696e-10","4.1888e-001","8.0735e-010","1.0423e+000","8.6780e-003","4.1888e-001","9.5417e-009"
"","   5.8651e-10","4.1888e-001","-4.0419e-010","1.0858e+000","9.1867e-003","4.1888e-001","6.9069e-009"
"","   6.0606e-10","4.1888e-001","1.3265e-009","1.1298e+000","9.6339e-003","4.1888e-001","-7.3649e-010"
"","   6.2561e-10","4.1888e-001","5.5218e-010","1.1719e+000","9.9598e-003","4.1888e-001","-2.0319e-010"
"","   6.4516e-10","4.1888e-001","1.2225e-009","1.2106e+000","1.0197e-002","4.1888e-001","9.8085e-009"
"","   6.6471e-10","4.1888e-001","-1.1739e-010","1.2455e+000","1.0422e-002","4.1888e-001","5.5006e-009"
"","   6.8426e-10","4.1888e-001","-5.0281e-009","1.2774e+000","1.0618e-002","4.1888e-001","-3.8459e-009"
"","   7.0381e-10","4.1888e-001","-6.4777e-009","1.3049e+000","1.0685e-002","4.1888e-001","-4.8283e-009"
"","   7.2336e-10","4.1888e-001","-4.8968e-009","1.3272e+000","1.0682e-002","4.1888e-001","2.4756e-010"
"","   7.4291e-10","4.1888e-001","-2.1251e-009","1.3474e+000","1.0669e-002","4.1888e-001","7.1415e-011"
"","   7.6246e-10","4.1888e-001","8.1534e-011","1.3651e+000","1.0639e-002","4.1888e-001","-5.6765e-009"
"","   7.8201e-10","4.1888e-001","-2.0484e-009","1.3805e+000","1.0582e-002","4.1888e-001","-8.7381e-009"
"","   8.0156e-10","4.1888e-001","-5.5035e-009","1.3919e+000","1.0512e-002","4.1888e-001","-8.8357e-009"
"","   8.2111e-10","4.1888e-001","-2.8764e-009","1.4009e+000","1.0498e-002","4.1888e-001","-2.6249e-009"
"","   8.4066e-10","4.1888e-001","1.8617e-009","1.4081e+000","1.0457e-002","4.1888e-001","6.0244e-009"
"","   8.6022e-10","4.1888e-001","3.9552e-009","1.4147e+000","1.0439e-002","4.1888e-001","2.0121e-009"
"","   8.7977e-10","4.1888e-001","2.4681e-009","1.4197e+000","1.0375e-002","4.1888e-001","-7.0229e-009"
"","   8.9932e-10","4.1888e-001","2.6995e-009","1.4238e+000","1.0360e-002","4.1888e-001","-1.1344e-008"
"","   9.1887e-10","4.1888e-001","7.3550e-009","1.4280e+000","1.0364e-002","4.1888e-001","-5.1605e-009"
"","   9.3842e-10","4.1888e-001","5.2619e-009","1.4315e+000","1.0378e-002","4.1888e-001","-2.4494e-009"
"","   9.5797e-10","4.1888e-001","1.5318e-009","1.4341e+000","1.0359e-002","4.1888e-001","-2.5489e-009"
"","   9.7752e-10","4.1888e-001","-4.7316e-009","1.4365e+000","1.0366e-002","4.1888e-001","-4.9927e-009"
"","   9.9707e-10","4.1888e-001","-6.3400e-009","1.4392e+000","1.0389e-002","4.1888e-001","-4.6834e-009"
"","  10.1662e-10","4.1888e-001","-4.0883e-009","1.4418e+000","1.0383e-002","4.1888e-001","-5.8101e-009"
"","  10.3617e-10","4.1888e-001","2.0817e-009","1.4440e+000","1.0379e-002","4.1897e-001","-4.2958e-009"
"","  10.5572e-10","4.1888e-001","2.9998e-009","1.4459e+000","1.0381e-002","4.1939e-001","-5.4400e-009"
"","  10.7527e-10","4.1895e-001","-2.1409e-009","1.4479e+000","1.0392e-002","4.1972e-001","-9.8459e-007"
"","  10.9482e-10","4.1938e-001","-3.6264e-009","1.4496e+000","1.0387e-002","4.1983e-001","-7.3265e-006"
"","  11.1437e-10","4.1973e-001","-7.0104e-007","1.4509e+000","1.0361e-002","4.1987e-001","-1.1877e-005"
"","  11.3392e-10","4.2004e-001","-7.0528e-006","1.4515e+000","1.0332e-002","4.1984e-001","-1.3046e-005"
"","  11.5347e-10","4.2023e-001","-1.1983e-005","1.4523e+000","1.0320e-002","4.2015e-001","-1.3365e-005"
"","  11.7302e-10","4.2025e-001","-1.6024e-005","1.4529e+000","1.0305e-002","4.2122e-001","-1.7973e-005"
"","  11.9257e-10","4.2053e-001","-1.8451e-005","1.4528e+000","1.0293e-002","4.2292e-001","-2.5477e-005"
"","  12.1212e-10","4.2107e-001","-2.3458e-005","1.4516e+000","1.0286e-002","4.2512e-001","-4.0189e-005"
"","  12.3167e-10","4.2246e-001","-3.0485e-005","1.4500e+000","1.0304e-002","4.2790e-001","-6.2430e-005"
"","  12.5122e-10","4.2490e-001","-3.9784e-005","1.4478e+000","1.0307e-002","4.3124e-001","-9.4734e-005"
"","  12.7077e-10","4.2834e-001","-5.9209e-005","1.4455e+000","1.0287e-002","4.3671e-001","-1.3647e-004"
"","  12.9032e-10","4.3281e-001","-9.4992e-005","1.4433e+000","1.0310e-002","4.4494e-001","-1.8972e-004"
