"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 03:18:40 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_CK_0_FBDIMM - 400MHz"
"Probe 1: U15.AG5 (at pin)"
"Probe 2: U15.AF5 (at pin)"
"Probe 3 (Differential): U7+.F1 (EBD-J15) (at pin)/U7+.E1 (EBD-J15) (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"Probe 9: disabled"
"Probe 10: disabled"
"Probe 11: disabled"
"Probe 12: disabled"
"Probe 13: disabled"
"Probe 14: disabled"
"Probe 15: disabled"
"Probe 16: disabled"
"Probe 17: disabled"
"Probe 18: disabled"
"Probe 19: disabled"
"Probe 20: disabled"
"Probe 21: disabled"
"Probe 22: disabled"
"Probe 23: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","9.6164e-001",DC,"8.8244e-001",DC,"-3.4456e-003",DC
"","   0.1955e-10","9.6164e-001","3.1423e-002","8.8244e-001","-3.1387e-002","-3.4326e-003","-7.2523e-006"
"","   0.3910e-10","9.6164e-001","3.1417e-002","8.8244e-001","-3.1402e-002","-3.3982e-003","-6.5145e-006"
"","   0.5865e-10","9.6164e-001","3.1423e-002","8.8244e-001","-3.1414e-002","-3.3537e-003","-5.6348e-006"
"","   0.7820e-10","9.6164e-001","3.1439e-002","8.8244e-001","-3.1407e-002","-3.3066e-003","-4.7294e-006"
"","   0.9775e-10","9.5289e-001","3.1452e-002","8.8726e-001","-3.1326e-002","-3.2696e-003","-3.8729e-006"
"","   1.1731e-10","9.5288e-001","3.1463e-002","8.8985e-001","-3.1168e-002","-3.2474e-003","-2.9193e-006"
"","   1.3686e-10","9.5263e-001","3.1467e-002","8.9019e-001","-3.0946e-002","-3.2295e-003","-1.9216e-006"
"","   1.5641e-10","9.5323e-001","3.1329e-002","8.8994e-001","-3.0564e-002","-3.2127e-003","-9.4167e-007"
"","   1.7596e-10","9.5385e-001","3.1025e-002","8.9061e-001","-2.9771e-002","-3.1967e-003","-4.1542e-008"
"","   1.9551e-10","9.5436e-001","3.1029e-002","8.9331e-001","-2.9552e-002","-3.1835e-003","7.0523e-007"
"","   2.1506e-10","9.5478e-001","3.0621e-002","8.9940e-001","-2.8777e-002","-3.1732e-003","1.2986e-006"
"","   2.3461e-10","9.5261e-001","2.9850e-002","9.0880e-001","-2.7589e-002","-3.1510e-003","1.5828e-006"
"","   2.5416e-10","9.4644e-001","2.8712e-002","9.2296e-001","-2.5937e-002","-3.1357e-003","1.4828e-006"
"","   2.7371e-10","9.3934e-001","2.7381e-002","9.4386e-001","-2.4176e-002","-3.1382e-003","1.1874e-006"
"","   2.9326e-10","9.3103e-001","2.5778e-002","9.6373e-001","-2.2273e-002","-3.1180e-003","8.9099e-007"
"","   3.1281e-10","9.0443e-001","2.4092e-002","9.9752e-001","-2.0534e-002","-3.1333e-003","3.0674e-007"
"","   3.3237e-10","8.6711e-001","2.2420e-002","1.0454e+000","-1.8855e-002","-3.1505e-003","-8.3312e-008"
"","   3.5192e-10","8.1670e-001","2.0765e-002","1.1086e+000","-1.7172e-002","-3.1368e-003","-5.7615e-007"
"","   3.7147e-10","7.5339e-001","1.9022e-002","1.1799e+000","-1.6196e-002","-3.1277e-003","-1.0074e-006"
"","   3.9102e-10","6.8511e-001","1.7317e-002","1.2556e+000","-1.4664e-002","-3.1442e-003","-1.2456e-006"
"","   4.1057e-10","6.1377e-001","1.6026e-002","1.3290e+000","-1.3545e-002","-3.1218e-003","-1.3060e-006"
"","   4.3012e-10","5.4140e-001","1.4927e-002","1.3983e+000","-1.2474e-002","-3.1057e-003","-1.5250e-006"
"","   4.4967e-10","4.6907e-001","1.4010e-002","1.4633e+000","-1.1942e-002","-3.1267e-003","-1.7400e-006"
"","   4.6922e-10","3.9566e-001","1.3548e-002","1.5182e+000","-1.1811e-002","-3.1193e-003","-1.5665e-006"
"","   4.8877e-10","3.3123e-001","1.3239e-002","1.5742e+000","-1.1910e-002","-3.1202e-003","-1.2080e-006"
"","   5.0832e-10","2.6997e-001","1.3032e-002","1.6232e+000","-1.1972e-002","-3.1243e-003","-8.3744e-007"
"","   5.2787e-10","2.2115e-001","1.3012e-002","1.6648e+000","-1.1843e-002","-3.1408e-003","-2.2065e-007"
"","   5.4743e-10","1.8091e-001","1.2954e-002","1.6960e+000","-1.2222e-002","-3.1254e-003","4.1068e-007"
"","   5.6698e-10","1.4909e-001","1.3037e-002","1.7147e+000","-1.2182e-002","-3.1074e-003","8.1111e-007"
"","   5.8653e-10","1.2707e-001","1.3167e-002","1.7290e+000","-1.2642e-002","-3.1214e-003","1.0956e-006"
"","   6.0608e-10","1.0780e-001","1.3397e-002","1.7444e+000","-1.2854e-002","-3.1239e-003","1.2983e-006"
"","   6.2563e-10","9.1289e-002","1.3590e-002","1.7622e+000","-1.3092e-002","-3.1301e-003","1.5869e-006"
"","   6.4518e-10","8.1866e-002","1.3696e-002","1.7705e+000","-1.3435e-002","-3.1727e-003","1.9753e-006"
"","   6.6473e-10","7.3167e-002","1.3828e-002","1.7775e+000","-1.3534e-002","-3.1869e-003","2.5172e-006"
"","   6.8428e-10","6.9785e-002","1.3878e-002","1.7787e+000","-1.3582e-002","-3.2013e-003","2.8823e-006"
"","   7.0383e-10","7.0576e-002","1.3821e-002","1.7809e+000","-1.3560e-002","-3.2093e-003","3.0332e-006"
"","   7.2338e-10","7.4245e-002","1.3788e-002","1.7827e+000","-1.3897e-002","-3.2270e-003","3.2557e-006"
"","   7.4293e-10","7.7908e-002","1.3708e-002","1.7819e+000","-1.3805e-002","-3.2528e-003","3.2203e-006"
"","   7.6249e-10","8.0004e-002","1.3778e-002","1.7816e+000","-1.3922e-002","-3.2749e-003","3.3067e-006"
"","   7.8204e-10","7.9946e-002","1.3634e-002","1.7800e+000","-1.3786e-002","-3.3230e-003","3.3486e-006"
"","   8.0159e-10","7.5519e-002","1.3375e-002","1.7768e+000","-1.3817e-002","-3.3544e-003","3.4698e-006"
"","   8.2114e-10","7.3732e-002","1.3052e-002","1.7698e+000","-1.3846e-002","-3.3801e-003","3.5592e-006"
"","   8.4069e-10","7.3017e-002","1.2850e-002","1.7649e+000","-1.3816e-002","-3.4107e-003","3.7486e-006"
"","   8.6024e-10","7.2209e-002","1.2674e-002","1.7627e+000","-1.3699e-002","-3.4142e-003","3.7859e-006"
"","   8.7979e-10","6.5329e-002","1.2564e-002","1.7629e+000","-1.3559e-002","-3.4381e-003","3.6874e-006"
"","   8.9934e-10","5.8276e-002","1.2603e-002","1.7614e+000","-1.3328e-002","-3.4593e-003","3.4007e-006"
"","   9.1889e-10","5.0511e-002","1.2596e-002","1.7621e+000","-1.2966e-002","-3.4853e-003","3.0423e-006"
"","   9.3844e-10","4.4629e-002","1.2581e-002","1.7641e+000","-1.2632e-002","-3.5171e-003","2.6832e-006"
"","   9.5799e-10","4.2888e-002","1.2541e-002","1.7684e+000","-1.2527e-002","-3.5370e-003","2.4871e-006"
"","   9.7754e-10","4.3984e-002","1.2732e-002","1.7727e+000","-1.2666e-002","-3.5566e-003","2.2362e-006"
"","   9.9710e-10","4.7372e-002","1.2928e-002","1.7808e+000","-1.2638e-002","-3.5828e-003","1.9753e-006"
"","  10.1665e-10","5.1581e-002","1.2999e-002","1.7893e+000","-1.2794e-002","-3.5907e-003","1.7593e-006"
