"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 03:37:07 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_CS_N_0 - FBDIMM - 400MHz - FPGA Driving"
"Probe 1: U26+.K1 (EBD-J15) (at pin)"
"Probe 2: U15.AM21 (at pin)"
"Probe 3: U6+.K1 (EBD-J15) (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"Probe 9: disabled"
"Probe 10: disabled"
"Probe 11: disabled"
"Probe 12: disabled"
"Probe 13: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","4.1929e-001",DC,"4.0816e-001",DC,"4.1929e-001",DC
"","   0.1955e-10","4.1929e-001","-4.0544e-009","4.0816e-001","-9.5610e-003","4.1929e-001","-4.0544e-009"
"","   0.3910e-10","4.1929e-001","-5.6083e-009","4.0816e-001","-9.5632e-003","4.1929e-001","-5.6083e-009"
"","   0.5865e-10","4.1929e-001","-6.9470e-009","4.0816e-001","-9.5649e-003","4.1929e-001","-6.9470e-009"
"","   0.7820e-10","4.1929e-001","-7.5082e-009","4.0816e-001","-9.5568e-003","4.1929e-001","-8.1514e-009"
"","   0.9775e-10","4.1929e-001","-7.6624e-009","4.1008e-001","-9.5275e-003","4.1929e-001","-7.9836e-009"
"","   1.1730e-10","4.1929e-001","-8.9603e-009","4.1066e-001","-9.4586e-003","4.1929e-001","-7.5754e-009"
"","   1.3685e-10","4.1929e-001","-1.0447e-008","4.1075e-001","-9.3630e-003","4.1929e-001","-8.8158e-009"
"","   1.5640e-10","4.1929e-001","-1.0468e-008","4.1074e-001","-9.2014e-003","4.1929e-001","-9.7318e-009"
"","   1.7595e-10","4.1929e-001","-9.5829e-009","4.1129e-001","-8.9429e-003","4.1929e-001","-9.4399e-009"
"","   1.9550e-10","4.1929e-001","-9.5302e-009","4.1261e-001","-8.7809e-003","4.1929e-001","-8.9044e-009"
"","   2.1505e-10","4.1929e-001","-9.1831e-009","4.1538e-001","-8.3702e-003","4.1929e-001","-9.2636e-009"
"","   2.3460e-10","4.1929e-001","-8.1110e-009","4.1986e-001","-7.8077e-003","4.1929e-001","-9.0394e-009"
"","   2.5415e-10","4.1929e-001","-7.0179e-009","4.2620e-001","-6.9688e-003","4.1929e-001","-8.1105e-009"
"","   2.7370e-10","4.1929e-001","-6.5732e-009","4.3500e-001","-6.0446e-003","4.1929e-001","-6.9845e-009"
"","   2.9326e-10","4.1929e-001","-6.7343e-009","4.4465e-001","-4.9703e-003","4.1929e-001","-7.7193e-009"
"","   3.1281e-10","4.1929e-001","-7.2978e-009","4.6276e-001","-3.8524e-003","4.1929e-001","-8.3760e-009"
"","   3.3236e-10","4.1929e-001","-7.4257e-009","4.8788e-001","-2.7342e-003","4.1928e-001","-9.7703e-009"
"","   3.5191e-10","4.1928e-001","-1.0260e-008","5.2052e-001","-1.6218e-003","4.1929e-001","-1.0347e-008"
"","   3.7146e-10","4.1929e-001","-1.1018e-008","5.6005e-001","-5.2668e-004","4.1929e-001","5.5302e-008"
"","   3.9101e-10","4.1929e-001","5.4726e-008","6.0370e-001","7.7900e-004","4.1929e-001","4.5489e-009"
"","   4.1056e-10","4.1929e-001","4.3601e-009","6.5013e-001","1.9642e-003","4.1929e-001","-7.6109e-009"
"","   4.3011e-10","4.1929e-001","-8.7219e-009","6.9709e-001","3.1506e-003","4.1929e-001","-9.6629e-009"
"","   4.4966e-10","4.1929e-001","-1.1105e-008","7.4413e-001","4.2402e-003","4.1929e-001","1.8458e-009"
"","   4.6921e-10","4.1929e-001","3.1185e-008","7.9292e-001","5.1596e-003","4.1929e-001","-1.0206e-008"
"","   4.8876e-10","4.1929e-001","-1.3726e-009","8.4403e-001","6.0328e-003","4.1929e-001","5.9588e-009"
"","   5.0831e-10","4.1929e-001","-1.8982e-008","8.9501e-001","6.8411e-003","4.1929e-001","-1.0811e-008"
"","   5.2786e-10","4.1929e-001","-1.5619e-008","9.4475e-001","7.6349e-003","4.1929e-001","1.3372e-008"
"","   5.4741e-10","4.1929e-001","-3.0002e-008","9.9305e-001","8.3502e-003","4.1929e-001","-9.0687e-009"
"","   5.6696e-10","4.1929e-001","-1.5911e-008","1.0379e+000","9.0710e-003","4.1929e-001","-3.5988e-008"
"","   5.8651e-10","4.1929e-001","4.8157e-009","1.0815e+000","9.5633e-003","4.1929e-001","-1.8066e-008"
"","   6.0606e-10","4.1929e-001","-8.4183e-009","1.1248e+000","9.9872e-003","4.1929e-001","-3.7101e-009"
"","   6.2561e-10","4.1929e-001","-1.6751e-008","1.1664e+000","1.0287e-002","4.1929e-001","-1.0879e-008"
"","   6.4516e-10","4.1929e-001","-1.0788e-008","1.2055e+000","1.0476e-002","4.1929e-001","-3.9082e-008"
"","   6.6471e-10","4.1929e-001","-1.8509e-009","1.2412e+000","1.0683e-002","4.1929e-001","-1.9248e-008"
"","   6.8426e-10","4.1929e-001","-4.2218e-009","1.2735e+000","1.0872e-002","4.1929e-001","1.1835e-008"
"","   7.0381e-10","4.1929e-001","-2.6148e-008","1.3012e+000","1.0943e-002","4.1929e-001","1.5385e-009"
"","   7.2336e-10","4.1929e-001","-1.3351e-008","1.3240e+000","1.0936e-002","4.1929e-001","-1.1513e-008"
"","   7.4291e-10","4.1929e-001","-7.3704e-010","1.3441e+000","1.0912e-002","4.1929e-001","-6.9130e-009"
"","   7.6246e-10","4.1929e-001","-1.6172e-009","1.3621e+000","1.0838e-002","4.1929e-001","-3.0742e-010"
"","   7.8201e-10","4.1929e-001","-3.6333e-009","1.3782e+000","1.0744e-002","4.1929e-001","-4.4651e-009"
"","   8.0156e-10","4.1929e-001","-6.1123e-009","1.3904e+000","1.0642e-002","4.1929e-001","-1.4911e-008"
"","   8.2111e-10","4.1929e-001","1.3675e-008","1.4001e+000","1.0600e-002","4.1929e-001","-8.6324e-009"
"","   8.4066e-10","4.1929e-001","7.8793e-009","1.4074e+000","1.0559e-002","4.1929e-001","-2.8232e-011"
"","   8.6022e-10","4.1929e-001","-1.5751e-008","1.4138e+000","1.0540e-002","4.1929e-001","2.6406e-010"
"","   8.7977e-10","4.1929e-001","-1.3236e-008","1.4187e+000","1.0443e-002","4.1929e-001","2.4420e-009"
"","   8.9932e-10","4.1929e-001","-4.8631e-009","1.4225e+000","1.0402e-002","4.1929e-001","5.1924e-009"
"","   9.1887e-10","4.1929e-001","4.2366e-010","1.4267e+000","1.0379e-002","4.1929e-001","7.1029e-009"
"","   9.3842e-10","4.1929e-001","-5.2236e-009","1.4305e+000","1.0392e-002","4.1929e-001","-9.5312e-010"
"","   9.5797e-10","4.1929e-001","-9.3938e-009","1.4334e+000","1.0364e-002","4.1929e-001","-5.9394e-009"
"","   9.7752e-10","4.1929e-001","3.3966e-009","1.4355e+000","1.0370e-002","4.1929e-001","-7.3273e-009"
"","   9.9707e-10","4.1929e-001","5.2010e-009","1.4381e+000","1.0409e-002","4.1929e-001","-8.4176e-009"
"","  10.1662e-10","4.1929e-001","-2.7124e-009","1.4404e+000","1.0404e-002","4.1929e-001","-1.4996e-008"
"","  10.3617e-10","4.1929e-001","-8.5972e-009","1.4428e+000","1.0399e-002","4.1929e-001","2.2460e-009"
"","  10.5572e-10","4.1929e-001","-5.1722e-009","1.4448e+000","1.0383e-002","4.1929e-001","5.1407e-009"
"","  10.7527e-10","4.1929e-001","-1.0979e-008","1.4469e+000","1.0403e-002","4.1929e-001","-1.7400e-009"
"","  10.9482e-10","4.1929e-001","-8.5712e-009","1.4491e+000","1.0385e-002","4.1929e-001","-4.6960e-010"
"","  11.1437e-10","4.1929e-001","-8.9880e-009","1.4508e+000","1.0377e-002","4.1929e-001","-2.0873e-009"
"","  11.3392e-10","4.1929e-001","-1.4835e-009","1.4518e+000","1.0341e-002","4.1929e-001","-3.7081e-009"
"","  11.5347e-10","4.1929e-001","-4.2621e-009","1.4530e+000","1.0332e-002","4.1948e-001","-6.0371e-009"
"","  11.7302e-10","4.1947e-001","-4.0064e-009","1.4544e+000","1.0326e-002","4.1997e-001","-1.3096e-008"
"","  11.9257e-10","4.1996e-001","1.3008e-008","1.4550e+000","1.0291e-002","4.2026e-001","-2.5628e-006"
"","  12.1212e-10","4.2025e-001","-2.3859e-006","1.4552e+000","1.0262e-002","4.2036e-001","-9.6922e-006"
"","  12.3167e-10","4.2036e-001","-9.5658e-006","1.4554e+000","1.0258e-002","4.2032e-001","-1.3671e-005"
"","  12.5122e-10","4.2039e-001","-1.3621e-005","1.4558e+000","1.0239e-002","4.2023e-001","-1.4512e-005"
"","  12.7077e-10","4.2051e-001","-1.4509e-005","1.4560e+000","1.0178e-002","4.2070e-001","-1.5140e-005"
"","  12.9032e-10","4.2105e-001","-1.5828e-005","1.4560e+000","1.0168e-002","4.2194e-001","-1.9400e-005"
"","  13.0987e-10","4.2211e-001","-2.3266e-005","1.4560e+000","1.0172e-002","4.2393e-001","-2.8283e-005"
"","  13.2942e-10","4.2386e-001","-3.3277e-005","1.4563e+000","1.0173e-002","4.2670e-001","-4.5079e-005"
"","  13.4897e-10","4.2614e-001","-4.7123e-005","1.4559e+000","1.0165e-002","4.2983e-001","-7.1402e-005"
"","  13.6852e-10","4.2927e-001","-7.0529e-005","1.4553e+000","1.0139e-002","4.3364e-001","-1.1124e-004"
"","  13.8807e-10","4.3385e-001","-1.0583e-004","1.4554e+000","1.0085e-002","4.3982e-001","-1.5852e-004"
"","  14.0762e-10","4.4087e-001","-1.5401e-004","1.4560e+000","9.9971e-003","4.4903e-001","-2.1884e-004"
"","  14.2717e-10","4.5083e-001","-2.2307e-004","1.4565e+000","9.8664e-003","4.6125e-001","-3.1851e-004"
"","  14.4673e-10","4.6335e-001","-3.3258e-004","1.4568e+000","9.5607e-003","4.7613e-001","-4.6910e-004"
"","  14.6628e-10","4.7821e-001","-4.8929e-004","1.4561e+000","9.1609e-003","4.9173e-001","-6.6180e-004"
"","  14.8583e-10","4.9424e-001","-6.8618e-004","1.4544e+000","8.5662e-003","5.0710e-001","-8.9195e-004"
"","  15.0538e-10","5.1063e-001","-9.2290e-004","1.4511e+000","7.7305e-003","5.2207e-001","-1.1536e-003"
"","  15.2493e-10","5.2700e-001","-1.1976e-003","1.4456e+000","6.7629e-003","5.3677e-001","-1.4388e-003"
"","  15.4448e-10","5.4312e-001","-1.5005e-003","1.4340e+000","5.6623e-003","5.5254e-001","-1.7349e-003"
"","  15.6403e-10","5.5855e-001","-1.8167e-003","1.4159e+000","4.3755e-003","5.6968e-001","-2.0346e-003"
"","  15.8358e-10","5.7310e-001","-2.1381e-003","1.3914e+000","2.9685e-003","5.8736e-001","-2.3509e-003"
"","  16.0313e-10","5.8742e-001","-2.4548e-003","1.3576e+000","1.5083e-003","6.0496e-001","-2.6788e-003"
"","  16.2268e-10","6.0162e-001","-2.7536e-003","1.3175e+000","-5.7436e-005","6.2118e-001","-2.9934e-003"
"","  16.4223e-10","6.1620e-001","-3.0293e-003","1.2723e+000","-1.5344e-003","6.3590e-001","-3.2771e-003"
"","  16.6178e-10","6.3161e-001","-3.2761e-003","1.2189e+000","-2.8918e-003","6.5021e-001","-3.5236e-003"
"","  16.8133e-10","6.4849e-001","-3.4936e-003","1.1609e+000","-4.3147e-003","6.6524e-001","-3.7288e-003"
"","  17.0088e-10","6.6738e-001","-3.6789e-003","1.1000e+000","-5.5704e-003","6.8156e-001","-3.8878e-003"
"","  17.2043e-10","6.8681e-001","-3.8378e-003","1.0381e+000","-6.6247e-003","6.9937e-001","-4.0033e-003"
"","  17.3998e-10","7.0648e-001","-3.9761e-003","9.7710e-001","-7.6607e-003","7.1795e-001","-4.0815e-003"
"","  17.5953e-10","7.2600e-001","-4.0754e-003","9.1840e-001","-8.4654e-003","7.3710e-001","-4.1260e-003"
"","  17.7908e-10","7.4578e-001","-4.1308e-003","8.5999e-001","-9.0670e-003","7.5633e-001","-4.1261e-003"
"","  17.9863e-10","7.6608e-001","-4.1459e-003","8.0432e-001","-9.5735e-003","7.7550e-001","-4.0851e-003"
