"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 03:28:18 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_DM5 - FBDIMM - 400MHz - DDR U34.B7 Driving"
"Probe 1 (Differential): U34.B7 (EBD-J15) (at pin)/U34.A8 (EBD-J15) (at pin)"
"Probe 2: disabled"
"Probe 3: disabled"
"Probe 4 (Differential): U19.B7 (EBD-J15) (at pin)/U19.A8 (EBD-J15) (at pin)"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: U15.AA8 (at pin)"
"Probe 8: disabled"
"Probe 9: disabled"
"Probe 10: disabled"
"Probe 11: disabled"
"Probe 12: disabled"
"Probe 13: disabled"
"Probe 14: disabled"
"Probe 15: disabled"
"Probe 16: disabled"
"Probe 17: disabled"
"Probe 18: disabled"
"Probe 19: disabled"
"Probe 20: disabled"
"Probe 21: disabled"
"Probe 22: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 4","Probe I 4","Probe V 7","Probe I 7"
"","   0.0000e-10","0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC
"","   0.1955e-10","3.6445e-007","1.1433e-008","0.0000e+000","0.0000e+000","0.0000e+000","8.3842e-009"
"","   0.3910e-10","1.0593e-006","2.4647e-008","0.0000e+000","0.0000e+000","0.0000e+000","1.6044e-008"
"","   0.5865e-10","1.6468e-006","1.3776e-007","0.0000e+000","0.0000e+000","0.0000e+000","2.3042e-008"
"","   0.7820e-10","1.3320e-004","4.5882e-006","0.0000e+000","0.0000e+000","0.0000e+000","2.9435e-008"
"","   0.9775e-10","4.2701e-004","9.6664e-006","0.0000e+000","0.0000e+000","5.2279e-008","3.5275e-008"
"","   1.1730e-10","6.2890e-004","1.2836e-005","0.0000e+000","0.0000e+000","3.0339e-007","4.0611e-008"
"","   1.3685e-10","6.7678e-004","1.2954e-005","4.7711e-007","-2.5052e-009","6.0506e-007","4.5486e-008"
"","   1.5640e-10","5.6231e-004","1.0247e-005","7.7126e-007","-1.4495e-008","9.0020e-007","4.9940e-008"
"","   1.7595e-10","3.8758e-004","6.9938e-006","8.0368e-007","-2.8267e-008","1.1752e-006","5.4512e-008"
"","   1.9551e-10","2.4603e-004","4.4178e-006","1.8428e-004","-7.5909e-007","1.4279e-006","6.5055e-008"
"","   2.1506e-10","4.2101e-005","3.0847e-006","3.1155e-004","-5.9139e-006","1.6593e-006","6.6934e-008"
"","   2.3461e-10","-9.1934e-005","4.9677e-006","2.8447e-004","-1.1027e-005","1.8708e-006","6.6793e-008"
"","   2.5416e-10","-1.1087e-004","7.3504e-006","1.7771e-004","-1.3351e-005","2.0642e-006","6.6376e-008"
"","   2.7371e-10","-6.0842e-005","8.5057e-006","5.4939e-005","-1.1969e-005","2.2815e-006","6.6112e-008"
"","   2.9326e-10","1.4616e-005","7.8180e-006","1.4199e-005","-7.4507e-006","2.5141e-006","6.6079e-008"
"","   3.1281e-10","8.2547e-005","5.2248e-006","1.3766e-004","-2.9727e-006","2.6453e-006","6.6268e-008"
"","   3.3236e-10","-4.0206e-005","2.9005e-006","2.2079e-004","-3.4914e-007","2.7208e-006","6.6647e-008"
"","   3.5191e-10","-1.2239e-004","3.0329e-006","3.3052e-004","5.7025e-007","2.7786e-006","6.8094e-008"
"","   3.7146e-10","-1.7123e-004","4.5141e-006","3.6426e-004","-3.2934e-008","2.8344e-006","6.9462e-008"
"","   3.9101e-10","-1.3804e-004","5.9540e-006","3.1535e-004","-5.5027e-007","2.8935e-006","6.6759e-008"
