"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 01:37:15 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_DQ0 - 400MHz - DDR2FPGA"
"Probe 1: U19.L1 (EBD-J15) (at pin)"
"Probe 2: U15.AL30 (at pin)"
"Probe 3: U1.L9 (EBD-J15) (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6: DQ0.1 (EBD-J15) (at pin)"
"Probe 7: disabled"
"Probe 8: disabled"
"Probe 9: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 6","Probe I 6"
"","   0.0000e-11","0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC
"","   0.9775e-11","0.0000e+000","0.0000e+000","0.0000e+000","4.2868e-009","0.0000e+000","1.4348e-006","0.0000e+000","0.0000e+000"
"","   1.9550e-11","0.0000e+000","0.0000e+000","0.0000e+000","8.3841e-009","3.9691e-006","2.9653e-006","0.0000e+000","0.0000e+000"
"","   2.9326e-11","0.0000e+000","0.0000e+000","0.0000e+000","1.2300e-008","1.0186e-004","4.5682e-006","0.0000e+000","0.0000e+000"
"","   3.9101e-11","0.0000e+000","0.0000e+000","0.0000e+000","1.6044e-008","2.0608e-004","6.3125e-006","0.0000e+000","0.0000e+000"
"","   4.8876e-11","0.0000e+000","0.0000e+000","0.0000e+000","1.9622e-008","3.1516e-004","9.0350e-006","0.0000e+000","0.0000e+000"
"","   5.8651e-11","0.0000e+000","0.0000e+000","0.0000e+000","2.3042e-008","4.3238e-004","1.1832e-005","0.0000e+000","0.0000e+000"
"","   6.8426e-11","0.0000e+000","0.0000e+000","0.0000e+000","2.6310e-008","5.8224e-004","1.3611e-005","0.0000e+000","0.0000e+000"
"","   7.8202e-11","0.0000e+000","0.0000e+000","0.0000e+000","2.9435e-008","7.3488e-004","1.2482e-005","0.0000e+000","0.0000e+000"
"","   8.7977e-11","7.2846e-005","0.0000e+000","8.8484e-011","3.2421e-008","8.0770e-004","1.1890e-005","3.8632e-005","-3.8632e-014"
"","   9.7752e-11","1.7230e-004","-6.4038e-008","5.8479e-008","3.5275e-008","6.8567e-004","1.1785e-005","1.1015e-004","-1.1015e-013"
"","  10.7527e-11","2.7680e-004","-1.6794e-006","1.8006e-007","3.8003e-008","5.4982e-004","1.1098e-005","1.8556e-004","-1.8556e-013"
"","  11.7302e-11","3.7323e-004","-3.4345e-006","3.2684e-007","4.0611e-008","4.4718e-004","8.7611e-006","2.6399e-004","-2.6399e-013"
"","  12.7077e-11","4.4638e-004","-5.2205e-006","4.8135e-007","4.3104e-008","3.3135e-004","7.8877e-006","3.6683e-004","-3.6683e-013"
"","  13.6853e-11","5.2517e-004","-7.3333e-006","6.3564e-007","4.5486e-008","1.7220e-004","7.4640e-006","4.9208e-004","-4.9208e-013"
