"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 01:36:01 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_DQ0 - 400MHz - FPGA2DDR"
"Probe 1: U19.L1 (EBD-J15) (at pin)"
"Probe 2: U15.AL30 (at pin)"
"Probe 3: U1.L9 (EBD-J15) (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6: DQ0.1 (EBD-J15) (at pin)"
"Probe 7: disabled"
"Probe 8: disabled"
"Probe 9: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 6","Probe I 6"
"","   0.0000e-11","0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC
"","   0.9775e-11","0.0000e+000","0.0000e+000","0.0000e+000","4.1650e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   1.9550e-11","0.0000e+000","0.0000e+000","0.0000e+000","7.9260e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   2.9326e-11","0.0000e+000","0.0000e+000","0.0000e+000","1.1322e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   3.9101e-11","0.0000e+000","0.0000e+000","0.0000e+000","1.4389e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   4.8876e-11","0.0000e+000","0.0000e+000","0.0000e+000","1.7159e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   5.8651e-11","0.0000e+000","0.0000e+000","0.0000e+000","1.9663e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   6.8426e-11","0.0000e+000","0.0000e+000","0.0000e+000","2.1944e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   7.8202e-11","0.0000e+000","0.0000e+000","0.0000e+000","2.4010e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   8.7977e-11","0.0000e+000","0.0000e+000","8.8351e-011","2.5885e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   9.7752e-11","0.0000e+000","0.0000e+000","5.7245e-008","2.7625e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  10.7527e-11","0.0000e+000","0.0000e+000","1.7253e-007","2.9219e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  11.7302e-11","0.0000e+000","0.0000e+000","3.0623e-007","3.0673e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  12.7077e-11","0.0000e+000","0.0000e+000","4.4072e-007","3.2032e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  13.6853e-11","0.0000e+000","0.0000e+000","5.6857e-007","3.3291e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
