"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 01:24:17 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_DQ38 - 400MHz - DDR2FPGA"
"Probe 1: U15.AP14 (at pin)"
"Probe 2: U14.J9 (EBD-J15) (at pin)"
"Probe 3: U6.J1 (EBD-J15) (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC
"","   0.9777e-11","0.0000e+000","4.2857e-009","0.0000e+000","0.0000e+000","0.0000e+000","1.3778e-006"
"","   1.9554e-11","0.0000e+000","8.3851e-009","0.0000e+000","0.0000e+000","0.0000e+000","2.8551e-006"
"","   2.9331e-11","0.0000e+000","1.2301e-008","0.0000e+000","0.0000e+000","6.5829e-005","4.3937e-006"
"","   3.9108e-11","0.0000e+000","1.6046e-008","0.0000e+000","0.0000e+000","1.6680e-004","5.9793e-006"
"","   4.8885e-11","0.0000e+000","1.9624e-008","0.0000e+000","0.0000e+000","2.7234e-004","8.0071e-006"
"","   5.8663e-11","0.0000e+000","2.3045e-008","0.0000e+000","0.0000e+000","3.8138e-004","1.0739e-005"
"","   6.8440e-11","0.0000e+000","2.6313e-008","0.0000e+000","0.0000e+000","4.9629e-004","1.2148e-005"
"","   7.8217e-11","0.0000e+000","2.9438e-008","0.0000e+000","0.0000e+000","6.4659e-004","1.1049e-005"
"","   8.7994e-11","1.8513e-008","3.2425e-008","5.7391e-005","0.0000e+000","7.5834e-004","1.0326e-005"
"","   9.7771e-11","2.2151e-007","3.5280e-008","1.5478e-004","0.0000e+000","6.6640e-004","1.0359e-005"
"","  10.7548e-11","4.1556e-007","3.8008e-008","2.5663e-004","-1.0136e-006","5.3480e-004","1.0717e-005"
"","  11.7325e-11","6.0105e-007","4.0616e-008","3.6198e-004","-2.7261e-006","4.2871e-004","9.3159e-006"
"","  12.7102e-11","7.7839e-007","4.3109e-008","4.3126e-004","-4.4652e-006","3.5197e-004","7.5966e-006"
"","  13.6879e-11","9.4787e-007","4.5491e-008","5.0854e-004","-6.2125e-006","2.4808e-004","6.9203e-006"
"","  14.6656e-11","1.1099e-006","4.7769e-008","5.5830e-004","-8.2066e-006","1.1556e-004","6.8115e-006"
"","  15.6434e-11","1.2648e-006","4.9945e-008","4.1375e-004","-1.0943e-005","3.0047e-005","6.8051e-006"
"","  16.6211e-11","1.4129e-006","5.2026e-008","2.4765e-004","-1.3102e-005","-1.3389e-005","6.1388e-006"
"","  17.5988e-11","1.5544e-006","5.3514e-008","9.6283e-005","-1.1656e-005","4.5678e-005","5.8443e-006"
"","  18.5765e-11","1.6898e-006","5.2746e-008","3.4209e-007","-1.0011e-005","6.3547e-005","5.9330e-006"
"","  19.5542e-11","1.8191e-006","5.2132e-008","3.0222e-005","-9.3466e-006","4.8583e-005","4.8658e-006"
"","  20.5319e-11","1.9429e-006","5.1655e-008","2.7707e-005","-9.0941e-006","3.8202e-005","3.4686e-006"
"","  21.5096e-11","2.0610e-006","5.1309e-008","4.3430e-005","-7.5841e-006","-2.9846e-005","2.8569e-006"
