"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 01:12:51 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_DQ38 - 400MHz - FPGA2DDR"
"Probe 1: U15.AP14 (at pin)"
"Probe 2: U14.J9 (EBD-J15) (at pin)"
"Probe 3: U6.J1 (EBD-J15) (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC
"","   0.9775e-11","0.0000e+000","4.1427e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   1.9551e-11","0.0000e+000","7.9207e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   2.9326e-11","0.0000e+000","1.1304e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   3.9101e-11","0.0000e+000","1.4384e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   4.8876e-11","0.0000e+000","1.7144e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   5.8652e-11","0.0000e+000","1.9662e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   6.8427e-11","0.0000e+000","2.1938e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   7.8202e-11","0.0000e+000","2.4011e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   8.7977e-11","5.6280e-008","2.5893e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   9.7753e-11","2.4925e-007","2.7642e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  10.7528e-11","4.2271e-007","2.9233e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  11.7303e-11","5.8004e-007","3.0697e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  12.7078e-11","7.2158e-007","3.2063e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  13.6854e-11","8.4987e-007","3.3325e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  14.6629e-11","9.6604e-007","3.4493e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  15.6404e-11","1.0719e-006","3.5648e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  16.6179e-11","1.1675e-006","3.6719e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  17.5955e-11","1.2554e-006","3.6280e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  18.5730e-11","1.3365e-006","3.4846e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  19.5505e-11","1.4105e-006","3.3828e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  20.5281e-11","1.4788e-006","3.3138e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","  21.5056e-11","1.5427e-006","3.2662e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
