"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 01:29:12 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_DQ62 - 400MHz - DDR2FPGA"
"Probe 1: U15.W10 (at pin)"
"Probe 2: U11.J9 (EBD-J15) (at pin)"
"Probe 3: U9.J1 (EBD-J15) (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC
"","   0.9777e-11","0.0000e+000","4.2873e-009","0.0000e+000","0.0000e+000","0.0000e+000","1.3667e-006"
"","   1.9553e-11","0.0000e+000","8.3850e-009","0.0000e+000","0.0000e+000","-2.0566e-008","2.8309e-006"
"","   2.9330e-11","0.0000e+000","1.2302e-008","0.0000e+000","0.0000e+000","7.9199e-005","4.3587e-006"
"","   3.9107e-11","0.0000e+000","1.6045e-008","0.0000e+000","0.0000e+000","1.7992e-004","5.9363e-006"
"","   4.8884e-11","0.0000e+000","1.9624e-008","0.0000e+000","0.0000e+000","2.8523e-004","8.2555e-006"
"","   5.8660e-11","0.0000e+000","2.3044e-008","0.0000e+000","0.0000e+000","3.9413e-004","1.0982e-005"
"","   6.8437e-11","0.0000e+000","2.6313e-008","0.0000e+000","0.0000e+000","5.2421e-004","1.2523e-005"
"","   7.8214e-11","0.0000e+000","2.9438e-008","0.0000e+000","0.0000e+000","6.7425e-004","1.1442e-005"
"","   8.7990e-11","1.3687e-009","3.2425e-008","6.4210e-005","0.0000e+000","7.7099e-004","1.0836e-005"
"","   9.7767e-11","1.6356e-007","3.5279e-008","1.6099e-004","0.0000e+000","6.6593e-004","1.0931e-005"
"","  10.7544e-11","3.2445e-007","3.8008e-008","2.6238e-004","-1.2210e-006","5.4087e-004","1.1023e-005"
"","  11.7321e-11","4.1377e-007","4.0616e-008","3.6737e-004","-2.9235e-006","4.4448e-004","9.1028e-006"
"","  12.7097e-11","5.1742e-007","4.3108e-008","4.3600e-004","-4.6544e-006","3.6441e-004","7.5877e-006"
"","  13.6874e-11","6.4833e-007","4.5490e-008","5.1422e-004","-6.3947e-006","2.2775e-004","7.0995e-006"
"","  14.6651e-11","7.8885e-007","4.7768e-008","5.5901e-004","-8.7096e-006","1.0434e-004","7.0214e-006"
"","  15.6427e-11","9.3295e-007","4.9944e-008","4.1023e-004","-1.1440e-005","2.8740e-005","6.5614e-006"
"","  16.6204e-11","1.0730e-006","5.2025e-008","2.4072e-004","-1.3357e-005","-1.3356e-005","5.9200e-006"
"","  17.5981e-11","1.2078e-006","5.4008e-008","9.7754e-005","-1.1697e-005","3.0058e-005","5.9042e-006"
"","  18.5758e-11","1.3363e-006","5.5183e-008","1.5848e-005","-1.0404e-005","3.5357e-005","6.0437e-006"
"","  19.5534e-11","1.4590e-006","5.6275e-008","3.1613e-005","-9.8780e-006","3.5346e-005","4.7202e-006"
"","  20.5311e-11","1.5761e-006","6.0761e-008","2.6399e-005","-9.4583e-006","3.1785e-005","3.4318e-006"
"","  21.5088e-11","1.6879e-006","6.4073e-008","4.2114e-005","-7.2661e-006","-4.0452e-005","3.0591e-006"
