"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 01:33:29 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_DQ71 - 400MHz - DDR2FPGA"
"Probe 1: U15.L9 (EBD-J15) (at pin)"
"Probe 2: U15.AL14 (at pin)"
"Probe 3: U5.L1 (EBD-J15) (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC
"","   0.9777e-11","0.0000e+000","0.0000e+000","0.0000e+000","4.2862e-009","0.0000e+000","1.4140e-006"
"","   1.9553e-11","0.0000e+000","0.0000e+000","0.0000e+000","8.3848e-009","1.8587e-005","2.9279e-006"
"","   2.9330e-11","0.0000e+000","0.0000e+000","0.0000e+000","1.2301e-008","1.1821e-004","4.5060e-006"
"","   3.9106e-11","0.0000e+000","0.0000e+000","0.0000e+000","1.6045e-008","2.2317e-004","6.5504e-006"
"","   4.8883e-11","0.0000e+000","0.0000e+000","0.0000e+000","1.9623e-008","3.3229e-004","9.2835e-006"
"","   5.8659e-11","0.0000e+000","0.0000e+000","0.0000e+000","2.3044e-008","4.6617e-004","1.2078e-005"
"","   6.8436e-11","0.0000e+000","0.0000e+000","0.0000e+000","2.6313e-008","6.1672e-004","1.3606e-005"
"","   7.8212e-11","1.1031e-005","0.0000e+000","0.0000e+000","2.9437e-008","7.6950e-004","1.2751e-005"
"","   8.7989e-11","1.0411e-004","0.0000e+000","6.3861e-009","3.2424e-008","7.8346e-004","1.2323e-005"
"","   9.7766e-11","2.0428e-004","-1.8238e-007","1.8049e-007","3.5278e-008","6.6248e-004","1.2268e-005"
"","  10.7542e-11","3.0849e-004","-1.8924e-006","3.4721e-007","3.8007e-008","5.4115e-004","1.0602e-005"
"","  11.7319e-11","4.2681e-004","-3.6825e-006","5.0649e-007","4.0615e-008","4.3897e-004","8.7911e-006"
"","  12.7095e-11","5.0379e-004","-5.4904e-006","6.5880e-007","4.3108e-008","2.8447e-004","8.0348e-006"
"","  13.6872e-11","5.8196e-004","-7.6414e-006","7.9391e-007","4.5490e-008","1.4867e-004","7.5489e-006"
"","  14.6648e-11","5.4971e-004","-1.0448e-005","8.8912e-007","4.7767e-008","6.4739e-005","6.6928e-006"
"","  15.6425e-11","3.6441e-004","-1.3212e-005","1.0224e-006","4.9944e-008","-8.9990e-006","6.5610e-006"
"","  16.6201e-11","2.0042e-004","-1.3862e-005","1.1571e-006","5.2024e-008","-2.7938e-005","6.5433e-006"
"","  17.5978e-11","6.1214e-005","-1.1862e-005","1.2870e-006","5.3932e-008","3.8065e-005","6.5271e-006"
"","  18.5755e-11","-3.9491e-005","-1.0886e-005","1.4099e-006","5.4708e-008","4.8832e-005","5.1811e-006"
"","  19.5531e-11","-1.5836e-005","-1.0282e-005","1.5291e-006","5.5489e-008","4.3083e-005","3.7595e-006"
"","  20.5308e-11","1.6320e-005","-8.3634e-006","1.6445e-006","5.6283e-008","-6.4482e-006","3.4336e-006"
"","  21.5084e-11","4.1942e-005","-6.1446e-006","1.7539e-006","5.7089e-008","-1.0106e-004","3.0056e-006"
