"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 01:32:37 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_DQ71 - 400MHz - FPGA2DDR"
"Probe 1: U15.L9 (EBD-J15) (at pin)"
"Probe 2: U15.AL14 (at pin)"
"Probe 3: U5.L1 (EBD-J15) (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC
"","   0.9777e-11","0.0000e+000","0.0000e+000","0.0000e+000","4.1488e-009","0.0000e+000","0.0000e+000"
"","   1.9555e-11","0.0000e+000","0.0000e+000","0.0000e+000","7.9141e-009","0.0000e+000","0.0000e+000"
"","   2.9332e-11","0.0000e+000","0.0000e+000","0.0000e+000","1.1323e-008","0.0000e+000","0.0000e+000"
"","   3.9109e-11","0.0000e+000","0.0000e+000","0.0000e+000","1.4379e-008","0.0000e+000","0.0000e+000"
"","   4.8886e-11","0.0000e+000","0.0000e+000","0.0000e+000","1.7151e-008","0.0000e+000","0.0000e+000"
"","   5.8664e-11","0.0000e+000","0.0000e+000","0.0000e+000","1.9669e-008","0.0000e+000","0.0000e+000"
"","   6.8441e-11","0.0000e+000","0.0000e+000","0.0000e+000","2.1944e-008","0.0000e+000","0.0000e+000"
"","   7.8218e-11","0.0000e+000","0.0000e+000","0.0000e+000","2.4011e-008","0.0000e+000","0.0000e+000"
"","   8.7995e-11","0.0000e+000","0.0000e+000","6.5203e-009","2.5901e-008","0.0000e+000","0.0000e+000"
"","   9.7773e-11","0.0000e+000","0.0000e+000","1.7499e-007","2.7643e-008","0.0000e+000","0.0000e+000"
"","  10.7550e-11","0.0000e+000","0.0000e+000","3.2769e-007","2.9237e-008","0.0000e+000","0.0000e+000"
"","  11.7327e-11","0.0000e+000","0.0000e+000","4.6608e-007","3.0701e-008","0.0000e+000","0.0000e+000"
"","  12.7104e-11","0.0000e+000","0.0000e+000","5.9019e-007","3.2064e-008","0.0000e+000","0.0000e+000"
"","  13.6882e-11","0.0000e+000","0.0000e+000","6.9073e-007","3.3323e-008","0.0000e+000","0.0000e+000"
"","  14.6659e-11","0.0000e+000","0.0000e+000","7.7069e-007","3.4488e-008","0.0000e+000","0.0000e+000"
"","  15.6436e-11","0.0000e+000","0.0000e+000","8.6842e-007","3.5641e-008","0.0000e+000","0.0000e+000"
"","  16.6214e-11","0.0000e+000","0.0000e+000","9.6068e-007","3.6739e-008","0.0000e+000","0.0000e+000"
"","  17.5991e-11","0.0000e+000","0.0000e+000","1.0458e-006","3.7681e-008","0.0000e+000","0.0000e+000"
"","  18.5768e-11","0.0000e+000","0.0000e+000","1.1234e-006","3.7551e-008","0.0000e+000","0.0000e+000"
"","  19.5545e-11","0.0000e+000","0.0000e+000","1.1955e-006","3.7656e-008","0.0000e+000","0.0000e+000"
"","  20.5323e-11","0.0000e+000","0.0000e+000","1.2619e-006","3.7936e-008","0.0000e+000","0.0000e+000"
"","  21.5100e-11","0.0000e+000","0.0000e+000","1.3232e-006","3.8286e-008","0.0000e+000","0.0000e+000"
