"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 11:35:09 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_DQS8 - 400MHz"
"Probe 1: U15.W7 (at pin)"
"Probe 2: U15.V7 (at pin)"
"Probe 3 (Differential): U11.J7 (EBD-J15) (at pin)/U11.H8 (EBD-J15) (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6 (Differential): U9.J7 (EBD-J15) (at pin)/U9.H8 (EBD-J15) (at pin)"
"Probe 7: disabled"
"Probe 8: disabled"
"Probe 9: disabled"
"Probe 10: disabled"
"Probe 11: disabled"
"Probe 12: disabled"
"Probe 13: disabled"
"Probe 14: disabled"
"Probe 15: disabled"
"Probe 16: disabled"
"Probe 17: disabled"
"Probe 18: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 6","Probe I 6"
"","   0.0000e-11","1.6076e+000",DC,"2.4984e-001",DC,"1.3578e+000",DC,"1.3578e+000",DC
"","   0.9775e-11","1.6076e+000","1.4431e-007","2.4984e-001","1.1520e-007","1.3578e+000","-2.1497e-008","1.3578e+000","-2.1497e-008"
"","   1.9551e-11","1.6076e+000","-3.1018e-006","2.4984e-001","1.9528e-007","1.3578e+000","-2.1540e-008","1.3578e+000","-2.1540e-008"
"","   2.9326e-11","1.6076e+000","-1.7116e-005","2.4984e-001","2.6429e-007","1.3578e+000","-2.2422e-008","1.3578e+000","-2.1965e-008"
"","   3.9102e-11","1.6076e+000","-3.0853e-005","2.4984e-001","3.2375e-007","1.3578e+000","-2.9192e-008","1.3578e+000","-2.2360e-008"
"","   4.8877e-11","1.6076e+000","-4.0383e-005","2.4984e-001","3.7499e-007","1.3578e+000","-2.6667e-008","1.3578e+000","-2.1447e-008"
"","   5.8653e-11","1.6076e+000","-3.4431e-005","2.4984e-001","4.1911e-007","1.3578e+000","-2.4770e-008","1.3578e+000","-2.7521e-008"
"","   6.8428e-11","1.6076e+000","-2.9199e-005","2.4984e-001","4.5703e-007","1.3578e+000","-2.3194e-008","1.3578e+000","-2.5321e-008"
"","   7.8203e-11","1.6076e+000","-2.4757e-005","2.4984e-001","1.9285e-006","1.3578e+000","-3.1358e-008","1.3578e+000","-3.4329e-008"
"","   8.7979e-11","1.6076e+000","-2.0987e-005","2.4984e-001","5.0989e-006","1.3578e+000","-2.9035e-008","1.3578e+000","-3.2223e-008"
"","   9.7754e-11","1.6076e+000","-1.7801e-005","2.4985e-001","8.3773e-006","1.3578e+000","-2.6748e-008","1.3578e+000","-2.4879e-008"
"","  10.7530e-11","1.6076e+000","-1.5097e-005","2.4985e-001","1.5426e-005","1.3578e+000","-2.5323e-008","1.3578e+000","-2.4498e-008"
"","  11.7305e-11","1.6072e+000","-1.2795e-005","2.4985e-001","3.2446e-005","1.3578e+000","-2.2766e-008","1.3578e+000","-1.8963e-008"
"","  12.7081e-11","1.6067e+000","-1.0843e-005","2.4985e-001","4.9389e-005","1.3578e+000","-3.4837e-008","1.3578e+000","-1.8834e-008"
"","  13.6856e-11","1.6063e+000","-9.1924e-006","2.4985e-001","6.9092e-005","1.3578e+000","-3.4460e-008","1.3578e+000","-2.1619e-008"
"","  14.6631e-11","1.6062e+000","-7.8335e-006","2.4986e-001","1.0657e-004","1.3578e+000","-4.1151e-008","1.3578e+000","-3.4483e-008"
"","  15.6407e-11","1.6063e+000","-6.6788e-006","2.4986e-001","1.4485e-004","1.3578e+000","-2.1215e-008","1.3578e+000","-2.7061e-008"
"","  16.6182e-11","1.6065e+000","-8.7961e-006","2.4988e-001","1.8349e-004","1.3578e+000","-1.8716e-008","1.3578e+000","-3.7005e-008"
"","  17.5958e-11","1.6066e+000","-3.8081e-005","2.4994e-001","2.3931e-004","1.3578e+000","-1.8590e-008","1.3578e+000","-2.9363e-008"
"","  18.5733e-11","1.6068e+000","-7.1674e-005","2.5004e-001","2.9761e-004","1.3578e+000","-2.1410e-008","1.3578e+000","-3.0352e-008"
"","  19.5509e-11","1.6069e+000","-1.1600e-004","2.5020e-001","3.5533e-004","1.3578e+000","-2.3924e-008","1.3578e+000","-2.8558e-008"
"","  20.5284e-11","1.6070e+000","-1.5877e-004","2.5057e-001","4.2289e-004","1.3578e+000","-2.7355e-008","1.3578e+000","-2.2830e-008"
"","  21.5059e-11","1.6071e+000","-2.3810e-004","2.5107e-001","5.6803e-004","1.3578e+000","-2.5216e-008","1.3578e+000","-1.6378e-008"
"","  22.4835e-11","1.6072e+000","-3.2007e-004","2.5170e-001","7.1849e-004","1.3578e+000","-1.9993e-008","1.3578e+000","-1.2358e-008"
"","  23.4610e-11","1.6073e+000","-4.0871e-004","2.5267e-001","8.6862e-004","1.3578e+000","-1.3571e-008","1.3578e+000","-6.8663e-009"
"","  24.4386e-11","1.6073e+000","-5.6094e-004","2.5389e-001","1.1009e-003","1.3578e+000","-1.3776e-008","1.3578e+000","-2.0001e-008"
"","  25.4161e-11","1.6073e+000","-7.3753e-004","2.5528e-001","1.3501e-003","1.3578e+000","-7.6664e-009","1.3578e+000","-2.1184e-008"
"","  26.3937e-11","1.6066e+000","-9.1806e-004","2.5701e-001","1.5959e-003","1.3578e+000","-1.5339e-008","1.3578e+000","-2.6976e-008"
"","  27.3712e-11","1.6055e+000","-1.1876e-003","2.5903e-001","1.9203e-003","1.3578e+000","-1.0802e-008","1.3578e+000","-2.6521e-008"
"","  28.3487e-11","1.6040e+000","-1.4955e-003","2.6121e-001","2.2941e-003","1.3578e+000","-1.3251e-008","1.3578e+000","-2.0360e-008"
"","  29.3263e-11","1.6025e+000","-1.8039e-003","2.6364e-001","2.6626e-003","1.3578e+000","-1.5213e-008","1.3578e+000","-1.7882e-008"
"","  30.3038e-11","1.5999e+000","-2.1690e-003","2.6738e-001","3.0591e-003","1.3578e+000","-2.1276e-008","1.3578e+000","-2.0156e-008"
"","  31.2814e-11","1.5966e+000","-2.5583e-003","2.7215e-001","3.5049e-003","1.3578e+000","-2.5027e-008","1.3578e+000","-2.0630e-008"
"","  32.2589e-11","1.5928e+000","-2.9424e-003","2.7759e-001","3.9514e-003","1.3578e+000","-2.0337e-008","1.3578e+000","-1.9866e-008"
"","  33.2365e-11","1.5876e+000","-3.4441e-003","2.8452e-001","4.3936e-003","1.3578e+000","-1.7914e-008","1.3578e+000","-2.0740e-008"
"","  34.2140e-11","1.5811e+000","-4.0123e-003","2.9283e-001","4.8356e-003","1.3578e+000","-1.2510e-008","1.3578e+000","-1.8221e-008"
"","  35.1915e-11","1.5739e+000","-4.5698e-003","3.0195e-001","5.2849e-003","1.3578e+000","-1.0600e-008","1.3578e+000","-2.0236e-008"
"","  36.1691e-11","1.5645e+000","-5.1403e-003","3.1264e-001","5.7717e-003","1.3578e+000","-1.7399e-008","1.3578e+000","-2.3772e-008"
"","  37.1466e-11","1.5530e+000","-5.7193e-003","3.2522e-001","6.2701e-003","1.3578e+000","-1.8737e-008","1.3578e+000","-2.3273e-008"
"","  38.1242e-11","1.5406e+000","-6.2781e-003","3.3889e-001","6.8197e-003","1.3578e+000","-1.8347e-008","1.3578e+000","-1.7974e-008"
"","  39.1017e-11","1.5266e+000","-6.8880e-003","3.5364e-001","7.4150e-003","1.3578e+000","-1.7747e-008","1.3578e+000","-1.2779e-008"
"","  40.0793e-11","1.5111e+000","-7.4676e-003","3.6981e-001","7.9694e-003","1.3578e+000","-1.7093e-008","1.3578e+000","-1.1075e-008"
"","  41.0568e-11","1.4952e+000","-8.0356e-003","3.8690e-001","8.5243e-003","1.3578e+000","-1.5750e-008","1.3578e+000","-1.2103e-008"
"","  42.0343e-11","1.4765e+000","-8.6384e-003","4.0456e-001","9.1431e-003","1.3578e+000","-1.5179e-008","1.3578e+000","-1.1266e-008"
"","  43.0119e-11","1.4548e+000","-9.1904e-003","4.2258e-001","9.7050e-003","1.3578e+000","-1.8132e-008","1.3578e+000","-1.7301e-008"
"","  43.9894e-11","1.4322e+000","-9.7281e-003","4.4087e-001","1.0242e-002","1.3578e+000","-1.6527e-008","1.3578e+000","-1.7384e-008"
"","  44.9670e-11","1.4089e+000","-1.0367e-002","4.5992e-001","1.0874e-002","1.3578e+000","-1.4802e-008","1.3578e+000","-1.3910e-008"
"","  45.9445e-11","1.3848e+000","-1.0960e-002","4.7984e-001","1.1432e-002","1.3578e+000","-1.2372e-008","1.3578e+000","-1.1901e-008"
"","  46.9221e-11","1.3609e+000","-1.1523e-002","5.0060e-001","1.1927e-002","1.3578e+000","-1.6486e-008","1.3578e+000","-1.2885e-008"
"","  47.8996e-11","1.3364e+000","-1.2116e-002","5.2241e-001","1.2464e-002","1.3578e+000","-1.9494e-008","1.3578e+000","-1.2618e-008"
"","  48.8771e-11","1.3117e+000","-1.2639e-002","5.4469e-001","1.2959e-002","1.3578e+000","-2.1512e-008","1.3578e+000","-1.3317e-008"
"","  49.8547e-11","1.2873e+000","-1.3169e-002","5.6720e-001","1.3404e-002","1.3578e+000","-2.1596e-008","1.3578e+000","-1.1859e-008"
