"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 20 February 2008   Time: 03:35:25 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: DDR2_ODT0 - FBDIMM - 400MHz - FPGA Driving"
"Probe 1: U26+.N1 (EBD-J15) (at pin)"
"Probe 2: U15.AN20 (at pin)"
"Probe 3: U6+.N1 (EBD-J15) (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"Probe 9: disabled"
"Probe 10: disabled"
"Probe 11: disabled"
"Probe 12: disabled"
"Probe 13: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","2.4977e-001",DC,"2.4983e-001",DC,"2.4977e-001",DC
"","   0.1955e-10","2.4977e-001","-2.4144e-009","2.4983e-001","4.8860e-005","2.4977e-001","-2.4144e-009"
"","   0.3910e-10","2.4977e-001","-3.3393e-009","2.4983e-001","4.5930e-005","2.4977e-001","-3.3393e-009"
"","   0.5865e-10","2.4977e-001","-4.1360e-009","2.4983e-001","4.3756e-005","2.4977e-001","-4.1360e-009"
"","   0.7820e-10","2.4977e-001","-4.4696e-009","2.4983e-001","4.4006e-005","2.4977e-001","-4.8527e-009"
"","   0.9775e-10","2.4977e-001","-4.5601e-009","2.4972e-001","4.9167e-005","2.4977e-001","-4.7516e-009"
"","   1.1730e-10","2.4977e-001","-5.3321e-009","2.4958e-001","7.4292e-005","2.4977e-001","-4.5071e-009"
"","   1.3685e-10","2.4977e-001","-6.2167e-009","2.4950e-001","1.1347e-004","2.4977e-001","-5.2449e-009"
"","   1.5640e-10","2.4977e-001","-6.2282e-009","2.4943e-001","1.8841e-004","2.4977e-001","-5.7895e-009"
"","   1.7595e-10","2.4977e-001","-5.6997e-009","2.4959e-001","2.8486e-004","2.4977e-001","-5.6141e-009"
"","   1.9550e-10","2.4977e-001","-5.6678e-009","2.5012e-001","4.0105e-004","2.4977e-001","-5.2942e-009"
"","   2.1505e-10","2.4977e-001","-5.4604e-009","2.5144e-001","6.2782e-004","2.4977e-001","-5.5076e-009"
"","   2.3460e-10","2.4977e-001","-4.8212e-009","2.5394e-001","9.3377e-004","2.4977e-001","-5.3735e-009"
"","   2.5415e-10","2.4977e-001","-4.1694e-009","2.5706e-001","1.4186e-003","2.4977e-001","-4.8194e-009"
"","   2.7370e-10","2.4977e-001","-3.9043e-009","2.6159e-001","1.9974e-003","2.4977e-001","-4.7426e-009"
"","   2.9326e-10","2.4977e-001","-4.5601e-009","2.6767e-001","2.7079e-003","2.4977e-001","-5.3091e-009"
"","   3.1281e-10","2.4977e-001","-5.0490e-009","2.7977e-001","3.5304e-003","2.4977e-001","-6.5810e-009"
"","   3.3236e-10","2.4977e-001","-5.9964e-009","2.9645e-001","4.3893e-003","2.4977e-001","-6.4656e-009"
"","   3.5191e-10","2.4977e-001","-6.7527e-009","3.1602e-001","5.2413e-003","2.4977e-001","1.4010e-009"
"","   3.7146e-10","2.4977e-001","7.0435e-010","3.4402e-001","6.2268e-003","2.4977e-001","-3.2898e-009"
"","   3.9101e-10","2.4977e-001","-3.4079e-009","3.7561e-001","7.2010e-003","2.4977e-001","-9.3744e-009"
"","   4.1056e-10","2.4977e-001","-1.0074e-008","4.0978e-001","8.1802e-003","2.4977e-001","-9.5890e-009"
"","   4.3011e-10","2.4977e-001","-1.0321e-008","4.4558e-001","9.2152e-003","2.4977e-001","-7.9743e-009"
"","   4.4966e-10","2.4977e-001","-4.9654e-009","4.8443e-001","1.0183e-002","2.4977e-001","-8.6102e-009"
"","   4.6921e-10","2.4977e-001","-5.1776e-009","5.2648e-001","1.1158e-002","2.4977e-001","-8.1310e-009"
"","   4.8876e-10","2.4977e-001","-1.0540e-008","5.6924e-001","1.2088e-002","2.4977e-001","-7.8520e-009"
"","   5.0831e-10","2.4977e-001","-1.0704e-008","6.1321e-001","1.2955e-002","2.4977e-001","-6.3424e-009"
"","   5.2786e-10","2.4977e-001","-1.0818e-008","6.5824e-001","1.3816e-002","2.4977e-001","-6.4163e-009"
"","   5.4741e-10","2.4977e-001","-9.8980e-009","7.0310e-001","1.4556e-002","2.4977e-001","-1.1842e-008"
