"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: ."
"Created on: 03 March 2008   Time: 09:50:02"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.J9 (EBD-J8) (at pin)"
"Probe 2: U5.J1 (EBD-J8) (at pin)"
"Probe 3: U1.AM10 (at pin)"
"Probe 4: J_EBD.167 (EBD-J8) (at pin)"
"Probe 5: J8.167 (at pin)"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4","Probe V 5","Probe I 5"
"","   0.0000e-10","0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC
"","   0.4888e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","3.9436e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   0.9775e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","5.4463e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   1.4663e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","1.5175e-007","6.0185e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   1.9550e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","3.1039e-007","6.2365e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   2.4438e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","3.8584e-007","9.6652e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   2.9326e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","4.1697e-007","1.0179e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   3.4213e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","4.8687e-007","5.4959e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   3.9101e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","5.4052e-007","1.5271e-004","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   4.3988e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","5.3753e-007","7.2347e-004","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   4.8876e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","5.0135e-003","1.8202e-003","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   5.3764e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","3.1260e-002","3.4470e-003","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   5.8651e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","8.8246e-002","5.5060e-003","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   6.3539e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","1.8039e-001","8.1153e-003","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   6.8426e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","3.0592e-001","1.0791e-002","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   7.3314e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","4.5650e-001","1.3185e-002","6.9087e-008","0.0000e+000","6.9087e-008","3.6478e-009"
"","   7.8202e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","6.1298e-001","1.5278e-002","2.5187e-007","0.0000e+000","2.5187e-007","1.2474e-008"
"","   8.3089e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","7.4988e-001","1.7244e-002","3.8284e-007","0.0000e+000","3.8284e-007","1.7643e-008"
"","   8.7977e-10","5.4663e-012","0.0000e+000","0.0000e+000","0.0000e+000","8.5913e-001","1.8742e-002","4.4873e-007","0.0000e+000","4.4873e-007","2.0076e-008"
"","   9.2865e-10","8.9066e-008","-8.0405e-010","4.1278e-008","-3.7516e-011","9.4550e-001","1.9700e-002","4.8650e-007","0.0000e+000","4.8650e-007","2.1571e-008"
"","   9.7752e-10","1.2767e-007","-2.9236e-009","1.4500e-007","-1.9655e-009","1.0093e+000","2.0374e-002","5.7632e-007","0.0000e+000","5.7632e-007","2.5979e-008"
"","  10.2640e-10","1.6163e-007","-4.8877e-009","1.1208e-007","-4.0260e-009","1.0514e+000","2.0835e-002","6.0950e-007","0.0000e+000","6.0950e-007","2.6998e-008"
"","  10.7527e-10","1.4146e-007","-4.8955e-009","1.2834e-007","-4.0732e-009","1.0774e+000","2.1106e-002","3.7495e-004","0.0000e+000","3.7495e-004","1.9795e-005"
"","  11.2415e-10","2.2771e-007","-3.3007e-009","1.8232e-007","-3.5161e-009","1.0945e+000","2.1214e-002","1.3395e-002","0.0000e+000","1.3395e-002","7.0222e-004"
"","  11.7303e-10","3.0859e-007","-3.0844e-009","3.2231e-007","-3.5710e-009","1.1040e+000","2.1230e-002","5.5149e-002","0.0000e+000","5.5149e-002","2.7581e-003"
"","  12.2190e-10","3.8076e-007","-2.9506e-009","3.6366e-007","-4.7650e-009","1.1088e+000","2.1211e-002","1.3245e-001","0.0000e+000","1.3245e-001","6.4104e-003"
"","  12.7078e-10","1.6578e-003","-4.2977e-006","2.0191e-004","-5.6868e-008","1.1110e+000","2.1250e-002","2.4800e-001","0.0000e+000","2.4800e-001","1.1755e-002"
"","  13.1965e-10","1.4206e-002","-1.5569e-004","8.2489e-003","-4.8834e-005","1.1111e+000","2.1212e-002","4.0035e-001","0.0000e+000","4.0035e-001","1.8699e-002"
"","  13.6853e-10","3.9839e-002","-6.4989e-004","3.0452e-002","-3.7626e-004","1.1125e+000","2.1172e-002","5.7585e-001","0.0000e+000","5.7585e-001","2.6536e-002"
"","  14.1741e-10","7.8141e-002","-1.5963e-003","5.9957e-002","-1.0833e-003","1.1143e+000","2.1167e-002","7.4600e-001","0.0000e+000","7.4600e-001","3.4015e-002"
"","  14.6628e-10","1.2642e-001","-2.8808e-003","1.0148e-001","-2.1102e-003","1.1147e+000","2.1203e-002","8.8914e-001","0.0000e+000","8.8914e-001","4.0523e-002"
"","  15.1516e-10","1.9390e-001","-4.3181e-003","1.5917e-001","-3.3626e-003","1.1154e+000","2.1178e-002","9.9568e-001","0.0000e+000","9.9568e-001","4.5852e-002"
"","  15.6403e-10","2.7093e-001","-5.6689e-003","2.3454e-001","-4.7655e-003","1.1185e+000","2.1147e-002","1.0662e+000","0.0000e+000","1.0662e+000","5.0321e-002"
"","  16.1291e-10","3.5411e-001","-6.6141e-003","3.1520e-001","-6.0763e-003","1.1198e+000","2.1138e-002","1.0966e+000","0.0000e+000","1.0966e+000","5.3940e-002"
"","  16.6179e-10","4.4383e-001","-6.9388e-003","4.0913e-001","-6.9878e-003","1.1201e+000","2.1124e-002","1.0941e+000","0.0000e+000","1.0941e+000","5.6693e-002"
"","  17.1066e-10","5.4560e-001","-6.6627e-003","5.1791e-001","-7.4982e-003","1.1217e+000","2.1098e-002","1.0779e+000","0.0000e+000","1.0779e+000","5.8695e-002"
"","  17.5954e-10","6.5100e-001","-6.1457e-003","6.3740e-001","-7.6825e-003","1.1242e+000","2.1067e-002","1.0670e+000","0.0000e+000","1.0670e+000","6.0115e-002"
"","  18.0841e-10","7.5434e-001","-5.5896e-003","7.5589e-001","-7.6238e-003","1.1314e+000","2.1060e-002","1.0677e+000","0.0000e+000","1.0677e+000","6.0856e-002"
"","  18.5729e-10","8.5209e-001","-5.1109e-003","8.6792e-001","-7.2189e-003","1.1463e+000","2.1012e-002","1.0879e+000","0.0000e+000","1.0879e+000","6.0826e-002"
"","  19.0617e-10","9.4456e-001","-4.7406e-003","9.7597e-001","-6.5190e-003","1.1692e+000","2.0904e-002","1.1326e+000","0.0000e+000","1.1326e+000","6.0232e-002"
"","  19.5504e-10","1.0365e+000","-4.5977e-003","1.0768e+000","-5.6404e-003","1.1997e+000","2.0659e-002","1.1926e+000","0.0000e+000","1.1926e+000","5.9309e-002"
"","  20.0392e-10","1.1231e+000","-4.6468e-003","1.1684e+000","-4.7410e-003","1.2359e+000","2.0288e-002","1.2585e+000","0.0000e+000","1.2585e+000","5.8254e-002"
"","  20.5280e-10","1.2054e+000","-4.7795e-003","1.2455e+000","-3.8770e-003","1.2669e+000","1.9788e-002","1.3242e+000","0.0000e+000","1.3242e+000","5.7074e-002"
"","  21.0167e-10","1.2831e+000","-4.8412e-003","1.3146e+000","-3.1170e-003","1.2854e+000","1.9173e-002","1.3912e+000","0.0000e+000","1.3912e+000","5.5896e-002"
"","  21.5055e-10","1.3598e+000","-4.7331e-003","1.3752e+000","-2.5591e-003","1.2868e+000","1.8523e-002","1.4544e+000","0.0000e+000","1.4544e+000","5.4762e-002"
"","  21.9942e-10","1.4300e+000","-4.4314e-003","1.4309e+000","-2.2613e-003","1.2648e+000","1.8028e-002","1.5140e+000","0.0000e+000","1.5140e+000","5.3799e-002"
"","  22.4830e-10","1.4951e+000","-3.9294e-003","1.4804e+000","-2.2280e-003","1.2200e+000","1.7746e-002","1.5664e+000","0.0000e+000","1.5664e+000","5.2887e-002"
"","  22.9718e-10","1.5529e+000","-3.2829e-003","1.5289e+000","-2.3809e-003","1.1653e+000","1.7748e-002","1.6149e+000","0.0000e+000","1.6149e+000","5.2028e-002"
"","  23.4605e-10","1.6038e+000","-2.5580e-003","1.5762e+000","-2.6613e-003","1.1159e+000","1.8111e-002","1.6605e+000","0.0000e+000","1.6605e+000","5.1221e-002"
"","  23.9493e-10","1.6465e+000","-1.9057e-003","1.6235e+000","-2.9477e-003","1.0856e+000","1.8751e-002","1.7029e+000","0.0000e+000","1.7029e+000","5.0493e-002"
"","  24.4380e-10","1.6827e+000","-1.3831e-003","1.6695e+000","-3.1528e-003","1.0866e+000","1.9424e-002","1.7411e+000","0.0000e+000","1.7411e+000","4.9853e-002"
"","  24.9268e-10","1.7138e+000","-1.0757e-003","1.7142e+000","-3.1577e-003","1.1239e+000","1.9945e-002","1.7772e+000","0.0000e+000","1.7772e+000","4.9361e-002"
"","  25.4156e-10","1.7414e+000","-9.9306e-004","1.7574e+000","-2.9582e-003","1.1910e+000","2.0189e-002","1.8130e+000","0.0000e+000","1.8130e+000","4.9049e-002"
"","  25.9043e-10","1.7690e+000","-1.1423e-003","1.7958e+000","-2.5455e-003","1.2733e+000","1.9999e-002","1.8465e+000","0.0000e+000","1.8465e+000","4.8874e-002"
"","  26.3931e-10","1.7961e+000","-1.4373e-003","1.8308e+000","-1.9940e-003","1.3566e+000","1.9343e-002","1.8784e+000","0.0000e+000","1.8784e+000","4.8799e-002"
"","  26.8818e-10","1.8263e+000","-1.8163e-003","1.8600e+000","-1.3924e-003","1.4329e+000","1.8323e-002","1.9059e+000","0.0000e+000","1.9059e+000","4.8631e-002"
"","  27.3706e-10","1.8577e+000","-2.1715e-003","1.8858e+000","-8.6065e-004","1.4981e+000","1.7112e-002","1.9277e+000","0.0000e+000","1.9277e+000","4.8267e-002"
"","  27.8594e-10","1.8915e+000","-2.4055e-003","1.9063e+000","-4.8885e-004","1.5498e+000","1.5785e-002","1.9411e+000","0.0000e+000","1.9411e+000","4.7626e-002"
"","  28.3481e-10","1.9231e+000","-2.4443e-003","1.9248e+000","-3.3026e-004","1.5904e+000","1.4344e-002","1.9459e+000","0.0000e+000","1.9459e+000","4.6624e-002"
"","  28.8369e-10","1.9529e+000","-2.2253e-003","1.9396e+000","-3.8597e-004","1.6229e+000","1.2906e-002","1.9414e+000","0.0000e+000","1.9414e+000","4.5302e-002"
"","  29.3256e-10","1.9773e+000","-1.7528e-003","1.9544e+000","-5.8557e-004","1.6490e+000","1.1591e-002","1.9340e+000","0.0000e+000","1.9340e+000","4.3951e-002"
"","  29.8144e-10","1.9959e+000","-1.0858e-003","1.9688e+000","-8.7300e-004","1.6715e+000","1.0383e-002","1.9302e+000","0.0000e+000","1.9302e+000","4.2849e-002"
"","  30.3032e-10","2.0066e+000","-3.4113e-004","1.9824e+000","-1.1337e-003","1.6922e+000","9.2073e-003","1.9359e+000","0.0000e+000","1.9359e+000","4.2206e-002"
"","  30.7919e-10","2.0114e+000","3.7200e-004","1.9956e+000","-1.2690e-003","1.7116e+000","8.1176e-003","1.9562e+000","0.0000e+000","1.9562e+000","4.2217e-002"
"","  31.2807e-10","2.0123e+000","8.7674e-004","2.0097e+000","-1.2341e-003","1.7284e+000","7.1349e-003","1.9937e+000","0.0000e+000","1.9937e+000","4.2890e-002"
"","  31.7694e-10","2.0123e+000","1.0348e-003","2.0237e+000","-1.0638e-003","1.7430e+000","6.2556e-003","2.0420e+000","0.0000e+000","2.0420e+000","4.3906e-002"
"","  32.2582e-10","2.0138e+000","7.8426e-004","2.0361e+000","-7.9019e-004","1.7560e+000","5.4374e-003","2.0912e+000","0.0000e+000","2.0912e+000","4.4946e-002"
"","  32.7470e-10","2.0189e+000","1.7429e-004","2.0475e+000","-4.8083e-004","1.7686e+000","4.6801e-003","2.1333e+000","0.0000e+000","2.1333e+000","4.5729e-002"
"","  33.2357e-10","2.0288e+000","-6.6966e-004","2.0574e+000","-2.1981e-004","1.7801e+000","4.0031e-003","2.1608e+000","0.0000e+000","2.1608e+000","4.6089e-002"
"","  33.7245e-10","2.0430e+000","-1.5133e-003","2.0645e+000","-5.5785e-005","1.7901e+000","3.4036e-003","2.1699e+000","0.0000e+000","2.1699e+000","4.6044e-002"
"","  34.2133e-10","2.0601e+000","-2.1163e-003","2.0695e+000","1.7583e-005","1.7990e+000","2.8438e-003","2.1610e+000","0.0000e+000","2.1610e+000","4.5739e-002"
"","  34.7020e-10","2.0795e+000","-2.3058e-003","2.0748e+000","-1.2940e-005","1.8068e+000","2.3066e-003","2.1399e+000","0.0000e+000","2.1399e+000","4.5291e-002"
"","  35.1908e-10","2.0997e+000","-2.0512e-003","2.0813e+000","-1.5119e-004","1.8125e+000","1.8515e-003","2.1112e+000","0.0000e+000","2.1112e+000","4.4687e-002"
"","  35.6795e-10","2.1174e+000","-1.4336e-003","2.0900e+000","-3.8516e-004","1.8168e+000","1.4469e-003","2.0809e+000","0.0000e+000","2.0809e+000","4.3943e-002"
"","  36.1683e-10","2.1313e+000","-6.2530e-004","2.1006e+000","-6.7160e-004","1.8219e+000","1.0861e-003","2.0562e+000","0.0000e+000","2.0562e+000","4.3100e-002"
"","  36.6571e-10","2.1387e+000","1.7838e-004","2.1131e+000","-9.5795e-004","1.8298e+000","7.5791e-004","2.0422e+000","0.0000e+000","2.0422e+000","4.2199e-002"
"","  37.1458e-10","2.1387e+000","8.2457e-004","2.1239e+000","-1.1507e-003","1.8422e+000","4.6518e-004","2.0373e+000","0.0000e+000","2.0373e+000","4.1213e-002"
"","  37.6346e-10","2.1327e+000","1.2188e-003","2.1331e+000","-1.1441e-003","1.8600e+000","1.4173e-004","2.0372e+000","0.0000e+000","2.0372e+000","4.0147e-002"
"","  38.1233e-10","2.1243e+000","1.3122e-003","2.1407e+000","-9.1652e-004","1.8822e+000","-2.1781e-004","2.0391e+000","0.0000e+000","2.0391e+000","3.9097e-002"
"","  38.6121e-10","2.1152e+000","1.0944e-003","2.1452e+000","-5.0049e-004","1.9043e+000","-6.5122e-004","2.0411e+000","0.0000e+000","2.0411e+000","3.8165e-002"
"","  39.1009e-10","2.1059e+000","6.6374e-004","2.1437e+000","4.4873e-005","1.9222e+000","-1.2630e-003","2.0407e+000","0.0000e+000","2.0407e+000","3.7379e-002"
"","  39.5896e-10","2.0981e+000","1.7199e-004","2.1357e+000","6.6707e-004","1.9316e+000","-2.3743e-003","2.0370e+000","0.0000e+000","2.0370e+000","3.6683e-002"
"","  40.0784e-10","2.0931e+000","-2.3569e-004","2.1236e+000","1.2579e-003","1.9261e+000","-4.1286e-003","2.0315e+000","0.0000e+000","2.0315e+000","3.6087e-002"
"","  40.5671e-10","2.0916e+000","-4.8156e-004","2.1084e+000","1.6863e-003","1.8829e+000","-6.4228e-003","2.0248e+000","0.0000e+000","2.0248e+000","3.5598e-002"
"","  41.0559e-10","2.0906e+000","-5.1981e-004","2.0911e+000","1.8560e-003","1.7975e+000","-8.9914e-003","2.0173e+000","0.0000e+000","2.0173e+000","3.5181e-002"
"","  41.5447e-10","2.0881e+000","-3.2471e-004","2.0718e+000","1.7538e-003","1.6643e+000","-1.1793e-002","2.0092e+000","0.0000e+000","2.0092e+000","3.4755e-002"
"","  42.0334e-10","2.0825e+000","7.9674e-005","2.0537e+000","1.4297e-003","1.5010e+000","-1.4367e-002","2.0021e+000","0.0000e+000","2.0021e+000","3.4326e-002"
"","  42.5222e-10","2.0738e+000","6.0819e-004","2.0388e+000","9.4639e-004","1.3277e+000","-1.6701e-002","1.9962e+000","0.0000e+000","1.9962e+000","3.3946e-002"
"","  43.0109e-10","2.0606e+000","1.1358e-003","2.0271e+000","4.0518e-004","1.1720e+000","-1.8676e-002","1.9907e+000","0.0000e+000","1.9907e+000","3.3660e-002"
"","  43.4997e-10","2.0430e+000","1.5639e-003","2.0181e+000","-7.1362e-005","1.0509e+000","-2.0417e-002","1.9850e+000","0.0000e+000","1.9850e+000","3.3495e-002"
"","  43.9885e-10","2.0229e+000","1.8067e-003","2.0116e+000","-3.6769e-004","9.6400e-001","-2.1751e-002","1.9803e+000","0.0000e+000","1.9803e+000","3.3471e-002"
"","  44.4772e-10","2.0021e+000","1.8123e-003","2.0070e+000","-4.3448e-004","9.0475e-001","-2.2831e-002","1.9762e+000","0.0000e+000","1.9762e+000","3.3557e-002"
"","  44.9660e-10","1.9830e+000","1.5639e-003","2.0024e+000","-2.6754e-004","8.6384e-001","-2.3592e-002","1.9704e+000","0.0000e+000","1.9704e+000","3.3670e-002"
"","  45.4547e-10","1.9669e+000","1.1097e-003","1.9966e+000","8.6316e-005","8.3913e-001","-2.4186e-002","1.9615e+000","0.0000e+000","1.9615e+000","3.3736e-002"
"","  45.9435e-10","1.9554e+000","5.3828e-004","1.9884e+000","5.4262e-004","8.1832e-001","-2.4672e-002","1.9486e+000","0.0000e+000","1.9486e+000","3.3648e-002"
"","  46.4323e-10","1.9479e+000","-2.6869e-005","1.9776e+000","9.9426e-004","8.0628e-001","-2.4948e-002","1.9204e+000","0.0000e+000","1.9204e+000","3.2783e-002"
"","  46.9210e-10","1.9441e+000","-4.5539e-004","1.9633e+000","1.3507e-003","7.9506e-001","-2.5133e-002","1.8565e+000","0.0000e+000","1.8565e+000","3.0204e-002"
"","  47.4098e-10","1.9420e+000","-6.4426e-004","1.9473e+000","1.5443e-003","7.8527e-001","-2.5235e-002","1.7445e+000","0.0000e+000","1.7445e+000","2.5408e-002"
"","  47.8986e-10","1.9390e+000","-5.4292e-004","1.9302e+000","1.5346e-003","7.7946e-001","-2.5344e-002","1.5867e+000","0.0000e+000","1.5867e+000","1.8562e-002"
"","  48.3873e-10","1.9222e+000","-4.4662e-005","1.9067e+000","1.3703e-003","7.7724e-001","-2.5342e-002","1.3983e+000","0.0000e+000","1.3983e+000","1.0413e-002"
"","  48.8761e-10","1.8866e+000","1.0172e-003","1.8680e+000","1.3516e-003","7.7385e-001","-2.5357e-002","1.2034e+000","0.0000e+000","1.2034e+000","2.0439e-003"
"","  49.3648e-10","1.8300e+000","2.7238e-003","1.8190e+000","1.7371e-003","7.7097e-001","-2.5350e-002","1.0286e+000","0.0000e+000","1.0286e+000","-5.4699e-003"
"","  49.8536e-10","1.7575e+000","4.7943e-003","1.7604e+000","2.5830e-003","7.6883e-001","-2.5375e-002","8.9451e-001","0.0000e+000","8.9451e-001","-1.1556e-002"
"","  50.3424e-10","1.6707e+000","6.7513e-003","1.6933e+000","3.7457e-003","7.6227e-001","-2.5323e-002","8.0538e-001","0.0000e+000","8.0538e-001","-1.6286e-002"
"","  50.8311e-10","1.5757e+000","8.1103e-003","1.6146e+000","5.0497e-003","7.5641e-001","-2.5260e-002","7.5448e-001","0.0000e+000","7.5448e-001","-2.0148e-002"
"","  51.3199e-10","1.4700e+000","8.5797e-003","1.5235e+000","6.2781e-003","7.4854e-001","-2.5194e-002","7.4078e-001","0.0000e+000","7.4078e-001","-2.3316e-002"
