"HyperLynx Oscilloscope .CSV file"

"Design file: $1I289_DDR_CLKOUT.FFS         Designer: alec"
"Created on: 19 February 2008   Time: 04:44:23 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: disabled"
"Probe 2: disabled"
"Probe 3: J8.186 (at pin)"
"Probe 4: J8.185 (at pin)"
"Probe 9: disabled"
"Probe 10: disabled"
"","Time","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-11","1.4354e+000",DC,"3.4054e-001",DC
"","   0.9776e-11","1.4354e+000","-1.3594e-008","3.4054e-001","-3.2236e-009"
"","   1.9551e-11","1.4354e+000","-1.2911e-008","3.4054e-001","-3.0603e-009"
"","   2.9327e-11","1.4354e+000","-1.9236e-008","3.4054e-001","-4.5835e-009"
"","   3.9103e-11","1.4354e+000","-1.8062e-008","3.4054e-001","-4.3010e-009"
"","   4.8878e-11","1.4354e+000","-2.0138e-008","3.4054e-001","-5.5355e-009"
"","   5.8654e-11","1.4354e+000","-2.1361e-008","3.4054e-001","-5.0775e-009"
"","   6.8430e-11","1.4354e+000","-3.0215e-008","3.4054e-001","-1.0245e-008"
"","   7.8205e-11","1.4354e+000","-3.4170e-008","3.4054e-001","-1.3705e-008"
"","   8.7981e-11","1.4354e+000","-3.0698e-008","3.4054e-001","-1.4127e-008"
"","   9.7757e-11","1.4354e+000","-2.9356e-008","3.4054e-001","-1.6051e-008"
"","  10.7532e-11","1.4354e+000","-3.1267e-008","3.4054e-001","-1.5694e-008"
"","  11.7308e-11","1.4354e+000","-3.2208e-008","3.4054e-001","-1.6497e-008"
"","  12.7084e-11","1.4354e+000","-2.7946e-008","3.4054e-001","-1.5905e-008"
"","  13.6859e-11","1.4354e+000","-2.5687e-008","3.4054e-001","-1.2121e-008"
"","  14.6635e-11","1.4354e+000","-2.0360e-008","3.4054e-001","-1.0494e-008"
"","  15.6411e-11","1.4354e+000","-1.7842e-008","3.4054e-001","-8.7081e-009"
"","  16.6186e-11","1.4354e+000","-1.6707e-008","3.4054e-001","-7.7354e-009"
"","  17.5962e-11","1.4354e+000","-1.0878e-008","3.4054e-001","-3.7723e-009"
"","  18.5738e-11","1.4354e+000","-7.8248e-009","3.4054e-001","-1.7648e-009"
"","  19.5513e-11","1.4354e+000","-3.8040e-009","3.4054e-001","6.6104e-010"
"","  20.5289e-11","1.4354e+000","-1.5048e-009","3.4054e-001","1.6921e-009"
"","  21.5065e-11","1.4354e+000","-1.7956e-009","3.4054e-001","1.3239e-009"
"","  22.4840e-11","1.4354e+000","-5.9130e-010","3.4054e-001","1.8065e-009"
"","  23.4616e-11","1.4354e+000","2.1800e-010","3.4054e-001","2.0267e-009"
"","  24.4392e-11","1.4354e+000","8.3268e-010","3.4054e-001","1.3139e-009"
"","  25.4167e-11","1.4354e+000","3.4593e-010","3.4054e-001","5.4956e-010"
"","  26.3943e-11","1.4354e+000","-3.4049e-009","3.4054e-001","-2.8671e-009"
"","  27.3718e-11","1.4354e+000","-4.9537e-009","3.4054e-001","-4.1943e-009"
"","  28.3494e-11","1.4354e+000","-5.8382e-009","3.4054e-001","-5.0727e-009"
"","  29.3270e-11","1.4354e+000","-6.0853e-009","3.4054e-001","-5.8230e-009"
"","  30.3045e-11","1.4354e+000","-8.8508e-009","3.4054e-001","-7.9043e-009"
"","  31.2821e-11","1.4354e+000","-1.1091e-008","3.4054e-001","-9.9574e-009"
"","  32.2597e-11","1.4354e+000","-1.2499e-008","3.4054e-001","-1.0663e-008"
"","  33.2372e-11","1.4354e+000","-1.1943e-008","3.4054e-001","-9.1094e-009"
"","  34.2148e-11","1.4354e+000","-1.0842e-008","3.4054e-001","-8.3918e-009"
"","  35.1924e-11","1.4354e+000","-1.1914e-008","3.4054e-001","-8.7475e-009"
