"HyperLynx Oscilloscope .CSV file"

"Design file: $1I289_DDR_CLKOUT.FFS         Designer: alec"
"Created on: 19 February 2008   Time: 04:42:54 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U1.AL1 (at pin)"
"Probe 2: U1.AK1 (at pin)"
"Probe 3: J8.186 (at pin)"
"Probe 4: J8.185 (at pin)"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-11","3.1466e-001",DC,"1.4610e+000",DC,"1.4354e+000",DC,"3.4054e-001",DC
"","   0.9775e-11","3.2133e-001","-1.0872e-002","1.4545e+000","1.0874e-002","1.4354e+000","-1.3594e-008","3.4054e-001","-3.2236e-009"
"","   1.9551e-11","3.2133e-001","-1.0875e-002","1.4545e+000","1.0876e-002","1.4354e+000","-1.2911e-008","3.4054e-001","-3.0603e-009"
"","   2.9326e-11","3.2133e-001","-1.0877e-002","1.4545e+000","1.0878e-002","1.4354e+000","-1.9294e-008","3.4054e-001","-4.5913e-009"
"","   3.9101e-11","3.2133e-001","-1.0879e-002","1.4545e+000","1.0880e-002","1.4354e+000","-1.8114e-008","3.4054e-001","-4.3081e-009"
"","   4.8877e-11","3.2133e-001","-1.0880e-002","1.4545e+000","1.0881e-002","1.4354e+000","-1.7038e-008","3.4054e-001","-1.2175e-008"
"","   5.8652e-11","3.2133e-001","-1.0882e-002","1.4545e+000","1.0882e-002","1.4354e+000","-2.4861e-008","3.4054e-001","-9.2777e-009"
"","   6.8427e-11","3.2133e-001","-1.0883e-002","1.4545e+000","1.0883e-002","1.4354e+000","-3.2845e-008","3.4054e-001","-1.4278e-008"
"","   7.8203e-11","3.2133e-001","-1.0884e-002","1.4545e+000","1.0882e-002","1.4354e+000","-3.6186e-008","3.4054e-001","-2.2623e-008"
"","   8.7978e-11","3.2133e-001","-1.0884e-002","1.4545e+000","1.0880e-002","1.4354e+000","-3.9511e-008","3.4054e-001","-1.8106e-008"
