"HyperLynx Oscilloscope .CSV file"

"Design file: $1I289_DDR_CLKOUT.FFS         Designer: alec"
"Created on: 19 February 2008   Time: 04:43:41 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U1.AL1 (at pin)"
"Probe 2: U1.AK1 (at pin)"
"Probe 3: J8.186 (at pin)"
"Probe 4: J8.185 (at pin)"
"Probe 5: disabled"
"Probe 6: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-11","1.8000e-010",DC,"1.8000e+000",DC,"1.8000e+000",DC,"4.2601e-007",DC
"","   0.9775e-11","1.0998e-007","-1.7074e-007","1.8000e+000","2.6900e-007","1.8000e+000","-1.7047e-008","4.2601e-007","-4.0327e-015"
"","   1.9551e-11","1.0998e-007","-1.6406e-007","1.8000e+000","2.6954e-007","1.8000e+000","-1.6190e-008","4.2601e-007","-3.8284e-015"
"","   2.9326e-11","1.0998e-007","-1.5856e-007","1.8000e+000","2.7000e-007","1.8000e+000","-2.4194e-008","1.1515e-006","-5.7437e-015"
"","   3.9101e-11","1.0998e-007","-1.5404e-007","1.8000e+000","2.7037e-007","1.8000e+000","-2.2715e-008","1.0173e-006","-5.3894e-015"
"","   4.8877e-11","1.0998e-007","-1.5033e-007","1.8000e+000","2.7069e-007","1.8000e+000","-2.1365e-008","1.1676e-006","-1.4516e-008"
"","   5.8652e-11","1.0998e-007","-1.4727e-007","1.8000e+000","2.6995e-007","1.8000e+000","-3.9998e-008","1.0362e-006","-1.3992e-008"
"","   6.8427e-11","1.0998e-007","-1.4475e-007","1.8000e+000","5.1687e-008","1.8000e+000","-3.9433e-008","9.0874e-007","-9.8252e-009"
"","   7.8203e-11","1.0998e-007","-1.4269e-007","1.8000e+000","-1.2292e-006","1.8000e+000","-4.2511e-008","1.2918e-007","-1.2216e-008"
"","   8.7978e-11","1.0998e-007","-1.4099e-007","1.8000e+000","-3.5490e-006","1.8000e+000","-4.1429e-008","1.4381e-007","-8.7621e-009"
"","   9.7753e-11","1.0998e-007","-1.3959e-007","1.8000e+000","-1.4741e-005","1.8000e+000","-3.7001e-008","-2.5946e-008","-1.4948e-009"
"","  10.7529e-11","1.0998e-007","-1.3844e-007","1.8000e+000","-3.4819e-005","1.8000e+000","-4.3465e-008","-1.9745e-007","-2.0307e-009"
"","  11.7304e-11","1.0998e-007","-1.3749e-007","1.8000e+000","-5.5910e-005","1.8000e+000","-4.1108e-008","-8.2605e-008","3.2344e-009"
"","  12.7079e-11","1.0998e-007","-1.3671e-007","1.8000e+000","-8.0159e-005","1.8000e+000","-4.0186e-008","-4.3741e-007","9.0463e-009"
"","  13.6855e-11","1.0998e-007","-1.3607e-007","1.8000e+000","-1.1274e-004","1.8000e+000","-3.9994e-008","-4.9942e-007","1.2727e-008"
"","  14.6630e-11","4.1789e-007","-1.3555e-007","1.8000e+000","-1.4621e-004","1.8000e+000","-3.3907e-008","-4.5343e-007","1.4469e-008"
"","  15.6405e-11","1.0358e-006","-1.3511e-007","1.8000e+000","-2.0582e-004","1.8000e+000","-3.6675e-008","-4.7546e-007","2.4126e-008"
"","  16.6181e-11","1.5440e-006","-1.3476e-007","1.8000e+000","-2.8426e-004","1.8000e+000","-3.7333e-008","-4.6587e-007","2.5124e-008"
"","  17.5956e-11","1.9620e-006","-1.3446e-007","1.8000e+000","-3.6470e-004","1.8000e+000","-3.6436e-008","-4.2719e-007","2.8738e-008"
