"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK1.HYP         Designer: alec"
"Created on: 11 February 2008   Time: 01:17:22 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: PPC-DDR2 (DDR_PCLKOUT# and DDR_PCLKOUT)"
"Probe 1: U1.AL1 (at pin)"
"Probe 2: U1.AK1 (at pin)"
"Probe 3: J8.186 (at pin)"
"Probe 4: J8.185 (at pin)"
"Probe 5: disabled"
"Probe 6: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-11","6.4119e-007",DC,"3.8087e-014",DC,"1.4102e-013",DC,"6.4119e-007",DC
"","   0.9777e-11","6.4119e-007","3.5295e-012","3.8087e-014","9.1558e-010","1.4102e-013","-1.3361e-021","6.4119e-007","-6.0702e-015"
"","   1.9554e-11","6.4119e-007","6.3616e-012","3.8087e-014","1.6694e-009","1.4102e-013","-1.2695e-021","6.4119e-007","-5.7636e-015"
"","   2.9330e-11","6.4119e-007","8.6917e-012","3.8087e-014","2.2896e-009","2.7302e-013","-1.8814e-021","6.4119e-007","-8.5718e-015"
"","   3.9107e-11","6.4119e-007","1.0608e-011","3.8087e-014","2.7999e-009","2.2592e-013","-1.7677e-021","6.4119e-007","-8.0462e-015"
"","   4.8884e-11","6.4119e-007","1.2185e-011","3.8087e-014","3.2197e-009","2.8258e-013","-1.6597e-015","6.4119e-007","-1.1209e-014"
"","   5.8661e-11","6.4119e-007","1.3482e-011","3.8087e-014","3.5650e-009","2.3533e-013","-2.3789e-015","6.4119e-007","-1.1312e-014"
"","   6.8438e-11","6.4119e-007","1.4549e-011","3.8087e-014","3.8490e-009","1.3906e-013","-1.8453e-015","6.4119e-007","-1.1290e-014"
"","   7.8215e-11","6.4119e-007","1.5427e-011","3.8087e-014","4.0827e-009","9.2340e-015","-2.1874e-015","6.4119e-007","-1.1552e-014"
"","   8.7991e-11","6.4119e-007","1.6149e-011","3.8087e-014","4.2749e-009","4.2030e-016","-9.0675e-016","6.4119e-007","-1.2338e-014"
"","   9.7768e-11","6.4119e-007","1.6742e-011","3.8087e-014","4.4330e-009","-1.2390e-013","1.1337e-015","6.4119e-007","-1.1239e-014"
"","  10.7545e-11","6.4119e-007","1.7230e-011","3.8087e-014","4.5627e-009","-1.2312e-013","8.4099e-016","6.4119e-007","-1.2768e-014"
"","  11.7322e-11","6.4119e-007","1.7630e-011","3.8087e-014","4.6695e-009","-1.5066e-013","2.3570e-015","6.4119e-007","-1.2143e-014"
"","  12.7099e-11","6.4119e-007","1.7960e-011","3.8087e-014","4.7573e-009","-1.7620e-013","3.8909e-015","6.4119e-007","-1.2164e-014"
"","  13.6875e-11","6.4119e-007","1.8232e-011","8.9171e-010","4.8296e-009","-2.1414e-013","4.7457e-015","6.4119e-007","-1.2914e-014"
"","  14.6652e-11","6.4125e-007","1.8450e-011","6.6597e-008","4.8891e-009","-2.2296e-013","7.3180e-015","6.4119e-007","-1.1748e-014"
"","  15.6429e-11","6.4152e-007","1.8634e-011","1.2889e-007","4.9380e-009","-2.5595e-013","7.6529e-015","6.4119e-007","-1.2095e-014"
"","  16.6206e-11","6.4174e-007","1.8785e-011","1.8014e-007","4.9782e-009","-2.4750e-013","8.0103e-015","6.4119e-007","-1.2238e-014"
"","  17.5983e-11","6.4192e-007","1.8909e-011","2.2229e-007","5.0113e-009","-2.6683e-013","8.8162e-015","6.4119e-007","-1.2150e-014"
"","  18.5759e-11","6.4207e-007","1.9012e-011","2.5697e-007","5.0385e-009","-3.0973e-013","9.5279e-015","6.4119e-007","-1.2580e-014"
"","  19.5536e-11","6.4219e-007","1.9096e-011","2.8549e-007","5.0609e-009","-3.4701e-013","8.9756e-015","6.4119e-007","-1.3557e-014"
"","  20.5313e-11","6.4229e-007","1.9165e-011","3.0894e-007","5.0793e-009","-3.9497e-013","1.0304e-014","6.4119e-007","-1.2403e-014"
"","  21.5090e-11","6.4237e-007","1.9222e-011","3.2819e-007","5.0944e-009","-4.4372e-013","9.5204e-015","6.4119e-007","-1.3126e-014"
"","  22.4867e-11","6.4244e-007","1.9268e-011","3.4404e-007","5.1069e-009","-4.6614e-013","9.4952e-015","6.4119e-007","-1.3220e-014"
"","  23.4644e-11","6.4250e-007","1.9307e-011","3.5707e-007","5.1171e-009","-5.2653e-013","1.0017e-014","6.4119e-007","-1.2945e-014"
"","  24.4420e-11","6.4254e-007","1.9339e-011","3.6780e-007","5.1255e-009","-5.9357e-013","8.7197e-015","6.4119e-007","-1.3969e-014"
"","  25.4197e-11","6.4258e-007","1.9365e-011","3.7662e-007","5.1325e-009","-6.4604e-013","9.0067e-015","6.4119e-007","-1.2920e-014"
"","  26.3974e-11","6.4261e-007","1.9386e-011","3.8388e-007","5.1382e-009","-7.1511e-013","8.4372e-015","6.4119e-007","-1.2410e-014"
"","  27.3751e-11","6.4264e-007","1.9404e-011","3.8985e-007","5.1446e-009","-7.7098e-013","7.8425e-015","6.4119e-007","-1.2174e-014"
"","  28.3528e-11","6.4266e-007","1.9418e-011","3.9476e-007","5.3681e-009","-8.1036e-013","7.5639e-015","6.4119e-007","-1.1736e-014"
"","  29.3304e-11","6.4268e-007","1.9879e-011","3.9880e-007","5.6004e-009","-8.8052e-013","7.5686e-015","6.4119e-007","-1.0572e-014"
"","  30.3081e-11","6.4269e-007","2.0827e-011","4.0212e-007","5.7828e-009","-9.2171e-013","5.9474e-015","6.4119e-007","-1.0743e-014"
"","  31.2858e-11","6.4270e-007","2.1571e-011","4.0485e-007","5.9256e-009","-9.6264e-013","6.0526e-015","6.4119e-007","-9.2019e-015"
"","  32.2635e-11","6.4271e-007","2.2153e-011","4.0710e-007","6.0372e-009","-1.0079e-012","5.3894e-015","6.4119e-007","-8.6309e-015"
"","  33.2412e-11","6.4272e-007","2.2610e-011","4.0894e-007","6.1242e-009","-1.0428e-012","4.5732e-015","6.4119e-007","-8.4614e-015"
"","  34.2188e-11","6.4273e-007","5.8088e-006","4.1046e-007","5.8078e-006","-1.0765e-012","4.9511e-015","6.4119e-007","-6.8242e-015"
"","  35.1965e-11","6.4273e-007","2.4377e-005","4.1171e-007","2.4354e-005","-1.1228e-012","3.4707e-015","6.4119e-007","-6.8765e-015"
"","  36.1742e-11","6.4274e-007","4.7562e-005","4.1274e-007","4.7511e-005","-1.1393e-012","3.0272e-015","6.4119e-007","-5.8762e-015"
"","  37.1519e-11","6.4274e-007","8.1684e-005","4.1359e-007","8.1593e-005","-1.1741e-012","2.6439e-015","6.4119e-007","-5.1940e-015"
"","  38.1296e-11","6.4274e-007","1.5972e-004","4.1428e-007","1.5954e-004","-1.2149e-012","2.1728e-015","6.4119e-007","-4.8555e-015"
"","  39.1073e-11","6.4275e-007","2.4445e-004","4.1485e-007","2.4417e-004","-1.2351e-012","1.3936e-015","6.4119e-007","-4.6794e-015"
"","  40.0849e-11","6.4275e-007","3.3378e-004","4.1532e-007","3.3340e-004","-1.2746e-012","1.5817e-015","6.4119e-007","-3.4441e-015"
"","  41.0626e-11","6.4275e-007","4.7857e-004","4.1571e-007","4.7802e-004","-1.2967e-012","4.9582e-016","6.4119e-007","-3.7376e-015"
"","  42.0403e-11","6.4275e-007","6.3766e-004","4.2363e-007","6.3694e-004","-1.3102e-012","4.9924e-016","6.4119e-007","-3.3303e-015"
"","  43.0180e-11","6.4275e-007","8.0799e-004","4.3274e-007","8.0707e-004","-1.3436e-012","7.5946e-016","6.4119e-007","-2.9726e-015"
"","  43.9957e-11","6.4278e-007","1.0217e-003","4.3953e-007","1.0206e-003","-1.3752e-012","-1.2102e-016","6.4119e-007","-3.7322e-015"
"","  44.9733e-11","6.4281e-007","1.2416e-003","4.4453e-007","1.2402e-003","-1.3946e-012","6.6453e-016","6.4119e-007","-2.8199e-015"
"","  45.9510e-11","6.4284e-007","1.4687e-003","4.4816e-007","1.4671e-003","-1.4285e-012","2.8080e-016","6.4119e-007","-3.2484e-015"
"","  46.9287e-11","6.4286e-007","1.7478e-003","4.5076e-007","1.7459e-003","-1.4476e-012","4.7758e-016","6.4119e-007","-3.4720e-015"
"","  47.9064e-11","6.4287e-007","2.0417e-003","3.3325e-004","2.0395e-003","-1.4689e-012","9.1385e-016","6.4119e-007","-3.6900e-015"
"","  48.8841e-11","7.4074e-004","2.3410e-003","1.7863e-003","2.3385e-003","-1.5087e-012","1.3511e-015","6.4119e-007","-3.8067e-015"
"","  49.8618e-11","2.3216e-003","2.7015e-003","3.6206e-003","2.6985e-003","-1.5261e-012","1.0972e-015","6.4119e-007","-4.5187e-015"
"","  50.8394e-11","4.2613e-003","3.1044e-003","6.0142e-003","3.1010e-003","-1.5533e-012","2.0077e-015","6.4119e-007","-4.2525e-015"
"","  51.8171e-11","7.6986e-003","3.5147e-003","1.2174e-002","3.5109e-003","-1.5800e-012","2.2328e-015","6.4119e-007","-4.9610e-015"
"","  52.7948e-11","1.4273e-002","3.9521e-003","1.8984e-002","3.9479e-003","-1.6001e-012","2.5518e-015","6.4119e-007","-5.7194e-015"
"","  53.7725e-11","2.1182e-002","4.3995e-003","2.6084e-002","4.3948e-003","-1.6312e-012","3.7446e-015","6.4119e-007","-5.4804e-015"
"","  54.7502e-11","2.8953e-002","4.8537e-003","3.7279e-002","4.8486e-003","-1.6675e-012","3.3504e-015","6.4119e-007","-6.7381e-015"
"","  55.7278e-11","4.1262e-002","5.3389e-003","5.0090e-002","5.3332e-003","-1.6878e-012","4.3326e-015","6.4119e-007","-6.6597e-015"
"","  56.7055e-11","5.4178e-002","5.8421e-003","6.3579e-002","5.8360e-003","-1.7238e-012","4.7718e-015","6.4119e-007","-7.2710e-015"
"","  57.6832e-11","6.8682e-002","6.3524e-003","8.0607e-002","6.3457e-003","-1.7606e-012","5.2112e-015","6.4119e-007","-7.8836e-015"
"","  58.6609e-11","8.6135e-002","6.8534e-003","9.8322e-002","6.8463e-003","-1.7871e-012","5.5649e-015","6.4119e-007","-8.3009e-015"
"","  59.6386e-11","1.0397e-001","7.3365e-003","1.1649e-001","7.3289e-003","-1.8321e-012","6.1291e-015","6.4119e-007","-8.2309e-015"
"","  60.6163e-11","1.2279e-001","7.8232e-003","1.3860e-001","7.8151e-003","-1.8599e-012","5.9136e-015","6.4119e-007","-8.9102e-015"
"","  61.5939e-11","1.4601e-001","8.2798e-003","1.6228e-001","8.2721e-003","-1.8904e-012","6.4401e-015","6.4119e-007","-8.9178e-015"
"","  62.5716e-11","1.6984e-001","8.7232e-003","1.8641e-001","8.7203e-003","-1.9315e-012","6.8259e-015","6.4119e-007","-8.9820e-015"
"","  63.5493e-11","1.9411e-001","9.1713e-003","2.1467e-001","9.1707e-003","-1.9678e-012","6.3276e-015","6.4119e-007","-9.6851e-015"
"","  64.5270e-11","2.2484e-001","9.5998e-003","2.4714e-001","9.6007e-003","-2.0018e-012","7.1175e-015","6.4119e-007","-8.8840e-015"
"","  65.5047e-11","2.5751e-001","1.0001e-002","2.8021e-001","1.0015e-002","-2.0443e-012","6.4994e-015","6.4119e-007","-9.4432e-015"
"","  66.4823e-11","2.9103e-001","1.0408e-002","3.1528e-001","1.0431e-002","-2.0748e-012","6.6714e-015","6.4119e-007","-9.2236e-015"
