"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK1.HYP         Designer: alec"
"Created on: 11 February 2008   Time: 03:00:25 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: PPC-DDR2 (DDR_PRAS#)"
"Probe 1: U1.AM5 (at pin)"
"Probe 2: J8.188 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","3.2893e-001",DC,"3.3877e-001",DC
"","   0.9775e-11","3.2893e-001","-1.1182e-002","3.3877e-001","-3.2181e-009"
"","   1.9551e-11","3.2893e-001","-1.1184e-002","3.3877e-001","-3.0651e-009"
"","   2.9326e-11","3.2893e-001","-1.1186e-002","3.3877e-001","-4.2630e-009"
"","   3.9101e-11","3.2893e-001","-1.1187e-002","3.3877e-001","-4.0240e-009"
"","   4.8877e-11","3.2893e-001","-1.1189e-002","3.3877e-001","-3.8046e-009"
"","   5.8652e-11","3.2893e-001","-1.1190e-002","3.3877e-001","-3.5359e-009"
"","   6.8428e-11","3.2893e-001","-1.1191e-002","3.3877e-001","-3.1913e-009"
"","   7.8203e-11","3.2893e-001","-1.1191e-002","3.3877e-001","-2.8885e-009"
"","   8.7978e-11","3.2893e-001","-1.1192e-002","3.3877e-001","-3.0949e-009"
"","   9.7754e-11","3.2893e-001","-1.1192e-002","3.3877e-001","-2.7145e-009"
"","  10.7529e-11","3.2893e-001","-1.1193e-002","3.3877e-001","-2.3847e-009"
"","  11.7304e-11","3.2971e-001","-1.1193e-002","3.3877e-001","-2.0267e-009"
"","  12.7080e-11","3.3220e-001","-1.1193e-002","3.3877e-001","-1.7080e-009"
"","  13.6855e-11","3.3205e-001","-1.1194e-002","3.3877e-001","-1.6587e-009"
"","  14.6631e-11","3.3194e-001","-1.1194e-002","3.3877e-001","-1.4575e-009"
"","  15.6406e-11","3.3184e-001","-1.1194e-002","3.3877e-001","-1.1838e-009"
"","  16.6181e-11","3.3037e-001","-1.1194e-002","3.3877e-001","-9.6875e-010"
"","  17.5957e-11","3.3160e-001","-1.1194e-002","3.3877e-001","-7.6076e-010"
"","  18.5732e-11","3.3176e-001","-1.1194e-002","3.3877e-001","-6.2166e-010"
"","  19.5507e-11","3.3174e-001","-1.1194e-002","3.3877e-001","-7.0953e-010"
"","  20.5283e-11","3.3214e-001","-1.1195e-002","3.3877e-001","-5.6938e-010"
"","  21.5058e-11","3.3151e-001","-1.1195e-002","3.3877e-001","-4.9359e-010"
"","  22.4833e-11","3.3154e-001","-1.1195e-002","3.3877e-001","-4.5092e-010"
"","  23.4609e-11","3.3157e-001","-1.1195e-002","3.3877e-001","-4.4058e-010"
"","  24.4384e-11","3.3157e-001","-1.1155e-002","3.3877e-001","-4.7396e-010"
"","  25.4160e-11","3.3159e-001","-1.1158e-002","3.3877e-001","-6.0676e-010"
"","  26.3935e-11","3.3154e-001","-1.1161e-002","3.3877e-001","-6.3023e-010"
"","  27.3710e-11","3.3151e-001","-1.1163e-002","3.3877e-001","-6.8892e-010"
"","  28.3486e-11","3.3150e-001","-1.1123e-002","3.3877e-001","-7.5571e-010"
"","  29.3261e-11","3.3150e-001","-1.1161e-002","3.3877e-001","-8.4386e-010"
"","  30.3036e-11","3.3149e-001","-1.1166e-002","3.3877e-001","-1.0074e-009"
"","  31.2812e-11","3.3149e-001","-1.1164e-002","3.3877e-001","-1.0722e-009"
"","  32.2587e-11","3.3148e-001","-1.1159e-002","3.3877e-001","-1.1454e-009"
"","  33.2363e-11","3.3147e-001","-1.1146e-002","3.3877e-001","-1.2260e-009"
"","  34.2138e-11","3.3147e-001","-1.1138e-002","3.3877e-001","-1.3022e-009"
"","  35.1913e-11","3.3146e-001","-1.1118e-002","3.3877e-001","-1.3819e-009"
"","  36.1689e-11","3.3264e-001","-1.1091e-002","3.3877e-001","-1.4857e-009"
"","  37.1464e-11","3.3249e-001","-1.1058e-002","3.3877e-001","-1.5219e-009"
"","  38.1239e-11","3.3238e-001","-1.0985e-002","3.3877e-001","-1.5621e-009"
"","  39.1015e-11","3.3228e-001","-1.0888e-002","3.3877e-001","-1.5959e-009"
"","  40.0790e-11","3.3258e-001","-1.0787e-002","3.3877e-001","-1.6246e-009"
"","  41.0565e-11","3.3229e-001","-1.0653e-002","3.3877e-001","-1.6481e-009"
"","  42.0341e-11","3.3227e-001","-1.0483e-002","3.3877e-001","-1.6701e-009"
"","  43.0116e-11","3.3239e-001","-1.0308e-002","3.3877e-001","-1.6608e-009"
"","  43.9892e-11","3.3278e-001","-1.0107e-002","3.3877e-001","-1.6513e-009"
"","  44.9667e-11","3.3334e-001","-9.8459e-003","3.3877e-001","-1.6358e-009"
"","  45.9442e-11","3.3397e-001","-9.5787e-003","3.3877e-001","-1.6187e-009"
"","  46.9218e-11","3.3479e-001","-9.2574e-003","3.3877e-001","-1.6125e-009"
"","  47.8993e-11","3.3622e-001","-8.8929e-003","3.3877e-001","-1.5722e-009"
"","  48.8768e-11","3.3819e-001","-8.5415e-003","3.3877e-001","-1.5376e-009"
"","  49.8544e-11","3.4136e-001","-8.1498e-003","3.3877e-001","-1.5046e-009"
"","  50.8319e-11","3.4710e-001","-7.7207e-003","3.3877e-001","-1.4721e-009"
"","  51.8095e-11","3.5273e-001","-7.2815e-003","3.3877e-001","-1.4417e-009"
"","  52.7870e-11","3.5960e-001","-6.8187e-003","3.3877e-001","-1.4163e-009"
"","  53.7645e-11","3.6935e-001","-6.3360e-003","3.3877e-001","-1.3808e-009"
"","  54.7421e-11","3.7822e-001","-5.8351e-003","3.3877e-001","-1.3519e-009"
"","  55.7196e-11","3.8903e-001","-5.3207e-003","3.3877e-001","-1.3268e-009"
"","  56.6971e-11","4.0419e-001","-4.7879e-003","3.3877e-001","-1.3061e-009"
"","  57.6747e-11","4.1850e-001","-4.2572e-003","3.3877e-001","-1.2902e-009"
"","  58.6522e-11","4.3646e-001","-3.7083e-003","3.3877e-001","-1.2752e-009"
"","  59.6297e-11","4.5732e-001","-3.1760e-003","3.3877e-001","-1.2614e-009"
"","  60.6073e-11","4.7680e-001","-2.6474e-003","3.3877e-001","-1.2798e-009"
"","  61.5848e-11","4.9880e-001","-2.0909e-003","3.3877e-001","-2.2465e-009"
"","  62.5624e-11","5.2389e-001","-1.5496e-003","3.3877e-001","-2.3775e-009"
"","  63.5399e-11","5.4851e-001","-1.0109e-003","3.3877e-001","-3.4198e-009"
"","  64.5174e-11","5.7568e-001","-4.8687e-004","3.3877e-001","-3.5914e-009"
"","  65.4950e-11","6.0456e-001","9.8927e-006","3.3877e-001","-3.6189e-009"
"","  66.4725e-11","6.3304e-001","5.3056e-004","3.3877e-001","-3.8784e-009"
"","  67.4500e-11","6.6357e-001","1.0189e-003","3.3877e-001","-3.8082e-009"
"","  68.4276e-11","6.9481e-001","1.4911e-003","3.3877e-001","-3.7293e-009"
"","  69.4051e-11","7.2640e-001","1.9794e-003","3.3877e-001","-3.8767e-009"
"","  70.3826e-11","7.5883e-001","2.4348e-003","3.3877e-001","-3.5510e-009"
"","  71.3602e-11","7.9049e-001","2.8842e-003","3.3877e-001","-3.3177e-009"
