"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK1.HYP         Designer: alec"
"Created on: 11 February 2008   Time: 02:49:18 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: PPC-DDR2 (DDR_PRAS#)"
"Probe 1: U1.AP6 (at pin)"
"Probe 2: J8.61 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","3.2948e-001",DC,"3.3900e-001",DC
"","   0.9775e-11","3.2948e-001","-1.1174e-002","3.3900e-001","-3.2262e-009"
"","   1.9551e-11","3.2948e-001","-1.1176e-002","3.3900e-001","-3.0775e-009"
"","   2.9326e-11","3.2948e-001","-1.1178e-002","3.3900e-001","-4.2062e-009"
"","   3.9102e-11","3.2948e-001","-1.1180e-002","3.3900e-001","-3.9799e-009"
"","   4.8877e-11","3.2948e-001","-1.1181e-002","3.3900e-001","-3.7666e-009"
"","   5.8652e-11","3.2948e-001","-1.1182e-002","3.3900e-001","-3.4238e-009"
"","   6.8428e-11","3.2948e-001","-1.1183e-002","3.3900e-001","-3.1035e-009"
"","   7.8203e-11","3.2948e-001","-1.1184e-002","3.3900e-001","-3.4404e-009"
"","   8.7979e-11","3.2948e-001","-1.1184e-002","3.3900e-001","-3.0358e-009"
"","   9.7754e-11","3.2948e-001","-1.1185e-002","3.3900e-001","-2.6816e-009"
"","  10.7529e-11","3.2948e-001","-1.1185e-002","3.3900e-001","-2.1947e-009"
"","  11.7305e-11","3.3026e-001","-1.1185e-002","3.3900e-001","-1.8548e-009"
"","  12.7080e-11","3.3129e-001","-1.1186e-002","3.3900e-001","-1.9118e-009"
"","  13.6856e-11","3.3186e-001","-1.1186e-002","3.3900e-001","-1.5662e-009"
"","  14.6631e-11","3.3215e-001","-1.1186e-002","3.3900e-001","-1.2852e-009"
"","  15.6406e-11","3.3228e-001","-1.1186e-002","3.3900e-001","-1.0279e-009"
"","  16.6182e-11","3.3232e-001","-1.1187e-002","3.3900e-001","-8.3138e-010"
"","  17.5957e-11","3.3232e-001","-1.1187e-002","3.3900e-001","-8.6864e-010"
"","  18.5733e-11","3.3230e-001","-1.1187e-002","3.3900e-001","-6.9005e-010"
"","  19.5508e-11","3.3226e-001","-1.1187e-002","3.3900e-001","-5.5978e-010"
"","  20.5284e-11","3.3223e-001","-1.1187e-002","3.3900e-001","-4.9101e-010"
"","  21.5059e-11","3.3219e-001","-1.1187e-002","3.3900e-001","-4.6673e-010"
"","  22.4834e-11","3.3216e-001","-1.1187e-002","3.3900e-001","-5.6085e-010"
"","  23.4610e-11","3.3213e-001","-1.1097e-002","3.3900e-001","-5.3469e-010"
"","  24.4385e-11","3.3210e-001","-1.1123e-002","3.3900e-001","-5.4068e-010"
"","  25.4161e-11","3.3208e-001","-1.1138e-002","3.3900e-001","-5.8812e-010"
"","  26.3936e-11","3.3206e-001","-1.1147e-002","3.3900e-001","-6.7158e-010"
"","  27.3711e-11","3.3205e-001","-1.1153e-002","3.3900e-001","-7.8859e-010"
"","  28.3487e-11","3.3204e-001","-1.1157e-002","3.3900e-001","-8.5214e-010"
"","  29.3262e-11","3.3202e-001","-1.1157e-002","3.3900e-001","-9.2077e-010"
"","  30.3038e-11","3.3201e-001","-1.1156e-002","3.3900e-001","-1.0055e-009"
"","  31.2813e-11","3.3201e-001","-1.1154e-002","3.3900e-001","-1.1097e-009"
"","  32.2588e-11","3.3200e-001","-1.1147e-002","3.3900e-001","-1.2059e-009"
"","  33.2364e-11","3.3200e-001","-1.1140e-002","3.3900e-001","-1.2784e-009"
"","  34.2139e-11","3.3199e-001","-1.1132e-002","3.3900e-001","-1.3410e-009"
"","  35.1915e-11","3.3281e-001","-1.1113e-002","3.3900e-001","-1.4043e-009"
"","  36.1690e-11","3.3330e-001","-1.1088e-002","3.3900e-001","-1.4728e-009"
"","  37.1465e-11","3.3334e-001","-1.1058e-002","3.3900e-001","-1.5208e-009"
"","  38.1241e-11","3.3324e-001","-1.0992e-002","3.3900e-001","-1.5574e-009"
"","  39.1016e-11","3.3309e-001","-1.0906e-002","3.3900e-001","-1.5819e-009"
"","  40.0792e-11","3.3295e-001","-1.0816e-002","3.3900e-001","-1.6009e-009"
"","  41.0567e-11","3.3286e-001","-1.0694e-002","3.3900e-001","-1.6205e-009"
"","  42.0342e-11","3.3285e-001","-1.0542e-002","3.3900e-001","-1.6211e-009"
"","  43.0118e-11","3.3291e-001","-1.0386e-002","3.3900e-001","-1.6178e-009"
"","  43.9893e-11","3.3310e-001","-1.0204e-002","3.3900e-001","-1.6063e-009"
"","  44.9669e-11","3.3339e-001","-9.9706e-003","3.3900e-001","-1.5908e-009"
"","  45.9444e-11","3.3378e-001","-9.7300e-003","3.3900e-001","-1.5767e-009"
"","  46.9219e-11","3.3444e-001","-9.3805e-003","3.3900e-001","-1.5506e-009"
"","  47.8995e-11","3.3546e-001","-9.1014e-003","3.3900e-001","-1.5257e-009"
"","  48.8770e-11","3.3682e-001","-8.7977e-003","3.3900e-001","-1.4981e-009"
"","  49.8546e-11","3.3911e-001","-8.4474e-003","3.3900e-001","-1.4707e-009"
"","  50.8321e-11","3.4269e-001","-8.0624e-003","3.3900e-001","-1.4467e-009"
"","  51.8097e-11","3.4712e-001","-7.6676e-003","3.3900e-001","-1.4174e-009"
"","  52.7872e-11","3.5267e-001","-7.2502e-003","3.3900e-001","-1.3922e-009"
"","  53.7647e-11","3.5986e-001","-6.8014e-003","3.3900e-001","-1.3682e-009"
"","  54.7423e-11","3.6812e-001","-6.3422e-003","3.3900e-001","-1.3474e-009"
"","  55.7198e-11","3.7754e-001","-5.8695e-003","3.3900e-001","-1.3308e-009"
"","  56.6974e-11","3.8906e-001","-5.3860e-003","3.3900e-001","-1.3129e-009"
"","  57.6749e-11","4.0205e-001","-4.8934e-003","3.3900e-001","-1.2999e-009"
"","  58.6524e-11","4.1772e-001","-4.3798e-003","3.3900e-001","-1.2890e-009"
"","  59.6300e-11","4.3469e-001","-3.8850e-003","3.3900e-001","-1.4249e-009"
"","  60.6075e-11","4.5275e-001","-3.3845e-003","3.3900e-001","-1.8992e-009"
"","  61.5851e-11","4.7241e-001","-2.8171e-003","3.3900e-001","-2.1392e-009"
"","  62.5626e-11","4.9402e-001","-2.2854e-003","3.3900e-001","-2.2459e-009"
"","  63.5401e-11","5.1702e-001","-1.7731e-003","3.3900e-001","-2.2770e-009"
"","  64.5177e-11","5.4135e-001","-1.2210e-003","3.3900e-001","-2.3060e-009"
"","  65.4952e-11","5.6727e-001","-7.2118e-004","3.3900e-001","-2.5101e-009"
"","  66.4728e-11","5.9442e-001","-2.3974e-004","3.3900e-001","-2.5452e-009"
"","  67.4503e-11","6.2264e-001","2.8327e-004","3.3900e-001","-2.4855e-009"
"","  68.4278e-11","6.5176e-001","7.9303e-004","3.3942e-001","-2.3391e-009"
"","  69.4054e-11","6.8162e-001","1.2698e-003","3.4054e-001","-2.1859e-009"
"","  70.3829e-11","7.1225e-001","1.8232e-003","3.4115e-001","-2.1665e-009"
"","  71.3605e-11","7.4297e-001","2.2690e-003","3.4147e-001","-1.9910e-005"
"","  72.3380e-11","7.7367e-001","2.7100e-003","3.4162e-001","-3.5220e-005"
"","  73.3155e-11","8.0510e-001","3.2032e-003","3.4157e-001","-4.1326e-005"
"","  74.2931e-11","8.3638e-001","3.6717e-003","3.4113e-001","-4.2611e-005"
"","  75.2706e-11","8.6702e-001","4.1045e-003","3.4095e-001","-4.1239e-005"
"","  76.2482e-11","8.9738e-001","4.5479e-003","3.4092e-001","-4.7395e-005"
"","  77.2257e-11","9.2646e-001","4.9950e-003","3.4085e-001","-5.0735e-005"
"","  78.2032e-11","9.5422e-001","5.4267e-003","3.4083e-001","-4.8036e-005"
"","  79.1808e-11","9.8137e-001","5.8491e-003","3.4065e-001","-4.1810e-005"
"","  80.1583e-11","1.0077e+000","6.2543e-003","3.4069e-001","-3.3015e-005"
"","  81.1359e-11","1.0327e+000","6.6521e-003","3.4083e-001","-2.9328e-005"
"","  82.1134e-11","1.0573e+000","7.0416e-003","3.4109e-001","-2.5629e-005"
"","  83.0910e-11","1.0800e+000","7.3888e-003","3.4134e-001","-1.9395e-005"
"","  84.0685e-11","1.1011e+000","7.7491e-003","3.4141e-001","-1.2479e-005"
"","  85.0460e-11","1.1216e+000","8.1440e-003","3.4155e-001","-5.7707e-006"
"","  86.0236e-11","1.1413e+000","8.4527e-003","3.4170e-001","-1.8271e-006"
"","  87.0011e-11","1.1595e+000","8.7549e-003","3.4186e-001","1.4955e-006"
"","  87.9787e-11","1.1767e+000","9.0518e-003","3.4200e-001","5.9820e-006"
"","  88.9562e-11","1.1932e+000","9.2776e-003","3.4203e-001","1.0229e-005"
"","  89.9337e-11","1.2089e+000","9.5059e-003","3.4209e-001","1.3259e-005"
"","  90.9113e-11","1.2238e+000","9.7755e-003","3.4215e-001","1.4907e-005"
"","  91.8888e-11","1.2377e+000","9.9799e-003","3.4279e-001","1.5733e-005"
"","  92.8664e-11","1.2509e+000","1.0194e-002","3.4339e-001","1.7110e-005"
"","  93.8439e-11","1.2633e+000","1.0377e-002","3.4348e-001","1.8099e-005"
"","  94.8214e-11","1.2747e+000","1.0505e-002","3.4338e-001","-5.2135e-007"
"","  95.7990e-11","1.2855e+000","1.0653e-002","3.4322e-001","-6.0993e-006"
"","  96.7765e-11","1.2964e+000","1.0843e-002","3.4285e-001","-5.6208e-006"
"","  97.7541e-11","1.3063e+000","1.0974e-002","3.4248e-001","-2.5494e-006"
"","  98.7316e-11","1.3153e+000","1.1079e-002","3.4241e-001","4.6990e-007"
"","  99.7091e-11","1.3237e+000","1.1208e-002","3.4249e-001","-6.3707e-006"
""," 100.6867e-11","1.3309e+000","1.1330e-002","3.4261e-001","-7.5718e-006"
""," 101.6642e-11","1.3373e+000","1.1443e-002","3.4281e-001","-6.5124e-006"
""," 102.6418e-11","1.3437e+000","1.1550e-002","3.4305e-001","-4.5346e-006"
""," 103.6193e-11","1.3495e+000","1.1636e-002","3.4363e-001","-5.3366e-006"
""," 104.5968e-11","1.3548e+000","1.1726e-002","3.4458e-001","-1.3502e-005"
""," 105.5744e-11","1.3597e+000","1.1804e-002","3.4586e-001","-2.0933e-005"
