"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK1.HYP         Designer: alec"
"Created on: 11 February 2008   Time: 02:48:02 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: PPC-DDR2 (DDR_PRAS#)"
"Probe 1: U1.AN7 (at pin)"
"Probe 2: J8.58 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","3.2931e-001",DC,"3.3820e-001",DC
"","   0.9776e-11","3.2931e-001","-1.1184e-002","3.3820e-001","-3.2033e-009"
"","   1.9552e-11","3.2931e-001","-1.1186e-002","3.3820e-001","-3.0424e-009"
"","   2.9328e-11","3.2931e-001","-1.1188e-002","3.3820e-001","-3.9321e-009"
"","   3.9105e-11","3.2931e-001","-1.1189e-002","3.3820e-001","-5.4719e-009"
"","   4.8881e-11","3.2931e-001","-1.1190e-002","3.3820e-001","-5.4755e-009"
"","   5.8657e-11","3.2931e-001","-1.1191e-002","3.3820e-001","-5.4167e-009"
"","   6.8433e-11","3.2931e-001","-1.1192e-002","3.3820e-001","-3.7481e-009"
"","   7.8209e-11","3.2931e-001","-1.1192e-002","3.3820e-001","-3.9264e-009"
"","   8.7985e-11","3.2931e-001","-1.1193e-002","3.3820e-001","-3.7458e-009"
"","   9.7761e-11","3.2931e-001","-1.1193e-002","3.3820e-001","-4.4900e-009"
"","  10.7538e-11","3.2931e-001","-1.1194e-002","3.3820e-001","-3.8583e-009"
"","  11.7314e-11","3.3231e-001","-1.1194e-002","3.3820e-001","-2.7092e-009"
"","  12.7090e-11","3.3219e-001","-1.1194e-002","3.3820e-001","-1.9161e-009"
"","  13.6866e-11","3.3008e-001","-1.1195e-002","3.3820e-001","-1.4475e-009"
"","  14.6642e-11","3.3153e-001","-1.1195e-002","3.3820e-001","-2.1841e-009"
"","  15.6418e-11","3.3269e-001","-1.1195e-002","3.3820e-001","-1.8981e-009"
"","  16.6194e-11","3.3196e-001","-1.1195e-002","3.3820e-001","-1.1839e-009"
"","  17.5971e-11","3.3170e-001","-1.1195e-002","3.3820e-001","-4.3086e-011"
"","  18.5747e-11","3.3211e-001","-1.1195e-002","3.3820e-001","1.2878e-010"
"","  19.5523e-11","3.3213e-001","-1.1195e-002","3.3820e-001","-4.3728e-010"
"","  20.5299e-11","3.3198e-001","-1.1195e-002","3.3820e-001","-8.4895e-010"
"","  21.5075e-11","3.3199e-001","-1.1195e-002","3.3820e-001","-5.8919e-010"
"","  22.4851e-11","3.3201e-001","-1.1146e-002","3.3820e-001","1.5673e-010"
"","  23.4627e-11","3.3198e-001","-1.1150e-002","3.3820e-001","2.9838e-010"
"","  24.4404e-11","3.3194e-001","-1.1106e-002","3.3820e-001","-2.1561e-010"
"","  25.4180e-11","3.3193e-001","-1.1140e-002","3.3820e-001","-9.0029e-010"
"","  26.3956e-11","3.3193e-001","-1.1163e-002","3.3820e-001","-9.4343e-010"
"","  27.3732e-11","3.3191e-001","-1.1164e-002","3.3820e-001","-4.6847e-010"
"","  28.3508e-11","3.3190e-001","-1.1162e-002","3.3820e-001","-2.0614e-010"
"","  29.3284e-11","3.3189e-001","-1.1164e-002","3.3820e-001","-6.4998e-010"
"","  30.3060e-11","3.3189e-001","-1.1166e-002","3.3820e-001","-1.2588e-009"
"","  31.2837e-11","3.3188e-001","-1.1162e-002","3.3820e-001","-1.5148e-009"
"","  32.2613e-11","3.3187e-001","-1.1155e-002","3.3820e-001","-1.0817e-009"
"","  33.2389e-11","3.3235e-001","-1.1148e-002","3.3820e-001","-8.2642e-010"
"","  34.2165e-11","3.3314e-001","-1.1141e-002","3.3820e-001","-1.0310e-009"
"","  35.1941e-11","3.3301e-001","-1.1122e-002","3.3820e-001","-1.5755e-009"
"","  36.1717e-11","3.3300e-001","-1.1097e-002","3.3820e-001","-1.8187e-009"
"","  37.1493e-11","3.3282e-001","-1.1068e-002","3.3820e-001","-1.4899e-009"
"","  38.1270e-11","3.3213e-001","-1.1002e-002","3.3820e-001","-1.2097e-009"
"","  39.1046e-11","3.3309e-001","-1.0916e-002","3.3820e-001","-1.1998e-009"
"","  40.0822e-11","3.3361e-001","-1.0826e-002","3.3820e-001","-1.6937e-009"
"","  41.0598e-11","3.3250e-001","-1.0706e-002","3.3820e-001","-1.8562e-009"
"","  42.0374e-11","3.3243e-001","-1.0554e-002","3.3820e-001","-1.6986e-009"
"","  43.0150e-11","3.3335e-001","-1.0399e-002","3.3820e-001","-1.2881e-009"
"","  43.9926e-11","3.3353e-001","-1.0219e-002","3.3820e-001","-1.2405e-009"
"","  44.9703e-11","3.3355e-001","-9.9645e-003","3.3820e-001","-1.5974e-009"
"","  45.9479e-11","3.3436e-001","-9.7289e-003","3.3820e-001","-1.8111e-009"
"","  46.9255e-11","3.3576e-001","-9.4017e-003","3.3820e-001","-1.7209e-009"
