"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK1.HYP         Designer: alec"
"Created on: 11 February 2008   Time: 02:40:42 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: PPC-DDR2 (DDR_PRAS#)"
"Probe 1: U1.AG4 (at pin)"
"Probe 2: J8.196 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","3.2850e-001",DC,"3.3839e-001",DC
"","   0.9776e-11","3.2850e-001","-1.1189e-002","3.3839e-001","-3.2092e-009"
"","   1.9553e-11","3.2850e-001","-1.1191e-002","3.3839e-001","-3.0515e-009"
"","   2.9329e-11","3.2850e-001","-1.1193e-002","3.3839e-001","-4.2480e-009"
"","   3.9105e-11","3.2850e-001","-1.1194e-002","3.3839e-001","-4.0022e-009"
"","   4.8881e-11","3.2850e-001","-1.1195e-002","3.3839e-001","-3.7762e-009"
"","   5.8658e-11","3.2850e-001","-1.1196e-002","3.3839e-001","-3.4310e-009"
"","   6.8434e-11","3.2850e-001","-1.1197e-002","3.3839e-001","-3.0929e-009"
"","   7.8210e-11","3.2850e-001","-1.1198e-002","3.3839e-001","-3.4673e-009"
"","   8.7987e-11","3.2850e-001","-1.1198e-002","3.3839e-001","-2.9016e-009"
"","   9.7763e-11","3.2850e-001","-1.1199e-002","3.3839e-001","-2.5403e-009"
"","  10.7539e-11","3.2850e-001","-1.1199e-002","3.3839e-001","-2.1772e-009"
"","  11.7316e-11","3.2960e-001","-1.1200e-002","3.3839e-001","-1.8395e-009"
"","  12.7092e-11","3.3160e-001","-1.1200e-002","3.3839e-001","-1.8440e-009"
"","  13.6868e-11","3.3147e-001","-1.1200e-002","3.3839e-001","-1.5479e-009"
"","  14.6645e-11","3.3136e-001","-1.1200e-002","3.3839e-001","-1.2531e-009"
"","  15.6421e-11","3.2934e-001","-1.1200e-002","3.3839e-001","-1.0079e-009"
"","  16.6197e-11","3.3083e-001","-1.1200e-002","3.3839e-001","-8.1134e-010"
"","  17.5973e-11","3.3120e-001","-1.1201e-002","3.3839e-001","-6.8055e-010"
"","  18.5750e-11","3.3155e-001","-1.1201e-002","3.3839e-001","-6.8700e-010"
"","  19.5526e-11","3.3115e-001","-1.1201e-002","3.3839e-001","-5.8758e-010"
"","  20.5302e-11","3.3104e-001","-1.1201e-002","3.3839e-001","-5.1130e-010"
"","  21.5079e-11","3.3108e-001","-1.1201e-002","3.3839e-001","-4.7609e-010"
"","  22.4855e-11","3.3107e-001","-1.1201e-002","3.3839e-001","-4.8080e-010"
"","  23.4631e-11","3.3114e-001","-1.1201e-002","3.3839e-001","-5.7724e-010"
"","  24.4407e-11","3.3107e-001","-1.1164e-002","3.3839e-001","-6.1815e-010"
"","  25.4184e-11","3.3106e-001","-1.1167e-002","3.3839e-001","-6.5898e-010"
"","  26.3960e-11","3.3101e-001","-1.1170e-002","3.3839e-001","-7.2181e-010"
"","  27.3736e-11","3.3102e-001","-1.1120e-002","3.3839e-001","-8.0423e-010"
"","  28.3513e-11","3.3101e-001","-1.1164e-002","3.3839e-001","-9.3278e-010"
"","  29.3289e-11","3.3101e-001","-1.1175e-002","3.3839e-001","-1.0242e-009"
"","  30.3065e-11","3.3099e-001","-1.1176e-002","3.3839e-001","-1.0980e-009"
"","  31.2842e-11","3.3099e-001","-1.1173e-002","3.3839e-001","-1.1774e-009"
"","  32.2618e-11","3.3098e-001","-1.1161e-002","3.3839e-001","-1.2588e-009"
"","  33.2394e-11","3.3098e-001","-1.1154e-002","3.3839e-001","-1.3598e-009"
"","  34.2170e-11","3.3098e-001","-1.1145e-002","3.3839e-001","-1.4250e-009"
"","  35.1947e-11","3.3097e-001","-1.1126e-002","3.3839e-001","-1.4749e-009"
"","  36.1723e-11","3.3200e-001","-1.1095e-002","3.3839e-001","-1.5195e-009"
"","  37.1499e-11","3.3187e-001","-1.1060e-002","3.3839e-001","-1.5573e-009"
"","  38.1276e-11","3.3177e-001","-1.0982e-002","3.3839e-001","-1.5947e-009"
"","  39.1052e-11","3.3230e-001","-1.0879e-002","3.3839e-001","-1.6128e-009"
"","  40.0828e-11","3.3179e-001","-1.0772e-002","3.3839e-001","-1.6243e-009"
"","  41.0605e-11","3.3160e-001","-1.0630e-002","3.3839e-001","-1.6236e-009"
"","  42.0381e-11","3.3168e-001","-1.0450e-002","3.3839e-001","-1.6167e-009"
"","  43.0157e-11","3.3160e-001","-1.0265e-002","3.3839e-001","-1.6053e-009"
"","  43.9933e-11","3.3271e-001","-1.0054e-002","3.3839e-001","-1.5904e-009"
"","  44.9710e-11","3.3290e-001","-9.7761e-003","3.3839e-001","-1.5692e-009"
"","  45.9486e-11","3.3378e-001","-9.4933e-003","3.3839e-001","-1.5418e-009"
"","  46.9262e-11","3.3383e-001","-9.1546e-003","3.3839e-001","-1.5124e-009"
"","  47.9039e-11","3.3560e-001","-8.7746e-003","3.3839e-001","-1.4833e-009"
"","  48.8815e-11","3.3761e-001","-8.4024e-003","3.3839e-001","-1.4557e-009"
"","  49.8591e-11","3.4138e-001","-7.9894e-003","3.3839e-001","-1.4275e-009"
"","  50.8368e-11","3.4668e-001","-7.5199e-003","3.3839e-001","-1.3984e-009"
"","  51.8144e-11","3.5244e-001","-7.0666e-003","3.3839e-001","-1.3710e-009"
"","  52.7920e-11","3.5948e-001","-6.5981e-003","3.3839e-001","-1.3471e-009"
"","  53.7696e-11","3.6790e-001","-6.0822e-003","3.3839e-001","-1.3276e-009"
"","  54.7473e-11","3.7789e-001","-5.5470e-003","3.3839e-001","-1.3106e-009"
"","  55.7249e-11","3.8912e-001","-5.0223e-003","3.3839e-001","-1.2944e-009"
"","  56.7025e-11","4.0313e-001","-4.4621e-003","3.3839e-001","-1.2820e-009"
"","  57.6802e-11","4.1856e-001","-3.9023e-003","3.3839e-001","-1.2736e-009"
"","  58.6578e-11","4.3708e-001","-3.3153e-003","3.3839e-001","-1.2693e-009"
"","  59.6354e-11","4.5671e-001","-2.7628e-003","3.3839e-001","-1.2668e-009"
"","  60.6131e-11","4.7697e-001","-2.2097e-003","3.3839e-001","-1.2876e-009"
"","  61.5907e-11","4.9949e-001","-1.6344e-003","3.3839e-001","-2.1569e-009"
"","  62.5683e-11","5.2366e-001","-1.0587e-003","3.3839e-001","-2.7709e-009"
"","  63.5459e-11","5.5033e-001","-4.9894e-004","3.3839e-001","-3.5145e-009"
"","  64.5236e-11","5.7728e-001","4.8905e-005","3.3839e-001","-3.6585e-009"
"","  65.5012e-11","6.0560e-001","6.0068e-004","3.3839e-001","-3.7301e-009"
"","  66.4788e-11","6.3527e-001","1.1198e-003","3.3839e-001","-3.8825e-009"
"","  67.4565e-11","6.6668e-001","1.6215e-003","3.3839e-001","-3.8549e-009"
"","  68.4341e-11","6.9810e-001","2.1400e-003","3.3839e-001","-4.0719e-009"
"","  69.4117e-11","7.3031e-001","2.6304e-003","3.3839e-001","-3.7844e-009"
"","  70.3894e-11","7.6365e-001","3.0938e-003","3.3839e-001","-3.4999e-009"
"","  71.3670e-11","7.9571e-001","3.5869e-003","3.3839e-001","-3.2451e-009"
"","  72.3446e-11","8.2757e-001","4.0568e-003","3.4049e-001","-2.9928e-009"
"","  73.3222e-11","8.6032e-001","4.5004e-003","3.4106e-001","-2.8605e-009"
"","  74.2999e-11","8.9258e-001","4.9782e-003","3.4114e-001","-2.2555e-005"
"","  75.2775e-11","9.2463e-001","5.3982e-003","3.4084e-001","-4.9454e-005"
"","  76.2551e-11","9.5532e-001","5.7789e-003","3.4079e-001","-5.1550e-005"
"","  77.2328e-11","9.8345e-001","6.2096e-003","3.4012e-001","-4.7329e-005"
"","  78.2104e-11","1.0115e+000","6.6530e-003","3.3981e-001","-3.5531e-005"
"","  79.1880e-11","1.0384e+000","7.0027e-003","3.3987e-001","-3.8703e-005"
"","  80.1657e-11","1.0648e+000","7.3879e-003","3.4003e-001","-5.4077e-005"
"","  81.1433e-11","1.0894e+000","7.7626e-003","3.4021e-001","-4.6382e-005"
"","  82.1209e-11","1.1118e+000","8.1191e-003","3.3999e-001","-3.6054e-005"
"","  83.0985e-11","1.1337e+000","8.4605e-003","3.4008e-001","-2.3777e-005"
"","  84.0762e-11","1.1547e+000","8.7864e-003","3.4037e-001","-1.9021e-005"
"","  85.0538e-11","1.1747e+000","9.1025e-003","3.4062e-001","-2.4340e-005"
"","  86.0314e-11","1.1942e+000","9.4202e-003","3.4086e-001","-1.8583e-005"
"","  87.0091e-11","1.2105e+000","9.6713e-003","3.4083e-001","-9.9136e-006"
"","  87.9867e-11","1.2252e+000","9.9378e-003","3.4087e-001","-7.2657e-007"
"","  88.9643e-11","1.2400e+000","1.0188e-002","3.4107e-001","4.2251e-006"
"","  89.9420e-11","1.2554e+000","1.0395e-002","3.4125e-001","3.0131e-006"
"","  90.9196e-11","1.2694e+000","1.0599e-002","3.4140e-001","5.5315e-006"
"","  91.8972e-11","1.2816e+000","1.0773e-002","3.4141e-001","1.0055e-005"
"","  92.8748e-11","1.2924e+000","1.0929e-002","3.4137e-001","1.4730e-005"
"","  93.8525e-11","1.3029e+000","1.1069e-002","3.4143e-001","1.7169e-005"
"","  94.8301e-11","1.3134e+000","1.1205e-002","3.4150e-001","1.5901e-005"
"","  95.8077e-11","1.3228e+000","1.1344e-002","3.4210e-001","1.5277e-005"
"","  96.7854e-11","1.3318e+000","1.1451e-002","3.4232e-001","1.5894e-005"
"","  97.7630e-11","1.3405e+000","1.1568e-002","3.4223e-001","1.6626e-005"
"","  98.7406e-11","1.3469e+000","1.1676e-002","3.4233e-001","1.8408e-006"
"","  99.7183e-11","1.3535e+000","1.1742e-002","3.4260e-001","-1.2421e-006"
""," 100.6959e-11","1.3594e+000","1.1829e-002","3.4199e-001","-1.3191e-006"
""," 101.6735e-11","1.3653e+000","1.1909e-002","3.4162e-001","-1.2401e-005"
""," 102.6511e-11","1.3703e+000","1.1960e-002","3.4134e-001","-6.4809e-006"
""," 103.6288e-11","1.3742e+000","1.2023e-002","3.4184e-001","-5.8407e-006"
""," 104.6064e-11","1.3777e+000","1.2107e-002","3.4210e-001","-3.8631e-006"
""," 105.5840e-11","1.3806e+000","1.2176e-002","3.4265e-001","-3.4777e-006"
""," 106.5617e-11","1.3833e+000","1.2212e-002","3.4325e-001","-1.8700e-005"
""," 107.5393e-11","1.3867e+000","1.2259e-002","3.4456e-001","-2.4587e-005"
""," 108.5169e-11","1.3890e+000","1.2304e-002","3.4603e-001","-3.0804e-005"
""," 109.4946e-11","1.3912e+000","1.2357e-002","3.4801e-001","-4.4091e-005"
""," 110.4722e-11","1.3931e+000","1.2381e-002","3.5229e-001","-6.7813e-005"
""," 111.4498e-11","1.3941e+000","1.2413e-002","3.5733e-001","-1.0466e-004"
""," 112.4274e-11","1.3955e+000","1.2449e-002","3.6295e-001","-1.6452e-004"
""," 113.4051e-11","1.3971e+000","1.2460e-002","3.7026e-001","-2.5170e-004"
""," 114.3827e-11","1.3980e+000","1.2469e-002","3.7865e-001","-3.4856e-004"
""," 115.3603e-11","1.3991e+000","1.2494e-002","3.8727e-001","-4.6569e-004"
""," 116.3380e-11","1.4001e+000","1.2498e-002","3.9779e-001","-6.1743e-004"
""," 117.3156e-11","1.4017e+000","1.2499e-002","4.1013e-001","-7.8385e-004"
""," 118.2932e-11","1.4024e+000","1.2506e-002","4.2347e-001","-9.7011e-004"
""," 119.2709e-11","1.4026e+000","1.2507e-002","4.3914e-001","-1.1941e-003"
""," 120.2485e-11","1.4031e+000","1.2511e-002","4.5583e-001","-1.4298e-003"
""," 121.2261e-11","1.4044e+000","1.2516e-002","4.7309e-001","-1.7028e-003"
""," 122.2037e-11","1.4047e+000","1.2530e-002","4.9231e-001","-1.9960e-003"
""," 123.1814e-11","1.4051e+000","1.2536e-002","5.1338e-001","-2.2789e-003"
""," 124.1590e-11","1.4056e+000","1.2529e-002","5.3420e-001","-2.5789e-003"
""," 125.1366e-11","1.4056e+000","1.2543e-002","5.5684e-001","-2.8944e-003"
""," 126.1143e-11","1.4057e+000","1.2534e-002","5.8145e-001","-3.2074e-003"
