"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK1.HYP         Designer: alec"
"Created on: 11 February 2008   Time: 02:14:28 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: PPC-DDR2 (DDR_PRAS#)"
"Probe 1: U1.AJ3 (at pin)"
"Probe 2: J8.71 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","3.2908e-001",DC,"3.3868e-001",DC
"","   0.9778e-11","3.2908e-001","-1.1180e-002","3.3868e-001","-3.2077e-009"
"","   1.9556e-11","3.2908e-001","-1.1183e-002","3.3868e-001","-3.0467e-009"
"","   2.9333e-11","3.2908e-001","-1.1184e-002","3.3868e-001","-4.2575e-009"
"","   3.9111e-11","3.2908e-001","-1.1186e-002","3.3868e-001","-4.0048e-009"
"","   4.8889e-11","3.2908e-001","-1.1187e-002","3.3868e-001","-3.7723e-009"
"","   5.8667e-11","3.2908e-001","-1.1188e-002","3.3868e-001","-3.4326e-009"
"","   6.8444e-11","3.2908e-001","-1.1189e-002","3.3868e-001","-3.0904e-009"
"","   7.8222e-11","3.2908e-001","-1.1190e-002","3.3868e-001","-3.4495e-009"
"","   8.8000e-11","3.2908e-001","-1.1190e-002","3.3868e-001","-3.0158e-009"
"","   9.7778e-11","3.2908e-001","-1.1191e-002","3.3868e-001","-2.6409e-009"
"","  10.7555e-11","3.3231e-001","-1.1191e-002","3.3868e-001","-2.2728e-009"
"","  11.7333e-11","3.3219e-001","-1.1191e-002","3.3868e-001","-1.8052e-009"
"","  12.7111e-11","3.3206e-001","-1.1192e-002","3.3868e-001","-1.7318e-009"
"","  13.6889e-11","3.3195e-001","-1.1192e-002","3.3868e-001","-1.5418e-009"
"","  14.6666e-11","3.3157e-001","-1.1192e-002","3.3868e-001","-1.2537e-009"
"","  15.6444e-11","3.3114e-001","-1.1192e-002","3.3868e-001","-1.0249e-009"
"","  16.6222e-11","3.3176e-001","-1.1192e-002","3.3868e-001","-8.2595e-010"
"","  17.6000e-11","3.3181e-001","-1.1193e-002","3.3868e-001","-6.9824e-010"
"","  18.5778e-11","3.3178e-001","-1.1193e-002","3.3868e-001","-7.2462e-010"
"","  19.5555e-11","3.3188e-001","-1.1193e-002","3.3868e-001","-6.0014e-010"
"","  20.5333e-11","3.3158e-001","-1.1193e-002","3.3868e-001","-5.3142e-010"
"","  21.5111e-11","3.3162e-001","-1.1149e-002","3.3868e-001","-5.2669e-010"
"","  22.4889e-11","3.3162e-001","-1.1153e-002","3.3868e-001","-5.2962e-010"
"","  23.4666e-11","3.3157e-001","-1.1156e-002","3.3868e-001","-6.2277e-010"
"","  24.4444e-11","3.3164e-001","-1.1158e-002","3.3868e-001","-6.3048e-010"
"","  25.4222e-11","3.3158e-001","-1.1152e-002","3.3868e-001","-6.6657e-010"
"","  26.4000e-11","3.3156e-001","-1.1151e-002","3.3868e-001","-7.4470e-010"
"","  27.3777e-11","3.3155e-001","-1.1165e-002","3.3868e-001","-8.2885e-010"
"","  28.3555e-11","3.3153e-001","-1.1167e-002","3.3868e-001","-9.4479e-010"
"","  29.3333e-11","3.3154e-001","-1.1167e-002","3.3868e-001","-1.0031e-009"
"","  30.3111e-11","3.3154e-001","-1.1167e-002","3.3868e-001","-1.0721e-009"
"","  31.2888e-11","3.3153e-001","-1.1159e-002","3.3868e-001","-1.1509e-009"
"","  32.2666e-11","3.3281e-001","-1.1153e-002","3.3868e-001","-1.2431e-009"
"","  33.2444e-11","3.3265e-001","-1.1147e-002","3.3868e-001","-1.3170e-009"
