"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK1.HYP         Designer: alec"
"Created on: 11 February 2008   Time: 02:28:25 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: PPC-DDR2 (DDR_PRAS#)"
"Probe 1: U1.AK3 (at pin)"
"Probe 2: J8.54 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","3.2928e-001",DC,"3.3810e-001",DC
"","   0.9776e-11","3.2928e-001","-1.1168e-002","3.3810e-001","-3.1902e-009"
"","   1.9553e-11","3.2928e-001","-1.1171e-002","3.3810e-001","-4.1142e-009"
"","   2.9329e-11","3.2928e-001","-1.1173e-002","3.3810e-001","-4.0361e-009"
"","   3.9105e-11","3.2928e-001","-1.1175e-002","3.3810e-001","-3.7821e-009"
"","   4.8881e-11","3.2928e-001","-1.1177e-002","3.3810e-001","-3.3688e-009"
"","   5.8658e-11","3.2928e-001","-1.1178e-002","3.3810e-001","-3.4473e-009"
"","   6.8434e-11","3.2928e-001","-1.1179e-002","3.3810e-001","-3.1933e-009"
"","   7.8210e-11","3.2928e-001","-1.1180e-002","3.3810e-001","-2.7550e-009"
"","   8.7987e-11","3.2928e-001","-1.1181e-002","3.3810e-001","-2.2941e-009"
"","   9.7763e-11","3.2928e-001","-1.1182e-002","3.3810e-001","-2.4940e-009"
"","  10.7539e-11","3.2928e-001","-1.1182e-002","3.3810e-001","-2.5833e-009"
"","  11.7316e-11","3.2928e-001","-1.1183e-002","3.3810e-001","-2.3749e-009"
"","  12.7092e-11","3.2928e-001","-1.1183e-002","3.3810e-001","-2.1096e-009"
"","  13.6868e-11","3.3021e-001","-1.1183e-002","3.3810e-001","-2.1033e-009"
"","  14.6645e-11","3.3285e-001","-1.1184e-002","3.3810e-001","-2.0712e-009"
"","  15.6421e-11","3.3267e-001","-1.1184e-002","3.3810e-001","-1.8372e-009"
"","  16.6197e-11","3.3253e-001","-1.1184e-002","3.3810e-001","-1.0104e-009"
"","  17.5973e-11","3.3011e-001","-1.1184e-002","3.3810e-001","-1.2842e-009"
"","  18.5750e-11","3.3188e-001","-1.1184e-002","3.3810e-001","-1.3898e-009"
"","  19.5526e-11","3.3231e-001","-1.1184e-002","3.3810e-001","-1.2842e-009"
"","  20.5302e-11","3.3263e-001","-1.1184e-002","3.3810e-001","-1.1064e-009"
"","  21.5079e-11","3.3224e-001","-1.1184e-002","3.3810e-001","-1.1282e-009"
"","  22.4855e-11","3.3209e-001","-1.1184e-002","3.3810e-001","-1.1124e-009"
"","  23.4631e-11","3.3213e-001","-1.1185e-002","3.3810e-001","-1.0487e-009"
"","  24.4407e-11","3.3210e-001","-1.1185e-002","3.3810e-001","-1.1581e-009"
"","  25.4184e-11","3.3218e-001","-1.1185e-002","3.3810e-001","-1.1119e-009"
"","  26.3960e-11","3.3210e-001","-1.1185e-002","3.3810e-001","-1.0907e-009"
"","  27.3736e-11","3.3208e-001","-1.1185e-002","3.3810e-001","-1.1019e-009"
"","  28.3513e-11","3.3202e-001","-1.1142e-002","3.3810e-001","-1.3494e-009"
"","  29.3289e-11","3.3203e-001","-1.1144e-002","3.3810e-001","-1.2773e-009"
"","  30.3065e-11","3.3203e-001","-1.1145e-002","3.3810e-001","-1.1028e-009"
"","  31.2842e-11","3.3201e-001","-1.1080e-002","3.3810e-001","-1.2404e-009"
"","  32.2618e-11","3.3200e-001","-1.1125e-002","3.3810e-001","-1.5228e-009"
