"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK1.HYP         Designer: alec"
"Created on: 11 February 2008   Time: 02:31:26 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: PPC-DDR2 (DDR_PRAS#)"
"Probe 1: U1.AP8 (at pin)"
"Probe 2: J8.190 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","3.2948e-001",DC,"3.3929e-001",DC
"","   0.9775e-11","3.2948e-001","-1.1171e-002","3.3929e-001","-3.2135e-009"
"","   1.9550e-11","3.2948e-001","-1.1174e-002","3.3929e-001","-3.0521e-009"
"","   2.9325e-11","3.2948e-001","-1.1176e-002","3.3929e-001","-4.2750e-009"
"","   3.9101e-11","3.2948e-001","-1.1177e-002","3.3929e-001","-4.0216e-009"
"","   4.8876e-11","3.2948e-001","-1.1179e-002","3.3929e-001","-3.7889e-009"
"","   5.8651e-11","3.2948e-001","-1.1180e-002","3.3929e-001","-3.4538e-009"
"","   6.8426e-11","3.2948e-001","-1.1181e-002","3.3929e-001","-3.1094e-009"
"","   7.8201e-11","3.2948e-001","-1.1181e-002","3.3929e-001","-3.4903e-009"
"","   8.7976e-11","3.2948e-001","-1.1182e-002","3.3929e-001","-3.0506e-009"
"","   9.7751e-11","3.2948e-001","-1.1183e-002","3.3929e-001","-2.5354e-009"
"","  10.7526e-11","3.2948e-001","-1.1183e-002","3.3929e-001","-2.1853e-009"
"","  11.7302e-11","3.3282e-001","-1.1183e-002","3.3929e-001","-1.8496e-009"
"","  12.7077e-11","3.3268e-001","-1.1184e-002","3.3929e-001","-1.6352e-009"
"","  13.6852e-11","3.3254e-001","-1.1184e-002","3.3929e-001","-1.5674e-009"
"","  14.6627e-11","3.3243e-001","-1.1184e-002","3.3929e-001","-1.2667e-009"
"","  15.6402e-11","3.3233e-001","-1.1184e-002","3.3929e-001","-1.0371e-009"
"","  16.6177e-11","3.3112e-001","-1.1185e-002","3.3929e-001","-8.2951e-010"
"","  17.5952e-11","3.3217e-001","-1.1185e-002","3.3929e-001","-6.8886e-010"
"","  18.5727e-11","3.3225e-001","-1.1185e-002","3.3929e-001","-7.1855e-010"
"","  19.5503e-11","3.3220e-001","-1.1185e-002","3.3929e-001","-6.1138e-010"
"","  20.5278e-11","3.3216e-001","-1.1185e-002","3.3929e-001","-5.4598e-010"
"","  21.5053e-11","3.3212e-001","-1.1185e-002","3.3929e-001","-5.0027e-010"
"","  22.4828e-11","3.3201e-001","-1.1185e-002","3.3929e-001","-5.0448e-010"
"","  23.4603e-11","3.3204e-001","-1.1141e-002","3.3929e-001","-6.1148e-010"
"","  24.4378e-11","3.3204e-001","-1.1144e-002","3.3929e-001","-6.1888e-010"
"","  25.4153e-11","3.3202e-001","-1.1147e-002","3.3929e-001","-6.8544e-010"
"","  26.3929e-11","3.3200e-001","-1.1149e-002","3.3929e-001","-7.4036e-010"
"","  27.3704e-11","3.3200e-001","-1.1151e-002","3.3929e-001","-8.1799e-010"
"","  28.3479e-11","3.3198e-001","-1.1133e-002","3.3929e-001","-9.1930e-010"
"","  29.3254e-11","3.3197e-001","-1.1155e-002","3.3929e-001","-1.0131e-009"
"","  30.3029e-11","3.3196e-001","-1.1154e-002","3.3929e-001","-1.1081e-009"
"","  31.2804e-11","3.3196e-001","-1.1152e-002","3.3929e-001","-1.1804e-009"
"","  32.2579e-11","3.3196e-001","-1.1145e-002","3.3929e-001","-1.2563e-009"
"","  33.2354e-11","3.3195e-001","-1.1140e-002","3.3929e-001","-1.3297e-009"
"","  34.2130e-11","3.3221e-001","-1.1129e-002","3.3929e-001","-1.4090e-009"
"","  35.1905e-11","3.3323e-001","-1.1111e-002","3.3929e-001","-1.4701e-009"
"","  36.1680e-11","3.3309e-001","-1.1087e-002","3.3929e-001","-1.5101e-009"
"","  37.1455e-11","3.3297e-001","-1.1058e-002","3.3929e-001","-1.5463e-009"
"","  38.1230e-11","3.3287e-001","-1.0992e-002","3.3929e-001","-1.5746e-009"
"","  39.1005e-11","3.3280e-001","-1.0906e-002","3.3929e-001","-1.6035e-009"
"","  40.0780e-11","3.3282e-001","-1.0816e-002","3.3929e-001","-1.6088e-009"
"","  41.0556e-11","3.3279e-001","-1.0698e-002","3.3929e-001","-1.6146e-009"
"","  42.0331e-11","3.3289e-001","-1.0546e-002","3.3929e-001","-1.6092e-009"
"","  43.0106e-11","3.3311e-001","-1.0391e-002","3.3929e-001","-1.5974e-009"
"","  43.9881e-11","3.3353e-001","-1.0209e-002","3.3929e-001","-1.5843e-009"
"","  44.9656e-11","3.3368e-001","-9.9762e-003","3.3929e-001","-1.5631e-009"
"","  45.9431e-11","3.3463e-001","-9.7215e-003","3.3929e-001","-1.5421e-009"
"","  46.9206e-11","3.3582e-001","-9.4332e-003","3.3929e-001","-1.5142e-009"
"","  47.8981e-11","3.3739e-001","-9.1244e-003","3.3929e-001","-1.4866e-009"
"","  48.8757e-11","3.3938e-001","-8.8078e-003","3.3929e-001","-1.4591e-009"
"","  49.8532e-11","3.4410e-001","-8.4548e-003","3.3929e-001","-1.4329e-009"
"","  50.8307e-11","3.4942e-001","-8.0699e-003","3.3929e-001","-1.4087e-009"
"","  51.8082e-11","3.5495e-001","-7.6746e-003","3.3929e-001","-1.3815e-009"
"","  52.7857e-11","3.6308e-001","-7.2658e-003","3.3929e-001","-1.3592e-009"
"","  53.7632e-11","3.7253e-001","-6.8204e-003","3.3929e-001","-1.3389e-009"
"","  54.7407e-11","3.8166e-001","-6.3639e-003","3.3929e-001","-1.3224e-009"
"","  55.7182e-11","3.9387e-001","-5.8963e-003","3.3929e-001","-1.3075e-009"
