"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK1.HYP         Designer: alec"
"Created on: 11 February 2008   Time: 02:00:26 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: PPC-DDR2 (DDR_PRAS#)"
"Probe 1: U1.AH4 (at pin)"
"Probe 2: J8.74 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","3.2876e-001",DC,"3.3812e-001",DC
"","   0.9779e-11","3.2876e-001","-1.1189e-002","3.3812e-001","-3.1931e-009"
"","   1.9558e-11","3.2876e-001","-1.1191e-002","3.3812e-001","-4.4414e-009"
"","   2.9337e-11","3.2876e-001","-1.1193e-002","3.3812e-001","-4.1575e-009"
"","   3.9116e-11","3.2876e-001","-1.1194e-002","3.3812e-001","-3.8027e-009"
"","   4.8895e-11","3.2876e-001","-1.1195e-002","3.3812e-001","-3.7167e-009"
"","   5.8674e-11","3.2876e-001","-1.1196e-002","3.3812e-001","-3.5963e-009"
"","   6.8453e-11","3.2876e-001","-1.1197e-002","3.3812e-001","-3.1316e-009"
"","   7.8233e-11","3.2876e-001","-1.1197e-002","3.3812e-001","-2.6657e-009"
"","   8.8012e-11","3.2876e-001","-1.1198e-002","3.3812e-001","-2.5487e-009"
"","   9.7791e-11","3.2876e-001","-1.1198e-002","3.3812e-001","-2.1081e-009"
"","  10.7570e-11","3.3175e-001","-1.1198e-002","3.3812e-001","-1.7426e-009"
"","  11.7349e-11","3.3163e-001","-1.1199e-002","3.3812e-001","-1.5341e-009"
"","  12.7128e-11","3.3153e-001","-1.1199e-002","3.3812e-001","-1.1944e-009"
"","  13.6907e-11","3.2923e-001","-1.1199e-002","3.3812e-001","-9.7721e-010"
"","  14.6686e-11","3.3090e-001","-1.1199e-002","3.3812e-001","-8.3779e-010"
"","  15.6465e-11","3.3134e-001","-1.1199e-002","3.3812e-001","-7.9828e-010"
"","  16.6244e-11","3.3146e-001","-1.1200e-002","3.3812e-001","-7.2041e-010"
"","  17.6023e-11","3.3140e-001","-1.1200e-002","3.3812e-001","-6.9617e-010"
"","  18.5802e-11","3.3121e-001","-1.1200e-002","3.3812e-001","-7.2187e-010"
"","  19.5581e-11","3.3125e-001","-1.1200e-002","3.3812e-001","-7.7055e-010"
"","  20.5360e-11","3.3119e-001","-1.1158e-002","3.3812e-001","-8.0117e-010"
"","  21.5140e-11","3.3132e-001","-1.1162e-002","3.3812e-001","-8.5040e-010"
"","  22.4919e-11","3.3125e-001","-1.1164e-002","3.3812e-001","-9.1786e-010"
"","  23.4698e-11","3.3123e-001","-1.1159e-002","3.3812e-001","-9.9419e-010"
"","  24.4477e-11","3.3119e-001","-1.1150e-002","3.3812e-001","-1.0433e-009"
"","  25.4256e-11","3.3120e-001","-1.1169e-002","3.3812e-001","-1.1074e-009"
"","  26.4035e-11","3.3119e-001","-1.1174e-002","3.3812e-001","-1.1804e-009"
"","  27.3814e-11","3.3118e-001","-1.1183e-002","3.3812e-001","-1.2170e-009"
"","  28.3593e-11","3.3117e-001","-1.1173e-002","3.3812e-001","-1.2625e-009"
"","  29.3372e-11","3.3116e-001","-1.1173e-002","3.3812e-001","-1.3056e-009"
"","  30.3151e-11","3.3151e-001","-1.1171e-002","3.3812e-001","-1.3463e-009"
"","  31.2930e-11","3.3229e-001","-1.1170e-002","3.3812e-001","-1.3713e-009"
"","  32.2709e-11","3.3216e-001","-1.1163e-002","3.3812e-001","-1.3952e-009"
"","  33.2488e-11","3.3206e-001","-1.1155e-002","3.3812e-001","-1.4178e-009"
"","  34.2267e-11","3.3225e-001","-1.1146e-002","3.3812e-001","-1.4268e-009"
"","  35.2047e-11","3.3195e-001","-1.1125e-002","3.3812e-001","-1.4322e-009"
"","  36.1826e-11","3.3183e-001","-1.1100e-002","3.3812e-001","-1.4360e-009"
"","  37.1605e-11","3.3134e-001","-1.1068e-002","3.3812e-001","-1.4377e-009"
"","  38.1384e-11","3.3192e-001","-1.0998e-002","3.3812e-001","-1.4334e-009"
"","  39.1163e-11","3.3208e-001","-1.0908e-002","3.3812e-001","-1.4279e-009"
"","  40.0942e-11","3.3203e-001","-1.0813e-002","3.3812e-001","-1.4224e-009"
"","  41.0721e-11","3.3217e-001","-1.0670e-002","3.3812e-001","-1.4146e-009"
"","  42.0500e-11","3.3216e-001","-1.0514e-002","3.3812e-001","-1.4045e-009"
"","  43.0279e-11","3.3273e-001","-1.0353e-002","3.3812e-001","-1.3960e-009"
"","  44.0058e-11","3.3313e-001","-1.0143e-002","3.3812e-001","-1.3883e-009"
"","  44.9837e-11","3.3414e-001","-9.9089e-003","3.3812e-001","-1.3796e-009"
"","  45.9616e-11","3.3532e-001","-9.6710e-003","3.3812e-001","-1.3717e-009"
"","  46.9395e-11","3.3699e-001","-9.3702e-003","3.3812e-001","-1.3653e-009"
"","  47.9174e-11","3.3984e-001","-9.0419e-003","3.3812e-001","-1.3597e-009"
