"HyperLynx Oscilloscope .CSV file"

"Design file: $1I289_DDR_PDQ56.FFS         Designer: alec"
"Created on: 19 February 2008   Time: 04:37:19 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U1.U1 (at pin)"
"Probe 2: J8.110 (at pin)"
"Probe 3: disabled"
"Probe 4: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","0.0000e+000",DC,"0.0000e+000",DC
"","   0.9775e-11","0.0000e+000","1.0145e-009","0.0000e+000","6.9613e-004"
"","   1.9550e-11","0.0000e+000","1.8542e-009","0.0000e+000","1.3192e-003"
"","   2.9326e-11","0.0000e+000","2.5492e-009","0.0000e+000","1.8770e-003"
"","   3.9101e-11","0.0000e+000","3.1246e-009","3.7168e-002","2.3763e-003"
"","   4.8876e-11","0.0000e+000","3.6008e-009","8.0012e-002","2.8232e-003"
"","   5.8651e-11","0.0000e+000","3.9949e-009","1.1837e-001","3.2232e-003"
"","   6.8427e-11","0.0000e+000","4.3212e-009","1.6225e-001","3.7632e-003"
"","   7.8202e-11","0.0000e+000","4.5912e-009","2.0155e-001","4.3670e-003"
"","   8.7977e-11","0.0000e+000","4.8148e-009","2.3787e-001","4.8977e-003"
"","   9.7752e-11","0.0000e+000","4.9998e-009","2.7829e-001","5.1917e-003"
"","  10.7527e-11","4.7882e-008","5.1529e-009","3.2052e-001","5.4086e-003"
"","  11.7303e-11","1.2699e-007","5.2797e-009","3.5785e-001","5.6024e-003"
"","  12.7078e-11","1.9247e-007","5.3846e-009","3.8796e-001","5.6694e-003"
"","  13.6853e-11","2.4666e-007","5.4715e-009","4.1251e-001","5.7876e-003"
"","  14.6628e-11","2.9153e-007","5.5434e-009","4.3441e-001","5.8878e-003"
"","  15.6404e-11","3.2866e-007","5.6029e-009","4.5058e-001","5.9304e-003"
"","  16.6179e-11","3.5939e-007","5.6521e-009","4.6636e-001","5.9123e-003"
