"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK1.HYP         Designer: alec"
"Created on: 11 February 2008   Time: 01:50:18 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: PPC-DDR2 (DDR_PWE#)"
"Probe 1: U1.AJ2 (at pin)"
"Probe 2: J8.73 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","3.2962e-001",DC,"3.3909e-001",DC
"","   0.9776e-11","3.2962e-001","-1.1172e-002","3.3909e-001","-3.2020e-009"
"","   1.9552e-11","3.2962e-001","-1.1174e-002","3.3909e-001","-4.4772e-009"
"","   2.9328e-11","3.2962e-001","-1.1176e-002","3.3909e-001","-4.1902e-009"
"","   3.9105e-11","3.2962e-001","-1.1177e-002","3.3909e-001","-3.8681e-009"
"","   4.8881e-11","3.2962e-001","-1.1179e-002","3.3909e-001","-3.4676e-009"
"","   5.8657e-11","3.2962e-001","-1.1180e-002","3.3909e-001","-3.7116e-009"
"","   6.8433e-11","3.2962e-001","-1.1181e-002","3.3909e-001","-3.2332e-009"
"","   7.8209e-11","3.2962e-001","-1.1181e-002","3.3909e-001","-2.7711e-009"
"","   8.7985e-11","3.2962e-001","-1.1182e-002","3.3909e-001","-2.4940e-009"
"","   9.7761e-11","3.2962e-001","-1.1183e-002","3.3909e-001","-2.2371e-009"
"","  10.7538e-11","3.2962e-001","-1.1183e-002","3.3909e-001","-1.7206e-009"
"","  11.7314e-11","3.3272e-001","-1.1183e-002","3.3909e-001","-1.4057e-009"
"","  12.7090e-11","3.3258e-001","-1.1184e-002","3.3909e-001","-1.3055e-009"
"","  13.6866e-11","3.3037e-001","-1.1184e-002","3.3909e-001","-1.0426e-009"
"","  14.6642e-11","3.3188e-001","-1.1184e-002","3.3909e-001","-8.6393e-010"
"","  15.6418e-11","3.3309e-001","-1.1184e-002","3.3909e-001","-7.4776e-010"
"","  16.6194e-11","3.3230e-001","-1.1185e-002","3.3909e-001","-7.2563e-010"
"","  17.5971e-11","3.3201e-001","-1.1185e-002","3.3909e-001","-6.8996e-010"
"","  18.5747e-11","3.3245e-001","-1.1185e-002","3.3909e-001","-6.7106e-010"
"","  19.5523e-11","3.3246e-001","-1.1185e-002","3.3909e-001","-6.9027e-010"
"","  20.5299e-11","3.3230e-001","-1.1185e-002","3.3909e-001","-7.3287e-010"
"","  21.5075e-11","3.3230e-001","-1.1185e-002","3.3909e-001","-8.0468e-010"
"","  22.4851e-11","3.3232e-001","-1.1133e-002","3.3909e-001","-8.5609e-010"
"","  23.4627e-11","3.3228e-001","-1.1138e-002","3.3909e-001","-9.3844e-010"
"","  24.4404e-11","3.3224e-001","-1.1093e-002","3.3909e-001","-1.0036e-009"
"","  25.4180e-11","3.3223e-001","-1.1128e-002","3.3909e-001","-1.0891e-009"
"","  26.3956e-11","3.3222e-001","-1.1152e-002","3.3909e-001","-1.1549e-009"
"","  27.3732e-11","3.3220e-001","-1.1153e-002","3.3909e-001","-1.2250e-009"
"","  28.3508e-11","3.3219e-001","-1.1152e-002","3.3909e-001","-1.2920e-009"
"","  29.3284e-11","3.3218e-001","-1.1154e-002","3.3909e-001","-1.3399e-009"
"","  30.3060e-11","3.3217e-001","-1.1155e-002","3.3909e-001","-1.3847e-009"
"","  31.2837e-11","3.3216e-001","-1.1152e-002","3.3909e-001","-1.4195e-009"
"","  32.2613e-11","3.3216e-001","-1.1144e-002","3.3909e-001","-1.4523e-009"
"","  33.2389e-11","3.3266e-001","-1.1138e-002","3.3909e-001","-1.4689e-009"
"","  34.2165e-11","3.3349e-001","-1.1131e-002","3.3909e-001","-1.4828e-009"
"","  35.1941e-11","3.3334e-001","-1.1112e-002","3.3909e-001","-1.4866e-009"
"","  36.1717e-11","3.3330e-001","-1.1088e-002","3.3909e-001","-1.4883e-009"
"","  37.1493e-11","3.3313e-001","-1.1059e-002","3.3909e-001","-1.4846e-009"
"","  38.1270e-11","3.3243e-001","-1.0995e-002","3.3909e-001","-1.4752e-009"
"","  39.1046e-11","3.3341e-001","-1.0910e-002","3.3909e-001","-1.4649e-009"
"","  40.0822e-11","3.3394e-001","-1.0822e-002","3.3909e-001","-1.4506e-009"
"","  41.0598e-11","3.3278e-001","-1.0703e-002","3.3909e-001","-1.4371e-009"
"","  42.0374e-11","3.3270e-001","-1.0555e-002","3.3909e-001","-1.4216e-009"
"","  43.0150e-11","3.3366e-001","-1.0402e-002","3.3909e-001","-1.4077e-009"
"","  43.9926e-11","3.3382e-001","-1.0225e-002","3.3909e-001","-1.3931e-009"
"","  44.9703e-11","3.3381e-001","-9.9729e-003","3.3909e-001","-1.3803e-009"
"","  45.9479e-11","3.3462e-001","-9.7415e-003","3.3909e-001","-1.3685e-009"
"","  46.9255e-11","3.3601e-001","-9.4176e-003","3.3909e-001","-1.3583e-009"
"","  47.9031e-11","3.3729e-001","-9.1491e-003","3.3909e-001","-1.3503e-009"
"","  48.8807e-11","3.3933e-001","-8.8402e-003","3.3909e-001","-1.3429e-009"
"","  49.8583e-11","3.4384e-001","-8.5065e-003","3.3909e-001","-1.3379e-009"
"","  50.8359e-11","3.4845e-001","-8.1314e-003","3.3909e-001","-1.3339e-009"
"","  51.8136e-11","3.5223e-001","-7.7325e-003","3.3909e-001","-1.3318e-009"
"","  52.7912e-11","3.5993e-001","-7.3220e-003","3.3909e-001","-1.3308e-009"
"","  53.7688e-11","3.6881e-001","-6.8854e-003","3.3909e-001","-1.3308e-009"
"","  54.7464e-11","3.7607e-001","-6.4320e-003","3.3909e-001","-1.3317e-009"
"","  55.7240e-11","3.8835e-001","-5.9659e-003","3.3909e-001","-1.3334e-009"
"","  56.7016e-11","4.0232e-001","-5.4877e-003","3.3909e-001","-1.3357e-009"
"","  57.6792e-11","4.1553e-001","-4.9956e-003","3.3909e-001","-1.4725e-009"
"","  58.6569e-11","4.3186e-001","-4.4957e-003","3.3909e-001","-2.2798e-009"
"","  59.6345e-11","4.4969e-001","-4.0009e-003","3.3909e-001","-3.4337e-009"
"","  60.6121e-11","4.6719e-001","-3.4708e-003","3.3909e-001","-3.8911e-009"
"","  61.5897e-11","4.8907e-001","-2.9335e-003","3.3909e-001","-4.0522e-009"
