"HyperLynx Oscilloscope .CSV file"

"Design file: $1I289_DDR_CLKOUT.FFS         Designer: alec"
"Created on: 20 February 2008   Time: 04:19:06 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: disabled"
"Probe 2: disabled"
"Probe 3: disabled"
"Probe 4: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"Probe 9: U16.N8 (EBD-J8) (at pin)"
"Probe 10: U16.M8 (EBD-J8) (at pin)"
"Probe 11: U15.N8 (EBD-J8) (at pin)"
"Probe 12: U15.M8 (EBD-J8) (at pin)"
"Probe 13: U14.N8 (EBD-J8) (at pin)"
"Probe 14: U14.M8 (EBD-J8) (at pin)"
"Probe 15: U6.N8 (EBD-J8) (at pin)"
"Probe 16: U6.M8 (EBD-J8) (at pin)"
"Probe 17: U5.N8 (EBD-J8) (at pin)"
"Probe 18: U5.M8 (EBD-J8) (at pin)"
"Probe 19: U4.N8 (EBD-J8) (at pin)"
"Probe 20: U4.M8 (EBD-J8) (at pin)"
"Probe 21: disabled"
"Probe 22: disabled"
"Probe 23: disabled"
"Probe 24: disabled"
"Probe 25: disabled"
"Probe 26: disabled"
"Probe 27: disabled"
"Probe 28: disabled"
"Probe 29: disabled"
"Probe 30: disabled"
"Probe 31: disabled"
"Probe 32: disabled"
"Probe 33: disabled"
"Probe 34: disabled"
"Probe 35: disabled"
"Probe 36: disabled"
"Probe 37: disabled"
"Probe 38: disabled"
"Probe 39: disabled"
"Probe 40: disabled"
"Probe 41: disabled"
"Probe 42: disabled"
"Probe 43: disabled"
"Probe 44: disabled"
"","Time","Probe V 9","Probe I 9","Probe V 10","Probe I 10","Probe V 11","Probe I 11","Probe V 12","Probe I 12","Probe V 13","Probe I 13","Probe V 14","Probe I 14","Probe V 15","Probe I 15","Probe V 16","Probe I 16","Probe V 17","Probe I 17","Probe V 18","Probe I 18","Probe V 19","Probe I 19","Probe V 20","Probe I 20"
"","   0.0000e-10","1.4354e+000",DC,"3.4054e-001",DC,"1.4354e+000",DC,"3.4054e-001",DC,"1.4354e+000",DC,"3.4054e-001",DC,"1.4354e+000",DC,"3.4054e-001",DC,"1.4354e+000",DC,"3.4054e-001",DC,"1.4354e+000",DC,"3.4054e-001",DC
"","   0.1955e-10","1.4354e+000","-2.2483e-008","3.4054e-001","-5.3618e-009","1.4354e+000","-2.2483e-008","3.4054e-001","-5.3618e-009","1.4354e+000","-2.2483e-008","3.4054e-001","-5.3618e-009","1.4354e+000","-2.2483e-008","3.4054e-001","-5.3618e-009","1.4354e+000","-2.2483e-008","3.4054e-001","-5.3618e-009","1.4354e+000","-2.2483e-008","3.4054e-001","-5.3618e-009"
"","   0.3910e-10","1.4354e+000","-2.1414e-008","3.4054e-001","-5.3122e-009","1.4354e+000","-2.1535e-008","3.4054e-001","-5.4207e-009","1.4354e+000","-2.1534e-008","3.4054e-001","-5.4323e-009","1.4354e+000","-2.8729e-008","3.4054e-001","-5.4323e-009","1.4354e+000","-2.8729e-008","3.4054e-001","-6.8526e-009","1.4354e+000","-2.8729e-008","3.4054e-001","-6.8526e-009"
"","   0.5865e-10","1.4354e+000","-2.3523e-008","3.4054e-001","-6.3127e-009","1.4354e+000","-2.4211e-008","3.4054e-001","-6.1940e-009","1.4354e+000","-2.4785e-008","3.4054e-001","-6.1689e-009","1.4354e+000","-2.7408e-008","3.4054e-001","-6.1689e-009","1.4354e+000","-2.7408e-008","3.4054e-001","-6.8677e-009","1.4354e+000","-2.7408e-008","3.4054e-001","-6.8283e-009"
"","   0.7820e-10","1.4354e+000","-1.9221e-008","3.4054e-001","-4.5278e-009","1.4354e+000","-2.0758e-008","3.4054e-001","-4.9121e-009","1.4354e+000","-2.3334e-008","3.4054e-001","-5.8576e-009","1.4354e+000","-2.8628e-008","3.4054e-001","-5.8576e-009","1.4354e+000","-2.8628e-008","3.4054e-001","-5.3528e-009","1.4354e+000","-2.7309e-008","3.4054e-001","-5.2226e-009"
"","   0.9775e-10","1.4354e+000","-2.9003e-008","3.4054e-001","-6.8564e-009","1.4354e+000","-2.9481e-008","3.4054e-001","-6.9281e-009","1.4354e+000","-2.9131e-008","3.4054e-001","-5.3469e-009","1.4354e+000","-3.1566e-008","3.4054e-001","-5.3469e-009","1.4354e+000","-2.8750e-008","3.4054e-001","-6.7285e-009","1.4354e+000","-2.7070e-008","3.4054e-001","-6.3360e-009"
"","   1.1730e-10","1.4354e+000","-3.1583e-008","3.4054e-001","-7.5122e-009","1.4354e+000","-2.5208e-008","3.4054e-001","-5.9000e-009","1.4354e+000","-2.7820e-008","3.4054e-001","-5.5765e-009","1.4354e+000","-2.1458e-008","3.4054e-001","-5.5765e-009","1.4354e+000","-2.1834e-008","3.4054e-001","-5.0347e-009","1.4354e+000","-2.0968e-008","3.4054e-001","-4.8932e-009"
"","   1.3685e-10","1.4354e+000","-3.5951e-008","3.4054e-001","-6.2913e-009","1.4354e+000","-2.3814e-008","3.4054e-001","-3.2742e-009","1.4354e+000","-3.3048e-008","3.4054e-001","-5.0475e-009","1.4354e+000","-2.3283e-008","3.4054e-001","-5.0475e-009","1.4354e+000","-2.0061e-008","3.4054e-001","-4.5077e-009","1.4354e+000","-2.6890e-008","3.4054e-001","-6.3998e-009"
"","   1.5640e-10","1.4354e+000","-2.7220e-008","3.4054e-001","-6.1883e-009","1.4354e+000","-2.0189e-008","3.4054e-001","-4.5582e-009","1.4354e+000","-2.7876e-008","3.4054e-001","-6.5078e-009","1.4354e+000","-3.0725e-008","3.4054e-001","-6.5078e-009","1.4354e+000","-2.2685e-008","3.4054e-001","-4.7063e-009","1.4354e+000","-3.4342e-008","3.4054e-001","-7.6895e-009"
