"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 04:21:59 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U19.R8 (EBD-J8) (at pin)"
"Probe 2: U18.R8 (EBD-J8) (at pin)"
"Probe 3: U17.R8 (EBD-J8) (at pin)"
"Probe 4: U16.R8 (EBD-J8) (at pin)"
"Probe 5: U15.R8 (EBD-J8) (at pin)"
"Probe 6: U14.R8 (EBD-J8) (at pin)"
"Probe 7: U13.R8 (EBD-J8) (at pin)"
"Probe 8: U12.R8 (EBD-J8) (at pin)"
"Probe 9: U11.R8 (EBD-J8) (at pin)"
"Probe 10: U9.R8 (EBD-J8) (at pin)"
"Probe 11: U8.R8 (EBD-J8) (at pin)"
"Probe 12: U7.R8 (EBD-J8) (at pin)"
"Probe 13: U6.R8 (EBD-J8) (at pin)"
"Probe 14: U5.R8 (EBD-J8) (at pin)"
"Probe 15: U4.R8 (EBD-J8) (at pin)"
"Probe 16: U3.R8 (EBD-J8) (at pin)"
"Probe 17: U2.R8 (EBD-J8) (at pin)"
"Probe 18: U1.R8 (EBD-J8) (at pin)"
"Probe 19: U1.AM5 (at pin)"
"Probe 20: J_EBD.188 (EBD-J8) (at pin)"
"Probe 21: J8.188 (at pin)"
"Probe 22: disabled"
"Probe 23: disabled"
"Probe 24: disabled"
"Probe 25: disabled"
"Probe 26: disabled"
"Probe 27: disabled"
"Probe 28: disabled"
"Probe 29: disabled"
"Probe 30: disabled"
"Probe 31: disabled"
"Probe 32: disabled"
"Probe 33: disabled"
"Probe 34: disabled"
"Probe 35: disabled"
"Probe 36: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4","Probe V 5","Probe I 5","Probe V 6","Probe I 6","Probe V 7","Probe I 7","Probe V 8","Probe I 8","Probe V 9","Probe I 9","Probe V 10","Probe I 10","Probe V 11","Probe I 11","Probe V 12","Probe I 12","Probe V 13","Probe I 13","Probe V 14","Probe I 14","Probe V 15","Probe I 15","Probe V 16","Probe I 16","Probe V 17","Probe I 17","Probe V 18","Probe I 18","Probe V 19","Probe I 19","Probe V 20","Probe I 20","Probe V 21","Probe I 21"
"","   0.0000e-10","0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC
"","   0.4888e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","4.1693e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   0.9775e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","5.7366e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   1.4663e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","1.8243e-007","6.3258e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   1.9551e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","3.0751e-007","6.5472e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   2.4438e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","3.9521e-007","7.0452e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   2.9326e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","4.2741e-007","9.1748e-009","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   3.4214e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","4.4061e-007","4.3907e-008","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
"","   3.9101e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","5.0130e-007","1.6371e-004","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000"
