"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 04:24:13 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U14.L9 (EBD-J8) (at pin)"
"Probe 2: U6.L1 (EBD-J8) (at pin)"
"Probe 3: U1.AE1 (at pin)"
"Probe 4: J_EBD.206 (EBD-J8) (at pin)"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-10","0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC
"","   0.4888e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","3.8050e-009","0.0000e+000","0.0000e+000"
"","   0.9775e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","5.2665e-009","0.0000e+000","0.0000e+000"
"","   1.4663e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","2.6998e-007","5.8277e-009","0.0000e+000","0.0000e+000"
"","   1.9551e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","4.2613e-007","6.0432e-009","0.0000e+000","0.0000e+000"
"","   2.4438e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","4.8641e-007","7.0216e-009","0.0000e+000","0.0000e+000"
"","   2.9326e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","5.0987e-007","7.7873e-009","0.0000e+000","0.0000e+000"
"","   3.4213e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","5.4140e-007","3.3299e-008","0.0000e+000","0.0000e+000"
"","   3.9101e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","5.7961e-007","1.4815e-004","0.0000e+000","0.0000e+000"
"","   4.3989e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","5.9036e-007","7.0075e-004","0.0000e+000","0.0000e+000"
"","   4.8876e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","4.8746e-003","1.7618e-003","0.0000e+000","0.0000e+000"
"","   5.3764e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","4.5332e-002","3.3394e-003","0.0000e+000","0.0000e+000"
"","   5.8652e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","1.2617e-001","5.3159e-003","0.0000e+000","0.0000e+000"
"","   6.3539e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","2.4791e-001","7.5687e-003","2.6600e-008","0.0000e+000"
"","   6.8427e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","4.0655e-001","9.7429e-003","2.4597e-007","0.0000e+000"
"","   7.3315e-10","0.0000e+000","0.0000e+000","0.0000e+000","0.0000e+000","5.9148e-001","1.1585e-002","4.0572e-007","0.0000e+000"
"","   7.8202e-10","1.3063e-009","0.0000e+000","0.0000e+000","0.0000e+000","7.6930e-001","1.3062e-002","4.7884e-007","0.0000e+000"
"","   8.3090e-10","1.2934e-007","-1.6261e-009","9.1608e-008","-5.9829e-010","9.0949e-001","1.4304e-002","5.1089e-007","0.0000e+000"
"","   8.7977e-10","1.5601e-007","-3.9082e-009","1.6597e-007","-3.7064e-009","1.0161e+000","1.5302e-002","5.4971e-007","0.0000e+000"
"","   9.2865e-10","1.5179e-007","-5.5506e-009","1.0294e-007","-4.7908e-009","1.0936e+000","1.6018e-002","5.3746e-007","0.0000e+000"
"","   9.7753e-10","1.4487e-007","-4.2820e-009","1.6551e-007","-4.2141e-009","1.1493e+000","1.6506e-002","5.3457e-005","0.0000e+000"
"","  10.2640e-10","2.7216e-007","-2.9357e-009","2.3406e-007","-3.2515e-009","1.1863e+000","1.6818e-002","9.2169e-003","0.0000e+000"
"","  10.7528e-10","3.3556e-007","-2.5068e-009","3.6163e-007","-3.5091e-009","1.2087e+000","1.7030e-002","4.7837e-002","0.0000e+000"
"","  11.2416e-10","1.7207e-006","-2.7030e-009","3.7555e-007","-4.0228e-009","1.2222e+000","1.7156e-002","1.2525e-001","0.0000e+000"
"","  11.7303e-10","4.4387e-003","-1.2009e-005","6.6665e-004","-1.8032e-006","1.2311e+000","1.7229e-002","2.4573e-001","0.0000e+000"
"","  12.2191e-10","2.1871e-002","-2.8418e-004","1.4649e-002","-1.4699e-004","1.2369e+000","1.7263e-002","4.0313e-001","0.0000e+000"
"","  12.7078e-10","5.5135e-002","-9.8904e-004","4.0821e-002","-7.2913e-004","1.2407e+000","1.7287e-002","5.8404e-001","0.0000e+000"
"","  13.1966e-10","9.9414e-002","-2.1468e-003","7.5600e-002","-1.6854e-003","1.2430e+000","1.7289e-002","7.5267e-001","0.0000e+000"
"","  13.6854e-10","1.5487e-001","-3.5472e-003","1.2478e-001","-2.9513e-003","1.2455e+000","1.7287e-002","8.8482e-001","0.0000e+000"
"","  14.1741e-10","2.2702e-001","-5.0476e-003","1.9250e-001","-4.3763e-003","1.2471e+000","1.7275e-002","9.6866e-001","0.0000e+000"
"","  14.6629e-10","3.0873e-001","-6.2589e-003","2.7485e-001","-5.7951e-003","1.2481e+000","1.7269e-002","1.0028e+000","0.0000e+000"
"","  15.1517e-10","3.9436e-001","-6.8792e-003","3.6398e-001","-6.7933e-003","1.2491e+000","1.7262e-002","1.0026e+000","0.0000e+000"
"","  15.6404e-10","4.8590e-001","-6.8146e-003","4.6733e-001","-7.2633e-003","1.2473e+000","1.7245e-002","9.8824e-001","0.0000e+000"
"","  16.1292e-10","5.8905e-001","-6.2957e-003","5.7949e-001","-7.2871e-003","1.2453e+000","1.7231e-002","9.7729e-001","0.0000e+000"
"","  16.6180e-10","6.9366e-001","-5.6461e-003","6.9739e-001","-7.0151e-003","1.2445e+000","1.7247e-002","9.8236e-001","0.0000e+000"
"","  17.1067e-10","7.9379e-001","-5.0875e-003","8.0855e-001","-6.5761e-003","1.2463e+000","1.7292e-002","1.0187e+000","0.0000e+000"
"","  17.5955e-10","8.8518e-001","-4.7102e-003","9.1044e-001","-5.9502e-003","1.2524e+000","1.7305e-002","1.0841e+000","0.0000e+000"
"","  18.0842e-10","9.7323e-001","-4.4959e-003","1.0044e+000","-5.2112e-003","1.2644e+000","1.7279e-002","1.1653e+000","0.0000e+000"
"","  18.5730e-10","1.0599e+000","-4.4768e-003","1.0922e+000","-4.4668e-003","1.2728e+000","1.7192e-002","1.2503e+000","0.0000e+000"
"","  19.0618e-10","1.1431e+000","-4.5950e-003","1.1714e+000","-3.8642e-003","1.2696e+000","1.7041e-002","1.3310e+000","0.0000e+000"
"","  19.5505e-10","1.2208e+000","-4.7301e-003","1.2400e+000","-3.4124e-003","1.2452e+000","1.6922e-002","1.4056e+000","0.0000e+000"
"","  20.0393e-10","1.2940e+000","-4.7049e-003","1.3022e+000","-3.1073e-003","1.1949e+000","1.6931e-002","1.4724e+000","0.0000e+000"
"","  20.5281e-10","1.3654e+000","-4.4663e-003","1.3611e+000","-2.9472e-003","1.1318e+000","1.7199e-002","1.5305e+000","0.0000e+000"
"","  21.0168e-10","1.4329e+000","-4.0399e-003","1.4194e+000","-2.9622e-003","1.0767e+000","1.7861e-002","1.5803e+000","0.0000e+000"
"","  21.5056e-10","1.4955e+000","-3.5022e-003","1.4756e+000","-3.1043e-003","1.0501e+000","1.8761e-002","1.6261e+000","0.0000e+000"
"","  21.9944e-10","1.5509e+000","-2.9262e-003","1.5319e+000","-3.2945e-003","1.0663e+000","1.9602e-002","1.6708e+000","0.0000e+000"
"","  22.4831e-10","1.6012e+000","-2.3916e-003","1.5868e+000","-3.4398e-003","1.1301e+000","2.0175e-002","1.7154e+000","0.0000e+000"
"","  22.9719e-10","1.6461e+000","-1.9904e-003","1.6421e+000","-3.4639e-003","1.2249e+000","2.0357e-002","1.7596e+000","0.0000e+000"
"","  23.4606e-10","1.6883e+000","-1.7806e-003","1.6951e+000","-3.3456e-003","1.3292e+000","1.9971e-002","1.8029e+000","0.0000e+000"
"","  23.9494e-10","1.7274e+000","-1.7835e-003","1.7454e+000","-3.0656e-003","1.4240e+000","1.9036e-002","1.8428e+000","0.0000e+000"
"","  24.4382e-10","1.7662e+000","-1.9512e-003","1.7910e+000","-2.6635e-003","1.4961e+000","1.7790e-002","1.8772e+000","0.0000e+000"
"","  24.9269e-10","1.8049e+000","-2.2296e-003","1.8326e+000","-2.1934e-003","1.5446e+000","1.6428e-002","1.9046e+000","0.0000e+000"
"","  25.4157e-10","1.8437e+000","-2.4948e-003","1.8682e+000","-1.7428e-003","1.5758e+000","1.5085e-002","1.9235e+000","0.0000e+000"
"","  25.9045e-10","1.8811e+000","-2.6417e-003","1.8980e+000","-1.3402e-003","1.5959e+000","1.3766e-002","1.9385e+000","0.0000e+000"
"","  26.3932e-10","1.9166e+000","-2.5745e-003","1.9235e+000","-1.0503e-003","1.6104e+000","1.2537e-002","1.9567e+000","0.0000e+000"
"","  26.8820e-10","1.9492e+000","-2.2803e-003","1.9452e+000","-8.8453e-004","1.6234e+000","1.1434e-002","1.9859e+000","0.0000e+000"
"","  27.3708e-10","1.9795e+000","-1.7933e-003","1.9659e+000","-8.4998e-004","1.6386e+000","1.0478e-002","2.0321e+000","0.0000e+000"
"","  27.8595e-10","2.0076e+000","-1.2605e-003","1.9878e+000","-9.6392e-004","1.6576e+000","9.5969e-003","2.0944e+000","0.0000e+000"
"","  28.3483e-10","2.0343e+000","-8.5726e-004","2.0128e+000","-1.2379e-003","1.6791e+000","8.7332e-003","2.1616e+000","0.0000e+000"
"","  28.8370e-10","2.0615e+000","-7.2198e-004","2.0420e+000","-1.6370e-003","1.7008e+000","7.8883e-003","2.2219e+000","0.0000e+000"
"","  29.3258e-10","2.0878e+000","-8.9643e-004","2.0755e+000","-2.1023e-003","1.7202e+000","7.0931e-003","2.2652e+000","0.0000e+000"
"","  29.8146e-10","2.1117e+000","-1.2796e-003","2.1089e+000","-2.4947e-003","1.7373e+000","6.3447e-003","2.2821e+000","0.0000e+000"
"","  30.3033e-10","2.1345e+000","-1.6844e-003","2.1424e+000","-2.6391e-003","1.7527e+000","5.6255e-003","2.2701e+000","0.0000e+000"
"","  30.7921e-10","2.1595e+000","-1.9521e-003","2.1760e+000","-2.4826e-003","1.7660e+000","4.9430e-003","2.2385e+000","0.0000e+000"
"","  31.2809e-10","2.1844e+000","-2.0204e-003","2.2071e+000","-2.0709e-003","1.7763e+000","4.2975e-003","2.1993e+000","0.0000e+000"
"","  31.7696e-10","2.2081e+000","-1.8533e-003","2.2314e+000","-1.4733e-003","1.7853e+000","3.7152e-003","2.1648e+000","0.0000e+000"
"","  32.2584e-10","2.2307e+000","-1.4910e-003","2.2505e+000","-7.8833e-004","1.7944e+000","3.1927e-003","2.1440e+000","0.0000e+000"
"","  32.7471e-10","2.2515e+000","-1.0360e-003","2.2645e+000","-1.9575e-004","1.8064e+000","2.7099e-003","2.1403e+000","0.0000e+000"
"","  33.2359e-10","2.2673e+000","-6.1432e-004","2.2723e+000","1.9853e-004","1.8245e+000","2.2394e-003","2.1515e+000","0.0000e+000"
"","  33.7247e-10","2.2761e+000","-2.4772e-004","2.2740e+000","3.7113e-004","1.8462e+000","1.7674e-003","2.1728e+000","0.0000e+000"
"","  34.2134e-10","2.2790e+000","6.6798e-005","2.2714e+000","3.9699e-004","1.8679e+000","1.2381e-003","2.1961e+000","0.0000e+000"
"","  34.7022e-10","2.2776e+000","3.3051e-004","2.2683e+000","3.1796e-004","1.8840e+000","6.5960e-004","2.2121e+000","0.0000e+000"
"","  35.1910e-10","2.2737e+000","5.0517e-004","2.2647e+000","1.8216e-004","1.8879e+000","8.3795e-005","2.2175e+000","0.0000e+000"
"","  35.6797e-10","2.2661e+000","5.9598e-004","2.2611e+000","4.2039e-005","1.8764e+000","-4.1360e-004","2.2132e+000","0.0000e+000"
"","  36.1685e-10","2.2560e+000","6.4238e-004","2.2555e+000","-1.3922e-005","1.8547e+000","-7.6569e-004","2.2024e+000","0.0000e+000"
"","  36.6573e-10","2.2444e+000","6.8098e-004","2.2499e+000","6.7796e-005","1.8312e+000","-9.2296e-004","2.1870e+000","0.0000e+000"
"","  37.1460e-10","2.2342e+000","6.9789e-004","2.2436e+000","2.5582e-004","1.8179e+000","-9.0696e-004","2.1695e+000","0.0000e+000"
"","  37.6348e-10","2.2243e+000","6.6068e-004","2.2364e+000","4.8749e-004","1.8254e+000","-8.0730e-004","2.1523e+000","0.0000e+000"
"","  38.1235e-10","2.2141e+000","5.8938e-004","2.2258e+000","7.1470e-004","1.8539e+000","-7.6253e-004","2.1384e+000","0.0000e+000"
"","  38.6123e-10","2.2029e+000","5.2585e-004","2.2125e+000","9.3078e-004","1.8965e+000","-9.0315e-004","2.1294e+000","0.0000e+000"
"","  39.1011e-10","2.1920e+000","5.1014e-004","2.1973e+000","1.0955e-003","1.9436e+000","-1.3721e-003","2.1230e+000","0.0000e+000"
"","  39.5898e-10","2.1815e+000","5.3117e-004","2.1816e+000","1.1774e-003","1.9840e+000","-2.4978e-003","2.1161e+000","0.0000e+000"
"","  40.0786e-10","2.1709e+000","5.7865e-004","2.1660e+000","1.1384e-003","2.0064e+000","-4.3839e-003","2.1064e+000","0.0000e+000"
"","  40.5674e-10","2.1589e+000","6.4687e-004","2.1500e+000","1.0033e-003","1.9716e+000","-6.8945e-003","2.0923e+000","0.0000e+000"
"","  41.0561e-10","2.1448e+000","7.5537e-004","2.1346e+000","8.2705e-004","1.8736e+000","-9.7140e-003","2.0727e+000","0.0000e+000"
"","  41.5449e-10","2.1294e+000","8.9765e-004","2.1200e+000","6.6930e-004","1.7149e+000","-1.2514e-002","2.0494e+000","0.0000e+000"
"","  42.0337e-10","2.1120e+000","1.0544e-003","2.1065e+000","5.6549e-004","1.5126e+000","-1.4928e-002","2.0256e+000","0.0000e+000"
"","  42.5224e-10","2.0933e+000","1.2028e-003","2.0922e+000","5.5830e-004","1.2993e+000","-1.6876e-002","2.0062e+000","0.0000e+000"
"","  43.0112e-10","2.0738e+000","1.3101e-003","2.0783e+000","6.5660e-004","1.1132e+000","-1.8417e-002","1.9961e+000","0.0000e+000"
"","  43.4999e-10","2.0556e+000","1.3330e-003","2.0637e+000","8.1961e-004","9.6863e-001","-1.9630e-002","1.9960e+000","0.0000e+000"
"","  43.9887e-10","2.0388e+000","1.2307e-003","2.0489e+000","9.9310e-004","8.6886e-001","-2.0515e-002","2.0022e+000","0.0000e+000"
"","  44.4775e-10","2.0249e+000","9.9470e-004","2.0338e+000","1.1056e-003","8.0056e-001","-2.1132e-002","2.0089e+000","0.0000e+000"
"","  44.9662e-10","2.0130e+000","6.5942e-004","2.0189e+000","1.1149e-003","7.5492e-001","-2.1569e-002","2.0095e+000","0.0000e+000"
"","  45.4550e-10","2.0025e+000","3.2145e-004","2.0035e+000","1.0219e-003","7.2518e-001","-2.1861e-002","1.9913e+000","0.0000e+000"
"","  45.9438e-10","1.9925e+000","8.5391e-005","1.9885e+000","8.7000e-004","7.0463e-001","-2.2047e-002","1.9297e+000","0.0000e+000"
"","  46.4325e-10","1.9825e+000","3.8903e-005","1.9744e+000","7.0183e-004","6.8852e-001","-2.2142e-002","1.8066e+000","0.0000e+000"
"","  46.9213e-10","1.9687e+000","2.1050e-004","1.9609e+000","5.6931e-004","6.7344e-001","-2.2174e-002","1.6281e+000","0.0000e+000"
"","  47.4101e-10","1.9382e+000","7.8626e-004","1.9364e+000","6.1138e-004","6.5895e-001","-2.2144e-002","1.4131e+000","0.0000e+000"
"","  47.8988e-10","1.8864e+000","1.9270e-003","1.8960e+000","1.1701e-003","6.4530e-001","-2.2058e-002","1.1938e+000","0.0000e+000"
"","  48.3876e-10","1.8201e+000","3.6388e-003","1.8438e+000","2.3666e-003","6.3515e-001","-2.1914e-002","1.0091e+000","0.0000e+000"
"","  48.8763e-10","1.7408e+000","5.5747e-003","1.7768e+000","3.9880e-003","6.2997e-001","-2.1740e-002","8.7948e-001","0.0000e+000"
"","  49.3651e-10","1.6490e+000","7.2245e-003","1.6939e+000","5.7195e-003","6.2919e-001","-2.1581e-002","8.0882e-001","0.0000e+000"
"","  49.8539e-10","1.5504e+000","8.1532e-003","1.5958e+000","7.1940e-003","6.3116e-001","-2.1462e-002","7.9211e-001","0.0000e+000"
"","  50.3426e-10","1.4429e+000","8.2294e-003","1.4834e+000","8.1635e-003","6.3194e-001","-2.1379e-002","8.1014e-001","0.0000e+000"
"","  50.8314e-10","1.3273e+000","7.6147e-003","1.3554e+000","8.6095e-003","6.2965e-001","-2.1320e-002","8.3451e-001","0.0000e+000"
"","  51.3202e-10","1.2071e+000","6.6786e-003","1.2207e+000","8.6137e-003","6.2204e-001","-2.1259e-002","8.4128e-001","0.0000e+000"
"","  51.8089e-10","1.0929e+000","5.7734e-003","1.0857e+000","8.2635e-003","6.0715e-001","-2.1167e-002","8.1267e-001","0.0000e+000"
"","  52.2977e-10","9.8420e-001","5.1235e-003","9.5974e-001","7.6073e-003","5.8540e-001","-2.1041e-002","7.4748e-001","0.0000e+000"
"","  52.7865e-10","8.8206e-001","4.8305e-003","8.4082e-001","6.7193e-003","5.6001e-001","-2.0815e-002","6.5701e-001","0.0000e+000"
"","  53.2752e-10","7.8198e-001","4.9041e-003","7.3352e-001","5.7458e-003","5.3562e-001","-2.0469e-002","5.5646e-001","0.0000e+000"
"","  53.7640e-10","6.8655e-001","5.2401e-003","6.3749e-001","4.8077e-003","5.2683e-001","-2.0037e-002","4.5785e-001","0.0000e+000"
"","  54.2527e-10","5.9380e-001","5.6275e-003","5.5459e-001","4.0140e-003","5.4251e-001","-1.9599e-002","3.6916e-001","0.0000e+000"
"","  54.7415e-10","5.0465e-001","5.8617e-003","4.8089e-001","3.4174e-003","5.8622e-001","-1.9325e-002","2.9220e-001","0.0000e+000"
"","  55.2303e-10","4.1779e-001","5.7769e-003","4.1397e-001","3.0836e-003","6.5884e-001","-1.9327e-002","2.2789e-001","0.0000e+000"
"","  55.7190e-10","3.3536e-001","5.3391e-003","3.5058e-001","3.0087e-003","7.3769e-001","-1.9707e-002","1.7167e-001","0.0000e+000"
"","  56.2078e-10","2.5922e-001","4.6012e-003","2.8813e-001","3.1843e-003","7.9433e-001","-2.0547e-002","1.1925e-001","0.0000e+000"
"","  56.6966e-10","1.9092e-001","3.7027e-003","2.2624e-001","3.5111e-003","8.0415e-001","-2.1600e-002","6.5910e-002","0.0000e+000"
"","  57.1853e-10","1.3098e-001","2.7957e-003","1.6293e-001","3.8657e-003","7.5548e-001","-2.2516e-002","1.1255e-002","0.0000e+000"
"","  57.6741e-10","7.8206e-002","2.0633e-003","9.8645e-002","4.1304e-003","6.5511e-001","-2.2974e-002","-4.4090e-002","0.0000e+000"
"","  58.1628e-10","3.1594e-002","1.6367e-003","3.4399e-002","4.2116e-003","5.3050e-001","-2.2773e-002","-9.6956e-002","0.0000e+000"
"","  58.6516e-10","-1.1093e-002","1.5624e-003","-2.7018e-002","4.0408e-003","4.0914e-001","-2.1923e-002","-1.4500e-001","0.0000e+000"
"","  59.1404e-10","-5.1722e-002","1.7993e-003","-8.4212e-002","3.6067e-003","3.1160e-001","-2.0605e-002","-1.8363e-001","0.0000e+000"
"","  59.6291e-10","-9.2781e-002","2.2374e-003","-1.3486e-001","2.9679e-003","2.4324e-001","-1.9033e-002","-2.1014e-001","0.0000e+000"
"","  60.1179e-10","-1.3534e-001","2.7385e-003","-1.7885e-001","2.2273e-003","2.0053e-001","-1.7392e-002","-2.2517e-001","0.0000e+000"
"","  60.6067e-10","-1.7822e-001","3.1169e-003","-2.1410e-001","1.5180e-003","1.7653e-001","-1.5805e-002","-2.3288e-001","0.0000e+000"
"","  61.0954e-10","-2.1930e-001","3.2258e-003","-2.4087e-001","9.1577e-004","1.6255e-001","-1.4325e-002","-2.4248e-001","0.0000e+000"
"","  61.5842e-10","-2.5805e-001","2.9783e-003","-2.6209e-001","5.1347e-004","1.4980e-001","-1.3009e-002","-2.6412e-001","0.0000e+000"
"","  62.0730e-10","-2.9338e-001","2.4110e-003","-2.7964e-001","3.5539e-004","1.3365e-001","-1.1839e-002","-3.0548e-001","0.0000e+000"
"","  62.5617e-10","-3.2466e-001","1.6598e-003","-2.9725e-001","4.5895e-004","1.1200e-001","-1.0766e-002","-3.7020e-001","0.0000e+000"
"","  63.0505e-10","-3.5238e-001","9.5245e-004","-3.1788e-001","8.2579e-004","8.5736e-002","-9.7127e-003","-4.5184e-001","0.0000e+000"
"","  63.5392e-10","-3.7759e-001","4.9731e-004","-3.4327e-001","1.4022e-003","5.9245e-002","-8.6811e-003","-5.3367e-001","0.0000e+000"
"","  64.0280e-10","-4.0224e-001","4.1938e-004","-3.7463e-001","2.0741e-003","3.5916e-002","-7.6679e-003","-5.9726e-001","0.0000e+000"
"","  64.5168e-10","-4.2518e-001","7.3523e-004","-4.1169e-001","2.7220e-003","1.7632e-002","-6.7034e-003","-6.2979e-001","0.0000e+000"
"","  65.0055e-10","-4.4659e-001","1.2980e-003","-4.4913e-001","3.1626e-003","4.9033e-003","-5.7958e-003","-6.2675e-001","0.0000e+000"
"","  65.4943e-10","-4.6652e-001","1.8459e-003","-4.8436e-001","3.2295e-003","-3.6207e-003","-4.9576e-003","-5.9340e-001","0.0000e+000"
"","  65.9831e-10","-4.8654e-001","2.1858e-003","-5.1348e-001","2.8992e-003","-1.0230e-002","-4.2079e-003","-5.4267e-001","0.0000e+000"
"","  66.4718e-10","-5.0499e-001","2.2510e-003","-5.3407e-001","2.3276e-003","-1.6286e-002","-3.5452e-003","-4.8960e-001","0.0000e+000"
"","  66.9606e-10","-5.2144e-001","2.0612e-003","-5.4215e-001","1.6940e-003","-2.5948e-002","-2.9524e-003","-4.4791e-001","0.0000e+000"
"","  67.4494e-10","-5.2970e-001","1.6755e-003","-5.4348e-001","1.1034e-003","-4.1169e-002","-2.4038e-003","-4.2590e-001","0.0000e+000"
"","  67.9381e-10","-5.3249e-001","1.1963e-003","-5.3890e-001","6.4265e-004","-6.2142e-002","-1.8542e-003","-4.2400e-001","0.0000e+000"
"","  68.4269e-10","-5.3033e-001","7.4629e-004","-5.3241e-001","3.0675e-004","-8.9532e-002","-1.2712e-003","-4.3403e-001","0.0000e+000"
"","  68.9156e-10","-5.2624e-001","3.7078e-004","-5.2528e-001","1.1136e-004","-1.1796e-001","-6.4463e-004","-4.4589e-001","0.0000e+000"
"","  69.4044e-10","-5.2083e-001","1.1667e-004","-5.1860e-001","1.3218e-005","-1.3980e-001","6.3639e-005","-4.5291e-001","0.0000e+000"
