"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 19 February 2008   Time: 07:55:04 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U54.42 (at pin)"
"Probe 2: U15.H12 (at pin)"
"Probe 3: U2.2 (at pin)"
"Probe 4: U1.A7 (at pin)"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-10","4.6216e-006",DC,"2.7897e-006",DC,"4.6436e-006",DC,"1.1578e-006",DC
"","   0.9775e-10","5.3488e-006","-3.1459e-007","4.8594e-006","4.0483e-007","4.6755e-006","2.4867e-006","1.1578e-006","-8.3036e-007"
"","   1.9550e-10","8.4195e-006","-2.3484e-007","1.7312e-005","6.3224e-007","4.9681e-006","2.4267e-006","8.5017e-005","-3.2447e-007"
"","   2.9326e-10","8.7304e-006","-1.2620e-007","2.3245e-005","9.0051e-007","6.1353e-006","2.3486e-006","1.2597e-004","6.5500e-008"
"","   3.9101e-10","8.4699e-002","1.8261e-003","2.9773e-005","1.0708e-006","1.1634e-003","-8.2456e-004","1.3377e-004","3.3557e-007"
"","   4.8876e-10","3.9058e-001","1.0548e-002","3.2193e-005","1.1415e-006","3.1001e-002","-6.9346e-003","1.4593e-004","4.8191e-007"
"","   5.8651e-10","6.1954e-001","2.5083e-002","3.3141e-005","1.1790e-006","1.6149e-001","-1.9010e-002","1.4165e-004","2.3021e-007"
"","   6.8426e-10","8.2263e-001","4.2248e-002","3.7414e-005","1.1700e-006","3.9760e-001","-2.7610e-002","1.2105e-004","1.5180e-007"
"","   7.8202e-10","8.8974e-001","5.4575e-002","8.5371e-005","6.2222e-007","7.0592e-001","-3.1257e-002","1.2873e-004","-1.0392e-007"
"","   8.7977e-10","9.9341e-001","5.9327e-002","8.7935e-005","-1.1943e-006","1.0255e+000","-3.1871e-002","1.2851e-004","-3.8625e-007"
"","   9.7752e-10","1.1687e+000","5.8095e-002","9.4857e-005","-9.5988e-007","1.2900e+000","-2.5091e-002","1.3159e-004","-3.1578e-007"
"","  10.7527e-10","1.4652e+000","5.4849e-002","5.5113e-003","-1.4727e-006","1.4690e+000","-1.5689e-002","1.4643e-004","-2.4985e-007"
"","  11.7302e-10","1.7189e+000","5.5133e-002","4.6484e-002","-3.4159e-004","1.5877e+000","-1.0580e-002","1.5677e-004","-1.3581e-007"
"","  12.7077e-10","1.7544e+000","5.6703e-002","1.5054e-001","-2.4391e-003","1.6851e+000","-7.5066e-003","1.1951e-004","5.6399e-009"
"","  13.6853e-10","1.7270e+000","5.6752e-002","2.8278e-001","-6.8651e-003","1.7723e+000","-6.4687e-003","1.1020e-004","5.6451e-007"
"","  14.6628e-10","1.7172e+000","5.5533e-002","4.3708e-001","-1.1919e-002","1.8379e+000","-5.7049e-003","8.5529e-005","5.9767e-007"
"","  15.6403e-10","1.7921e+000","5.2844e-002","6.1064e-001","-1.6283e-002","1.8784e+000","-4.0940e-003","6.1980e-003","6.8392e-007"
"","  16.6178e-10","1.9396e+000","5.2245e-002","7.8909e-001","-1.8243e-002","1.9012e+000","-3.0179e-003","5.7857e-002","-2.9356e-005"
"","  17.5953e-10","1.9827e+000","5.3180e-002","9.7996e-001","-1.7128e-002","1.9100e+000","-2.7421e-004","2.0428e-001","-4.2741e-004"
"","  18.5729e-10","1.9618e+000","5.3745e-002","1.1880e+000","-1.3920e-002","1.9003e+000","3.3819e-003","3.9923e-001","-1.6902e-003"
"","  19.5504e-10","1.8784e+000","5.5108e-002","1.3918e+000","-1.0403e-002","1.8628e+000","6.3865e-003","5.9290e-001","-3.0562e-003"
"","  20.5279e-10","1.7644e+000","5.5360e-002","1.5600e+000","-7.4723e-003","1.7922e+000","9.1208e-003","8.1753e-001","-3.8599e-003"
"","  21.5054e-10","1.7296e+000","5.6438e-002","1.6904e+000","-5.2044e-003","1.6993e+000","9.3509e-003","1.0859e+000","-4.0884e-003"
"","  22.4829e-10","1.6705e+000","5.8989e-002","1.7982e+000","-3.7983e-003","1.6076e+000","7.3867e-003","1.3955e+000","-3.7589e-003"
"","  23.4605e-10","1.6083e+000","6.0590e-002","1.8952e+000","-3.3503e-003","1.5429e+000","4.4077e-003","1.7635e+000","-3.1390e-003"
"","  24.4380e-10","1.5526e+000","6.2093e-002","1.9877e+000","-3.9501e-003","1.5180e+000","1.0086e-003","2.1732e+000","-3.1418e-003"
"","  25.4155e-10","1.4776e+000","6.1574e-002","2.0794e+000","-5.2048e-003","1.5283e+000","-1.7858e-003","2.5346e+000","-3.6418e-003"
"","  26.3930e-10","1.5007e+000","5.9725e-002","2.1976e+000","-6.7417e-003","1.5640e+000","-3.8678e-003","2.8233e+000","-3.9107e-003"
"","  27.3705e-10","1.5591e+000","5.8675e-002","2.3351e+000","-9.0744e-003","1.6143e+000","-6.1041e-003","3.0681e+000","-3.5608e-003"
"","  28.3481e-10","1.6415e+000","5.7169e-002","2.4642e+000","-1.0960e-002","1.6757e+000","-7.4647e-003","3.2945e+000","-2.6216e-003"
"","  29.3256e-10","1.7531e+000","5.6610e-002","2.5993e+000","-1.1512e-002","1.7438e+000","-7.2205e-003","3.5105e+000","-1.5511e-003"
"","  30.3031e-10","1.8025e+000","5.6151e-002","2.7321e+000","-1.0802e-002","1.8055e+000","-5.6105e-003","3.7001e+000","-1.0268e-003"
"","  31.2806e-10","1.8441e+000","5.5086e-002","2.8493e+000","-8.6750e-003","1.8518e+000","-3.1634e-003","3.8078e+000","-9.9996e-004"
"","  32.2581e-10","1.8620e+000","5.4719e-002","2.9723e+000","-5.8726e-003","1.8854e+000","-2.8233e-003","3.8244e+000","-1.0766e-003"
"","  33.2357e-10","1.8710e+000","5.3688e-002","3.1028e+000","-4.0078e-003","1.9215e+000","-4.6541e-003","3.7638e+000","-9.8331e-004"
"","  34.2132e-10","1.9378e+000","5.2517e-002","3.2231e+000","-3.8296e-003","1.9769e+000","-7.1094e-003","3.6437e+000","-3.1708e-004"
"","  35.1907e-10","2.0148e+000","5.1302e-002","3.3282e+000","-4.9328e-003","2.0589e+000","-1.0475e-002","3.5359e+000","9.9247e-004"
"","  36.1682e-10","2.1172e+000","4.9023e-002","3.4223e+000","-6.5099e-003","2.1721e+000","-1.2928e-002","3.4836e+000","1.9726e-003"
"","  37.1457e-10","2.2327e+000","4.6298e-002","3.4943e+000","-7.5590e-003","2.3080e+000","-1.4105e-002","3.4498e+000","1.9302e-003"
"","  38.1232e-10","2.3362e+000","4.2554e-002","3.5460e+000","-6.8799e-003","2.4524e+000","-1.4816e-002","3.3902e+000","1.2529e-003"
"","  39.1008e-10","2.4669e+000","3.7939e-002","3.5833e+000","-4.5907e-003","2.5983e+000","-1.4571e-002","3.3035e+000","3.1677e-004"
"","  40.0783e-10","2.6085e+000","3.3266e-002","3.6019e+000","-1.3344e-003","2.7380e+000","-1.3817e-002","3.2062e+000","-2.5843e-004"
"","  41.0558e-10","2.7435e+000","2.8449e-002","3.6017e+000","1.9054e-003","2.8584e+000","-1.1159e-002","3.1542e+000","-2.1881e-004"
"","  42.0333e-10","2.8587e+000","2.4127e-002","3.5751e+000","4.3154e-003","2.9472e+000","-7.0717e-003","3.1808e+000","-2.1805e-005"
"","  43.0108e-10","2.9269e+000","2.0674e-002","3.5136e+000","5.8306e-003","2.9977e+000","-3.3125e-003","3.2398e+000","-2.0014e-004"
"","  43.9884e-10","2.9607e+000","1.7962e-002","3.4148e+000","6.9444e-003","3.0159e+000","-5.9870e-004","3.2943e+000","-5.2105e-004"
