"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 01:52:22 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U54.34 (at pin)"
"Probe 2: U42.G2 (at pin)"
"Probe 3: U15.AF21 (at pin)"
"Probe 4: U1.B14 (at pin)"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-10","1.5677e-002",DC,"1.6277e-002",DC,"1.6277e-002",DC,"1.6136e-002",DC
"","   0.4888e-10","1.6498e-002","-1.0081e-003","1.6277e-002","-1.4389e-010","1.6277e-002","2.2223e-007","1.6136e-002","-3.1894e-005"
"","   0.9775e-10","1.8640e-002","-9.6287e-004","1.6277e-002","1.2546e-009","1.6278e-002","3.9842e-007","1.6284e-002","-2.0724e-005"
"","   1.4663e-10","2.0531e-002","-9.2809e-004","1.6277e-002","1.9177e-009","1.6287e-002","5.3840e-007","1.6920e-002","-1.3468e-005"
"","   1.9551e-10","2.2245e-002","-8.9448e-004","1.6277e-002","1.9330e-009","1.6294e-002","7.0750e-007","1.7373e-002","-5.1620e-006"
"","   2.4438e-10","2.3999e-002","-8.5954e-004","1.6277e-002","4.0816e-009","1.6300e-002","7.1950e-007","1.7666e-002","1.3439e-005"
"","   2.9326e-10","2.5840e-002","-8.2204e-004","1.6277e-002","4.0635e-009","1.6306e-002","7.2785e-007","1.7931e-002","1.8816e-005"
"","   3.4214e-10","2.8100e-002","-7.6431e-004","1.6278e-002","3.7573e-009","1.6308e-002","7.4857e-007","1.8437e-002","1.8768e-005"
"","   3.9101e-10","3.1518e-002","-6.9061e-004","1.6550e-002","-1.0154e-007","1.6310e-002","7.5687e-007","1.9948e-002","2.2279e-005"
"","   4.3989e-10","3.5934e-002","-6.1718e-004","1.6953e-002","-6.4096e-006","1.6312e-002","8.0204e-007","2.1308e-002","1.2300e-005"
"","   4.8876e-10","4.0616e-002","-5.3670e-004","1.7145e-002","-1.4577e-005","1.6314e-002","8.4791e-007","2.2555e-002","-1.7122e-005"
"","   5.3764e-10","4.6265e-002","-4.1924e-004","1.7230e-002","-2.4014e-005","1.6317e-002","8.8782e-007","2.3226e-002","-3.7065e-005"
"","   5.8652e-10","5.3676e-002","-2.4154e-004","1.7468e-002","-3.1722e-005","1.6319e-002","9.1334e-007","2.4061e-002","-4.3707e-005"
"","   6.3539e-10","6.5778e-002","1.0841e-004","1.8266e-002","-4.2849e-005","1.6321e-002","9.3158e-007","2.5543e-002","-5.8238e-005"
"","   6.8427e-10","8.7692e-002","6.6490e-004","1.9182e-002","-6.3204e-005","1.6323e-002","9.4639e-007","2.8141e-002","-6.9895e-005"
"","   7.3315e-10","1.1737e-001","1.3065e-003","1.9797e-002","-8.7010e-005","1.6324e-002","9.5844e-007","3.1210e-002","-7.0526e-005"
"","   7.8202e-10","1.4966e-001","1.9651e-003","2.0379e-002","-1.1119e-004","1.6471e-002","9.6995e-007","3.4649e-002","-7.3100e-005"
"","   8.3090e-10","1.8277e-001","2.6360e-003","2.0711e-002","-1.3395e-004","1.6767e-002","7.1540e-007","3.8687e-002","-8.6220e-005"
"","   8.7978e-10","2.1640e-001","3.3329e-003","2.1315e-002","-1.4919e-004","1.6952e-002","-9.3024e-006","4.3980e-002","-8.8578e-005"
"","   9.2865e-10","2.5160e-001","4.1524e-003","2.2873e-002","-1.6643e-004","1.7017e-002","-2.1416e-005","5.2215e-002","-9.2504e-005"
"","   9.7753e-10","2.9906e-001","5.2452e-003","2.4912e-002","-1.9499e-004","1.6978e-002","-2.4105e-005","6.7728e-002","-1.1634e-004"
"","  10.2641e-10","3.5535e-001","6.3370e-003","2.7148e-002","-2.3252e-004","1.7324e-002","-2.3577e-005","8.9589e-002","-1.8473e-004"
"","  10.7528e-10","4.0692e-001","7.2303e-003","2.9905e-002","-2.8252e-004","1.8067e-002","-2.7710e-005","1.1412e-001","-3.2459e-004"
"","  11.2416e-10","4.4808e-001","7.9149e-003","3.3330e-002","-3.4653e-004","1.8713e-002","-4.7966e-005","1.3826e-001","-5.0362e-004"
"","  11.7303e-10","4.7906e-001","8.4312e-003","3.8090e-002","-4.3022e-004","1.9210e-002","-7.0505e-005","1.6187e-001","-6.6206e-004"
"","  12.2191e-10","5.0048e-001","8.9089e-003","4.6806e-002","-5.5056e-004","1.9290e-002","-8.1335e-005","1.8807e-001","-7.8008e-004"
"","  12.7079e-10","5.2102e-001","9.4584e-003","6.0298e-002","-7.6414e-004","1.9526e-002","-8.8976e-005","2.2406e-001","-8.6671e-004"
"","  13.1966e-10","5.3785e-001","9.8862e-003","7.5425e-002","-1.0953e-003","2.0691e-002","-8.3562e-005","2.7057e-001","-9.2465e-004"
"","  13.6854e-10","5.4523e-001","1.0130e-002","8.9951e-002","-1.5197e-003","2.2445e-002","-8.7913e-005","3.1702e-001","-1.0368e-003"
"","  14.1742e-10","5.4271e-001","1.0269e-002","1.0337e-001","-1.9967e-003","2.4636e-002","-1.2793e-004","3.5639e-001","-1.1646e-003"
"","  14.6629e-10","5.3431e-001","1.0392e-002","1.1695e-001","-2.4803e-003","2.6952e-002","-1.7733e-004","3.8426e-001","-1.1734e-003"
"","  15.1517e-10","5.2356e-001","1.0511e-002","1.3553e-001","-2.9554e-003","2.9163e-002","-2.3012e-004","4.0707e-001","-1.0248e-003"
"","  15.6405e-10","5.1650e-001","1.0973e-002","1.6281e-001","-3.4872e-003","3.2286e-002","-2.9475e-004","4.3297e-001","-7.9583e-004"
"","  16.1292e-10","5.3051e-001","1.1678e-002","1.9279e-001","-4.1225e-003","3.8085e-002","-3.6431e-004","4.5915e-001","-5.2571e-004"
"","  16.6180e-10","5.4977e-001","1.2194e-002","2.1961e-001","-4.8005e-003","4.7512e-002","-4.7376e-004","4.7783e-001","-2.8202e-004"
"","  17.1068e-10","5.6554e-001","1.2590e-002","2.4228e-001","-5.4211e-003","5.8979e-002","-7.0845e-004","4.8624e-001","-2.7256e-005"
"","  17.5955e-10","5.7992e-001","1.3051e-002","2.6136e-001","-5.9006e-003","7.0097e-002","-1.0627e-003","4.8436e-001","2.2395e-004"
