"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 01:55:09 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U54.15 (at pin)"
"Probe 2: U42.A5 (at pin)"
"Probe 3: U15.AF20 (at pin)"
"Probe 4: U1.A14 (at pin)"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-10","1.6213e-002",DC,"1.6909e-002",DC,"1.6909e-002",DC,"1.6776e-002",DC
"","   0.4888e-10","1.7772e-002","-1.0550e-003","1.6909e-002","-2.4875e-010","1.6909e-002","2.2211e-007","1.6776e-002","-1.2380e-010"
"","   0.9775e-10","2.0062e-002","-1.0249e-003","1.6909e-002","-4.8643e-011","1.6911e-002","3.9963e-007","1.6776e-002","-9.6575e-011"
"","   1.4663e-10","2.2122e-002","-9.9612e-004","1.6909e-002","-4.1830e-011","1.6920e-002","5.4112e-007","1.6776e-002","-1.4378e-009"
"","   1.9551e-10","2.4175e-002","-9.6715e-004","1.6909e-002","6.7684e-010","1.6927e-002","6.4120e-007","1.6776e-002","-9.0125e-010"
"","   2.4438e-10","2.6261e-002","-9.3700e-004","1.6909e-002","1.3648e-009","1.6933e-002","6.6510e-007","1.6776e-002","4.9193e-010"
"","   2.9326e-10","2.8472e-002","-9.0385e-004","1.6909e-002","7.7194e-010","1.6937e-002","6.9767e-007","1.6776e-002","8.8937e-010"
"","   3.4214e-10","3.1457e-002","-8.4950e-004","1.6909e-002","5.6850e-010","1.6940e-002","7.3455e-007","1.7803e-002","-3.6863e-010"
"","   3.9101e-10","3.5735e-002","-7.8640e-004","1.6909e-002","-6.2053e-011","1.6942e-002","7.7687e-007","1.9197e-002","2.5787e-010"
"","   4.3989e-10","4.0540e-002","-7.1213e-004","1.6909e-002","-3.1948e-010","1.6945e-002","8.2078e-007","2.0490e-002","-1.4730e-005"
"","   4.8876e-10","4.6414e-002","-6.1913e-004","1.6909e-002","-4.3795e-010","1.6948e-002","8.5557e-007","2.1561e-002","-3.0333e-005"
"","   5.3764e-10","5.3896e-002","-4.9862e-004","1.7013e-002","-6.1072e-010","1.6950e-002","8.8347e-007","2.2407e-002","-3.8430e-005"
"","   5.8652e-10","6.3747e-002","-3.2535e-004","1.7990e-002","-3.6376e-006","1.6952e-002","9.0682e-007","2.3764e-002","-4.0745e-005"
"","   6.3539e-10","7.9512e-002","-9.6306e-007","1.8838e-002","-2.3824e-005","1.6954e-002","9.2704e-007","2.5884e-002","-4.5882e-005"
"","   6.8427e-10","1.0687e-001","4.6552e-004","1.9417e-002","-4.5544e-005","1.6955e-002","9.4582e-007","2.8940e-002","-5.4725e-005"
"","   7.3315e-10","1.4199e-001","1.0164e-003","2.0018e-002","-7.3281e-005","1.6956e-002","9.6275e-007","3.2397e-002","-5.9596e-005"
"","   7.8202e-10","1.8147e-001","1.6197e-003","2.0368e-002","-1.0084e-004","1.6957e-002","9.7830e-007","3.6099e-002","-7.1784e-005"
"","   8.3090e-10","2.2406e-001","2.2612e-003","2.1058e-002","-1.2419e-004","1.6958e-002","9.9157e-007","4.0851e-002","-8.2915e-005"
"","   8.7978e-10","2.6880e-001","2.9284e-003","2.2583e-002","-1.5267e-004","1.6959e-002","1.0042e-006","4.6994e-002","-9.6793e-005"
"","   9.2865e-10","3.1591e-001","3.7276e-003","2.4598e-002","-1.9048e-004","1.6960e-002","1.0150e-006","5.7574e-002","-1.1333e-004"
"","   9.7753e-10","3.8083e-001","4.7357e-003","2.6743e-002","-2.4038e-004","1.6961e-002","1.0211e-006","7.5017e-002","-1.4780e-004"
"","  10.2641e-10","4.5094e-001","5.7499e-003","2.9384e-002","-2.9681e-004","1.6962e-002","1.0282e-006","9.7252e-002","-2.2665e-004"
"","  10.7528e-10","5.1770e-001","6.6766e-003","3.2891e-002","-3.6978e-004","1.6962e-002","1.0353e-006","1.2155e-001","-3.7642e-004"
"","  11.2416e-10","5.7411e-001","7.4482e-003","3.7759e-002","-4.5882e-004","1.6963e-002","1.0419e-006","1.4659e-001","-5.4074e-004"
"","  11.7303e-10","6.1738e-001","8.0603e-003","4.6631e-002","-5.8716e-004","1.7043e-002","1.0487e-006","1.7277e-001","-6.8244e-004"
