"HyperLynx Oscilloscope .CSV file"

"Design file: CLK_PERCLK.FFS         Designer: alec"
"Created on: 20 February 2008   Time: 09:22:58 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U54.42 (at pin)"
"Probe 2: U15.H12 (at pin)"
"Probe 3: U2.2 (at pin)"
"Probe 4: U1.A7 (at pin)"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-10","1.0543e+000",DC,"1.0354e+000",DC,"1.0543e+000",DC,"1.0071e+000",DC
"","   0.4888e-10","1.0543e+000","-1.5337e-008","1.0354e+000","6.9124e-008","1.0543e+000","1.4121e-006","1.0189e+000","-2.1693e-002"
"","   0.9775e-10","1.0543e+000","-1.5667e-008","1.0354e+000","1.1831e-007","1.0543e+000","1.4021e-006","1.0189e+000","-2.1699e-002"
"","   1.4663e-10","1.0543e+000","-4.0267e-009","1.0354e+000","1.6811e-007","1.0543e+000","1.3942e-006","1.0270e+000","-2.1699e-002"
"","   1.9550e-10","1.0543e+000","-8.9064e-009","1.0354e+000","2.0598e-007","1.0543e+000","1.3930e-006","1.0256e+000","-2.1698e-002"
"","   2.4438e-10","1.0543e+000","-2.7519e-009","1.0354e+000","2.7553e-007","1.0543e+000","1.3964e-006","1.0231e+000","-2.1688e-002"
"","   2.9326e-10","1.0543e+000","-1.3223e-009","1.0354e+000","3.1685e-007","1.0543e+000","1.4060e-006","1.0190e+000","-2.1643e-002"
"","   3.4213e-10","1.0543e+000","-4.4781e-009","1.0354e+000","3.4239e-007","1.0543e+000","1.4128e-006","1.0257e+000","-2.1558e-002"
"","   3.9101e-10","1.0543e+000","-3.6655e-009","1.0354e+000","3.6122e-007","1.0543e+000","1.4243e-006","1.0270e+000","-2.1382e-002"
"","   4.3988e-10","1.0543e+000","-8.0198e-009","1.0354e+000","3.8129e-007","1.0543e+000","1.4323e-006","1.0290e+000","-2.1032e-002"
"","   4.8876e-10","1.0543e+000","-1.1851e-008","1.0354e+000","3.9060e-007","1.0543e+000","1.4364e-006","1.0385e+000","-2.0469e-002"
"","   5.3764e-10","1.0543e+000","-8.8612e-009","1.0354e+000","3.8686e-007","1.0543e+000","1.4445e-006","1.0540e+000","-1.9678e-002"
"","   5.8651e-10","1.0543e+000","-1.2001e-008","1.0354e+000","3.5814e-007","1.0543e+000","1.4404e-006","1.0893e+000","-1.8657e-002"
"","   6.3539e-10","1.0543e+000","-6.9849e-009","1.0354e+000","3.5534e-007","1.0543e+000","1.4351e-006","1.1360e+000","-1.7497e-002"
"","   6.8426e-10","1.0543e+000","-4.1031e-009","1.0391e+000","3.5221e-007","1.0543e+000","1.4283e-006","1.2025e+000","-1.6208e-002"
"","   7.3314e-10","1.0543e+000","-1.7552e-009","1.0387e+000","3.3796e-007","1.0543e+000","1.4188e-006","1.2767e+000","-1.4841e-002"
"","   7.8201e-10","1.0543e+000","1.9384e-009","1.0386e+000","-1.6506e-004","1.0543e+000","1.3799e-006","1.3564e+000","-1.3346e-002"
"","   8.3089e-10","1.0543e+000","-1.3377e-008","1.0359e+000","-1.0886e-004","1.0543e+000","1.3325e-006","1.4383e+000","-1.1621e-002"
"","   8.7977e-10","1.0543e+000","-1.4119e-008","1.0386e+000","-9.0674e-005","1.0543e+000","1.3044e-006","1.5253e+000","-9.7536e-003"
