"HyperLynx Oscilloscope .CSV file"

"Design file: CLK_PERCLK.FFS         Designer: alec"
"Created on: 20 February 2008   Time: 09:56:07 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U54.42 (at pin)"
"Probe 2: U15.H12 (at pin)"
"Probe 3: U2.2 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"Probe 6: disabled"
"Probe 7: disabled"
"Probe 8: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","3.5771e-001",DC,"3.5127e-001",DC,"3.5771e-001",DC
"","   0.4888e-10","3.5771e-001","-4.6309e-009","3.5127e-001","1.6752e-007","3.5771e-001","-4.0997e-009"
"","   0.9775e-10","3.5771e-001","-6.5959e-009","3.5127e-001","2.9901e-007","3.5771e-001","-5.6227e-009"
"","   1.4663e-10","3.5771e-001","-9.2277e-009","3.5127e-001","4.0804e-007","3.5771e-001","-5.8596e-010"
"","   1.9550e-10","3.5771e-001","-9.1908e-009","3.5128e-001","4.8780e-007","3.5771e-001","4.3895e-009"
"","   2.4438e-10","3.5771e-001","-9.0614e-009","3.5128e-001","6.2179e-007","3.5771e-001","6.5619e-009"
"","   2.9326e-10","3.5771e-001","-4.7352e-009","3.5128e-001","7.1754e-007","3.5771e-001","3.5135e-009"
"","   3.4213e-10","3.5771e-001","1.2881e-009","3.5128e-001","7.7120e-007","3.5771e-001","8.0101e-010"
"","   3.9101e-10","3.5771e-001","3.3405e-009","3.5129e-001","8.0772e-007","3.5771e-001","-1.7099e-009"
"","   4.3988e-10","3.5771e-001","5.3733e-009","3.5129e-001","8.4600e-007","3.5771e-001","-1.1797e-009"
"","   4.8876e-10","3.5771e-001","3.6852e-009","3.5129e-001","8.6808e-007","3.5771e-001","2.2087e-009"
"","   5.3764e-10","3.5771e-001","7.1024e-010","3.5129e-001","8.6803e-007","3.5771e-001","5.5659e-009"
"","   5.8651e-10","3.5771e-001","-1.1132e-009","3.5129e-001","8.5599e-007","3.5771e-001","7.5255e-009"
"","   6.3539e-10","3.5771e-001","-1.0400e-009","3.5129e-001","8.5618e-007","3.5771e-001","6.3902e-009"
"","   6.8426e-10","3.5771e-001","-3.6321e-009","3.5248e-001","8.5381e-007","3.5771e-001","4.3431e-009"
"","   7.3314e-10","3.5771e-001","-2.8232e-009","3.5215e-001","8.3980e-007","3.5771e-001","2.5223e-009"
"","   7.8201e-10","3.5771e-001","-1.7217e-009","3.5218e-001","-5.1353e-005","3.5771e-001","-3.3699e-008"
"","   8.3089e-10","3.5771e-001","-5.2447e-008","3.5143e-001","-3.1600e-005","3.5772e-001","-9.6373e-008"
"","   8.7977e-10","3.5772e-001","-8.7238e-008","3.5188e-001","-2.3466e-005","3.5772e-001","-1.2553e-007"
"","   9.2864e-10","3.5772e-001","-1.1875e-007","3.5245e-001","-1.3741e-005","3.5772e-001","-9.4285e-008"
"","   9.7752e-10","3.5772e-001","-1.5467e-007","3.5332e-001","-3.0968e-005","3.5773e-001","-6.3482e-008"
"","  10.2639e-10","3.5773e-001","-1.7571e-007","3.5673e-001","-3.0586e-005","3.5773e-001","-4.4718e-008"
"","  10.7527e-10","3.5773e-001","-1.5764e-007","3.6237e-001","-8.7265e-005","3.5773e-001","-4.2056e-008"
"","  11.2415e-10","3.5774e-001","-1.2651e-007","3.7468e-001","-2.4953e-004","3.5773e-001","-5.9823e-008"
"","  11.7302e-10","3.5774e-001","-7.5852e-008","3.9004e-001","-5.6745e-004","3.5774e-001","-7.9826e-008"
"","  12.2190e-10","3.5774e-001","-2.3512e-008","4.1465e-001","-1.0735e-003","3.5774e-001","-8.5192e-008"
"","  12.7077e-10","3.5774e-001","6.8711e-009","4.4145e-001","-1.8007e-003","3.5774e-001","-7.1864e-008"
"","  13.1965e-10","3.5806e-001","1.9492e-008","4.7376e-001","-2.8247e-003","3.5804e-001","-1.1864e-005"
"","  13.6853e-10","3.5802e-001","-1.3852e-005","5.0693e-001","-3.9056e-003","3.5829e-001","-1.3896e-005"
"","  14.1740e-10","3.5829e-001","-9.1697e-006","5.4330e-001","-5.0480e-003","3.5829e-001","-7.8119e-006"
"","  14.6628e-10","3.5867e-001","-8.7400e-006","5.8395e-001","-6.1114e-003","3.5873e-001","5.9941e-006"
"","  15.1515e-10","3.5860e-001","-9.8026e-006","6.3244e-001","-7.0830e-003","3.5854e-001","1.1127e-005"
"","  15.6403e-10","3.5895e-001","3.2333e-006","6.8894e-001","-7.9566e-003","3.5855e-001","4.4624e-006"
"","  16.1291e-10","3.5918e-001","-2.7020e-006","7.5460e-001","-8.8343e-003","3.5933e-001","-1.7009e-005"
"","  16.6178e-10","3.5993e-001","-8.5191e-006","8.2573e-001","-9.6241e-003","3.6095e-001","-5.7100e-005"
"","  17.1066e-10","3.6161e-001","-4.2853e-005","9.0423e-001","-1.0400e-002","3.6497e-001","-1.0491e-004"
"","  17.5953e-10","3.6679e-001","-1.0314e-004","9.8682e-001","-1.1077e-002","3.7213e-001","-2.0648e-004"
"","  18.0841e-10","3.7398e-001","-2.3675e-004","1.0711e+000","-1.1775e-002","3.8369e-001","-3.4380e-004"
"","  18.5728e-10","3.8719e-001","-4.0421e-004","1.1555e+000","-1.2267e-002","4.0017e-001","-5.0872e-004"
