"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 11:12:20 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U42.A7 (at pin)"
"Probe 2: U15.AH15 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-10","0.0000e+000",DC,"0.0000e+000",DC
"","   0.4888e-10","5.3507e-010","8.4054e-011","0.0000e+000","2.2519e-007"
"","   0.9775e-10","4.2802e-009","1.7405e-010","2.1729e-006","4.0484e-007"
"","   1.4663e-10","7.8244e-009","3.3118e-010","1.1534e-005","5.4815e-007"
"","   1.9551e-10","1.2394e-008","4.8627e-010","1.8475e-005","6.2289e-007"
"","   2.4438e-10","1.6631e-008","6.5270e-010","2.4254e-005","6.4410e-007"
"","   2.9326e-10","2.0666e-008","7.9793e-010","2.7757e-005","7.0329e-007"
"","   3.4214e-10","2.4041e-008","9.2677e-010","3.0998e-005","7.4461e-007"
"","   3.9101e-10","2.6777e-008","1.0280e-009","3.3982e-005","7.9783e-007"
"","   4.3989e-10","2.8797e-008","1.1037e-009","3.6697e-005","8.3170e-007"
"","   4.8876e-10","2.9640e-008","1.1531e-009","3.9453e-005","8.6658e-007"
"","   5.3764e-10","3.0923e-008","1.1891e-009","4.1519e-005","8.9523e-007"
"","   5.8652e-10","6.2217e-008","1.1869e-009","4.3552e-005","9.1828e-007"
"","   6.3539e-10","6.1182e-004","-5.1975e-009","4.5180e-005","9.4265e-007"
"","   6.8427e-10","3.2767e-003","-1.6340e-005","4.6672e-005","9.6024e-007"
"","   7.3315e-10","7.9557e-003","-7.1534e-005","4.8050e-005","9.7868e-007"
"","   7.8202e-10","1.7790e-002","-1.9234e-004","4.9230e-005","9.9290e-007"
"","   8.3090e-10","3.1708e-002","-4.3528e-004","5.0297e-005","1.0060e-006"
"","   8.7978e-10","5.4207e-002","-8.2428e-004","5.1218e-005","1.0178e-006"
"","   9.2865e-10","8.1291e-002","-1.4397e-003","5.2064e-005","1.0277e-006"
"","   9.7753e-10","1.1423e-001","-2.2414e-003","5.2808e-005","1.0371e-006"
"","  10.2641e-10","1.4947e-001","-3.2386e-003","5.3416e-005","1.0445e-006"
"","  10.7528e-10","1.8730e-001","-4.3384e-003","5.3982e-005","1.0516e-006"
"","  11.2416e-10","2.2671e-001","-5.4702e-003","3.5478e-004","1.0651e-006"
"","  11.7303e-10","2.7211e-001","-6.5681e-003","1.9820e-003","1.0421e-006"
"","  12.2191e-10","3.2235e-001","-7.5937e-003","5.2224e-003","-2.5688e-005"
"","  12.7079e-10","3.8097e-001","-8.5339e-003","1.1836e-002","-1.1441e-004"
"","  13.1966e-10","4.4642e-001","-9.3743e-003","2.1296e-002","-2.8283e-004"
"","  13.6854e-10","5.2367e-001","-1.0161e-002","3.5602e-002","-5.8834e-004"
"","  14.1742e-10","6.0595e-001","-1.0916e-002","5.3432e-002","-1.0220e-003"
"","  14.6629e-10","6.9347e-001","-1.1633e-002","7.3903e-002","-1.6497e-003"
"","  15.1517e-10","7.8110e-001","-1.2261e-002","9.6098e-002","-2.3657e-003"
"","  15.6405e-10","8.6743e-001","-1.2767e-002","1.1867e-001","-3.1215e-003"
"","  16.1292e-10","9.4941e-001","-1.3021e-002","1.4464e-001","-3.8370e-003"
"","  16.6180e-10","1.0261e+000","-1.3010e-002","1.7652e-001","-4.4677e-003"
"","  17.1068e-10","1.0998e+000","-1.2596e-002","2.1734e-001","-5.0742e-003"
"","  17.5955e-10","1.1709e+000","-1.1898e-002","2.6817e-001","-5.7444e-003"
"","  18.0843e-10","1.2389e+000","-1.0837e-002","3.2790e-001","-6.5340e-003"
"","  18.5730e-10","1.3012e+000","-9.5824e-003","3.9706e-001","-7.4606e-003"
"","  19.0618e-10","1.3592e+000","-8.0618e-003","4.7326e-001","-8.5314e-003"
"","  19.5506e-10","1.4126e+000","-6.4932e-003","5.5482e-001","-9.7834e-003"
"","  20.0393e-10","1.4614e+000","-4.8567e-003","6.3968e-001","-1.1060e-002"
"","  20.5281e-10","1.5032e+000","-3.3368e-003","7.2595e-001","-1.2262e-002"
"","  21.0169e-10","1.5415e+000","-1.9146e-003","8.1614e-001","-1.3283e-002"
"","  21.5056e-10","1.5746e+000","-7.6394e-004","9.0975e-001","-1.4053e-002"
"","  21.9944e-10","1.6037e+000","1.3485e-004","1.0103e+000","-1.4574e-002"
"","  22.4832e-10","1.6265e+000","7.0173e-004","1.1183e+000","-1.4843e-002"
"","  22.9719e-10","1.6443e+000","9.8990e-004","1.2332e+000","-1.5019e-002"
"","  23.4607e-10","1.6537e+000","1.0187e-003","1.3522e+000","-1.5143e-002"
"","  23.9495e-10","1.6574e+000","8.9142e-004","1.4717e+000","-1.5231e-002"
"","  24.4382e-10","1.6559e+000","6.7820e-004","1.5920e+000","-1.5225e-002"
"","  24.9270e-10","1.6532e+000","4.2375e-004","1.7118e+000","-1.5154e-002"
"","  25.4158e-10","1.6490e+000","1.8804e-004","1.8313e+000","-1.5063e-002"
"","  25.9045e-10","1.6491e+000","-4.6404e-005","1.9480e+000","-1.4899e-002"
"","  26.3933e-10","1.6543e+000","-2.8373e-004","2.0612e+000","-1.4649e-002"
"","  26.8820e-10","1.6672e+000","-6.1631e-004","2.1698e+000","-1.4278e-002"
"","  27.3708e-10","1.6853e+000","-1.0477e-003","2.2727e+000","-1.3785e-002"
"","  27.8596e-10","1.7085e+000","-1.6386e-003","2.3698e+000","-1.3110e-002"
"","  28.3483e-10","1.7350e+000","-2.3373e-003","2.4610e+000","-1.2253e-002"
"","  28.8371e-10","1.7640e+000","-3.1554e-003","2.5473e+000","-1.1244e-002"
"","  29.3259e-10","1.7950e+000","-3.9973e-003","2.6288e+000","-1.0125e-002"
"","  29.8146e-10","1.8296e+000","-4.8509e-003","2.7053e+000","-8.9632e-003"
"","  30.3034e-10","1.8692e+000","-5.6552e-003","2.7764e+000","-7.8242e-003"
"","  30.7922e-10","1.9144e+000","-6.4305e-003","2.8409e+000","-6.7502e-003"
"","  31.2809e-10","1.9640e+000","-7.1370e-003","2.8980e+000","-5.7623e-003"
