"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 10:38:10 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.J12 (at pin)"
"Probe 2: U1.C26 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-10","5.0568e-002",DC,"5.0459e-002",DC
"","   0.4888e-10","5.0568e-002","2.1589e-007","5.0460e-002","-1.0816e-003"
"","   0.9776e-10","5.0571e-002","3.8817e-007","5.0459e-002","-1.0823e-003"
"","   1.4664e-10","5.0580e-002","5.2123e-007","5.0611e-002","-1.0824e-003"
"","   1.9552e-10","5.0586e-002","5.8394e-007","5.0544e-002","-1.0824e-003"
"","   2.4440e-10","5.0592e-002","6.1045e-007","5.0518e-002","-1.0810e-003"
"","   2.9328e-10","5.0595e-002","6.6297e-007","5.0516e-002","-1.0810e-003"
"","   3.4216e-10","5.0598e-002","7.1047e-007","5.0589e-002","-1.0370e-003"
"","   3.9104e-10","5.0601e-002","7.6513e-007","5.0569e-002","-9.6194e-004"
"","   4.3992e-10","5.0604e-002","8.0180e-007","5.1630e-002","-7.6998e-004"
"","   4.8881e-10","5.0606e-002","8.3311e-007","5.5512e-002","-4.8812e-004"
"","   5.3769e-10","5.0608e-002","8.5927e-007","6.3262e-002","4.0258e-006"
"","   5.8657e-10","5.0610e-002","8.9401e-007","7.8843e-002","6.8178e-004"
"","   6.3545e-10","5.0612e-002","9.1974e-007","1.0255e-001","1.5507e-003"
"","   6.8433e-10","5.0712e-002","9.2702e-007","1.4013e-001","2.5994e-003"
"","   7.3321e-10","5.0692e-002","4.0277e-007","1.8761e-001","3.7560e-003"
"","   7.8209e-10","5.0669e-002","-3.4712e-006","2.4666e-001","5.0641e-003"
"","   8.3097e-10","5.0592e-002","-1.2180e-006","3.1160e-001","6.4377e-003"
"","   8.7985e-10","5.0648e-002","2.2429e-007","3.8189e-001","7.9595e-003"
"","   9.2873e-10","5.0704e-002","1.3939e-006","4.5452e-001","9.5315e-003"
"","   9.7761e-10","5.1084e-002","-1.2650e-006","5.3237e-001","1.1238e-002"
"","  10.2649e-10","5.3196e-002","-1.2227e-006","6.1392e-001","1.3048e-002"
"","  10.7537e-10","5.7405e-002","-3.7690e-005","7.0166e-001","1.5046e-002"
"","  11.2425e-10","6.6768e-002","-1.5507e-004","7.9544e-001","1.7070e-002"
"","  11.7313e-10","8.0318e-002","-3.9142e-004","8.9909e-001","1.9154e-002"
"","  12.2201e-10","1.0226e-001","-8.3604e-004","1.0079e+000","2.1129e-002"
"","  12.7089e-10","1.2994e-001","-1.4837e-003","1.1191e+000","2.3057e-002"
"","  13.1977e-10","1.6465e-001","-2.4623e-003","1.2271e+000","2.4710e-002"
"","  13.6865e-10","2.0307e-001","-3.6119e-003","1.3267e+000","2.6179e-002"
"","  14.1754e-10","2.4479e-001","-4.9411e-003","1.4146e+000","2.7388e-002"
"","  14.6642e-10","2.9137e-001","-6.2378e-003","1.4859e+000","2.8408e-002"
"","  15.1530e-10","3.4520e-001","-7.4981e-003","1.5452e+000","2.9180e-002"
"","  15.6418e-10","4.1007e-001","-8.6460e-003","1.5910e+000","2.9732e-002"
"","  16.1306e-10","4.8632e-001","-9.7985e-003","1.6280e+000","3.0194e-002"
"","  16.6194e-10","5.7496e-001","-1.0934e-002","1.6522e+000","3.0523e-002"
"","  17.1082e-10","6.7543e-001","-1.2120e-002","1.6702e+000","3.0812e-002"
"","  17.5970e-10","7.8726e-001","-1.3349e-002","1.6796e+000","3.0958e-002"
"","  18.0858e-10","9.0644e-001","-1.4712e-002","1.6836e+000","3.1161e-002"
"","  18.5746e-10","1.0303e+000","-1.6058e-002","1.6779e+000","3.1314e-002"
"","  19.0634e-10","1.1534e+000","-1.7282e-002","1.6674e+000","3.1554e-002"
"","  19.5522e-10","1.2778e+000","-1.8212e-002","1.6507e+000","3.1761e-002"
"","  20.0410e-10","1.3998e+000","-1.8739e-002","1.6329e+000","3.2097e-002"
"","  20.5298e-10","1.5245e+000","-1.8825e-002","1.6151e+000","3.2449e-002"
"","  21.0186e-10","1.6497e+000","-1.8407e-002","1.6031e+000","3.2876e-002"
"","  21.5074e-10","1.7786e+000","-1.7704e-002","1.5989e+000","3.3242e-002"
"","  21.9962e-10","1.9057e+000","-1.6730e-002","1.6037e+000","3.3598e-002"
"","  22.4850e-10","2.0298e+000","-1.5676e-002","1.6150e+000","3.3828e-002"
"","  22.9738e-10","2.1487e+000","-1.4430e-002","1.6308e+000","3.3969e-002"
"","  23.4627e-10","2.2620e+000","-1.3218e-002","1.6499e+000","3.3980e-002"
"","  23.9515e-10","2.3687e+000","-1.1998e-002","1.6717e+000","3.3923e-002"
"","  24.4403e-10","2.4658e+000","-1.0898e-002","1.6966e+000","3.3765e-002"
"","  24.9291e-10","2.5552e+000","-9.7794e-003","1.7272e+000","3.3526e-002"
"","  25.4179e-10","2.6349e+000","-8.7570e-003","1.7682e+000","3.3204e-002"
"","  25.9067e-10","2.7092e+000","-7.7828e-003","1.8222e+000","3.2780e-002"
