"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 10:49:36 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.L14 (at pin)"
"Probe 2: U1.D26 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-10","5.0556e-002",DC,"5.0409e-002",DC
"","   0.4888e-10","5.0556e-002","2.1598e-007","5.0409e-002","-1.0819e-003"
"","   0.9776e-10","5.0557e-002","3.8848e-007","5.0409e-002","-1.0826e-003"
"","   1.4664e-10","5.0566e-002","5.2719e-007","5.0570e-002","-1.0827e-003"
"","   1.9552e-10","5.0573e-002","6.6523e-007","5.0476e-002","-1.0827e-003"
"","   2.4440e-10","5.0579e-002","6.8343e-007","5.0445e-002","-1.0793e-003"
"","   2.9328e-10","5.0584e-002","7.0108e-007","5.0426e-002","-1.0812e-003"
"","   3.4216e-10","5.0586e-002","7.2650e-007","5.0444e-002","-1.0295e-003"
"","   3.9104e-10","5.0588e-002","7.4830e-007","5.0515e-002","-9.4391e-004"
"","   4.3992e-10","5.0591e-002","7.9178e-007","5.1381e-002","-7.2369e-004"
"","   4.8880e-10","5.0593e-002","8.3083e-007","5.5461e-002","-4.0551e-004"
"","   5.3768e-10","5.0595e-002","8.6255e-007","6.3047e-002","1.3535e-004"
"","   5.8656e-10","5.0597e-002","8.7867e-007","7.9477e-002","8.8520e-004"
"","   6.3544e-10","5.0608e-002","8.9655e-007","1.0294e-001","1.7964e-003"
"","   6.8432e-10","5.0687e-002","9.2005e-007","1.4100e-001","2.9201e-003"
"","   7.3320e-10","5.0664e-002","-6.3907e-007","1.8842e-001","4.0875e-003"
"","   7.8208e-10","5.0640e-002","-2.8822e-006","2.4635e-001","5.4394e-003"
"","   8.3096e-10","5.0597e-002","-6.2120e-007","3.1001e-001","6.8373e-003"
"","   8.7984e-10","5.0591e-002","7.3853e-007","3.7645e-001","8.3942e-003"
"","   9.2872e-10","5.0677e-002","9.6835e-007","4.4680e-001","1.0031e-002"
"","   9.7760e-10","5.1253e-002","5.1151e-007","5.2111e-001","1.1781e-002"
"","  10.2648e-10","5.3608e-002","-1.5240e-006","6.0174e-001","1.3679e-002"
"","  10.7536e-10","5.8575e-002","-4.4671e-005","6.8808e-001","1.5717e-002"
"","  11.2424e-10","6.8794e-002","-1.6900e-004","7.8166e-001","1.7816e-002"
"","  11.7312e-10","8.4147e-002","-4.2773e-004","8.8409e-001","1.9911e-002"
"","  12.2200e-10","1.0764e-001","-8.9761e-004","9.9271e-001","2.1905e-002"
"","  12.7088e-10","1.3762e-001","-1.5965e-003","1.1029e+000","2.3801e-002"
