"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 10:56:20 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U42.B1 (at pin)"
"Probe 2: U15.K14 (at pin)"
"Probe 3: U1.A26 (at pin)"
"Probe 4: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","5.0699e-002",DC,"5.0699e-002",DC,"5.0494e-002",DC
"","   0.4888e-10","5.0699e-002","-4.1069e-010","5.0699e-002","2.1596e-007","5.0494e-002","-1.0814e-003"
"","   0.9775e-10","5.0699e-002","-2.6550e-010","5.0700e-002","3.8901e-007","5.0494e-002","-1.0821e-003"
"","   1.4663e-10","5.0699e-002","-2.3198e-010","5.0707e-002","5.2710e-007","5.0695e-002","-1.0822e-003"
"","   1.9550e-10","5.0699e-002","-1.4135e-010","5.0715e-002","7.2022e-007","5.0593e-002","-1.0822e-003"
"","   2.4438e-10","5.0699e-002","6.8423e-011","5.0721e-002","7.4014e-007","5.0575e-002","-1.0805e-003"
"","   2.9326e-10","5.0699e-002","-5.9574e-010","5.0727e-002","7.3272e-007","5.0574e-002","-1.0804e-003"
"","   3.4213e-10","5.0699e-002","-1.7399e-009","5.0729e-002","7.3991e-007","5.0483e-002","-1.0425e-003"
"","   3.9101e-10","5.0818e-002","-1.0654e-007","5.0731e-002","7.3948e-007","5.0680e-002","-9.7115e-004"
"","   4.3988e-10","5.0789e-002","-2.3467e-006","5.0733e-002","7.6085e-007","5.2239e-002","-7.9051e-004"
"","   4.8876e-10","5.0733e-002","-2.2497e-006","5.0734e-002","8.1332e-007","5.7717e-002","-5.2768e-004"
"","   5.3764e-10","5.0735e-002","-2.2249e-006","5.0736e-002","8.7186e-007","6.8090e-002","-8.7789e-005"
"","   5.8651e-10","5.0740e-002","-2.2882e-006","5.0740e-002","8.7695e-007","8.9058e-002","5.3375e-004"
"","   6.3539e-10","5.0793e-002","-1.5873e-006","5.0810e-002","9.1203e-007","1.1895e-001","1.2993e-003"
"","   6.8427e-10","5.1306e-002","-2.4398e-006","5.0806e-002","2.7270e-007","1.6499e-001","2.2221e-003"
"","   7.3314e-10","5.3810e-002","-1.5277e-005","5.0765e-002","-2.6018e-006","2.2102e-001","3.2117e-003"
"","   7.8202e-10","5.8578e-002","-6.7953e-005","5.0742e-002","-9.1883e-007","2.8547e-001","4.3261e-003"
"","   8.3089e-10","6.8345e-002","-1.8536e-004","5.0696e-002","1.3682e-006","3.5563e-001","5.5216e-003"
"","   8.7977e-10","8.2599e-002","-4.2696e-004","5.0774e-002","1.0441e-006","4.2383e-001","6.8979e-003"
"","   9.2865e-10","1.0451e-001","-8.1557e-004","5.1112e-002","1.8486e-006","4.9596e-001","8.3621e-003"
"","   9.7752e-10","1.3216e-001","-1.4239e-003","5.2695e-002","3.6855e-007","5.7218e-001","1.0017e-002"
"","  10.2640e-10","1.6402e-001","-2.2294e-003","5.5973e-002","-2.5660e-005","6.5302e-001","1.1804e-002"
"","  10.7527e-10","1.9877e-001","-3.2108e-003","6.2661e-002","-1.1384e-004","7.4076e-001","1.3750e-002"
"","  11.2415e-10","2.3414e-001","-4.2939e-003","7.2531e-002","-2.8504e-004","8.3140e-001","1.5772e-002"
"","  11.7303e-10","2.7201e-001","-5.3852e-003","8.6857e-002","-6.0112e-004","9.2450e-001","1.7811e-002"
"","  12.2190e-10","3.1378e-001","-6.4261e-003","1.0505e-001","-1.0502e-003","1.0162e+000","1.9821e-002"
"","  12.7078e-10","3.6209e-001","-7.3846e-003","1.2505e-001","-1.6814e-003","1.0983e+000","2.1799e-002"
"","  13.1965e-10","4.1675e-001","-8.2364e-003","1.4676e-001","-2.4136e-003","1.1702e+000","2.3691e-002"
