"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 10:57:45 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U42.G8 (at pin)"
"Probe 2: U15.K23 (at pin)"
"Probe 3: U1.D25 (at pin)"
"Probe 4: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","5.0559e-002",DC,"5.0559e-002",DC,"5.0421e-002",DC
"","   0.4888e-10","5.0559e-002","-9.2861e-010","5.0559e-002","2.1598e-007","5.0421e-002","-1.0819e-003"
"","   0.9775e-10","5.0559e-002","3.2852e-009","5.0561e-002","3.8821e-007","5.0437e-002","-1.0826e-003"
"","   1.4663e-10","5.0559e-002","3.2601e-009","5.0571e-002","5.2729e-007","5.0546e-002","-1.0826e-003"
"","   1.9551e-10","5.0559e-002","5.0633e-009","5.0577e-002","5.9739e-007","5.0479e-002","-1.0826e-003"
"","   2.4438e-10","5.0559e-002","2.0649e-009","5.0583e-002","6.4163e-007","5.0459e-002","-1.0823e-003"
"","   2.9326e-10","5.0559e-002","2.7646e-009","5.0584e-002","6.8407e-007","5.0412e-002","-1.0812e-003"
"","   3.4214e-10","5.0586e-002","1.4648e-010","5.0588e-002","7.2651e-007","5.0510e-002","-1.0390e-003"
"","   3.9101e-10","5.0637e-002","-7.4807e-007","5.0591e-002","8.4290e-007","5.0548e-002","-9.6299e-004"
"","   4.3989e-10","5.0576e-002","-1.4669e-006","5.0594e-002","8.4602e-007","5.1980e-002","-7.7785e-004"
"","   4.8876e-10","5.0569e-002","-1.0836e-006","5.0598e-002","8.6154e-007","5.6242e-002","-4.9245e-004"
"","   5.3764e-10","5.0576e-002","-1.0980e-006","5.0599e-002","8.5772e-007","6.5068e-002","1.2456e-005"
"","   5.8652e-10","5.0604e-002","-9.2107e-007","5.0600e-002","8.8805e-007","8.1726e-002","6.9016e-004"
"","   6.3539e-10","5.0647e-002","-1.1442e-006","5.0601e-002","8.9630e-007","1.0709e-001","1.5977e-003"
"","   6.8427e-10","5.1449e-002","-2.0283e-006","5.0604e-002","9.2009e-007","1.4621e-001","2.6464e-003"
"","   7.3315e-10","5.3945e-002","-2.1041e-005","5.0636e-002","9.4098e-007","1.9504e-001","3.8869e-003"
"","   7.8202e-10","5.8787e-002","-7.3780e-005","5.0658e-002","8.8928e-007","2.5533e-001","5.1812e-003"
"","   8.3090e-10","6.8025e-002","-1.9520e-004","5.0640e-002","-9.7582e-007","3.2188e-001","6.6297e-003"
"","   8.7978e-10","8.1663e-002","-4.2366e-004","5.0611e-002","-1.1231e-006","3.9425e-001","8.1195e-003"
"","   9.2865e-10","1.0238e-001","-7.9659e-004","5.0582e-002","5.7621e-007","4.7114e-001","9.7444e-003"
"","   9.7753e-10","1.2783e-001","-1.3642e-003","5.0613e-002","1.6273e-006","5.5399e-001","1.1374e-002"
"","  10.2641e-10","1.5813e-001","-2.1067e-003","5.0744e-002","1.3773e-006","6.4113e-001","1.3197e-002"
"","  10.7528e-10","1.9160e-001","-3.0214e-003","5.1567e-002","2.8381e-007","7.3173e-001","1.5087e-002"
"","  11.2416e-10","2.2734e-001","-4.0371e-003","5.3673e-002","-7.4675e-006","8.2378e-001","1.7112e-002"
"","  11.7304e-10","2.6685e-001","-5.0955e-003","5.8181e-002","-5.7085e-005","9.1911e-001","1.9127e-002"
"","  12.2191e-10","3.1190e-001","-6.1559e-003","6.5784e-002","-1.6685e-004","1.0130e+000","2.1240e-002"
"","  12.7079e-10","3.6309e-001","-7.1824e-003","7.7120e-002","-3.8636e-004","1.1024e+000","2.3246e-002"
"","  13.1966e-10","4.2188e-001","-8.1663e-003","9.2691e-002","-7.2897e-004","1.1843e+000","2.5165e-002"
"","  13.6854e-10","4.8771e-001","-9.0921e-003","1.1142e-001","-1.2327e-003","1.2547e+000","2.6892e-002"
"","  14.1742e-10","5.6256e-001","-9.9714e-003","1.3256e-001","-1.8802e-003","1.3122e+000","2.8521e-002"
"","  14.6629e-10","6.4272e-001","-1.0814e-002","1.5495e-001","-2.6054e-003","1.3539e+000","2.9920e-002"
"","  15.1517e-10","7.2639e-001","-1.1584e-002","1.7891e-001","-3.3434e-003","1.3856e+000","3.1134e-002"
"","  15.6405e-10","8.1102e-001","-1.2242e-002","2.0724e-001","-4.0308e-003","1.4046e+000","3.2145e-002"
"","  16.1292e-10","8.9396e-001","-1.2725e-002","2.4237e-001","-4.6564e-003","1.4144e+000","3.3062e-002"
"","  16.6180e-10","9.7347e-001","-1.2953e-002","2.8679e-001","-5.2964e-003","1.4099e+000","3.3864e-002"
"","  17.1068e-10","1.0479e+000","-1.2868e-002","3.4018e-001","-6.0095e-003","1.4002e+000","3.4587e-002"
"","  17.5955e-10","1.1191e+000","-1.2411e-002","4.0218e-001","-6.8457e-003","1.3842e+000","3.5294e-002"
