"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 11:00:52 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U42.F8 (at pin)"
"Probe 2: U15.G22 (at pin)"
"Probe 3: U1.C25 (at pin)"
"Probe 4: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","5.0676e-002",DC,"5.0676e-002",DC,"5.0429e-002",DC
"","   0.4888e-10","5.0677e-002","-1.1903e-008","5.0676e-002","2.1597e-007","5.0429e-002","-1.0820e-003"
"","   0.9775e-10","5.0676e-002","-1.4591e-008","5.0678e-002","3.8819e-007","5.0429e-002","-1.0828e-003"
"","   1.4663e-10","5.0675e-002","-6.4497e-009","5.0687e-002","5.2743e-007","5.0547e-002","-1.0829e-003"
"","   1.9550e-10","5.0676e-002","3.5983e-009","5.0695e-002","6.0211e-007","5.0478e-002","-1.0830e-003"
"","   2.4438e-10","5.0676e-002","4.5466e-009","5.0701e-002","6.2132e-007","5.0449e-002","-1.0827e-003"
"","   2.9326e-10","5.0676e-002","3.3835e-009","5.0705e-002","6.2376e-007","5.0441e-002","-1.0816e-003"
"","   3.4213e-10","5.0715e-002","3.8675e-009","5.0709e-002","6.2605e-007","5.0482e-002","-1.0419e-003"
"","   3.9101e-10","5.0750e-002","-1.0011e-006","5.0708e-002","6.5844e-007","5.0499e-002","-9.6842e-004"
"","   4.3988e-10","5.0693e-002","-1.3006e-006","5.0710e-002","7.2894e-007","5.1581e-002","-7.9066e-004"
"","   4.8876e-10","5.0687e-002","-1.2931e-006","5.0712e-002","8.7718e-007","5.5526e-002","-5.1088e-004"
"","   5.3764e-10","5.0698e-002","-8.7418e-007","5.0717e-002","9.3256e-007","6.3363e-002","-2.0077e-005"
"","   5.8651e-10","5.0727e-002","-1.2096e-006","5.0721e-002","9.5673e-007","7.9013e-002","6.4815e-004"
"","   6.3539e-10","5.0752e-002","-9.3403e-007","5.0723e-002","9.1271e-007","1.0308e-001","1.5436e-003"
"","   6.8427e-10","5.1782e-002","-2.3894e-006","5.0740e-002","8.9968e-007","1.4083e-001","2.5900e-003"
"","   7.3314e-10","5.4559e-002","-2.5950e-005","5.0772e-002","9.0355e-007","1.8887e-001","3.8202e-003"
"","   7.8202e-10","6.0261e-002","-8.5898e-005","5.0751e-002","-4.0619e-007","2.4739e-001","5.1197e-003"
"","   8.3089e-10","7.0636e-002","-2.3072e-004","5.0728e-002","-1.1895e-006","3.1216e-001","6.5574e-003"
"","   8.7977e-10","8.6445e-002","-4.8899e-004","5.0696e-002","7.9087e-007","3.8019e-001","8.0686e-003"
"","   9.2865e-10","1.0992e-001","-9.2862e-004","5.0718e-002","1.6453e-006","4.5003e-001","9.7040e-003"
"","   9.7752e-10","1.3877e-001","-1.5720e-003","5.0786e-002","1.4877e-006","5.2214e-001","1.1396e-002"
"","  10.2640e-10","1.7306e-001","-2.4347e-003","5.1288e-002","6.3097e-007","5.9675e-001","1.3294e-002"
"","  10.7527e-10","2.0971e-001","-3.4677e-003","5.2935e-002","-2.0474e-006","6.7466e-001","1.5334e-002"
"","  11.2415e-10","2.4848e-001","-4.6166e-003","5.6447e-002","-3.7167e-005","7.5672e-001","1.7506e-002"
"","  11.7303e-10","2.8926e-001","-5.7704e-003","6.2984e-002","-1.2664e-004","8.4463e-001","1.9700e-002"
"","  12.2190e-10","3.3504e-001","-6.8928e-003","7.2634e-002","-3.0699e-004","9.3354e-001","2.1943e-002"
"","  12.7078e-10","3.8587e-001","-7.9070e-003","8.6837e-002","-6.0927e-004","1.0177e+000","2.4102e-002"
"","  13.1965e-10","4.4441e-001","-8.8257e-003","1.0430e-001","-1.0544e-003","1.0943e+000","2.6128e-002"
"","  13.6853e-10","5.1183e-001","-9.6166e-003","1.2472e-001","-1.6708e-003","1.1580e+000","2.7996e-002"
"","  14.1741e-10","5.9001e-001","-1.0371e-002","1.4657e-001","-2.3764e-003","1.2085e+000","2.9740e-002"
"","  14.6628e-10","6.7444e-001","-1.1077e-002","1.7012e-001","-3.1274e-003","1.2425e+000","3.1309e-002"
"","  15.1516e-10","7.6175e-001","-1.1768e-002","1.9719e-001","-3.8437e-003","1.2683e+000","3.2679e-002"
"","  15.6403e-10","8.4733e-001","-1.2336e-002","2.3105e-001","-4.5199e-003","1.2865e+000","3.3877e-002"
"","  16.1291e-10","9.2785e-001","-1.2744e-002","2.7344e-001","-5.1829e-003","1.3020e+000","3.4932e-002"
"","  16.6179e-10","1.0017e+000","-1.2827e-002","3.2587e-001","-5.9386e-003","1.3122e+000","3.5824e-002"
"","  17.1066e-10","1.0693e+000","-1.2557e-002","3.8774e-001","-6.7924e-003","1.3217e+000","3.6527e-002"
"","  17.5954e-10","1.1334e+000","-1.1846e-002","4.5820e-001","-7.8098e-003","1.3288e+000","3.7098e-002"
"","  18.0841e-10","1.1947e+000","-1.0783e-002","5.3567e-001","-8.9675e-003","1.3337e+000","3.7569e-002"
"","  18.5729e-10","1.2563e+000","-9.3949e-003","6.1718e-001","-1.0251e-002","1.3357e+000","3.7939e-002"
"","  19.0617e-10","1.3169e+000","-7.8643e-003","7.0187e-001","-1.1521e-002","1.3396e+000","3.8231e-002"
"","  19.5504e-10","1.3775e+000","-6.2742e-003","7.8984e-001","-1.2662e-002","1.3491e+000","3.8493e-002"
"","  20.0392e-10","1.4338e+000","-4.7982e-003","8.8323e-001","-1.3609e-002","1.3656e+000","3.8671e-002"
"","  20.5280e-10","1.4847e+000","-3.4709e-003","9.8309e-001","-1.4364e-002","1.3913e+000","3.8724e-002"
"","  21.0167e-10","1.5259e+000","-2.3658e-003","1.0909e+000","-1.4926e-002","1.4261e+000","3.8636e-002"
"","  21.5055e-10","1.5597e+000","-1.4442e-003","1.2060e+000","-1.5339e-002","1.4702e+000","3.8418e-002"
"","  21.9942e-10","1.5863e+000","-7.3555e-004","1.3271e+000","-1.5693e-002","1.5182e+000","3.8025e-002"
"","  22.4830e-10","1.6101e+000","-2.2751e-004","1.4501e+000","-1.6006e-002","1.5674e+000","3.7445e-002"
"","  22.9718e-10","1.6313e+000","4.9644e-005","1.5719e+000","-1.6238e-002","1.6112e+000","3.6763e-002"
"","  23.4605e-10","1.6532e+000","8.6066e-005","1.6914e+000","-1.6287e-002","1.6463e+000","3.6033e-002"
"","  23.9493e-10","1.6761e+000","-1.2785e-004","1.8084e+000","-1.6150e-002","1.6705e+000","3.5315e-002"
"","  24.4380e-10","1.7015e+000","-6.0893e-004","1.9234e+000","-1.5798e-002","1.6864e+000","3.4645e-002"
"","  24.9268e-10","1.7270e+000","-1.3105e-003","2.0363e+000","-1.5254e-002","1.6956e+000","3.4114e-002"
"","  25.4156e-10","1.7529e+000","-2.1940e-003","2.1480e+000","-1.4526e-002","1.7017e+000","3.3690e-002"
"","  25.9043e-10","1.7776e+000","-3.1445e-003","2.2571e+000","-1.3713e-002","1.7088e+000","3.3376e-002"
"","  26.3931e-10","1.8031e+000","-4.0999e-003","2.3620e+000","-1.2872e-002","1.7194e+000","3.3117e-002"
"","  26.8818e-10","1.8307e+000","-4.9550e-003","2.4587e+000","-1.2005e-002","1.7348e+000","3.2917e-002"
"","  27.3706e-10","1.8637e+000","-5.7078e-003","2.5465e+000","-1.1065e-002","1.7530e+000","3.2684e-002"
"","  27.8594e-10","1.9037e+000","-6.3274e-003","2.6248e+000","-1.0019e-002","1.7749e+000","3.2426e-002"
"","  28.3481e-10","1.9515e+000","-6.8804e-003","2.6947e+000","-8.8780e-003","1.7983e+000","3.2128e-002"
"","  28.8369e-10","2.0058e+000","-7.3630e-003","2.7562e+000","-7.6456e-003","1.8252e+000","3.1805e-002"
"","  29.3256e-10","2.0663e+000","-7.8330e-003","2.8099e+000","-6.3564e-003","1.8558e+000","3.1413e-002"
"","  29.8144e-10","2.1307e+000","-8.2793e-003","2.8563e+000","-5.0332e-003","1.8946e+000","3.0967e-002"
"","  30.3032e-10","2.1974e+000","-8.7220e-003","2.8958e+000","-3.7461e-003","1.9411e+000","3.0442e-002"
"","  30.7919e-10","2.2637e+000","-9.1056e-003","2.9285e+000","-2.5369e-003","1.9973e+000","2.9797e-002"
"","  31.2807e-10","2.3306e+000","-9.4092e-003","2.9541e+000","-1.4492e-003","2.0602e+000","2.9003e-002"
"","  31.7694e-10","2.3992e+000","-9.6018e-003","2.9734e+000","-5.0280e-004","2.1284e+000","2.8057e-002"
"","  32.2582e-10","2.4703e+000","-9.7090e-003","2.9860e+000","2.8509e-004","2.1973e+000","2.6991e-002"
"","  32.7470e-10","2.5425e+000","-9.7286e-003","2.9930e+000","9.0070e-004","2.2651e+000","2.5804e-002"
"","  33.2357e-10","2.6159e+000","-9.6837e-003","2.9945e+000","1.3741e-003","2.3299e+000","2.4556e-002"
"","  33.7245e-10","2.6888e+000","-9.5722e-003","2.9919e+000","1.7006e-003","2.3927e+000","2.3267e-002"
"","  34.2133e-10","2.7601e+000","-9.4056e-003","2.9856e+000","1.9177e-003","2.4548e+000","2.1986e-002"
"","  34.7020e-10","2.8270e+000","-9.1534e-003","2.9768e+000","2.0168e-003","2.5186e+000","2.0696e-002"
"","  35.1908e-10","2.8890e+000","-8.7968e-003","2.9669e+000","2.0472e-003","2.5851e+000","1.9404e-002"
"","  35.6795e-10","2.9446e+000","-8.2911e-003","2.9570e+000","1.9858e-003","2.6526e+000","1.8074e-002"
"","  36.1683e-10","2.9949e+000","-7.6288e-003","2.9477e+000","1.8452e-003","2.7196e+000","1.6732e-002"
"","  36.6571e-10","3.0400e+000","-6.7948e-003","2.9391e+000","1.6071e-003","2.7837e+000","1.5359e-002"
"","  37.1458e-10","3.0815e+000","-5.8347e-003","2.9320e+000","1.3214e-003","2.8435e+000","1.4006e-002"
"","  37.6346e-10","3.1192e+000","-4.7751e-003","2.9262e+000","9.7449e-004","2.8973e+000","1.2673e-002"
"","  38.1233e-10","3.1536e+000","-3.6980e-003","2.9227e+000","5.8690e-004","2.9453e+000","1.1398e-002"
