"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 11:03:16 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U42.C8 (at pin)"
"Probe 2: U15.L21 (at pin)"
"Probe 3: U1.B25 (at pin)"
"Probe 4: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","5.0723e-002",DC,"5.0723e-002",DC,"5.0496e-002",DC
"","   0.4888e-10","5.0723e-002","-9.3181e-010","5.0723e-002","2.1591e-007","5.0496e-002","-1.0814e-003"
"","   0.9776e-10","5.0723e-002","-1.8087e-010","5.0724e-002","3.8849e-007","5.0508e-002","-1.0821e-003"
"","   1.4664e-10","5.0723e-002","-6.1006e-009","5.0732e-002","5.2713e-007","5.0646e-002","-1.0822e-003"
"","   1.9551e-10","5.0723e-002","-7.1659e-009","5.0739e-002","6.9133e-007","5.0590e-002","-1.0822e-003"
"","   2.4439e-10","5.0723e-002","-8.3641e-009","5.0745e-002","7.0494e-007","5.0567e-002","-1.0812e-003"
"","   2.9327e-10","5.0740e-002","-4.1967e-009","5.0751e-002","7.1230e-007","5.0562e-002","-1.0807e-003"
"","   3.4215e-10","5.0829e-002","-5.3629e-007","5.0753e-002","7.3085e-007","5.0622e-002","-1.0421e-003"
"","   3.9103e-10","5.0794e-002","-2.0637e-006","5.0755e-002","7.3844e-007","5.0593e-002","-9.7361e-004"
"","   4.3991e-10","5.0741e-002","-1.8497e-006","5.0757e-002","7.8140e-007","5.1811e-002","-8.0316e-004"
"","   4.8879e-10","5.0758e-002","-1.7941e-006","5.0759e-002","8.2562e-007","5.5633e-002","-5.4184e-004"
"","   5.3766e-10","5.0786e-002","-1.6960e-006","5.0762e-002","8.4903e-007","6.3488e-002","-7.9182e-005"
"","   5.8654e-10","5.0810e-002","-1.7562e-006","5.0763e-002","8.8017e-007","7.8688e-002","5.5067e-004"
"","   6.3542e-10","5.1477e-002","-2.1607e-006","5.0765e-002","8.9929e-007","1.0241e-001","1.3953e-003"
"","   6.8430e-10","5.3990e-002","-1.7286e-005","5.0801e-002","9.4364e-007","1.3914e-001","2.3920e-003"
"","   7.3318e-10","5.8854e-002","-6.9179e-005","5.0829e-002","7.5826e-007","1.8575e-001","3.5609e-003"
"","   7.8206e-10","6.8277e-002","-1.8378e-004","5.0820e-002","-1.1655e-006","2.4309e-001","4.8253e-003"
"","   8.3094e-10","8.2742e-002","-4.1378e-004","5.0788e-002","-1.6631e-006","3.0629e-001","6.2280e-003"
"","   8.7981e-10","1.0438e-001","-7.8960e-004","5.0774e-002","-7.5993e-008","3.7410e-001","7.7204e-003"
"","   9.2869e-10","1.3205e-001","-1.3730e-003","5.0792e-002","8.7285e-007","4.4358e-001","9.3333e-003"
"","   9.7757e-10","1.6450e-001","-2.1520e-003","5.0925e-002","2.3484e-007","5.1656e-001","1.1014e-002"
"","  10.2645e-10","2.0058e-001","-3.1144e-003","5.1689e-002","-4.1403e-008","5.9162e-001","1.2886e-002"
"","  10.7533e-10","2.3872e-001","-4.1994e-003","5.3676e-002","-9.0797e-006","6.6923e-001","1.4893e-002"
"","  11.2421e-10","2.7968e-001","-5.3261e-003","5.7923e-002","-5.7073e-005","7.4861e-001","1.7018e-002"
"","  11.7309e-10","3.2598e-001","-6.4475e-003","6.5031e-002","-1.6585e-004","8.3215e-001","1.9191e-002"
"","  12.2196e-10","3.7845e-001","-7.5197e-003","7.5920e-002","-3.7559e-004","9.1347e-001","2.1419e-002"
"","  12.7084e-10","4.3842e-001","-8.5328e-003","9.0846e-002","-7.0938e-004","9.9186e-001","2.3601e-002"
"","  13.1972e-10","5.0635e-001","-9.4683e-003","1.0937e-001","-1.2027e-003","1.0631e+000","2.5685e-002"
"","  13.6860e-10","5.8405e-001","-1.0353e-002","1.3026e-001","-1.8391e-003","1.1266e+000","2.7625e-002"
