"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 01:42:52 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U42.F2 (at pin)"
"Probe 2: U1.D10 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-10","5.0618e-002",DC,"5.0444e-002",DC
"","   0.4888e-10","5.0618e-002","-5.1375e-010","5.0444e-002","-1.0818e-003"
"","   0.9777e-10","5.0618e-002","-2.4038e-010","5.0821e-002","-1.0824e-003"
"","   1.4665e-10","5.0618e-002","-1.2041e-010","5.0558e-002","-1.0825e-003"
"","   1.9554e-10","5.0618e-002","6.0249e-011","5.0494e-002","-1.0808e-003"
"","   2.4442e-10","5.0619e-002","-4.9717e-009","5.0488e-002","-1.0816e-003"
"","   2.9331e-10","5.0618e-002","-1.0380e-008","5.0546e-002","-1.0802e-003"
"","   3.4219e-10","5.0618e-002","-2.4061e-009","5.0484e-002","-1.0388e-003"
"","   3.9108e-10","5.0713e-002","-1.4561e-008","5.0634e-002","-9.6562e-004"
"","   4.3996e-10","5.0709e-002","-1.9017e-006","5.4278e-002","-7.8273e-004"
"","   4.8885e-10","5.0615e-002","-1.7098e-006","6.0603e-002","-5.1113e-004"
"","   5.3773e-10","5.0633e-002","-1.4470e-006","7.5181e-002","-4.7227e-005"
"","   5.8662e-10","5.0668e-002","-1.4346e-006","9.6413e-002","5.7798e-004"
"","   6.3550e-10","5.0694e-002","-1.6684e-006","1.3039e-001","1.3993e-003"
"","   6.8438e-10","5.1041e-002","-2.0107e-006","1.7437e-001","2.3580e-003"
"","   7.3327e-10","5.3101e-002","-9.2150e-006","2.2636e-001","3.4706e-003"
"","   7.8215e-10","5.7470e-002","-5.0770e-005","2.8166e-001","4.6831e-003"
"","   8.3104e-10","6.6221e-002","-1.4331e-004","3.3926e-001","6.0821e-003"
"","   8.7992e-10","8.0233e-002","-3.5026e-004","3.9596e-001","7.6294e-003"
"","   9.2881e-10","1.0139e-001","-6.9613e-004","4.5912e-001","9.3380e-003"
"","   9.7769e-10","1.3015e-001","-1.2653e-003","5.2850e-001","1.1166e-002"
"","  10.2658e-10","1.6459e-001","-2.0692e-003","6.0725e-001","1.3162e-002"
"","  10.7546e-10","2.0367e-001","-3.1227e-003","6.9413e-001","1.5247e-002"
"","  11.2435e-10","2.4560e-001","-4.3866e-003","7.9336e-001","1.7391e-002"
"","  11.7323e-10","2.9034e-001","-5.8090e-003","8.9719e-001","1.9502e-002"
"","  12.2212e-10","3.4042e-001","-7.3294e-003","9.9954e-001","2.1535e-002"
"","  12.7100e-10","3.9755e-001","-8.9297e-003","1.0940e+000","2.3469e-002"
"","  13.1988e-10","4.6225e-001","-1.0575e-002","1.1768e+000","2.5281e-002"
"","  13.6877e-10","5.3653e-001","-1.2250e-002","1.2459e+000","2.6959e-002"
"","  14.1765e-10","6.2286e-001","-1.3958e-002","1.3011e+000","2.8490e-002"
"","  14.6654e-10","7.2079e-001","-1.5727e-002","1.3445e+000","2.9890e-002"
"","  15.1542e-10","8.2630e-001","-1.7547e-002","1.3817e+000","3.1081e-002"
"","  15.6431e-10","9.3535e-001","-1.9357e-002","1.4174e+000","3.2082e-002"
"","  16.1319e-10","1.0434e+000","-2.1062e-002","1.4469e+000","3.2879e-002"
"","  16.6208e-10","1.1490e+000","-2.2516e-002","1.4724e+000","3.3491e-002"
"","  17.1096e-10","1.2518e+000","-2.3621e-002","1.4959e+000","3.3939e-002"
"","  17.5985e-10","1.3541e+000","-2.4261e-002","1.5191e+000","3.4251e-002"
"","  18.0873e-10","1.4585e+000","-2.4436e-002","1.5394e+000","3.4427e-002"
"","  18.5762e-10","1.5666e+000","-2.4145e-002","1.5605e+000","3.4504e-002"
"","  19.0650e-10","1.6776e+000","-2.3477e-002","1.5828e+000","3.4515e-002"
"","  19.5538e-10","1.7910e+000","-2.2470e-002","1.6107e+000","3.4442e-002"
"","  20.0427e-10","1.9062e+000","-2.1243e-002","1.6447e+000","3.4269e-002"
"","  20.5315e-10","2.0195e+000","-1.9858e-002","1.6866e+000","3.3987e-002"
"","  21.0204e-10","2.1278e+000","-1.8382e-002","1.7365e+000","3.3584e-002"
"","  21.5092e-10","2.2285e+000","-1.6827e-002","1.7982e+000","3.3042e-002"
"","  21.9981e-10","2.3218e+000","-1.5215e-002","1.8702e+000","3.2335e-002"
"","  22.4869e-10","2.4097e+000","-1.3576e-002","1.9527e+000","3.1425e-002"
"","  22.9758e-10","2.4951e+000","-1.1974e-002","2.0427e+000","3.0325e-002"
"","  23.4646e-10","2.5786e+000","-1.0497e-002","2.1378e+000","2.9040e-002"
"","  23.9535e-10","2.6596e+000","-9.2076e-003","2.2341e+000","2.7583e-002"
"","  24.4423e-10","2.7370e+000","-8.1655e-003","2.3303e+000","2.5982e-002"
"","  24.9312e-10","2.8097e+000","-7.3829e-003","2.4229e+000","2.4298e-002"
"","  25.4200e-10","2.8761e+000","-6.8605e-003","2.5124e+000","2.2557e-002"
"","  25.9088e-10","2.9344e+000","-6.5476e-003","2.5987e+000","2.0800e-002"
"","  26.3977e-10","2.9839e+000","-6.3800e-003","2.6810e+000","1.9040e-002"
"","  26.8865e-10","3.0256e+000","-6.2702e-003","2.7563e+000","1.7297e-002"
"","  27.3754e-10","3.0620e+000","-6.1631e-003","2.8238e+000","1.5602e-002"
"","  27.8642e-10","3.0952e+000","-6.0172e-003","2.8814e+000","1.3999e-002"
"","  28.3531e-10","3.1274e+000","-5.8254e-003","2.9296e+000","1.2506e-002"
"","  28.8419e-10","3.1591e+000","-5.5954e-003","2.9685e+000","1.1150e-002"
"","  29.3308e-10","3.1898e+000","-5.3372e-003","2.9993e+000","9.9405e-003"
"","  29.8196e-10","3.2180e+000","-5.0500e-003","3.0233e+000","8.8941e-003"
"","  30.3085e-10","3.2428e+000","-4.7197e-003","3.0438e+000","7.9996e-003"
"","  30.7973e-10","3.2633e+000","-4.3296e-003","3.0624e+000","7.2417e-003"
"","  31.2862e-10","3.2799e+000","-3.8556e-003","3.0805e+000","6.5808e-003"
"","  31.7750e-10","3.2932e+000","-3.2947e-003","3.0984e+000","6.0032e-003"
"","  32.2638e-10","3.3047e+000","-2.6513e-003","3.1163e+000","5.4835e-003"
"","  32.7527e-10","3.3157e+000","-1.9592e-003","3.1344e+000","5.0103e-003"
"","  33.2415e-10","3.3274e+000","-1.2600e-003","3.1533e+000","4.5625e-003"
"","  33.7304e-10","3.3403e+000","-6.1499e-004","3.1726e+000","4.1353e-003"
"","  34.2192e-10","3.3533e+000","-6.9258e-005","3.1926e+000","3.7119e-003"
"","  34.7081e-10","3.3648e+000","3.4535e-004","3.2133e+000","3.2953e-003"
"","  35.1969e-10","3.3732e+000","6.3243e-004","3.2349e+000","2.8736e-003"
"","  35.6858e-10","3.3781e+000","8.0860e-004","3.2570e+000","2.4455e-003"
"","  36.1746e-10","3.3796e+000","9.0279e-004","3.2793e+000","2.0041e-003"
"","  36.6635e-10","3.3787e+000","9.3829e-004","3.3007e+000","1.5584e-003"
"","  37.1523e-10","3.3767e+000","9.3301e-004","3.3203e+000","1.1048e-003"
"","  37.6412e-10","3.3745e+000","8.9323e-004","3.3369e+000","6.6065e-004"
"","  38.1300e-10","3.3730e+000","8.1764e-004","3.3495e+000","2.1348e-004"
"","  38.6188e-10","3.3725e+000","7.0174e-004","3.3577e+000","-2.5285e-004"
"","  39.1077e-10","3.3724e+000","5.4298e-004","3.3602e+000","-7.0054e-004"
"","  39.5965e-10","3.3716e+000","3.5303e-004","3.3542e+000","-1.1302e-003"
"","  40.0854e-10","3.3692e+000","1.5607e-004","3.3435e+000","-1.5464e-003"
"","  40.5742e-10","3.3648e+000","-1.4084e-005","3.3297e+000","-1.9852e-003"
"","  41.0631e-10","3.3588e+000","-1.2809e-004","3.3111e+000","-2.4295e-003"
"","  41.5519e-10","3.3521e+000","-1.6437e-004","3.2880e+000","-2.9268e-003"
"","  42.0408e-10","3.3445e+000","-1.2240e-004","3.2618e+000","-3.4659e-003"
"","  42.5296e-10","3.3358e+000","1.3876e-005","3.2325e+000","-4.1579e-003"
"","  43.0185e-10","3.3271e+000","2.3874e-004","3.1966e+000","-4.9746e-003"
"","  43.5073e-10","3.3188e+000","5.3464e-004","3.1497e+000","-6.0136e-003"
"","  43.9962e-10","3.3090e+000","8.7729e-004","3.0930e+000","-7.1701e-003"
"","  44.4850e-10","3.2963e+000","1.2800e-003","3.0260e+000","-8.5010e-003"
"","  44.9738e-10","3.2801e+000","1.7419e-003","2.9520e+000","-9.9545e-003"
"","  45.4627e-10","3.2603e+000","2.2792e-003","2.8755e+000","-1.1631e-002"
"","  45.9515e-10","3.2351e+000","2.8879e-003","2.7956e+000","-1.3415e-002"
"","  46.4404e-10","3.2029e+000","3.6077e-003","2.7139e+000","-1.5443e-002"
"","  46.9292e-10","3.1630e+000","4.4566e-003","2.6308e+000","-1.7531e-002"
"","  47.4181e-10","3.1148e+000","5.4750e-003","2.5409e+000","-1.9696e-002"
"","  47.9069e-10","3.0595e+000","6.6713e-003","2.4481e+000","-2.1802e-002"
"","  48.3958e-10","2.9987e+000","8.0410e-003","2.3614e+000","-2.3860e-002"
"","  48.8846e-10","2.9314e+000","9.5369e-003","2.2790e+000","-2.5746e-002"
"","  49.3735e-10","2.8567e+000","1.1159e-002","2.2052e+000","-2.7527e-002"
"","  49.8623e-10","2.7747e+000","1.2859e-002","2.1403e+000","-2.9100e-002"
"","  50.3512e-10","2.6845e+000","1.4626e-002","2.0831e+000","-3.0468e-002"
"","  50.8400e-10","2.5886e+000","1.6419e-002","2.0311e+000","-3.1658e-002"
"","  51.3288e-10","2.4898e+000","1.8170e-002","1.9871e+000","-3.2651e-002"
"","  51.8177e-10","2.3881e+000","1.9785e-002","1.9463e+000","-3.3447e-002"
"","  52.3065e-10","2.2833e+000","2.1209e-002","1.9107e+000","-3.4057e-002"
"","  52.7954e-10","2.1769e+000","2.2370e-002","1.8828e+000","-3.4525e-002"
"","  53.2842e-10","2.0695e+000","2.3213e-002","1.8589e+000","-3.4835e-002"
"","  53.7731e-10","1.9628e+000","2.3692e-002","1.8370e+000","-3.5114e-002"
"","  54.2619e-10","1.8568e+000","2.3757e-002","1.8159e+000","-3.5293e-002"
"","  54.7508e-10","1.7494e+000","2.3420e-002","1.7902e+000","-3.5416e-002"
"","  55.2396e-10","1.6401e+000","2.2717e-002","1.7587e+000","-3.5430e-002"
"","  55.7285e-10","1.5301e+000","2.1723e-002","1.7229e+000","-3.5367e-002"
"","  56.2173e-10","1.4209e+000","2.0486e-002","1.6817e+000","-3.5156e-002"
"","  56.7062e-10","1.3145e+000","1.9086e-002","1.6340e+000","-3.4864e-002"
"","  57.1950e-10","1.2114e+000","1.7557e-002","1.5792e+000","-3.4418e-002"
"","  57.6838e-10","1.1109e+000","1.5981e-002","1.5142e+000","-3.3847e-002"
"","  58.1727e-10","1.0140e+000","1.4417e-002","1.4389e+000","-3.3091e-002"
"","  58.6615e-10","9.2170e-001","1.2933e-002","1.3548e+000","-3.2171e-002"
"","  59.1504e-10","8.3482e-001","1.1557e-002","1.2643e+000","-3.1032e-002"
"","  59.6392e-10","7.5293e-001","1.0329e-002","1.1704e+000","-2.9737e-002"
"","  60.1281e-10","6.7553e-001","9.2691e-003","1.0760e+000","-2.8264e-002"
"","  60.6169e-10","6.0222e-001","8.4065e-003","9.8233e-001","-2.6689e-002"
"","  61.1058e-10","5.3394e-001","7.7467e-003","8.9107e-001","-2.5014e-002"
"","  61.5946e-10","4.7170e-001","7.2741e-003","8.0377e-001","-2.3302e-002"
"","  62.0835e-10","4.1586e-001","6.9501e-003","7.2134e-001","-2.1548e-002"
"","  62.5723e-10","3.6579e-001","6.7302e-003","6.4512e-001","-1.9824e-002"
"","  63.0612e-10","3.2062e-001","6.5737e-003","5.7635e-001","-1.8122e-002"
"","  63.5500e-10","2.7977e-001","6.4436e-003","5.1566e-001","-1.6503e-002"
"","  64.0388e-10","2.4315e-001","6.3062e-003","4.6394e-001","-1.4964e-002"
"","  64.5277e-10","2.1034e-001","6.1251e-003","4.2098e-001","-1.3559e-002"
"","  65.0165e-10","1.8046e-001","5.8796e-003","3.8535e-001","-1.2276e-002"
"","  65.5054e-10","1.5275e-001","5.5580e-003","3.5537e-001","-1.1151e-002"
"","  65.9942e-10","1.2692e-001","5.1638e-003","3.2972e-001","-1.0147e-002"
"","  66.4831e-10","1.0322e-001","4.7014e-003","3.0709e-001","-9.2762e-003"
"","  66.9719e-10","8.2198e-002","4.1773e-003","2.8715e-001","-8.5023e-003"
"","  67.4608e-10","6.3963e-002","3.5933e-003","2.6892e-001","-7.8328e-003"
"","  67.9496e-10","4.7851e-002","2.9612e-003","2.5117e-001","-7.2345e-003"
"","  68.4385e-10","3.3254e-002","2.3030e-003","2.3275e-001","-6.7082e-003"
"","  68.9273e-10","1.9857e-002","1.6471e-003","2.1303e-001","-6.2115e-003"
"","  69.4162e-10","7.6834e-003","1.0234e-003","1.9174e-001","-5.7436e-003"
"","  69.9050e-10","-3.1094e-003","4.5684e-004","1.6951e-001","-5.2754e-003"
"","  70.3939e-10","-1.2469e-002","-3.1265e-005","1.4661e-001","-4.8125e-003"
"","  70.8827e-10","-2.0474e-002","-4.2635e-004","1.2343e-001","-4.3376e-003"
"","  71.3715e-10","-2.6973e-002","-7.1625e-004","1.0043e-001","-3.8639e-003"
"","  71.8604e-10","-3.1651e-002","-9.0232e-004","7.8208e-002","-3.3786e-003"
"","  72.3492e-10","-3.4235e-002","-9.9182e-004","5.7112e-002","-2.8991e-003"
"","  72.8381e-10","-3.4818e-002","-1.0042e-003","3.7806e-002","-2.4218e-003"
"","  73.3269e-10","-3.3998e-002","-9.5570e-004","2.0677e-002","-1.9633e-003"
"","  73.8158e-10","-3.2384e-002","-8.6195e-004","6.2921e-003","-1.5219e-003"
"","  74.3046e-10","-3.0273e-002","-7.3312e-004","-4.7830e-003","-1.1170e-003"
"","  74.7935e-10","-2.7667e-002","-5.8377e-004","-1.2084e-002","-7.4965e-004"
"","  75.2823e-10","-2.4521e-002","-4.2733e-004","-1.5786e-002","-4.3891e-004"
"","  75.7712e-10","-2.0843e-002","-2.8070e-004","-1.6224e-002","-1.8517e-004"
"","  76.2600e-10","-1.6830e-002","-1.5691e-004","-1.4232e-002","2.1690e-006"
"","  76.7488e-10","-1.2599e-002","-6.6490e-005","-1.0525e-002","1.3228e-004"
"","  77.2377e-10","-8.1447e-003","-1.6505e-005","-5.6172e-003","2.0486e-004"
"","  77.7265e-10","-3.4788e-003","-1.2754e-005","2.0612e-004","2.3398e-004"
"","  78.2154e-10","1.1356e-003","-5.6565e-005","6.5425e-003","2.2179e-004"
"","  78.7042e-10","5.3479e-003","-1.4241e-004","1.3061e-002","2.2144e-004"
"","  79.1931e-10","8.8786e-003","-2.5891e-004","1.9366e-002","2.2049e-004"
"","  79.6819e-10","1.1725e-002","-3.9036e-004","2.8577e-002","3.2262e-004"
"","  80.1708e-10","1.4130e-002","-5.2262e-004","3.9042e-002","4.9400e-004"
"","  80.6596e-10","1.6401e-002","-6.4416e-004","5.6910e-002","8.8286e-004"
"","  81.1485e-10","1.8723e-002","-7.4782e-004","7.9755e-002","1.4211e-003"
"","  81.6373e-10","2.1150e-002","-8.2788e-004","1.1499e-001","2.1867e-003"
"","  82.1262e-10","2.4111e-002","-8.8090e-004","1.5857e-001","3.0874e-003"
"","  82.6150e-10","2.8924e-002","-9.1345e-004","2.0894e-001","4.1758e-003"
"","  83.1039e-10","3.6228e-002","-9.5132e-004","2.6266e-001","5.3655e-003"
"","  83.5927e-10","4.7789e-002","-1.0158e-003","3.1770e-001","6.7871e-003"
"","  84.0815e-10","6.4558e-002","-1.1652e-003","3.7234e-001","8.3363e-003"
"","  84.5704e-10","8.8452e-002","-1.4342e-003","4.3452e-001","1.0079e-002"
"","  85.0592e-10","1.1979e-001","-1.9049e-003","5.0294e-001","1.1925e-002"
"","  85.5481e-10","1.5666e-001","-2.5994e-003","5.8188e-001","1.3961e-002"
"","  86.0369e-10","1.9829e-001","-3.5318e-003","6.7027e-001","1.6055e-002"
"","  86.5258e-10","2.4277e-001","-4.6809e-003","7.7204e-001","1.8214e-002"
"","  87.0146e-10","2.9023e-001","-5.9916e-003","8.7854e-001","2.0302e-002"
"","  87.5035e-10","3.4321e-001","-7.4241e-003","9.8354e-001","2.2314e-002"
"","  87.9923e-10","4.0273e-001","-8.9557e-003","1.0814e+000","2.4204e-002"
"","  88.4812e-10","4.6950e-001","-1.0556e-002","1.1669e+000","2.5963e-002"
"","  88.9700e-10","5.4570e-001","-1.2205e-002","1.2401e+000","2.7570e-002"
"","  89.4588e-10","6.3372e-001","-1.3910e-002","1.2981e+000","2.9027e-002"
"","  89.9477e-10","7.3283e-001","-1.5694e-002","1.3452e+000","3.0343e-002"
"","  90.4365e-10","8.3900e-001","-1.7541e-002","1.3861e+000","3.1436e-002"
"","  90.9254e-10","9.4833e-001","-1.9382e-002","1.4249e+000","3.2350e-002"
"","  91.4142e-10","1.0565e+000","-2.1118e-002","1.4558e+000","3.3048e-002"
"","  91.9031e-10","1.1621e+000","-2.2601e-002","1.4827e+000","3.3586e-002"
"","  92.3919e-10","1.2650e+000","-2.3729e-002","1.5069e+000","3.3958e-002"
