"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 01:44:26 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.K13 (at pin)"
"Probe 2: U1.B9 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-10","5.0616e-002",DC,"5.0517e-002",DC
"","   0.4888e-10","5.0616e-002","2.1588e-007","5.0516e-002","-1.0813e-003"
"","   0.9776e-10","5.0619e-002","3.8814e-007","5.0516e-002","-1.0820e-003"
"","   1.4664e-10","5.0628e-002","5.2742e-007","5.0686e-002","-1.0821e-003"
"","   1.9552e-10","5.0636e-002","5.9021e-007","5.0627e-002","-1.0820e-003"
"","   2.4440e-10","5.0642e-002","6.1305e-007","5.0556e-002","-1.0802e-003"
"","   2.9328e-10","5.0646e-002","6.0918e-007","5.0578e-002","-1.0805e-003"
"","   3.4216e-10","5.0649e-002","6.2187e-007","5.0694e-002","-1.0397e-003"
"","   3.9104e-10","5.0651e-002","6.6041e-007","5.0674e-002","-9.6972e-004"
"","   4.3992e-10","5.0652e-002","7.2093e-007","5.1631e-002","-7.9180e-004"
"","   4.8880e-10","5.0655e-002","8.0661e-007","5.5282e-002","-5.3048e-004"
"","   5.3768e-10","5.0658e-002","8.7142e-007","6.2567e-002","-7.1691e-005"
"","   5.8656e-10","5.0662e-002","9.0339e-007","7.6725e-002","5.6706e-004"
"","   6.3544e-10","5.0664e-002","8.9743e-007","9.8355e-002","1.3863e-003"
"","   6.8432e-10","5.0734e-002","9.0554e-007","1.3226e-001","2.3956e-003"
"","   7.3320e-10","5.0762e-002","9.1540e-007","1.7545e-001","3.5183e-003"
"","   7.8208e-10","5.0745e-002","-3.3461e-006","2.2871e-001","4.8180e-003"
"","   8.3096e-10","5.0706e-002","-2.5374e-006","2.8786e-001","6.1955e-003"
"","   8.7983e-10","5.0656e-002","-1.2252e-006","3.5291e-001","7.7455e-003"
"","   9.2871e-10","5.0740e-002","1.0361e-006","4.2169e-001","9.3607e-003"
"","   9.7759e-10","5.0883e-002","-6.6396e-007","4.9715e-001","1.1103e-002"
"","  10.2647e-10","5.2174e-002","-1.2122e-006","5.7759e-001","1.2944e-002"
"","  10.7535e-10","5.5038e-002","-1.5001e-005","6.6412e-001","1.4942e-002"
"","  11.2423e-10","6.1730e-002","-9.4884e-005","7.5602e-001","1.6978e-002"
"","  11.7311e-10","7.2428e-002","-2.5310e-004","8.5686e-001","1.9049e-002"
"","  12.2199e-10","8.9218e-002","-5.9210e-004","9.6273e-001","2.1051e-002"
"","  12.7087e-10","1.1254e-001","-1.0878e-003","1.0701e+000","2.2993e-002"
"","  13.1975e-10","1.4136e-001","-1.8727e-003","1.1749e+000","2.4715e-002"
"","  13.6863e-10","1.7569e-001","-2.8463e-003","1.2731e+000","2.6245e-002"
"","  14.1751e-10","2.1227e-001","-4.0117e-003","1.3625e+000","2.7566e-002"
"","  14.6639e-10","2.5436e-001","-5.2102e-003","1.4390e+000","2.8660e-002"
"","  15.1527e-10","3.0176e-001","-6.4010e-003","1.5067e+000","2.9511e-002"
"","  15.6415e-10","3.6057e-001","-7.5365e-003","1.5645e+000","3.0078e-002"
"","  16.1303e-10","4.2979e-001","-8.6773e-003","1.6150e+000","3.0537e-002"
"","  16.6191e-10","5.1204e-001","-9.8726e-003","1.6532e+000","3.0790e-002"
"","  17.1079e-10","6.0467e-001","-1.1125e-002","1.6844e+000","3.0970e-002"
"","  17.5967e-10","7.0885e-001","-1.2448e-002","1.7071e+000","3.0974e-002"
"","  18.0855e-10","8.2086e-001","-1.3845e-002","1.7228e+000","3.1016e-002"
"","  18.5743e-10","9.3946e-001","-1.5277e-002","1.7277e+000","3.0991e-002"
"","  19.0631e-10","1.0600e+000","-1.6592e-002","1.7259e+000","3.1022e-002"
"","  19.5519e-10","1.1831e+000","-1.7692e-002","1.7178e+000","3.1048e-002"
"","  20.0407e-10","1.3075e+000","-1.8425e-002","1.7059e+000","3.1185e-002"
"","  20.5295e-10","1.4346e+000","-1.8810e-002","1.6919e+000","3.1365e-002"
"","  21.0183e-10","1.5655e+000","-1.8755e-002","1.6800e+000","3.1599e-002"
"","  21.5071e-10","1.6994e+000","-1.8422e-002","1.6733e+000","3.1855e-002"
"","  21.9959e-10","1.8354e+000","-1.7838e-002","1.6716e+000","3.2117e-002"
"","  22.4847e-10","1.9673e+000","-1.7156e-002","1.6744e+000","3.2340e-002"
"","  22.9735e-10","2.0957e+000","-1.6276e-002","1.6791e+000","3.2493e-002"
"","  23.4623e-10","2.2161e+000","-1.5274e-002","1.6849e+000","3.2609e-002"
"","  23.9511e-10","2.3325e+000","-1.4169e-002","1.6911e+000","3.2682e-002"
"","  24.4399e-10","2.4391e+000","-1.3015e-002","1.7008e+000","3.2734e-002"
"","  24.9287e-10","2.5398e+000","-1.1822e-002","1.7160e+000","3.2728e-002"
"","  25.4175e-10","2.6309e+000","-1.0575e-002","1.7406e+000","3.2677e-002"
"","  25.9062e-10","2.7164e+000","-9.3918e-003","1.7769e+000","3.2528e-002"
"","  26.3950e-10","2.7935e+000","-8.2352e-003","1.8279e+000","3.2266e-002"
"","  26.8838e-10","2.8644e+000","-7.2041e-003","1.8937e+000","3.1826e-002"
"","  27.3726e-10","2.9285e+000","-6.2450e-003","1.9732e+000","3.1183e-002"
"","  27.8614e-10","2.9864e+000","-5.4702e-003","2.0631e+000","3.0307e-002"
"","  28.3502e-10","3.0378e+000","-4.8083e-003","2.1589e+000","2.9212e-002"
"","  28.8390e-10","3.0815e+000","-4.2880e-003","2.2567e+000","2.7902e-002"
"","  29.3278e-10","3.1186e+000","-3.8230e-003","2.3536e+000","2.6428e-002"
"","  29.8166e-10","3.1489e+000","-3.3951e-003","2.4495e+000","2.4831e-002"
"","  30.3054e-10","3.1755e+000","-2.9461e-003","2.5428e+000","2.3160e-002"
"","  30.7942e-10","3.1995e+000","-2.4976e-003","2.6330e+000","2.1415e-002"
"","  31.2830e-10","3.2234e+000","-2.0949e-003","2.7182e+000","1.9637e-002"
"","  31.7718e-10","3.2464e+000","-1.7857e-003","2.7982e+000","1.7854e-002"
"","  32.2606e-10","3.2690e+000","-1.6014e-003","2.8705e+000","1.6112e-002"
"","  32.7494e-10","3.2901e+000","-1.5273e-003","2.9349e+000","1.4413e-002"
"","  33.2382e-10","3.3097e+000","-1.5805e-003","2.9904e+000","1.2793e-002"
"","  33.7270e-10","3.3269e+000","-1.7008e-003","3.0376e+000","1.1281e-002"
"","  34.2158e-10","3.3419e+000","-1.8585e-003","3.0766e+000","9.8952e-003"
"","  34.7046e-10","3.3552e+000","-1.9711e-003","3.1089e+000","8.6438e-003"
"","  35.1934e-10","3.3675e+000","-2.0452e-003","3.1362e+000","7.5176e-003"
"","  35.6822e-10","3.3800e+000","-2.0354e-003","3.1602e+000","6.5344e-003"
"","  36.1710e-10","3.3928e+000","-1.9735e-003","3.1820e+000","5.6605e-003"
"","  36.6598e-10","3.4068e+000","-1.8589e-003","3.2027e+000","4.8925e-003"
"","  37.1486e-10","3.4204e+000","-1.7431e-003","3.2223e+000","4.1832e-003"
"","  37.6374e-10","3.4332e+000","-1.6220e-003","3.2396e+000","3.5499e-003"
"","  38.1262e-10","3.4435e+000","-1.4802e-003","3.2527e+000","2.9388e-003"
"","  38.6150e-10","3.4520e+000","-1.2972e-003","3.2604e+000","2.3377e-003"
"","  39.1038e-10","3.4584e+000","-1.0622e-003","3.2631e+000","1.7697e-003"
"","  39.5926e-10","3.4635e+000","-7.9333e-004","3.2590e+000","1.2426e-003"
"","  40.0814e-10","3.4672e+000","-4.9135e-004","3.2504e+000","7.4780e-004"
"","  40.5702e-10","3.4698e+000","-1.8226e-004","3.2389e+000","1.8106e-004"
"","  41.0590e-10","3.4714e+000","1.1905e-004","3.2275e+000","-3.7631e-004"
"","  41.5478e-10","3.4720e+000","3.8388e-004","3.2131e+000","-1.0031e-003"
"","  42.0366e-10","3.4714e+000","5.9962e-004","3.1970e+000","-1.6983e-003"
"","  42.5254e-10","3.4696e+000","7.6118e-004","3.1790e+000","-2.6145e-003"
"","  43.0141e-10","3.4664e+000","8.6671e-004","3.1592e+000","-3.6461e-003"
"","  43.5029e-10","3.4617e+000","9.2249e-004","3.1314e+000","-4.9111e-003"
"","  43.9917e-10","3.4549e+000","9.4650e-004","3.0960e+000","-6.3268e-003"
"","  44.4805e-10","3.4463e+000","9.6544e-004","3.0504e+000","-7.9699e-003"
"","  44.9693e-10","3.4354e+000","1.0160e-003","2.9966e+000","-9.6982e-003"
"","  45.4581e-10","3.4221e+000","1.1001e-003","2.9345e+000","-1.1615e-002"
"","  45.9469e-10","3.4074e+000","1.2719e-003","2.8671e+000","-1.3641e-002"
"","  46.4357e-10","3.3917e+000","1.5147e-003","2.7935e+000","-1.5826e-002"
"","  46.9245e-10","3.3762e+000","1.7993e-003","2.7138e+000","-1.8036e-002"
"","  47.4133e-10","3.3582e+000","2.0705e-003","2.6254e+000","-2.0228e-002"
"","  47.9021e-10","3.3377e+000","2.3595e-003","2.5305e+000","-2.2338e-002"
"","  48.3909e-10","3.3124e+000","2.7067e-003","2.4335e+000","-2.4354e-002"
"","  48.8797e-10","3.2833e+000","3.0978e-003","2.3371e+000","-2.6226e-002"
"","  49.3685e-10","3.2470e+000","3.5612e-003","2.2437e+000","-2.7844e-002"
"","  49.8573e-10","3.2040e+000","4.1430e-003","2.1537e+000","-2.9285e-002"
"","  50.3461e-10","3.1519e+000","4.9263e-003","2.0719e+000","-3.0422e-002"
