"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 11:32:42 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U54.14 (at pin)"
"Probe 2: U1.D9 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-10","5.0781e-002",DC,"5.0432e-002",DC
"","   0.1857e-10","5.0781e-002","-1.4454e-010","5.0432e-002","-1.0803e-003"
"","   0.3715e-10","5.0781e-002","-4.2088e-009","5.0432e-002","-1.0814e-003"
"","   0.5572e-10","5.0781e-002","-3.1666e-009","5.0432e-002","-1.0819e-003"
"","   0.7429e-10","5.0781e-002","-2.0813e-009","5.0432e-002","-1.0823e-003"
"","   0.9286e-10","5.0781e-002","-2.6444e-009","5.0432e-002","-1.0824e-003"
"","   1.1144e-10","5.0781e-002","-3.6854e-009","5.0548e-002","-1.0825e-003"
"","   1.3001e-10","5.0781e-002","-3.9015e-009","5.0569e-002","-1.0825e-003"
"","   1.4858e-10","5.0781e-002","-1.8359e-009","5.0549e-002","-1.0825e-003"
"","   1.6716e-10","5.0781e-002","-5.4914e-010","5.0524e-002","-1.0825e-003"
"","   1.8573e-10","5.0781e-002","7.1005e-010","5.0503e-002","-1.0825e-003"
"","   2.0430e-10","5.0781e-002","1.3513e-009","5.0488e-002","-1.0786e-003"
"","   2.2288e-10","5.0781e-002","2.2510e-009","5.0480e-002","-1.0817e-003"
"","   2.4145e-10","5.0781e-002","2.3352e-009","5.0474e-002","-1.0823e-003"
"","   2.6002e-10","5.0781e-002","4.1349e-009","5.0472e-002","-1.0821e-003"
"","   2.7859e-10","5.0781e-002","4.8405e-009","5.0470e-002","-1.0816e-003"
"","   2.9717e-10","5.0781e-002","4.9653e-009","5.0537e-002","-1.0808e-003"
"","   3.1574e-10","5.0811e-002","5.2587e-009","5.0533e-002","-1.0708e-003"
"","   3.3431e-10","5.0866e-002","4.7608e-009","5.0502e-002","-1.0514e-003"
"","   3.5289e-10","5.0869e-002","-1.8214e-006","5.0494e-002","-1.0267e-003"
"","   3.7146e-10","5.0836e-002","-1.9389e-006","5.0506e-002","-9.9897e-004"
"","   3.9003e-10","5.0812e-002","-1.7012e-006","5.0529e-002","-9.6494e-004"
"","   4.0860e-10","5.0864e-002","-1.5279e-006","5.0664e-002","-9.2498e-004"
"","   4.2718e-10","5.0870e-002","-1.6873e-006","5.1229e-002","-8.5071e-004"
"","   4.4575e-10","5.0867e-002","-1.7069e-006","5.2271e-002","-7.5825e-004"
"","   4.6432e-10","5.0833e-002","-8.1149e-007","5.3698e-002","-6.5510e-004"
"","   4.8290e-10","5.0826e-002","7.8306e-008","5.5427e-002","-5.4487e-004"
"","   5.0147e-10","5.0840e-002","9.4959e-007","5.7427e-002","-4.1131e-004"
"","   5.2004e-10","5.0910e-002","1.3667e-006","6.0405e-002","-2.1988e-004"
"","   5.3862e-10","5.0915e-002","5.6324e-007","6.4744e-002","4.7548e-006"
"","   5.5719e-10","5.0905e-002","5.6410e-007","7.0263e-002","2.4890e-004"
"","   5.7576e-10","5.0899e-002","8.2385e-007","7.6685e-002","5.0641e-004"
"","   5.9433e-10","5.0956e-002","-1.2355e-007","8.3822e-002","7.8403e-004"
"","   6.1291e-10","5.0974e-002","-8.2683e-007","9.2590e-002","1.1278e-003"
"","   6.3148e-10","5.1127e-002","-1.8047e-006","1.0372e-001","1.5039e-003"
"","   6.5005e-10","5.1567e-002","-4.0218e-006","1.1690e-001","1.8924e-003"
"","   6.6863e-10","5.2333e-002","-1.2595e-005","1.3166e-001","2.2878e-003"
"","   6.8720e-10","5.3287e-002","-2.7802e-005","1.4767e-001","2.6958e-003"
"","   7.0577e-10","5.4401e-002","-4.8787e-005","1.6526e-001","3.1686e-003"
"","   7.2434e-10","5.5948e-002","-7.5067e-005","1.8501e-001","3.6627e-003"
"","   7.4292e-10","5.8505e-002","-1.0810e-004","2.0645e-001","4.1553e-003"
"","   7.6149e-10","6.2086e-002","-1.5891e-004","2.2906e-001","4.6450e-003"
"","   7.8006e-10","6.6377e-002","-2.2998e-004","2.5252e-001","5.1350e-003"
"","   7.9864e-10","7.1072e-002","-3.1387e-004","2.7709e-001","5.6741e-003"
"","   8.1721e-10","7.6733e-002","-4.0737e-004","3.0304e-001","6.2380e-003"
"","   8.3578e-10","8.4399e-002","-5.0836e-004","3.2966e-001","6.7989e-003"
"","   8.5436e-10","9.4337e-002","-6.3410e-004","3.5642e-001","7.3582e-003"
"","   8.7293e-10","1.0596e-001","-7.9003e-004","3.8317e-001","7.9220e-003"
"","   8.9150e-10","1.1869e-001","-9.6445e-004","4.1010e-001","8.5257e-003"
"","   9.1007e-10","1.3303e-001","-1.1499e-003","4.3795e-001","9.1456e-003"
"","   9.2865e-10","1.5011e-001","-1.3406e-003","4.6639e-001","9.7585e-003"
"","   9.4722e-10","1.7015e-001","-1.5482e-003","4.9508e-001","1.0374e-002"
"","   9.6579e-10","1.9243e-001","-1.7783e-003","5.2393e-001","1.1003e-002"
"","   9.8437e-10","2.1618e-001","-2.0116e-003","5.5312e-001","1.1663e-002"
"","  10.0294e-10","2.4183e-001","-2.2387e-003","5.8314e-001","1.2375e-002"
"","  10.2151e-10","2.7034e-001","-2.4502e-003","6.1360e-001","1.3098e-002"
"","  10.4009e-10","3.0172e-001","-2.6556e-003","6.4444e-001","1.3832e-002"
"","  10.5866e-10","3.3520e-001","-2.8591e-003","6.7585e-001","1.4581e-002"
"","  10.7723e-10","3.7012e-001","-3.0442e-003","7.0806e-001","1.5359e-002"
"","  10.9580e-10","4.0686e-001","-3.2054e-003","7.4169e-001","1.6165e-002"
"","  11.1438e-10","4.4618e-001","-3.3432e-003","7.7680e-001","1.6968e-002"
"","  11.3295e-10","4.8807e-001","-3.4674e-003","8.1339e-001","1.7773e-002"
"","  11.5152e-10","5.3174e-001","-3.5928e-003","8.5164e-001","1.8582e-002"
"","  11.7010e-10","5.7657e-001","-3.7076e-003","8.9180e-001","1.9396e-002"
"","  11.8867e-10","6.2277e-001","-3.8104e-003","9.3405e-001","2.0237e-002"
"","  12.0724e-10","6.7117e-001","-3.9056e-003","9.7786e-001","2.1053e-002"
"","  12.2581e-10","7.2163e-001","-4.0045e-003","1.0230e+000","2.1835e-002"
"","  12.4439e-10","7.7336e-001","-4.1183e-003","1.0698e+000","2.2588e-002"
"","  12.6296e-10","8.2582e-001","-4.2327e-003","1.1183e+000","2.3311e-002"
"","  12.8153e-10","8.7937e-001","-4.3421e-003","1.1688e+000","2.4017e-002"
"","  13.0011e-10","9.3481e-001","-4.4498e-003","1.2208e+000","2.4646e-002"
"","  13.1868e-10","9.9240e-001","-4.5609e-003","1.2733e+000","2.5211e-002"
"","  13.3725e-10","1.0515e+000","-4.6882e-003","1.3263e+000","2.5724e-002"
"","  13.5583e-10","1.1117e+000","-4.8221e-003","1.3796e+000","2.6186e-002"
"","  13.7440e-10","1.1731e+000","-4.9524e-003","1.4334e+000","2.6624e-002"
"","  13.9297e-10","1.2368e+000","-5.0846e-003","1.4868e+000","2.6971e-002"
"","  14.1154e-10","1.3029e+000","-5.2248e-003","1.5386e+000","2.7224e-002"
"","  14.3012e-10","1.3705e+000","-5.3852e-003","1.5890e+000","2.7414e-002"
"","  14.4869e-10","1.4388e+000","-5.5476e-003","1.6383e+000","2.7554e-002"
"","  14.6726e-10","1.5080e+000","-5.6964e-003","1.6868e+000","2.7666e-002"
"","  14.8584e-10","1.5790e+000","-5.8317e-003","1.7344e+000","2.7691e-002"
"","  15.0441e-10","1.6519e+000","-5.9535e-003","1.7798e+000","2.7624e-002"
"","  15.2298e-10","1.7255e+000","-6.0697e-003","1.8231e+000","2.7513e-002"
"","  15.4155e-10","1.7989e+000","-6.1621e-003","1.8649e+000","2.7370e-002"
"","  15.6013e-10","1.8724e+000","-6.2102e-003","1.9057e+000","2.7212e-002"
"","  15.7870e-10","1.9470e+000","-6.2232e-003","1.9456e+000","2.7013e-002"
"","  15.9727e-10","2.0225e+000","-6.2068e-003","1.9834e+000","2.6737e-002"
"","  16.1585e-10","2.0973e+000","-6.1763e-003","2.0198e+000","2.6438e-002"
"","  16.3442e-10","2.1703e+000","-6.1153e-003","2.0555e+000","2.6133e-002"
"","  16.5299e-10","2.2417e+000","-6.0016e-003","2.0911e+000","2.5830e-002"
"","  16.7157e-10","2.3128e+000","-5.8521e-003","2.1271e+000","2.5501e-002"
"","  16.9014e-10","2.3833e+000","-5.6780e-003","2.1625e+000","2.5100e-002"
"","  17.0871e-10","2.4516e+000","-5.4953e-003","2.1978e+000","2.4684e-002"
"","  17.2728e-10","2.5164e+000","-5.2971e-003","2.2337e+000","2.4262e-002"
"","  17.4586e-10","2.5783e+000","-5.0566e-003","2.2708e+000","2.3832e-002"
"","  17.6443e-10","2.6386e+000","-4.7952e-003","2.3091e+000","2.3394e-002"
"","  17.8300e-10","2.6975e+000","-4.5300e-003","2.3480e+000","2.2889e-002"
"","  18.0158e-10","2.7533e+000","-4.2768e-003","2.3876e+000","2.2369e-002"
"","  18.2015e-10","2.8048e+000","-4.0314e-003","2.4285e+000","2.1846e-002"
"","  18.3872e-10","2.8524e+000","-3.7619e-003","2.4709e+000","2.1310e-002"
"","  18.5729e-10","2.8977e+000","-3.4832e-003","2.5145e+000","2.0757e-002"
"","  18.7587e-10","2.9415e+000","-3.2159e-003","2.5587e+000","2.0128e-002"
"","  18.9444e-10","2.9821e+000","-2.9689e-003","2.6034e+000","1.9478e-002"
"","  19.1301e-10","3.0187e+000","-2.7431e-003","2.6487e+000","1.8813e-002"
"","  19.3159e-10","3.0518e+000","-2.5071e-003","2.6942e+000","1.8122e-002"
"","  19.5016e-10","3.0833e+000","-2.2746e-003","2.7394e+000","1.7424e-002"
"","  19.6873e-10","3.1138e+000","-2.0693e-003","2.7835e+000","1.6668e-002"
"","  19.8731e-10","3.1421e+000","-1.8982e-003","2.8263e+000","1.5894e-002"
"","  20.0588e-10","3.1669e+000","-1.7604e-003","2.8681e+000","1.5119e-002"
"","  20.2445e-10","3.1891e+000","-1.6233e-003","2.9086e+000","1.4339e-002"
"","  20.4302e-10","3.2102e+000","-1.4920e-003","2.9472e+000","1.3563e-002"
"","  20.6160e-10","3.2309e+000","-1.3872e-003","2.9836e+000","1.2757e-002"
"","  20.8017e-10","3.2500e+000","-1.3062e-003","3.0175e+000","1.1954e-002"
"","  20.9874e-10","3.2666e+000","-1.2455e-003","3.0495e+000","1.1167e-002"
"","  21.1732e-10","3.2815e+000","-1.1746e-003","3.0794e+000","1.0391e-002"
"","  21.3589e-10","3.2963e+000","-1.0976e-003","3.1066e+000","9.6423e-003"
"","  21.5446e-10","3.3115e+000","-1.0401e-003","3.1311e+000","8.8990e-003"
"","  21.7303e-10","3.3256e+000","-9.9826e-004","3.1529e+000","8.1743e-003"
"","  21.9161e-10","3.3377e+000","-9.6886e-004","3.1728e+000","7.4872e-003"
"","  22.1018e-10","3.3485e+000","-9.2351e-004","3.1908e+000","6.8332e-003"
"","  22.2875e-10","3.3593e+000","-8.6317e-004","3.2065e+000","6.2207e-003"
"","  22.4733e-10","3.3704e+000","-8.1450e-004","3.2202e+000","5.6348e-003"
"","  22.6590e-10","3.3803e+000","-7.6856e-004","3.2320e+000","5.0780e-003"
"","  22.8447e-10","3.3880e+000","-7.2007e-004","3.2426e+000","4.5636e-003"
"","  23.0305e-10","3.3945e+000","-6.4725e-004","3.2519e+000","4.0824e-003"
"","  23.2162e-10","3.4009e+000","-5.4880e-004","3.2598e+000","3.6422e-003"
"","  23.4019e-10","3.4077e+000","-4.5902e-004","3.2666e+000","3.2401e-003"
"","  23.5876e-10","3.4135e+000","-3.7477e-004","3.2724e+000","2.8574e-003"
"","  23.7734e-10","3.4171e+000","-2.9459e-004","3.2781e+000","2.5137e-003"
"","  23.9591e-10","3.4193e+000","-2.0297e-004","3.2835e+000","2.2015e-003"
"","  24.1448e-10","3.4214e+000","-9.6900e-005","3.2886e+000","1.9234e-003"
"","  24.3306e-10","3.4235e+000","-1.0202e-005","3.2937e+000","1.6782e-003"
"","  24.5163e-10","3.4245e+000","6.1400e-005","3.2988e+000","1.4396e-003"
"","  24.7020e-10","3.4234e+000","1.2535e-004","3.3045e+000","1.2252e-003"
"","  24.8877e-10","3.4210e+000","1.9205e-004","3.3102e+000","1.0221e-003"
"","  25.0735e-10","3.4185e+000","2.7131e-004","3.3158e+000","8.3372e-004"
"","  25.2592e-10","3.4162e+000","3.3250e-004","3.3214e+000","6.7275e-004"
"","  25.4449e-10","3.4132e+000","3.7692e-004","3.3272e+000","4.9776e-004"
"","  25.6307e-10","3.4087e+000","4.1328e-004","3.3333e+000","3.3315e-004"
"","  25.8164e-10","3.4033e+000","4.4734e-004","3.3393e+000","1.7603e-004"
"","  26.0021e-10","3.3982e+000","4.8879e-004","3.3448e+000","3.3089e-005"
"","  26.1879e-10","3.3935e+000","5.1109e-004","3.3500e+000","-9.3876e-005"
"","  26.3736e-10","3.3886e+000","5.1476e-004","3.3549e+000","-2.3281e-004"
"","  26.5593e-10","3.3827e+000","5.1218e-004","3.3596e+000","-3.6720e-004"
