"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 01:51:05 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U54.34 (at pin)"
"Probe 2: U42.G2 (at pin)"
"Probe 3: U15.AF21 (at pin)"
"Probe 4: U1.B14 (at pin)"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-10","5.0444e-002",DC,"5.0585e-002",DC,"5.0585e-002",DC,"5.0443e-002",DC
"","   0.4888e-10","5.0444e-002","4.8415e-011","5.0585e-002","3.8106e-010","5.0585e-002","2.1598e-007","5.0443e-002","-1.0818e-003"
"","   0.9775e-10","5.0444e-002","1.4915e-009","5.0585e-002","2.1976e-009","5.0586e-002","3.8513e-007","5.0681e-002","-1.0824e-003"
"","   1.4663e-10","5.0444e-002","1.9653e-009","5.0585e-002","3.4382e-009","5.0594e-002","5.2123e-007","5.0495e-002","-1.0825e-003"
"","   1.9550e-10","5.0444e-002","1.7897e-009","5.0585e-002","3.1972e-009","5.0601e-002","6.9516e-007","5.0471e-002","-1.0802e-003"
"","   2.4438e-10","5.0444e-002","1.7736e-009","5.0585e-002","9.1211e-009","5.0607e-002","7.0488e-007","5.0468e-002","-1.0814e-003"
"","   2.9326e-10","5.0444e-002","1.5445e-009","5.0585e-002","9.2065e-009","5.0613e-002","7.1034e-007","5.0498e-002","-1.0808e-003"
"","   3.4213e-10","5.0445e-002","-5.6415e-009","5.0588e-002","6.7332e-009","5.0615e-002","7.2889e-007","5.0475e-002","-1.0447e-003"
"","   3.9101e-10","5.0446e-002","-7.0417e-009","5.0639e-002","-1.8758e-007","5.0617e-002","7.3200e-007","5.0563e-002","-9.7463e-004"
"","   4.3988e-10","5.0527e-002","-2.4327e-006","5.0617e-002","-1.0561e-006","5.0619e-002","7.7571e-007","5.2382e-002","-8.1166e-004"
"","   4.8876e-10","5.0464e-002","-6.2612e-007","5.0588e-002","-1.0498e-006","5.0621e-002","8.2266e-007","5.5237e-002","-5.4970e-004"
"","   5.3764e-10","5.0496e-002","-3.3130e-007","5.0610e-002","-7.9791e-007","5.0623e-002","8.6671e-007","6.3039e-002","-7.8900e-005"
"","   5.8651e-10","5.0530e-002","7.9030e-007","5.0619e-002","-1.3659e-006","5.0626e-002","8.9076e-007","7.4244e-002","5.7218e-004"
"","   6.3539e-10","5.0541e-002","-6.5619e-007","5.0626e-002","-9.2699e-007","5.0627e-002","9.0897e-007","9.3567e-002","1.4800e-003"
"","   6.8427e-10","5.0553e-002","-6.1528e-007","5.1004e-002","-1.6971e-006","5.0629e-002","9.2596e-007","1.1906e-001","2.5597e-003"
"","   7.3314e-10","5.1434e-002","-4.9237e-006","5.2489e-002","-1.0614e-005","5.0631e-002","9.3640e-007","1.5154e-001","3.9036e-003"
"","   7.8202e-10","5.3616e-002","-4.6344e-005","5.5352e-002","-4.2854e-005","5.0664e-002","9.4212e-007","1.8895e-001","5.3628e-003"
"","   8.3089e-10","5.8264e-002","-1.1129e-004","6.1015e-002","-1.1567e-004","5.0664e-002","8.0028e-007","2.2990e-001","7.0486e-003"
"","   8.7977e-10","6.7293e-002","-2.6569e-004","6.9679e-002","-2.6114e-004","5.0643e-002","-7.0867e-007","2.7305e-001","8.8404e-003"
"","   9.2865e-10","8.2139e-002","-4.5318e-004","8.2789e-002","-5.0804e-004","5.0639e-002","2.3854e-008","3.1950e-001","1.0799e-002"
