"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 01:54:05 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U54.15 (at pin)"
"Probe 2: U42.A5 (at pin)"
"Probe 3: U15.AF20 (at pin)"
"Probe 4: U1.A14 (at pin)"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-10","5.0443e-002",DC,"5.0575e-002",DC,"5.0575e-002",DC,"5.0442e-002",DC
"","   0.4888e-10","5.0443e-002","5.4697e-011","5.0575e-002","-7.8184e-010","5.0575e-002","2.1599e-007","5.0442e-002","-1.0818e-003"
"","   0.9775e-10","5.0443e-002","1.7052e-009","5.0575e-002","-8.1448e-009","5.0577e-002","3.8823e-007","5.0442e-002","-1.0824e-003"
"","   1.4663e-10","5.0443e-002","1.8463e-009","5.0575e-002","-1.0335e-008","5.0586e-002","5.2726e-007","5.0495e-002","-1.0825e-003"
"","   1.9551e-10","5.0443e-002","1.7115e-009","5.0574e-002","-5.2866e-009","5.0592e-002","5.9896e-007","5.0483e-002","-1.0825e-003"
"","   2.4438e-10","5.0443e-002","1.5497e-009","5.0575e-002","-1.9706e-009","5.0598e-002","6.1922e-007","5.0471e-002","-1.0805e-003"
"","   2.9326e-10","5.0443e-002","3.5858e-010","5.0574e-002","-7.5871e-010","5.0601e-002","6.7612e-007","5.0466e-002","-1.0809e-003"
"","   3.4214e-10","5.0443e-002","-3.8499e-009","5.0653e-002","1.0285e-009","5.0604e-002","7.1543e-007","5.0497e-002","-1.0412e-003"
"","   3.9101e-10","5.0464e-002","-1.8579e-009","5.0617e-002","-1.5698e-006","5.0607e-002","7.6680e-007","5.0536e-002","-9.6805e-004"
"","   4.3989e-10","5.0491e-002","-2.1026e-006","5.0578e-002","-7.7662e-007","5.0610e-002","7.9929e-007","5.2242e-002","-7.9000e-004"
"","   4.8876e-10","5.0489e-002","4.4151e-008","5.0597e-002","-1.2868e-006","5.0612e-002","8.3283e-007","5.5437e-002","-5.1720e-004"
"","   5.3764e-10","5.0505e-002","4.4614e-007","5.0596e-002","-9.0371e-007","5.0614e-002","8.6036e-007","6.3380e-002","-4.6110e-005"
"","   5.8652e-10","5.0532e-002","1.6092e-006","5.0619e-002","-1.2423e-006","5.0616e-002","8.8242e-007","7.5360e-002","6.2694e-004"
"","   6.3539e-10","5.0538e-002","-1.6585e-006","5.0680e-002","-1.2828e-006","5.0618e-002","9.0590e-007","9.5454e-002","1.4952e-003"
"","   6.8427e-10","5.0547e-002","-1.0580e-006","5.1970e-002","-4.0006e-006","5.0620e-002","9.2285e-007","1.2327e-001","2.5775e-003"
"","   7.3315e-10","5.2128e-002","-1.1835e-005","5.4240e-002","-3.2720e-005","5.0621e-002","9.3607e-007","1.5787e-001","3.8132e-003"
"","   7.8202e-10","5.4376e-002","-6.6827e-005","5.9493e-002","-8.5547e-005","5.0622e-002","9.4281e-007","1.9916e-001","5.2438e-003"
