"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 19 February 2008   Time: 10:17:47 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U54.15 (at pin)"
"Probe 2: U42.A5 (at pin)"
"Probe 3: U15.AF20 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-10","0.0000e+000",DC,"0.0000e+000",DC,"0.0000e+000",DC
"","   0.4888e-10","2.5511e-008","7.3098e-010","1.1980e-010","1.8998e-011","0.0000e+000","2.2519e-007"
"","   0.9775e-10","6.4771e-008","1.3501e-009","9.6563e-010","3.9698e-011","2.1729e-006","4.0484e-007"
"","   1.4663e-10","9.3802e-008","1.6450e-009","1.7786e-009","7.6319e-011","1.1534e-005","5.4815e-007"
"","   1.9551e-10","1.0780e-007","1.7067e-009","2.8515e-009","1.1361e-010","1.8443e-005","6.2289e-007"
"","   2.4438e-10","1.1616e-007","1.7581e-009","3.8829e-009","1.5495e-010","2.4172e-005","6.4410e-007"
"","   2.9326e-10","1.2262e-007","1.8325e-009","4.9111e-009","1.9305e-010","2.7628e-005","7.0540e-007"
"","   3.4214e-10","1.2815e-007","1.8949e-009","5.6595e-009","2.2895e-010","3.0828e-005","7.4875e-007"
"","   3.9101e-10","1.3200e-007","1.9314e-009","6.4644e-009","2.6341e-010","3.3826e-005","8.0340e-007"
"","   4.3989e-10","1.3445e-007","1.9510e-009","7.1103e-009","2.8917e-010","3.6524e-005","8.3803e-007"
"","   4.8876e-10","1.3607e-007","1.9651e-009","7.6322e-009","3.1333e-010","3.9245e-005","8.7291e-007"
"","   5.3764e-10","1.3569e-007","1.9766e-009","1.0689e-008","3.2801e-010","4.1252e-005","9.0212e-007"
"","   5.8652e-10","1.3264e-007","2.0862e-009","3.4058e-008","2.4818e-010","4.3216e-005","9.2565e-007"
"","   6.3539e-10","1.1862e-007","2.3547e-009","6.0880e-005","-2.1516e-010","4.4784e-005","9.5067e-007"
