"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 01:57:29 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.AF14 (at pin)"
"Probe 2: U1.B15 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-10","5.0552e-002",DC,"5.0438e-002",DC
"","   0.4888e-10","5.0552e-002","2.1590e-007","5.0437e-002","-1.0818e-003"
"","   0.9776e-10","5.0555e-002","3.8817e-007","5.0543e-002","-1.0825e-003"
"","   1.4664e-10","5.0564e-002","5.2725e-007","5.0553e-002","-1.0826e-003"
"","   1.9552e-10","5.0570e-002","5.8919e-007","5.0499e-002","-1.0790e-003"
"","   2.4440e-10","5.0576e-002","6.3916e-007","5.0484e-002","-1.0822e-003"
"","   2.9328e-10","5.0579e-002","6.7983e-007","5.0551e-002","-1.0811e-003"
"","   3.4216e-10","5.0582e-002","7.1971e-007","5.0501e-002","-1.0398e-003"
"","   3.9104e-10","5.0585e-002","7.6732e-007","5.0578e-002","-9.6890e-004"
"","   4.3992e-10","5.0588e-002","7.9343e-007","5.2483e-002","-7.8838e-004"
"","   4.8881e-10","5.0590e-002","8.2944e-007","5.6842e-002","-5.1273e-004"
"","   5.3769e-10","5.0592e-002","8.5587e-007","6.6756e-002","-1.7664e-005"
"","   5.8657e-10","5.0594e-002","8.8407e-007","8.3759e-002","6.3706e-004"
"","   6.3545e-10","5.0596e-002","9.0248e-007","1.1167e-001","1.5438e-003"
"","   6.8433e-10","5.0596e-002","9.2270e-007","1.5146e-001","2.5748e-003"
"","   7.3321e-10","5.0597e-002","9.7151e-007","2.0304e-001","3.8128e-003"
"","   7.8209e-10","5.0603e-002","1.0305e-006","2.6355e-001","5.1021e-003"
"","   8.3097e-10","5.0670e-002","1.0295e-006","3.3145e-001","6.5301e-003"
"","   8.7985e-10","5.0669e-002","-2.0896e-007","4.0187e-001","8.0324e-003"
"","   9.2873e-10","5.0650e-002","-2.3817e-006","4.7656e-001","9.6177e-003"
"","   9.7761e-10","5.0606e-002","-1.0586e-006","5.5491e-001","1.1293e-002"
"","  10.2649e-10","5.0617e-002","2.3353e-007","6.3799e-001","1.3129e-002"
"","  10.7537e-10","5.0664e-002","8.4994e-008","7.2654e-001","1.5102e-002"
"","  11.2425e-10","5.1047e-002","-3.4569e-008","8.2333e-001","1.7144e-002"
"","  11.7313e-10","5.2794e-002","-1.0387e-006","9.2854e-001","1.9231e-002"
"","  12.2201e-10","5.6649e-002","-3.3599e-005","1.0383e+000","2.1284e-002"
"","  12.7089e-10","6.4755e-002","-1.3378e-004","1.1492e+000","2.3202e-002"
"","  13.1977e-10","7.7430e-002","-3.4525e-004","1.2555e+000","2.4890e-002"
"","  13.6865e-10","9.7334e-002","-7.3804e-004","1.3515e+000","2.6372e-002"
"","  14.1754e-10","1.2360e-001","-1.3465e-003","1.4327e+000","2.7573e-002"
"","  14.6642e-10","1.5634e-001","-2.2356e-003","1.4985e+000","2.8595e-002"
"","  15.1530e-10","1.9356e-001","-3.3443e-003","1.5495e+000","2.9331e-002"
"","  15.6418e-10","2.3436e-001","-4.6051e-003","1.5892e+000","2.9955e-002"
"","  16.1306e-10","2.7935e-001","-5.9100e-003","1.6184e+000","3.0408e-002"
"","  16.6194e-10","3.3117e-001","-7.1525e-003","1.6402e+000","3.0824e-002"
"","  17.1082e-10","3.9240e-001","-8.3180e-003","1.6570e+000","3.1077e-002"
"","  17.5970e-10","4.6517e-001","-9.4375e-003","1.6714e+000","3.1315e-002"
"","  18.0858e-10","5.4988e-001","-1.0553e-002","1.6816e+000","3.1474e-002"
"","  18.5746e-10","6.4716e-001","-1.1688e-002","1.6898e+000","3.1614e-002"
"","  19.0634e-10","7.5555e-001","-1.2903e-002","1.6953e+000","3.1703e-002"
"","  19.5522e-10","8.7248e-001","-1.4230e-002","1.6987e+000","3.1787e-002"
"","  20.0410e-10","9.9416e-001","-1.5579e-002","1.6987e+000","3.1868e-002"
"","  20.5298e-10","1.1167e+000","-1.6839e-002","1.6966e+000","3.1946e-002"
"","  21.0186e-10","1.2394e+000","-1.7856e-002","1.6919e+000","3.2057e-002"
"","  21.5074e-10","1.3602e+000","-1.8495e-002","1.6844e+000","3.2171e-002"
"","  21.9962e-10","1.4816e+000","-1.8665e-002","1.6749e+000","3.2329e-002"
"","  22.4850e-10","1.6038e+000","-1.8342e-002","1.6625e+000","3.2508e-002"
"","  22.9738e-10","1.7287e+000","-1.7646e-002","1.6488e+000","3.2734e-002"
"","  23.4627e-10","1.8534e+000","-1.6666e-002","1.6346e+000","3.2991e-002"
"","  23.9515e-10","1.9769e+000","-1.5535e-002","1.6230e+000","3.3278e-002"
"","  24.4403e-10","2.0965e+000","-1.4307e-002","1.6164e+000","3.3569e-002"
"","  24.9291e-10","2.2107e+000","-1.3094e-002","1.6170e+000","3.3830e-002"
"","  25.4179e-10","2.3176e+000","-1.1944e-002","1.6240e+000","3.4028e-002"
"","  25.9067e-10","2.4158e+000","-1.0857e-002","1.6359e+000","3.4132e-002"
"","  26.3955e-10","2.5048e+000","-9.8341e-003","1.6517e+000","3.4147e-002"
"","  26.8843e-10","2.5852e+000","-8.8621e-003","1.6702e+000","3.4081e-002"
"","  27.3731e-10","2.6573e+000","-7.9403e-003","1.6916e+000","3.3927e-002"
"","  27.8619e-10","2.7223e+000","-7.0532e-003","1.7172e+000","3.3698e-002"
"","  28.3507e-10","2.7811e+000","-6.2153e-003","1.7503e+000","3.3398e-002"
"","  28.8395e-10","2.8347e+000","-5.4518e-003","1.7941e+000","3.3006e-002"
"","  29.3283e-10","2.8837e+000","-4.7759e-003","1.8519e+000","3.2466e-002"
"","  29.8171e-10","2.9277e+000","-4.2081e-003","1.9247e+000","3.1753e-002"
"","  30.3059e-10","2.9672e+000","-3.7441e-003","2.0113e+000","3.0821e-002"
"","  30.7947e-10","3.0016e+000","-3.3696e-003","2.1080e+000","2.9643e-002"
"","  31.2835e-10","3.0326e+000","-3.0501e-003","2.2098e+000","2.8224e-002"
"","  31.7723e-10","3.0608e+000","-2.7831e-003","2.3110e+000","2.6606e-002"
"","  32.2611e-10","3.0877e+000","-2.5786e-003","2.4075e+000","2.4847e-002"
"","  32.7500e-10","3.1131e+000","-2.4461e-003","2.4968e+000","2.3012e-002"
"","  33.2388e-10","3.1368e+000","-2.3804e-003","2.5773e+000","2.1170e-002"
"","  33.7276e-10","3.1581e+000","-2.3590e-003","2.6491e+000","1.9368e-002"
"","  34.2164e-10","3.1773e+000","-2.3407e-003","2.7137e+000","1.7657e-002"
"","  34.7052e-10","3.1952e+000","-2.3038e-003","2.7724e+000","1.6048e-002"
"","  35.1940e-10","3.2124e+000","-2.2386e-003","2.8265e+000","1.4551e-002"
"","  35.6828e-10","3.2297e+000","-2.1549e-003","2.8763e+000","1.3158e-002"
"","  36.1716e-10","3.2476e+000","-2.0633e-003","2.9220e+000","1.1871e-002"
"","  36.6604e-10","3.2666e+000","-1.9846e-003","2.9630e+000","1.0681e-002"
"","  37.1492e-10","3.2862e+000","-1.9547e-003","2.9990e+000","9.5713e-003"
"","  37.6380e-10","3.3060e+000","-1.9827e-003","3.0295e+000","8.5509e-003"
"","  38.1268e-10","3.3249e+000","-2.0580e-003","3.0541e+000","7.6087e-003"
"","  38.6156e-10","3.3423e+000","-2.1500e-003","3.0735e+000","6.7008e-003"
"","  39.1044e-10","3.3574e+000","-2.2278e-003","3.0883e+000","5.8362e-003"
"","  39.5932e-10","3.3702e+000","-2.2399e-003","3.0969e+000","5.0227e-003"
"","  40.0820e-10","3.3811e+000","-2.1491e-003","3.1006e+000","4.1872e-003"
"","  40.5708e-10","3.3910e+000","-1.9497e-003","3.1000e+000","3.3062e-003"
"","  41.0596e-10","3.4004e+000","-1.6592e-003","3.0940e+000","2.3977e-003"
"","  41.5484e-10","3.4098e+000","-1.3104e-003","3.0808e+000","1.4656e-003"
"","  42.0372e-10","3.4189e+000","-9.4432e-004","3.0627e+000","4.2488e-004"
"","  42.5261e-10","3.4275e+000","-6.0264e-004","3.0400e+000","-7.0843e-004"
"","  43.0149e-10","3.4348e+000","-3.1325e-004","3.0118e+000","-1.9594e-003"
"","  43.5037e-10","3.4401e+000","-8.3559e-005","2.9763e+000","-3.3740e-003"
"","  43.9925e-10","3.4431e+000","9.3634e-005","2.9330e+000","-4.9749e-003"
"","  44.4813e-10","3.4438e+000","2.3198e-004","2.8786e+000","-6.6752e-003"
"","  44.9701e-10","3.4422e+000","3.5061e-004","2.8133e+000","-8.5209e-003"
"","  45.4589e-10","3.4382e+000","4.6447e-004","2.7397e+000","-1.0462e-002"
"","  45.9477e-10","3.4327e+000","5.9239e-004","2.6588e+000","-1.2471e-002"
"","  46.4365e-10","3.4249e+000","7.4817e-004","2.5731e+000","-1.4538e-002"
"","  46.9253e-10","3.4150e+000","9.1745e-004","2.4852e+000","-1.6646e-002"
"","  47.4141e-10","3.4030e+000","1.1501e-003","2.3947e+000","-1.8677e-002"
"","  47.9029e-10","3.3893e+000","1.4258e-003","2.3051e+000","-2.0668e-002"
"","  48.3917e-10","3.3727e+000","1.7349e-003","2.2217e+000","-2.2578e-002"
"","  48.8805e-10","3.3524e+000","2.0639e-003","2.1449e+000","-2.4379e-002"
"","  49.3693e-10","3.3279e+000","2.4905e-003","2.0763e+000","-2.6013e-002"
"","  49.8581e-10","3.2993e+000","2.9924e-003","2.0160e+000","-2.7524e-002"
"","  50.3469e-10","3.2662e+000","3.5587e-003","1.9644e+000","-2.8833e-002"
"","  50.8357e-10","3.2270e+000","4.1830e-003","1.9181e+000","-2.9969e-002"
"","  51.3245e-10","3.1800e+000","4.9242e-003","1.8798e+000","-3.0927e-002"
"","  51.8134e-10","3.1241e+000","5.7801e-003","1.8475e+000","-3.1704e-002"
"","  52.3022e-10","3.0600e+000","6.8106e-003","1.8219e+000","-3.2340e-002"
"","  52.7910e-10","2.9888e+000","8.0040e-003","1.8020e+000","-3.2838e-002"
"","  53.2798e-10","2.9115e+000","9.2933e-003","1.7871e+000","-3.3258e-002"
"","  53.7686e-10","2.8277e+000","1.0595e-002","1.7754e+000","-3.3580e-002"
"","  54.2574e-10","2.7360e+000","1.1880e-002","1.7663e+000","-3.3895e-002"
"","  54.7462e-10","2.6352e+000","1.3100e-002","1.7593e+000","-3.4137e-002"
"","  55.2350e-10","2.5272e+000","1.4265e-002","1.7526e+000","-3.4364e-002"
"","  55.7238e-10","2.4139e+000","1.5354e-002","1.7479e+000","-3.4552e-002"
"","  56.2126e-10","2.2978e+000","1.6250e-002","1.7445e+000","-3.4737e-002"
"","  56.7014e-10","2.1793e+000","1.6891e-002","1.7410e+000","-3.4899e-002"
"","  57.1902e-10","2.0585e+000","1.7230e-002","1.7370e+000","-3.5050e-002"
"","  57.6790e-10","1.9350e+000","1.7299e-002","1.7335e+000","-3.5174e-002"
"","  58.1678e-10","1.8104e+000","1.7081e-002","1.7304e+000","-3.5269e-002"
"","  58.6566e-10","1.6860e+000","1.6670e-002","1.7273e+000","-3.5363e-002"
"","  59.1454e-10","1.5636e+000","1.6047e-002","1.7258e+000","-3.5443e-002"
"","  59.6342e-10","1.4453e+000","1.5286e-002","1.7245e+000","-3.5507e-002"
"","  60.1230e-10","1.3313e+000","1.4372e-002","1.7240e+000","-3.5571e-002"
"","  60.6118e-10","1.2223e+000","1.3376e-002","1.7236e+000","-3.5640e-002"
"","  61.1007e-10","1.1184e+000","1.2318e-002","1.7223e+000","-3.5700e-002"
"","  61.5895e-10","1.0201e+000","1.1274e-002","1.7170e+000","-3.5754e-002"
"","  62.0783e-10","9.2797e-001","1.0265e-002","1.7065e+000","-3.5791e-002"
"","  62.5671e-10","8.4276e-001","9.3281e-003","1.6890e+000","-3.5763e-002"
"","  63.0559e-10","7.6492e-001","8.4626e-003","1.6632e+000","-3.5652e-002"
"","  63.5447e-10","6.9442e-001","7.6620e-003","1.6297e+000","-3.5435e-002"
"","  64.0335e-10","6.3006e-001","6.9117e-003","1.5876e+000","-3.5091e-002"
"","  64.5223e-10","5.7094e-001","6.2168e-003","1.5356e+000","-3.4608e-002"
"","  65.0111e-10","5.1631e-001","5.6158e-003","1.4735e+000","-3.3966e-002"
"","  65.4999e-10","4.6685e-001","5.0984e-003","1.4023e+000","-3.3142e-002"
"","  65.9887e-10","4.2224e-001","4.6589e-003","1.3238e+000","-3.2127e-002"
"","  66.4775e-10","3.8237e-001","4.2571e-003","1.2403e+000","-3.0945e-002"
"","  66.9663e-10","3.4586e-001","3.9040e-003","1.1544e+000","-2.9600e-002"
"","  67.4551e-10","3.1240e-001","3.5758e-003","1.0680e+000","-2.8127e-002"
"","  67.9439e-10","2.8149e-001","3.2993e-003","9.8272e-001","-2.6559e-002"
"","  68.4327e-10","2.5307e-001","3.0497e-003","9.0011e-001","-2.4930e-002"
"","  68.9215e-10","2.2667e-001","2.8312e-003","8.2110e-001","-2.3265e-002"
"","  69.4103e-10","2.0172e-001","2.6377e-003","7.4692e-001","-2.1600e-002"
"","  69.8991e-10","1.7773e-001","2.4829e-003","6.7886e-001","-1.9963e-002"
"","  70.3880e-10","1.5462e-001","2.3700e-003","6.1730e-001","-1.8378e-002"
"","  70.8768e-10","1.3272e-001","2.3039e-003","5.6221e-001","-1.6873e-002"
"","  71.3656e-10","1.1212e-001","2.2715e-003","5.1319e-001","-1.5463e-002"
"","  71.8544e-10","9.2594e-002","2.2477e-003","4.6916e-001","-1.4155e-002"
"","  72.3432e-10","7.3534e-002","2.2290e-003","4.2920e-001","-1.2952e-002"
"","  72.8320e-10","5.4686e-002","2.2170e-003","3.9322e-001","-1.1850e-002"
"","  73.3208e-10","3.6212e-002","2.2146e-003","3.6130e-001","-1.0837e-002"
"","  73.8096e-10","1.8754e-002","2.2108e-003","3.3311e-001","-9.9200e-003"
"","  74.2984e-10","2.4834e-003","2.1900e-003","3.0795e-001","-9.0946e-003"
"","  74.7872e-10","-1.2431e-002","2.1296e-003","2.8501e-001","-8.3523e-003"
"","  75.2760e-10","-2.6287e-002","2.0248e-003","2.6358e-001","-7.6781e-003"
"","  75.7648e-10","-3.9266e-002","1.8711e-003","2.4367e-001","-7.0670e-003"
"","  76.2536e-10","-5.1549e-002","1.6791e-003","2.2541e-001","-6.5066e-003"
"","  76.7424e-10","-6.2883e-002","1.4621e-003","2.0872e-001","-5.9950e-003"
"","  77.2312e-10","-7.2866e-002","1.2348e-003","1.9360e-001","-5.5263e-003"
"","  77.7200e-10","-8.1055e-002","9.9530e-004","1.8009e-001","-5.0966e-003"
"","  78.2088e-10","-8.7335e-002","7.4438e-004","1.6805e-001","-4.7017e-003"
"","  78.6976e-10","-9.2028e-002","4.8308e-004","1.5751e-001","-4.2976e-003"
"","  79.1864e-10","-9.5479e-002","2.2272e-004","1.4833e-001","-3.8954e-003"
"","  79.6753e-10","-9.7960e-002","-1.9854e-005","1.4205e-001","-3.3954e-003"
"","  80.1641e-10","-9.9297e-002","-2.2767e-004","1.3872e-001","-2.8246e-003"
"","  80.6529e-10","-9.9152e-002","-3.9311e-004","1.4192e-001","-2.0430e-003"
"","  81.1417e-10","-9.7236e-002","-5.2420e-004","1.5274e-001","-1.1182e-003"
"","  81.6305e-10","-9.3845e-002","-6.3440e-004","1.7469e-001","4.5899e-005"
"","  82.1193e-10","-8.9569e-002","-7.3128e-004","2.0782e-001","1.3136e-003"
"","  82.6081e-10","-8.4988e-002","-8.0610e-004","2.5159e-001","2.7755e-003"
"","  83.0969e-10","-8.0181e-002","-8.5133e-004","3.0229e-001","4.2855e-003"
"","  83.5857e-10","-7.4920e-002","-8.6258e-004","3.5877e-001","5.9260e-003"
"","  84.0745e-10","-6.9064e-002","-8.5221e-004","4.1671e-001","7.6460e-003"
"","  84.5633e-10","-6.2722e-002","-8.3070e-004","4.7822e-001","9.4447e-003"
"","  85.0521e-10","-5.6248e-002","-8.0624e-004","5.4345e-001","1.1336e-002"
"","  85.5409e-10","-4.9871e-002","-7.7890e-004","6.1368e-001","1.3380e-002"
"","  86.0297e-10","-4.3661e-002","-7.4941e-004","6.8983e-001","1.5548e-002"
"","  86.5185e-10","-3.7205e-002","-7.1786e-004","7.7473e-001","1.7769e-002"
"","  87.0073e-10","-2.9380e-002","-6.8904e-004","8.6870e-001","2.0026e-002"
"","  87.4961e-10","-1.9418e-002","-6.9790e-004","9.6823e-001","2.2234e-002"
"","  87.9849e-10","-5.0365e-003","-7.8088e-004","1.0708e+000","2.4303e-002"
"","  88.4737e-10","1.3951e-002","-9.9183e-004","1.1711e+000","2.6123e-002"
"","  88.9626e-10","3.9968e-002","-1.3978e-003","1.2636e+000","2.7725e-002"
"","  89.4514e-10","7.1804e-002","-2.0285e-003","1.3434e+000","2.9023e-002"
"","  89.9402e-10","1.0940e-001","-2.9329e-003","1.4093e+000","3.0121e-002"
"","  90.4290e-10","1.5077e-001","-4.0397e-003","1.4619e+000","3.0905e-002"
"","  90.9178e-10","1.9537e-001","-5.2671e-003","1.5045e+000","3.1561e-002"
"","  91.4066e-10","2.4417e-001","-6.5137e-003","1.5372e+000","3.2021e-002"
"","  91.8954e-10","2.9988e-001","-7.6830e-003","1.5634e+000","3.2425e-002"
"","  92.3842e-10","3.6499e-001","-8.7728e-003","1.5850e+000","3.2642e-002"
"","  92.8730e-10","4.4132e-001","-9.8168e-003","1.6040e+000","3.2829e-002"
"","  93.3618e-10","5.2904e-001","-1.0863e-002","1.6183e+000","3.2928e-002"
"","  93.8506e-10","6.2867e-001","-1.1930e-002","1.6304e+000","3.3000e-002"
"","  94.3394e-10","7.3868e-001","-1.3080e-002","1.6395e+000","3.3021e-002"
"","  94.8282e-10","8.5674e-001","-1.4338e-002","1.6463e+000","3.3036e-002"
"","  95.3170e-10","9.7937e-001","-1.5615e-002","1.6495e+000","3.3051e-002"
"","  95.8058e-10","1.1031e+000","-1.6815e-002","1.6502e+000","3.3062e-002"
"","  96.2946e-10","1.2271e+000","-1.7792e-002","1.6480e+000","3.3112e-002"
"","  96.7834e-10","1.3491e+000","-1.8423e-002","1.6425e+000","3.3169e-002"
"","  97.2722e-10","1.4716e+000","-1.8608e-002","1.6347e+000","3.3276e-002"
"","  97.7610e-10","1.5942e+000","-1.8320e-002","1.6242e+000","3.3409e-002"
"","  98.2499e-10","1.7193e+000","-1.7658e-002","1.6129e+000","3.3595e-002"
"","  98.7387e-10","1.8441e+000","-1.6715e-002","1.6018e+000","3.3809e-002"
"","  99.2275e-10","1.9679e+000","-1.5613e-002","1.5942e+000","3.4048e-002"
"","  99.7163e-10","2.0879e+000","-1.4412e-002","1.5921e+000","3.4283e-002"
""," 100.2051e-10","2.2027e+000","-1.3222e-002","1.5971e+000","3.4477e-002"
""," 100.6939e-10","2.3101e+000","-1.2089e-002","1.6082e+000","3.4601e-002"
""," 101.1827e-10","2.4088e+000","-1.1007e-002","1.6235e+000","3.4629e-002"
""," 101.6715e-10","2.4984e+000","-9.9775e-003","1.6423e+000","3.4569e-002"
""," 102.1603e-10","2.5797e+000","-8.9927e-003","1.6634e+000","3.4433e-002"
""," 102.6491e-10","2.6529e+000","-8.0594e-003","1.6869e+000","3.4212e-002"
