"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 01:47:31 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U54.50 (at pin)"
"Probe 2: U1.A9 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-10","5.0611e-002",DC,"5.0515e-002",DC
"","   0.4888e-10","5.0611e-002","3.6653e-010","5.0516e-002","-1.0815e-003"
"","   0.9775e-10","5.0611e-002","1.7921e-009","5.0516e-002","-1.0822e-003"
"","   1.4663e-10","5.0611e-002","1.9333e-009","5.0697e-002","-1.0824e-003"
"","   1.9551e-10","5.0611e-002","1.5349e-009","5.0591e-002","-1.0824e-003"
"","   2.4439e-10","5.0611e-002","1.5073e-009","5.0570e-002","-1.0809e-003"
"","   2.9326e-10","5.0611e-002","1.7134e-009","5.0590e-002","-1.0801e-003"
"","   3.4214e-10","5.0611e-002","2.5252e-009","5.0648e-002","-1.0400e-003"
"","   3.9102e-10","5.0611e-002","1.6035e-009","5.0687e-002","-9.7200e-004"
"","   4.3990e-10","5.0712e-002","-9.7304e-008","5.2971e-002","-7.9618e-004"
"","   4.8877e-10","5.0731e-002","-3.1036e-006","5.8492e-002","-5.3538e-004"
"","   5.3765e-10","5.0651e-002","-1.7146e-006","6.8976e-002","-9.6154e-005"
"","   5.8653e-10","5.0712e-002","1.3416e-006","8.8437e-002","5.0603e-004"
"","   6.3540e-10","5.0775e-002","1.3484e-006","1.1603e-001","1.2747e-003"
"","   6.8428e-10","5.0797e-002","-5.2660e-007","1.5805e-001","2.2053e-003"
"","   7.3316e-10","5.0883e-002","-1.8174e-006","2.0732e-001","3.2310e-003"
"","   7.8204e-10","5.2672e-002","-1.6528e-005","2.6598e-001","4.4011e-003"
"","   8.3091e-10","5.6519e-002","-8.1784e-005","3.2877e-001","5.6781e-003"
"","   8.7979e-10","6.5137e-002","-2.0273e-004","3.9590e-001","7.1375e-003"
"","   9.2867e-10","8.0529e-002","-4.3009e-004","4.6802e-001","8.6846e-003"
"","   9.7755e-10","1.0599e-001","-7.4453e-004","5.4843e-001","1.0370e-002"
"","  10.2642e-10","1.4518e-001","-1.1915e-003","6.3322e-001","1.2151e-002"
"","  10.7530e-10","1.9795e-001","-1.7115e-003","7.2343e-001","1.4081e-002"
"","  11.2418e-10","2.6661e-001","-2.2393e-003","8.2070e-001","1.6047e-002"
"","  11.7305e-10","3.4974e-001","-2.7116e-003","9.2549e-001","1.8076e-002"
"","  12.2193e-10","4.4747e-001","-3.0972e-003","1.0316e+000","1.9992e-002"
"","  12.7081e-10","5.5897e-001","-3.4151e-003","1.1365e+000","2.1839e-002"
"","  13.1969e-10","6.8401e-001","-3.7435e-003","1.2361e+000","2.3516e-002"
"","  13.6856e-10","8.1947e-001","-4.0871e-003","1.3277e+000","2.5060e-002"
"","  14.1744e-10","9.6648e-001","-4.4281e-003","1.4160e+000","2.6408e-002"
"","  14.6632e-10","1.1256e+000","-4.7615e-003","1.4997e+000","2.7532e-002"
"","  15.1519e-10","1.2979e+000","-5.1292e-003","1.5872e+000","2.8384e-002"
"","  15.6407e-10","1.4784e+000","-5.4869e-003","1.6744e+000","2.8888e-002"
"","  16.1295e-10","1.6666e+000","-5.7351e-003","1.7632e+000","2.9132e-002"
"","  16.6183e-10","1.8570e+000","-5.8220e-003","1.8465e+000","2.9042e-002"
"","  17.1070e-10","2.0466e+000","-5.6827e-003","1.9305e+000","2.8762e-002"
"","  17.5958e-10","2.2311e+000","-5.4009e-003","2.0138e+000","2.8200e-002"
"","  18.0846e-10","2.4060e+000","-5.0071e-003","2.0993e+000","2.7511e-002"
"","  18.5734e-10","2.5695e+000","-4.5962e-003","2.1864e+000","2.6586e-002"
"","  19.0621e-10","2.7189e+000","-4.1785e-003","2.2778e+000","2.5569e-002"
"","  19.5509e-10","2.8532e+000","-3.7683e-003","2.3752e+000","2.4352e-002"
"","  20.0397e-10","2.9709e+000","-3.3001e-003","2.4795e+000","2.3043e-002"
"","  20.5284e-10","3.0753e+000","-2.8137e-003","2.5890e+000","2.1537e-002"
"","  21.0172e-10","3.1654e+000","-2.3713e-003","2.6993e+000","1.9899e-002"
"","  21.5060e-10","3.2425e+000","-2.0091e-003","2.8059e+000","1.8109e-002"
"","  21.9948e-10","3.3067e+000","-1.6970e-003","2.9027e+000","1.6240e-002"
"","  22.4835e-10","3.3629e+000","-1.4413e-003","2.9902e+000","1.4354e-002"
"","  22.9723e-10","3.4110e+000","-1.2584e-003","3.0668e+000","1.2498e-002"
"","  23.4611e-10","3.4545e+000","-1.1403e-003","3.1352e+000","1.0726e-002"
"","  23.9499e-10","3.4922e+000","-1.0631e-003","3.1949e+000","9.0171e-003"
"","  24.4386e-10","3.5259e+000","-9.6799e-004","3.2457e+000","7.4358e-003"
"","  24.9274e-10","3.5542e+000","-8.3830e-004","3.2857e+000","5.9456e-003"
"","  25.4162e-10","3.5769e+000","-6.4134e-004","3.3168e+000","4.6297e-003"
"","  25.9049e-10","3.5930e+000","-4.0734e-004","3.3412e+000","3.4517e-003"
"","  26.3937e-10","3.6025e+000","-1.5724e-004","3.3600e+000","2.4579e-003"
"","  26.8825e-10","3.6052e+000","5.6011e-005","3.3760e+000","1.5710e-003"
"","  27.3713e-10","3.6011e+000","2.3309e-004","3.3899e+000","8.2926e-004"
"","  27.8600e-10","3.5911e+000","3.7480e-004","3.4036e+000","1.8131e-004"
"","  28.3488e-10","3.5761e+000","5.0598e-004","3.4173e+000","-3.6730e-004"
"","  28.8376e-10","3.5576e+000","6.1437e-004","3.4324e+000","-8.6240e-004"
"","  29.3264e-10","3.5360e+000","6.9639e-004","3.4456e+000","-1.3191e-003"
"","  29.8151e-10","3.5129e+000","7.4191e-004","3.4559e+000","-1.7421e-003"
"","  30.3039e-10","3.4890e+000","7.4563e-004","3.4607e+000","-2.1266e-003"
"","  30.7927e-10","3.4660e+000","7.0338e-004","3.4605e+000","-2.4376e-003"
"","  31.2814e-10","3.4442e+000","6.2716e-004","3.4557e+000","-2.6869e-003"
"","  31.7702e-10","3.4249e+000","5.3982e-004","3.4485e+000","-2.8445e-003"
"","  32.2590e-10","3.4082e+000","4.4346e-004","3.4387e+000","-2.9474e-003"
"","  32.7478e-10","3.3939e+000","3.5855e-004","3.4271e+000","-2.9709e-003"
"","  33.2365e-10","3.3812e+000","3.0158e-004","3.4135e+000","-2.9507e-003"
"","  33.7253e-10","3.3694e+000","2.9167e-004","3.3984e+000","-2.8561e-003"
"","  34.2141e-10","3.3580e+000","3.1355e-004","3.3829e+000","-2.7209e-003"
"","  34.7029e-10","3.3467e+000","3.4656e-004","3.3677e+000","-2.5296e-003"
"","  35.1916e-10","3.3354e+000","3.6289e-004","3.3543e+000","-2.3171e-003"
"","  35.6804e-10","3.3235e+000","3.6075e-004","3.3430e+000","-2.0791e-003"
"","  36.1692e-10","3.3119e+000","3.4523e-004","3.3345e+000","-1.8436e-003"
"","  36.6579e-10","3.3004e+000","3.2547e-004","3.3285e+000","-1.6173e-003"
"","  37.1467e-10","3.2899e+000","3.0370e-004","3.3250e+000","-1.4099e-003"
"","  37.6355e-10","3.2801e+000","2.7885e-004","3.3224e+000","-1.2312e-003"
