"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 01:44:58 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.K13 (at pin)"
"Probe 2: U1.B9 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-10","2.5095e-002",DC,"2.5796e-002",DC
"","   0.4888e-10","2.5095e-002","-1.0561e-003","2.5796e-002","-1.8638e-005"
"","   0.9776e-10","2.5402e-002","-1.0536e-003","2.5796e-002","-1.2073e-005"
"","   1.4664e-10","2.5401e-002","-1.0350e-003","2.6138e-002","-7.8133e-006"
"","   1.9552e-10","2.5630e-002","-9.9428e-004","2.6677e-002","-5.0616e-006"
"","   2.4440e-10","2.6777e-002","-9.0953e-004","2.7057e-002","4.1649e-006"
"","   2.9328e-10","2.8779e-002","-7.9571e-004","2.7194e-002","7.1811e-006"
"","   3.4216e-10","3.3143e-002","-6.6921e-004","2.7409e-002","6.6226e-006"
"","   3.9104e-10","3.8859e-002","-5.1528e-004","2.7647e-002","7.1324e-006"
"","   4.3992e-10","4.5137e-002","-1.9989e-004","2.7667e-002","8.0900e-006"
"","   4.8880e-10","5.3832e-002","4.1934e-004","2.7552e-002","5.1876e-006"
"","   5.3768e-10","7.1755e-002","1.3044e-003","2.7489e-002","2.6615e-007"
"","   5.8656e-10","1.0447e-001","2.5366e-003","2.7442e-002","-7.0889e-007"
"","   6.3544e-10","1.5037e-001","3.8761e-003","2.7266e-002","-2.1555e-006"
"","   6.8432e-10","2.1232e-001","5.4388e-003","2.7331e-002","-3.2812e-006"
"","   7.3320e-10","2.8279e-001","7.0130e-003","2.7447e-002","-5.2881e-006"
"","   7.8208e-10","3.6686e-001","8.5476e-003","2.7811e-002","-5.9826e-006"
"","   8.3096e-10","4.5172e-001","1.0159e-002","2.8836e-002","-5.3900e-006"
"","   8.7983e-10","5.3935e-001","1.1905e-002","3.1187e-002","-6.9296e-006"
"","   9.2871e-10","6.3448e-001","1.3718e-002","3.5452e-002","-1.7804e-005"
"","   9.7759e-10","7.3512e-001","1.5463e-002","4.1255e-002","-3.8843e-005"
"","  10.2647e-10","8.3572e-001","1.7144e-002","4.7963e-002","-7.7293e-005"
