"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 01:51:52 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U54.34 (at pin)"
"Probe 2: U42.G2 (at pin)"
"Probe 3: U15.AF21 (at pin)"
"Probe 4: U1.B14 (at pin)"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-10","2.5797e-002",DC,"2.5563e-002",DC,"2.4936e-002",DC,"2.5797e-002",DC
"","   0.4888e-10","2.5797e-002","7.5860e-010","2.5563e-002","-7.7915e-011","2.4936e-002","-1.0495e-003","2.5798e-002","-2.3074e-005"
"","   0.9775e-10","2.5798e-002","1.6217e-009","2.5563e-002","2.2864e-010","2.5118e-002","-1.0471e-003","2.5915e-002","-1.4993e-005"
"","   1.4663e-10","2.5798e-002","1.7047e-009","2.5563e-002","4.6010e-010","2.5205e-002","-1.0299e-003","2.6358e-002","-9.7449e-006"
"","   1.9550e-10","2.5798e-002","1.6934e-009","2.5563e-002","4.7131e-010","2.5302e-002","-9.8878e-004","2.6689e-002","-3.1343e-006"
"","   2.4438e-10","2.5798e-002","1.7793e-009","2.5563e-002","3.3464e-009","2.6029e-002","-9.0827e-004","2.6902e-002","1.0239e-005"
"","   2.9326e-10","2.5798e-002","1.8422e-009","2.5563e-002","3.8315e-009","2.7734e-002","-7.9059e-004","2.7125e-002","1.3804e-005"
"","   3.4213e-10","2.5798e-002","-1.1590e-009","2.5563e-002","3.0613e-009","3.1100e-002","-6.5123e-004","2.7193e-002","1.3618e-005"
"","   3.9101e-10","2.5798e-002","-2.6096e-009","2.5742e-002","-5.1734e-008","3.5979e-002","-4.8964e-004","2.7185e-002","1.6994e-005"
"","   4.3988e-10","2.6175e-002","-3.4042e-006","2.6030e-002","-4.2104e-006","4.1789e-002","-1.6745e-004","2.7080e-002","1.4536e-005"
"","   4.8876e-10","2.6440e-002","-1.3889e-005","2.6211e-002","-1.0016e-005","4.8828e-002","4.5612e-004","2.7022e-002","7.0708e-006"
"","   5.3764e-10","2.6621e-002","-1.7474e-005","2.6427e-002","-1.7935e-005","6.2544e-002","1.3241e-003","2.6825e-002","7.1671e-007"
