"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: alec"
"Created on: 20 February 2008   Time: 01:54:37 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U54.15 (at pin)"
"Probe 2: U42.A5 (at pin)"
"Probe 3: U15.AF20 (at pin)"
"Probe 4: U1.A14 (at pin)"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4"
"","   0.0000e-10","2.7385e-002",DC,"2.7168e-002",DC,"2.6163e-002",DC,"2.7385e-002",DC
"","   0.4888e-10","2.7385e-002","3.6383e-010","2.7168e-002","-4.1119e-010","2.6163e-002","-1.1012e-003","2.7385e-002","1.0584e-005"
"","   0.9775e-10","2.7385e-002","-2.1481e-009","2.7168e-002","-1.1883e-009","2.6487e-002","-1.0986e-003","2.7385e-002","6.6622e-006"
"","   1.4663e-10","2.7385e-002","-8.4047e-010","2.7168e-002","-1.4133e-009","2.6466e-002","-1.0803e-003","2.7107e-002","4.1957e-006"
"","   1.9551e-10","2.7385e-002","2.7938e-010","2.7168e-002","-2.4331e-009","2.6604e-002","-1.0388e-003","2.6933e-002","2.6423e-006"
"","   2.4438e-10","2.7385e-002","1.0707e-009","2.7168e-002","-3.4795e-009","2.7648e-002","-9.5205e-004","2.6809e-002","-3.0692e-006"
"","   2.9326e-10","2.7385e-002","3.8345e-009","2.7168e-002","-2.5405e-009","2.9555e-002","-8.3376e-004","2.6782e-002","-5.9120e-006"
"","   3.4214e-10","2.7385e-002","6.7533e-009","2.7138e-002","-7.8166e-010","3.3809e-002","-7.0114e-004","2.6648e-002","-5.9766e-006"
"","   3.9101e-10","2.7385e-002","4.5788e-009","2.6979e-002","9.1854e-007","3.9109e-002","-5.3762e-004","2.6631e-002","-5.9246e-006"
"","   4.3989e-10","2.7121e-002","3.4511e-006","2.6872e-002","4.0899e-006","4.5028e-002","-2.2242e-004","2.6671e-002","-6.1619e-006"
"","   4.8876e-10","2.7072e-002","7.3728e-006","2.6832e-002","7.3060e-006","5.3088e-002","4.0395e-004","2.6730e-002","-4.6727e-006"
"","   5.3764e-10","2.6923e-002","7.9789e-006","2.6818e-002","1.0404e-005","6.9440e-002","1.2968e-003","2.6779e-002","-1.4649e-006"
"","   5.8652e-10","2.6778e-002","5.8887e-006","2.6776e-002","1.2898e-005","9.9998e-002","2.5388e-003","2.6883e-002","6.9929e-007"
"","   6.3539e-10","2.6460e-002","4.6355e-006","2.6782e-002","1.5164e-005","1.4180e-001","3.9068e-003","2.7020e-002","1.5022e-006"
"","   6.8427e-10","2.6367e-002","5.1988e-006","2.6838e-002","1.5596e-005","1.9872e-001","5.5124e-003","2.7140e-002","2.4293e-006"
"","   7.3315e-10","2.6289e-002","3.2885e-006","2.6924e-002","1.4508e-005","2.6184e-001","7.2273e-003","2.7210e-002","3.2704e-006"
"","   7.8202e-10","2.6221e-002","5.8540e-007","2.7028e-002","9.5832e-006","3.3938e-001","8.9313e-003","2.7347e-002","2.3266e-006"
"","   8.3090e-10","2.6162e-002","-1.1092e-006","2.7003e-002","5.9998e-006","4.1986e-001","1.0770e-002","2.7370e-002","8.0493e-007"
"","   8.7978e-10","2.6245e-002","-1.6524e-006","2.7477e-002","-9.0985e-007","5.0371e-001","1.2680e-002","2.7278e-002","-1.4681e-006"
"","   9.2865e-10","2.6334e-002","-3.4194e-006","2.8444e-002","-1.4605e-005","5.9565e-001","1.4613e-002","2.7088e-002","-1.6338e-006"
"","   9.7753e-10","2.6437e-002","-4.6877e-006","3.0387e-002","-4.1897e-005","6.9134e-001","1.6380e-002","2.7110e-002","-1.5048e-006"
"","  10.2641e-10","2.6527e-002","-4.6131e-006","3.3151e-002","-9.7246e-005","7.8712e-001","1.8045e-002","2.7081e-002","1.2291e-007"
"","  10.7528e-10","2.6694e-002","-3.6052e-006","3.6017e-002","-1.7472e-004","8.7682e-001","1.9787e-002","2.7046e-002","-1.9388e-006"
"","  11.2416e-10","2.6848e-002","-4.0831e-006","3.9335e-002","-2.7626e-004","9.6571e-001","2.1456e-002","2.7430e-002","-4.6856e-007"
"","  11.7303e-10","2.6945e-002","-4.2153e-006","4.6042e-002","-4.0024e-004","1.0568e+000","2.2977e-002","2.8274e-002","1.0770e-006"
"","  12.2191e-10","2.7028e-002","-2.7001e-006","6.0523e-002","-6.0917e-004","1.1443e+000","2.4072e-002","3.0108e-002","-3.1128e-006"
"","  12.7079e-10","2.7209e-002","-2.8443e-006","8.1506e-002","-9.8883e-004","1.2208e+000","2.5503e-002","3.2671e-002","-1.5182e-005"
"","  13.1966e-10","2.7316e-002","-3.7297e-006","1.0982e-001","-1.5611e-003","1.2868e+000","2.6633e-002","3.5279e-002","-3.4987e-005"
"","  13.6854e-10","2.7495e-002","-4.2514e-006","1.4162e-001","-2.4021e-003","1.3660e+000","2.7648e-002","3.8877e-002","-5.8514e-005"
"","  14.1742e-10","2.8087e-002","-1.0504e-005","1.7701e-001","-3.4184e-003","1.4263e+000","2.8643e-002","4.6340e-002","-7.8132e-005"
"","  14.6629e-10","2.8980e-002","-2.4003e-005","2.1556e-001","-4.6573e-003","1.4834e+000","2.9567e-002","6.0245e-002","-1.0703e-004"
