"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 03:10:31 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.P10 (at pin)"
"Probe 2: U15.R11 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4850e-001",DC,"2.4275e-001",DC
"","   0.9777e-11","2.4850e-001","5.8890e-007","2.4275e-001","-9.7577e-003"
"","   1.9554e-11","2.4850e-001","1.0886e-006","2.4275e-001","-9.7613e-003"
"","   2.9331e-11","2.4850e-001","1.5099e-006","2.4275e-001","-9.7645e-003"
"","   3.9108e-11","2.4850e-001","1.8633e-006","2.4275e-001","-9.7674e-003"
"","   4.8885e-11","2.4850e-001","2.1583e-006","2.4275e-001","-9.7700e-003"
"","   5.8662e-11","2.4851e-001","2.4063e-006","2.4275e-001","-9.7715e-003"
"","   6.8439e-11","2.4854e-001","2.6157e-006","2.4275e-001","-9.7635e-003"
"","   7.8216e-11","2.4856e-001","2.7914e-006","2.4275e-001","-9.7499e-003"
"","   8.7993e-11","2.4858e-001","2.9377e-006","2.4450e-001","-9.7363e-003"
"","   9.7770e-11","2.4860e-001","3.1013e-006","2.4537e-001","-9.7202e-003"
"","  10.7547e-11","2.4861e-001","3.2011e-006","2.4523e-001","-9.6912e-003"
"","  11.7324e-11","2.4862e-001","3.3858e-006","2.4509e-001","-9.6598e-003"
"","  12.7101e-11","2.4862e-001","3.5781e-006","2.4498e-001","-9.6203e-003"
"","  13.6878e-11","2.4862e-001","3.7374e-006","2.4417e-001","-9.5651e-003"
"","  14.6655e-11","2.4863e-001","3.8514e-006","2.4471e-001","-9.5089e-003"
"","  15.6432e-11","2.4863e-001","3.9322e-006","2.4506e-001","-9.4532e-003"
"","  16.6209e-11","2.4863e-001","4.1996e-006","2.4561e-001","-9.3877e-003"
"","  17.5986e-11","2.4863e-001","4.3932e-006","2.4614e-001","-9.3217e-003"
"","  18.5763e-11","2.4864e-001","4.5116e-006","2.4672e-001","-9.2607e-003"
"","  19.5540e-11","2.4864e-001","4.5724e-006","2.4781e-001","-9.1797e-003"
"","  20.5317e-11","2.4864e-001","4.5935e-006","2.4894e-001","-9.0421e-003"
"","  21.5094e-11","2.4864e-001","4.5818e-006","2.5034e-001","-8.8946e-003"
"","  22.4871e-11","2.4864e-001","4.5842e-006","2.5249e-001","-8.6851e-003"
"","  23.4648e-11","2.4864e-001","4.6050e-006","2.5467e-001","-8.5221e-003"
"","  24.4425e-11","2.4863e-001","4.5863e-006","2.5679e-001","-8.3279e-003"
"","  25.4202e-11","2.4863e-001","4.5536e-006","2.5926e-001","-8.1300e-003"
"","  26.3979e-11","2.4862e-001","4.4939e-006","2.6196e-001","-7.9234e-003"
"","  27.3756e-11","2.4862e-001","4.4566e-006","2.6439e-001","-7.7095e-003"
"","  28.3533e-11","2.4861e-001","4.4211e-006","2.6745e-001","-7.4900e-003"
"","  29.3310e-11","2.4861e-001","4.3595e-006","2.7252e-001","-7.1866e-003"
"","  30.3087e-11","2.4861e-001","4.2783e-006","2.7831e-001","-6.8584e-003"
"","  31.2864e-11","2.4860e-001","4.1913e-006","2.8528e-001","-6.5212e-003"
"","  32.2641e-11","2.4860e-001","4.1355e-006","2.9269e-001","-6.1102e-003"
"","  33.2418e-11","2.4859e-001","4.0661e-006","3.0034e-001","-5.6882e-003"
"","  34.2195e-11","2.4859e-001","3.9954e-006","3.0780e-001","-5.2806e-003"
"","  35.1972e-11","2.4859e-001","3.9131e-006","3.1596e-001","-4.8571e-003"
"","  36.1749e-11","2.4858e-001","3.8293e-006","3.2414e-001","-4.4091e-003"
"","  37.1526e-11","2.4858e-001","3.7476e-006","3.3273e-001","-3.9780e-003"
"","  38.1303e-11","2.4858e-001","3.6851e-006","3.4420e-001","-3.5126e-003"
"","  39.1080e-11","2.4858e-001","3.6438e-006","3.5744e-001","-3.0222e-003"
"","  40.0857e-11","2.4858e-001","3.5925e-006","3.7080e-001","-2.5448e-003"
"","  41.0634e-11","2.4857e-001","3.5432e-006","3.8705e-001","-2.0485e-003"
"","  42.0411e-11","2.4857e-001","3.4960e-006","4.0389e-001","-1.5404e-003"
"","  43.0188e-11","2.4857e-001","3.4650e-006","4.1966e-001","-1.0131e-003"
"","  43.9965e-11","2.4857e-001","3.4440e-006","4.3635e-001","-5.1199e-004"
"","  44.9742e-11","2.4857e-001","3.4260e-006","4.5414e-001","3.8395e-006"
"","  45.9519e-11","2.4857e-001","3.4087e-006","4.7108e-001","4.9193e-004"
"","  46.9296e-11","2.4857e-001","3.3971e-006","4.8984e-001","9.7268e-004"
"","  47.9074e-11","2.4857e-001","3.3961e-006","5.1020e-001","1.4359e-003"
"","  48.8851e-11","2.4858e-001","3.3976e-006","5.2990e-001","1.9028e-003"
"","  49.8628e-11","2.4858e-001","3.4102e-006","5.5042e-001","2.3443e-003"
"","  50.8405e-11","2.4858e-001","3.4212e-006","5.7164e-001","2.7838e-003"
"","  51.8181e-11","2.4887e-001","3.4347e-006","5.9266e-001","3.2558e-003"
"","  52.7959e-11","2.4987e-001","3.4513e-006","6.1355e-001","3.6818e-003"
"","  53.7736e-11","2.5015e-001","3.4747e-006","6.3478e-001","4.0927e-003"
"","  54.7513e-11","2.5026e-001","3.5055e-006","6.5526e-001","4.5308e-003"
"","  55.7290e-11","2.5030e-001","3.5317e-006","6.7580e-001","4.9179e-003"
"","  56.7067e-11","2.5030e-001","3.5514e-006","6.9604e-001","5.2575e-003"
"","  57.6844e-11","2.5023e-001","-1.5284e-005","7.1648e-001","5.6158e-003"
"","  58.6621e-11","2.5019e-001","-3.0686e-005","7.3628e-001","5.9581e-003"
"","  59.6398e-11","2.5039e-001","-3.1197e-005","7.5590e-001","6.2452e-003"
"","  60.6175e-11","2.5070e-001","-2.7873e-005","7.7618e-001","6.5327e-003"
"","  61.5952e-11","2.5107e-001","-2.3487e-005","7.9528e-001","6.7934e-003"
"","  62.5729e-11","2.5162e-001","-1.8651e-005","8.1376e-001","7.0502e-003"
"","  63.5506e-11","2.5179e-001","-1.2899e-005","8.3303e-001","7.3263e-003"
"","  64.5283e-11","2.5260e-001","-1.0307e-005","8.5110e-001","7.5795e-003"
"","  65.5060e-11","2.5403e-001","-1.4700e-005","8.6748e-001","7.8200e-003"
"","  66.4837e-11","2.5576e-001","-2.0561e-005","8.8440e-001","8.0524e-003"
"","  67.4614e-11","2.5763e-001","-2.7138e-005","9.0089e-001","8.2959e-003"
"","  68.4391e-11","2.5972e-001","-3.8872e-005","9.1554e-001","8.5110e-003"
"","  69.4168e-11","2.6185e-001","-5.7305e-005","9.2980e-001","8.7074e-003"
"","  70.3945e-11","2.6378e-001","-7.2912e-005","9.4325e-001","8.9055e-003"
"","  71.3722e-11","2.6572e-001","-9.4253e-005","9.5623e-001","9.0751e-003"
"","  72.3499e-11","2.6833e-001","-1.1757e-004","9.7007e-001","9.2055e-003"
"","  73.3276e-11","2.7187e-001","-1.4260e-004","9.8347e-001","9.3375e-003"
"","  74.3053e-11","2.7589e-001","-1.6702e-004","9.9603e-001","9.4599e-003"
"","  75.2830e-11","2.8074e-001","-1.8941e-004","1.0084e+000","9.5504e-003"
"","  76.2607e-11","2.8613e-001","-2.0816e-004","1.0208e+000","9.6413e-003"
