"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 04:57:12 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.C3 (at pin)"
"Probe 2: U15.P6 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4768e-001",DC,"2.4274e-001",DC
"","   0.9776e-11","2.4768e-001","6.1220e-007","2.4274e-001","-9.7571e-003"
"","   1.9553e-11","2.4768e-001","1.1276e-006","2.4274e-001","-9.7608e-003"
"","   2.9329e-11","2.4768e-001","1.5565e-006","2.4274e-001","-9.7640e-003"
"","   3.9106e-11","2.4768e-001","1.9145e-006","2.4274e-001","-9.7669e-003"
"","   4.8882e-11","2.4769e-001","2.2125e-006","2.4274e-001","-9.7695e-003"
"","   5.8658e-11","2.4772e-001","2.4605e-006","2.4274e-001","-9.7717e-003"
"","   6.8435e-11","2.4775e-001","2.6660e-006","2.4274e-001","-9.7646e-003"
"","   7.8211e-11","2.4775e-001","2.8393e-006","2.4274e-001","-9.7509e-003"
"","   8.7988e-11","2.4776e-001","2.9659e-006","2.4380e-001","-9.7373e-003"
"","   9.7764e-11","2.4777e-001","3.2696e-006","2.4478e-001","-9.7220e-003"
"","  10.7541e-11","2.4778e-001","3.5374e-006","2.4505e-001","-9.6930e-003"
"","  11.7317e-11","2.4778e-001","3.8790e-006","2.4508e-001","-9.6616e-003"
"","  12.7093e-11","2.4779e-001","4.2623e-006","2.4502e-001","-9.6240e-003"
"","  13.6870e-11","2.4780e-001","4.5104e-006","2.4493e-001","-9.5685e-003"
"","  14.6646e-11","2.4781e-001","4.6467e-006","2.4484e-001","-9.5123e-003"
"","  15.6423e-11","2.4781e-001","4.6469e-006","2.4496e-001","-9.4566e-003"
"","  16.6199e-11","2.4782e-001","4.5979e-006","2.4533e-001","-9.3928e-003"
"","  17.5975e-11","2.4782e-001","4.5256e-006","2.4581e-001","-9.2603e-003"
"","  18.5752e-11","2.4782e-001","4.4874e-006","2.4638e-001","-9.2438e-003"
"","  19.5528e-11","2.4782e-001","4.4519e-006","2.4728e-001","-9.1878e-003"
"","  20.5305e-11","2.4781e-001","4.4186e-006","2.4840e-001","-9.0592e-003"
"","  21.5081e-11","2.4781e-001","4.4268e-006","2.4974e-001","-8.9137e-003"
