"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 05:27:43 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.G2 (at pin)"
"Probe 2: U15.N7 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4758e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4758e-001","6.1971e-007","2.4275e-001","-9.7582e-003"
"","   1.9553e-11","2.4758e-001","1.1402e-006","2.4275e-001","-9.7618e-003"
"","   2.9329e-11","2.4758e-001","1.5722e-006","2.4275e-001","-9.7650e-003"
"","   3.9106e-11","2.4758e-001","1.9320e-006","2.4275e-001","-9.7679e-003"
"","   4.8882e-11","2.4758e-001","2.2322e-006","2.4275e-001","-9.7705e-003"
"","   5.8658e-11","2.4758e-001","2.4807e-006","2.4275e-001","-9.7726e-003"
"","   6.8435e-11","2.4758e-001","2.6880e-006","2.4275e-001","-9.7654e-003"
"","   7.8211e-11","2.4761e-001","2.8595e-006","2.4275e-001","-9.7518e-003"
"","   8.7988e-11","2.4764e-001","3.0077e-006","2.4380e-001","-9.7381e-003"
"","   9.7764e-11","2.4765e-001","3.1360e-006","2.4478e-001","-9.7228e-003"
"","  10.7541e-11","2.4766e-001","3.2262e-006","2.4506e-001","-9.6938e-003"
"","  11.7317e-11","2.4766e-001","3.3029e-006","2.4509e-001","-9.6625e-003"
"","  12.7093e-11","2.4767e-001","3.3739e-006","2.4502e-001","-9.6248e-003"
"","  13.6870e-11","2.4768e-001","3.4702e-006","2.4494e-001","-9.5692e-003"
"","  14.6646e-11","2.4769e-001","3.7275e-006","2.4485e-001","-9.5131e-003"
"","  15.6423e-11","2.4769e-001","3.9056e-006","2.4497e-001","-9.4574e-003"
"","  16.6199e-11","2.4770e-001","4.2778e-006","2.4534e-001","-9.3936e-003"
"","  17.5975e-11","2.4770e-001","4.5636e-006","2.4583e-001","-9.2610e-003"
"","  18.5752e-11","2.4770e-001","4.7313e-006","2.4640e-001","-9.2445e-003"
"","  19.5528e-11","2.4771e-001","4.8137e-006","2.4729e-001","-9.1885e-003"
"","  20.5305e-11","2.4771e-001","4.7304e-006","2.4841e-001","-9.0599e-003"
