"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 05:31:56 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.J3 (at pin)"
"Probe 2: U15.J6 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4739e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4740e-001","6.2507e-007","2.4275e-001","-9.7633e-003"
"","   1.9552e-11","2.4740e-001","1.1477e-006","2.4275e-001","-9.7667e-003"
"","   2.9328e-11","2.4740e-001","1.5813e-006","2.4275e-001","-9.7697e-003"
"","   3.9104e-11","2.4739e-001","1.9423e-006","2.4275e-001","-9.7725e-003"
"","   4.8880e-11","2.4739e-001","2.2419e-006","2.4275e-001","-9.7749e-003"
"","   5.8656e-11","2.4742e-001","2.4890e-006","2.4275e-001","-9.7771e-003"
"","   6.8432e-11","2.4744e-001","2.6884e-006","2.4275e-001","-9.7706e-003"
"","   7.8208e-11","2.4745e-001","2.8628e-006","2.4275e-001","-9.7568e-003"
"","   8.7983e-11","2.4746e-001","3.0532e-006","2.4334e-001","-9.7431e-003"
"","   9.7759e-11","2.4747e-001","3.1641e-006","2.4449e-001","-9.7282e-003"
"","  10.7535e-11","2.4748e-001","3.4860e-006","2.4492e-001","-9.6999e-003"
"","  11.7311e-11","2.4749e-001","3.8805e-006","2.4504e-001","-9.6684e-003"
"","  12.7087e-11","2.4750e-001","4.2745e-006","2.4504e-001","-9.6322e-003"
"","  13.6863e-11","2.4751e-001","4.5160e-006","2.4498e-001","-9.5772e-003"
"","  14.6639e-11","2.4751e-001","4.6641e-006","2.4491e-001","-9.5210e-003"
"","  15.6415e-11","2.4752e-001","4.7377e-006","2.4495e-001","-9.4651e-003"
"","  16.6191e-11","2.4753e-001","4.6306e-006","2.4526e-001","-9.4021e-003"
"","  17.5967e-11","2.4753e-001","4.5523e-006","2.4570e-001","-9.2387e-003"
"","  18.5743e-11","2.4754e-001","4.4900e-006","2.4622e-001","-9.2357e-003"
"","  19.5519e-11","2.4754e-001","4.4118e-006","2.4701e-001","-9.1911e-003"
"","  20.5295e-11","2.4753e-001","4.3870e-006","2.4806e-001","-9.0728e-003"
"","  21.5071e-11","2.4753e-001","4.3754e-006","2.4928e-001","-8.9297e-003"
"","  22.4847e-11","2.4753e-001","4.3875e-006","2.5097e-001","-8.7757e-003"
"","  23.4623e-11","2.4752e-001","4.3504e-006","2.5298e-001","-8.5746e-003"
"","  24.4398e-11","2.4752e-001","4.2535e-006","2.5512e-001","-8.3566e-003"
"","  25.4174e-11","2.4752e-001","4.1288e-006","2.5742e-001","-8.1459e-003"
"","  26.3950e-11","2.4751e-001","3.9578e-006","2.6062e-001","-7.9369e-003"
"","  27.3726e-11","2.4751e-001","3.7915e-006","2.6339e-001","-7.7176e-003"
"","  28.3502e-11","2.4750e-001","3.6563e-006","2.6582e-001","-7.4885e-003"
"","  29.3278e-11","2.4750e-001","3.5703e-006","2.6929e-001","-7.1964e-003"
"","  30.3054e-11","2.4749e-001","3.5222e-006","2.7404e-001","-6.8568e-003"
"","  31.2830e-11","2.4749e-001","3.5397e-006","2.7952e-001","-6.5057e-003"
"","  32.2606e-11","2.4748e-001","3.6045e-006","2.8621e-001","-6.0965e-003"
"","  33.2382e-11","2.4748e-001","3.6336e-006","2.9387e-001","-5.6799e-003"
"","  34.2158e-11","2.4748e-001","3.6320e-006","3.0191e-001","-5.2609e-003"
"","  35.1934e-11","2.4748e-001","3.6106e-006","3.1009e-001","-4.8092e-003"
"","  36.1710e-11","2.4748e-001","3.5661e-006","3.1856e-001","-4.4235e-003"
"","  37.1486e-11","2.4748e-001","3.5358e-006","3.2727e-001","-3.9847e-003"
"","  38.1262e-11","2.4748e-001","3.5188e-006","3.3713e-001","-3.4447e-003"
"","  39.1038e-11","2.4748e-001","3.5327e-006","3.4891e-001","-2.9118e-003"
"","  40.0813e-11","2.4748e-001","3.5699e-006","3.6176e-001","-2.3960e-003"
"","  41.0589e-11","2.4801e-001","3.6307e-006","3.7624e-001","-1.8422e-003"
"","  42.0365e-11","2.4852e-001","3.7049e-006","3.9209e-001","-1.3190e-003"
"","  43.0141e-11","2.4875e-001","3.7696e-006","4.0851e-001","-8.2918e-004"
"","  43.9917e-11","2.4886e-001","3.7935e-006","4.2554e-001","-3.3717e-004"
"","  44.9693e-11","2.4892e-001","3.7910e-006","4.4245e-001","1.5547e-004"
"","  45.9469e-11","2.4903e-001","-9.7771e-006","4.5975e-001","6.4612e-004"
"","  46.9245e-11","2.4909e-001","-2.3527e-005","4.7837e-001","1.2240e-003"
"","  47.9021e-11","2.4921e-001","-2.6048e-005","4.9837e-001","1.7573e-003"
"","  48.8797e-11","2.4943e-001","-2.4492e-005","5.1868e-001","2.2562e-003"
"","  49.8573e-11","2.4970e-001","-2.1264e-005","5.3961e-001","2.7864e-003"
"","  50.8349e-11","2.4981e-001","-2.0193e-005","5.6081e-001","3.2463e-003"
"","  51.8125e-11","2.5006e-001","-1.7808e-005","5.8174e-001","3.6655e-003"
"","  52.7901e-11","2.5090e-001","-1.7258e-005","6.0245e-001","4.0695e-003"
"","  53.7677e-11","2.5189e-001","-1.9878e-005","6.2311e-001","4.4651e-003"
"","  54.7453e-11","2.5317e-001","-2.3680e-005","6.4372e-001","4.8785e-003"
"","  55.7228e-11","2.5457e-001","-3.0151e-005","6.6499e-001","5.3447e-003"
"","  56.7004e-11","2.5609e-001","-4.1840e-005","6.8646e-001","5.7081e-003"
"","  57.6780e-11","2.5775e-001","-5.6316e-005","7.0748e-001","6.0501e-003"
"","  58.6556e-11","2.5997e-001","-6.8601e-005","7.2853e-001","6.3997e-003"
"","  59.6332e-11","2.6189e-001","-8.5453e-005","7.4894e-001","6.6743e-003"
"","  60.6108e-11","2.6380e-001","-1.0544e-004","7.6850e-001","6.9052e-003"
"","  61.5884e-11","2.6633e-001","-1.2507e-004","7.8746e-001","7.1394e-003"
"","  62.5660e-11","2.6959e-001","-1.4631e-004","8.0563e-001","7.3845e-003"
"","  63.5436e-11","2.7349e-001","-1.8266e-004","8.2378e-001","7.6465e-003"
"","  64.5212e-11","2.7809e-001","-2.0668e-004","8.4239e-001","7.9293e-003"
"","  65.4988e-11","2.8326e-001","-2.2486e-004","8.6016e-001","8.1351e-003"
"","  66.4764e-11","2.8891e-001","-2.6131e-004","8.7695e-001","8.3530e-003"
"","  67.4540e-11","2.9487e-001","-3.1312e-004","8.9340e-001","8.5720e-003"
"","  68.4316e-11","3.0095e-001","-3.7074e-004","9.0875e-001","8.7481e-003"
"","  69.4092e-11","3.0776e-001","-4.3950e-004","9.2261e-001","8.9016e-003"
"","  70.3868e-11","3.1578e-001","-5.1433e-004","9.3559e-001","9.0713e-003"
"","  71.3644e-11","3.2448e-001","-5.8747e-004","9.4828e-001","9.2444e-003"
"","  72.3419e-11","3.3377e-001","-6.5482e-004","9.6103e-001","9.4105e-003"
"","  73.3195e-11","3.4434e-001","-7.2182e-004","9.7409e-001","9.5510e-003"
"","  74.2971e-11","3.5569e-001","-7.8483e-004","9.8644e-001","9.5984e-003"
"","  75.2747e-11","3.6779e-001","-8.6057e-004","9.9836e-001","9.6859e-003"
"","  76.2523e-11","3.8085e-001","-9.5294e-004","1.0103e+000","9.7617e-003"
"","  77.2299e-11","3.9445e-001","-1.0540e-003","1.0218e+000","9.7797e-003"
"","  78.2075e-11","4.0874e-001","-1.1709e-003","1.0325e+000","9.8162e-003"
"","  79.1851e-11","4.2438e-001","-1.2915e-003","1.0429e+000","9.8845e-003"
"","  80.1627e-11","4.4074e-001","-1.4074e-003","1.0530e+000","9.9913e-003"
"","  81.1403e-11","4.5730e-001","-1.5192e-003","1.0623e+000","1.0125e-002"
"","  82.1179e-11","4.7462e-001","-1.6111e-003","1.0712e+000","1.0222e-002"
"","  83.0955e-11","4.9226e-001","-1.6943e-003","1.0784e+000","1.0270e-002"
"","  84.0731e-11","5.1024e-001","-1.7875e-003","1.0849e+000","1.0363e-002"
"","  85.0507e-11","5.2884e-001","-1.8851e-003","1.0910e+000","1.0425e-002"
"","  86.0283e-11","5.4790e-001","-1.9728e-003","1.0964e+000","1.0458e-002"
"","  87.0059e-11","5.6777e-001","-2.0594e-003","1.1012e+000","1.0524e-002"
"","  87.9834e-11","5.8844e-001","-2.1371e-003","1.1061e+000","1.0560e-002"
"","  88.9610e-11","6.0909e-001","-2.1971e-003","1.1114e+000","1.0592e-002"
"","  89.9386e-11","6.2971e-001","-2.2411e-003","1.1171e+000","1.0629e-002"
"","  90.9162e-11","6.5086e-001","-2.2693e-003","1.1229e+000","1.0627e-002"
"","  91.8938e-11","6.7190e-001","-2.2810e-003","1.1280e+000","1.0618e-002"
"","  92.8714e-11","6.9298e-001","-2.2903e-003","1.1328e+000","1.0667e-002"
"","  93.8490e-11","7.1412e-001","-2.2912e-003","1.1371e+000","1.0692e-002"
"","  94.8266e-11","7.3531e-001","-2.2798e-003","1.1408e+000","1.0707e-002"
"","  95.8042e-11","7.5678e-001","-2.2624e-003","1.1440e+000","1.0764e-002"
