"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 05:32:41 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.L3 (at pin)"
"Probe 2: U15.N8 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4772e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4772e-001","6.4449e-007","2.4275e-001","-9.7576e-003"
"","   1.9553e-11","2.4772e-001","1.1815e-006","2.4274e-001","-9.7612e-003"
"","   2.9329e-11","2.4772e-001","1.6235e-006","2.4274e-001","-9.7645e-003"
"","   3.9106e-11","2.4772e-001","1.9886e-006","2.4274e-001","-9.7674e-003"
"","   4.8882e-11","2.4773e-001","2.2906e-006","2.4274e-001","-9.7700e-003"
"","   5.8658e-11","2.4776e-001","2.5376e-006","2.4274e-001","-9.7721e-003"
"","   6.8435e-11","2.4778e-001","2.7423e-006","2.4274e-001","-9.7650e-003"
"","   7.8211e-11","2.4780e-001","2.9099e-006","2.4274e-001","-9.7513e-003"
"","   8.7988e-11","2.4780e-001","3.0445e-006","2.4380e-001","-9.7377e-003"
"","   9.7764e-11","2.4781e-001","3.1576e-006","2.4478e-001","-9.7223e-003"
"","  10.7541e-11","2.4782e-001","3.4539e-006","2.4505e-001","-9.6933e-003"
"","  11.7317e-11","2.4783e-001","3.6691e-006","2.4508e-001","-9.6620e-003"
"","  12.7093e-11","2.4783e-001","4.0425e-006","2.4502e-001","-9.6243e-003"
"","  13.6870e-11","2.4784e-001","4.3753e-006","2.4493e-001","-9.5688e-003"
"","  14.6646e-11","2.4784e-001","4.5763e-006","2.4484e-001","-9.5127e-003"
"","  15.6423e-11","2.4785e-001","4.6738e-006","2.4496e-001","-9.4569e-003"
"","  16.6199e-11","2.4786e-001","4.6306e-006","2.4534e-001","-9.3932e-003"
"","  17.5975e-11","2.4786e-001","4.5417e-006","2.4582e-001","-9.2606e-003"
"","  18.5752e-11","2.4787e-001","4.4623e-006","2.4639e-001","-9.2441e-003"
"","  19.5528e-11","2.4787e-001","4.3918e-006","2.4728e-001","-9.1881e-003"
"","  20.5305e-11","2.4786e-001","4.3570e-006","2.4840e-001","-9.0595e-003"
"","  21.5081e-11","2.4786e-001","4.3025e-006","2.4975e-001","-8.9140e-003"
"","  22.4858e-11","2.4785e-001","4.3034e-006","2.5161e-001","-8.7557e-003"
"","  23.4634e-11","2.4785e-001","4.2720e-006","2.5371e-001","-8.5515e-003"
"","  24.4410e-11","2.4785e-001","4.2255e-006","2.5590e-001","-8.3355e-003"
"","  25.4187e-11","2.4784e-001","4.1691e-006","2.5830e-001","-8.1295e-003"
"","  26.3963e-11","2.4784e-001","4.0441e-006","2.6163e-001","-7.9217e-003"
"","  27.3740e-11","2.4784e-001","3.9072e-006","2.6410e-001","-7.7018e-003"
"","  28.3516e-11","2.4783e-001","3.7642e-006","2.6668e-001","-7.4751e-003"
"","  29.3292e-11","2.4783e-001","3.6398e-006","2.7071e-001","-7.1807e-003"
"","  30.3069e-11","2.4782e-001","3.5713e-006","2.7591e-001","-6.8408e-003"
"","  31.2845e-11","2.4782e-001","3.5853e-006","2.8178e-001","-6.4950e-003"
"","  32.2622e-11","2.4781e-001","3.6302e-006","2.8898e-001","-6.0857e-003"
"","  33.2398e-11","2.4781e-001","3.6531e-006","2.9693e-001","-5.6706e-003"
"","  34.2175e-11","2.4781e-001","3.6656e-006","3.0504e-001","-5.2539e-003"
"","  35.1951e-11","2.4781e-001","3.6582e-006","3.1330e-001","-4.8379e-003"
"","  36.1727e-11","2.4781e-001","3.6279e-006","3.2184e-001","-4.4179e-003"
"","  37.1504e-11","2.4781e-001","3.6121e-006","3.3065e-001","-3.9628e-003"
"","  38.1280e-11","2.4781e-001","3.5855e-006","3.4111e-001","-3.4372e-003"
"","  39.1057e-11","2.4781e-001","3.5690e-006","3.5340e-001","-2.9252e-003"
"","  40.0833e-11","2.4781e-001","3.5751e-006","3.6666e-001","-2.4130e-003"
"","  41.0609e-11","2.4781e-001","3.6040e-006","3.8175e-001","-1.8796e-003"
"","  42.0386e-11","2.4781e-001","3.6490e-006","3.9800e-001","-1.3740e-003"
"","  43.0162e-11","2.4790e-001","3.7020e-006","4.1469e-001","-8.8763e-004"
"","  43.9939e-11","2.4866e-001","3.7502e-006","4.3151e-001","-3.9362e-004"
"","  44.9715e-11","2.4902e-001","3.7671e-006","4.4869e-001","9.8914e-005"
"","  45.9491e-11","2.4916e-001","3.7589e-006","4.6641e-001","5.9807e-004"
